Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Cristiano Ronaldo,Juventus,34,"M(L),FW",30(1),2689,21,8,5.7,1.5,1.5,1.6,0.9,1.3,1.7,7.68
Alejandro Gómez,Atalanta,31,"M(CL),FW",34(1),2913,7,11,3,3.2,2.2,2.7,0.1,2.2,1.9,7.64
Josip Ilicic,Atalanta,31,"AM(CLR),FW",23(8),2151,12,7,3.3,2.1,2.5,2.5,0.2,2.5,2.4,7.39
Suso,AC Milan,25,"AM(CLR),FW",35,3031,7,10,2.7,2.8,1.9,2.3,0.2,1.8,1.8,7.39
Rodrigo de Paul,Udinese,25,"AM(CLR),FW",36,3194,9,8,2.4,2.7,2.3,2.6,-,1.8,2.4,7.37
Pierluigi Frattali,Parma Calcio 1913,33,Goalkeeper,1,90,-,-,-,-,-,-,-,-,-,7.35
Mario Mandzukic,Juventus,33,"M(L),FW",23(2),2020,9,6,1.2,1.2,0.2,1.4,0.3,0.8,1.1,7.34
Duván Zapata,Atalanta,28,FW,32(5),2900,23,7,3.2,1.8,1.1,2.2,0.8,2.5,4.1,7.32
Leonardo Pavoletti,Cagliari,30,FW,31(1),2738,16,1,2.6,0.8,0.3,1.1,0.7,1,2.3,7.32
Stephan El Shaarawy,Roma,26,"AM(CLR),FW",23(5),2109,11,3,2.5,1.3,1.6,1.3,0.4,0.8,1.9,7.26
Fabián Ruiz,Napoli,23,M(CL),20(7),1991,5,4,1.9,2.3,1.3,0.8,0.1,1.1,1,7.25
Edin Dzeko,Roma,33,FW,28(5),2576,9,6,4,1.4,1,1.1,0.4,1.5,2.2,7.24
Armando Izzo,Torino,27,D(C),37,3274,4,1,0.7,0.3,0.2,1.6,0.1,0.3,0.4,7.24
Andrea Belotti,Torino,25,FW,37,3301,15,3,3.4,0.9,1,3,0.8,2.1,3.1,7.23
Dries Mertens,Napoli,32,"AM(CLR),FW",23(12),2253,16,11,2.5,2,0.5,0.8,0.4,0.8,1.2,7.20
João Cancelo,Juventus,25,"D(LR),M(R)",22(3),1967,1,3,1,1.4,2.4,1,-,0.9,1.4,7.20
Krzysztof Piatek,Genoa,23,FW,18(1),1594,13,-,4.1,0.8,0.4,1.8,0.6,1.2,2.5,7.20
Cristian Ansaldi,Torino,32,"D(CLR),DMC,M(LR)",23(1),1816,3,2,1.6,1.5,2.2,1.3,0.1,1.4,2,7.19
Giacomo Bonaventura,AC Milan,29,M(CLR),8,651,3,1,3.4,1.3,1.3,1,0.1,1.3,1.5,7.16
Lorenzo Insigne,Napoli,28,"AM(CL),FW",24(4),2080,10,6,4.3,2.3,0.9,0.5,0.6,1,1.6,7.16
Domenico Criscito,Genoa,32,"D(CL),M(L)",35,3071,2,4,0.9,1.4,0.6,1.4,0.1,0.3,0.5,7.15
Alex Sandro,Juventus,28,"D(L),M(L)",28(3),2392,1,2,0.7,1.2,0.9,1.6,0.1,0.8,1.1,7.15
Tiemoué Bakayoko,AC Milan,24,DMC,26(5),2301,1,1,0.8,0.8,2,2.3,-,1.4,1.8,7.15
Sergej Milinkovic-Savic,Lazio,24,AM(C),29(2),2405,5,3,2.5,1.5,1.1,1.1,0.4,1.5,2.1,7.15
Allan,Napoli,28,DMC,28(5),2614,1,3,0.8,1,1.2,1.9,-,1.3,1,7.13
Medhi Benatia,Juventus,32,D(C),5,450,-,-,0.6,-,0.4,0.6,-,0.4,-,7.13
Arkadiusz Milik,Napoli,25,FW,27(8),2398,17,3,3.2,1.1,0.2,0.8,0.5,0.7,1.3,7.13
Aleksandar Kolarov,Roma,33,"D(CL),M(L)",32(1),2906,8,2,1.3,1.8,0.9,1.2,-,0.5,0.8,7.12
Adrian Semper,Chievo,21,GK,6,540,-,-,-,-,-,0.2,-,-,-,7.12
Hakan Calhanoglu,AC Milan,25,"M(CLR),FW",34(2),2898,3,6,2.8,2.3,0.9,1.1,0.1,1,1.9,7.12
Robin Gosens,Atalanta,24,"D(L),M(CL)",23(5),1947,3,2,0.9,0.6,0.7,1.1,0.3,0.3,1.4,7.11
Erick Pulgar,Bologna,25,DMC,27(1),2363,6,2,1.2,2.1,0.4,1.2,-,0.7,1.2,7.11
Merih Demiral,Sassuolo,21,D(C),14,1260,2,-,0.5,0.1,0.3,0.3,0.1,0.1,0.1,7.11
Lucas Leiva,Lazio,32,"D(C),M(C)",22(5),1988,-,2,0.6,1.1,0.4,0.7,0.1,0.9,0.3,7.11
Fabio Quagliarella,Sampdoria,36,FW,37,3211,26,8,3.8,1,0.5,1.6,1,1.4,2.4,7.11
Kevin Malcuit,Napoli,27,"D(R),M(R)",20(4),1806,-,2,0.5,0.9,1.4,0.9,0.1,0.8,1.6,7.11
Bartlomiej Dragowski,Empoli,21,GK,14,1260,-,-,-,-,-,0.2,-,-,-,7.10
Kevin Strootman,Roma,29,DMC,1,90,-,-,-,2,-,-,-,-,3,7.09
Marcelo Brozovic,Inter,26,M(CR),31(1),2657,2,1,0.8,1.6,0.7,0.9,-,0.8,1.4,7.08
Paulo Dybala,Juventus,25,"AM(CR),FW",24(6),2137,5,4,2.2,1.7,1.7,2.2,0.2,1.4,2.4,7.08
Sime Vrsaljko,Inter,27,"D(LR),M(R)",8(2),726,-,2,0.2,1.6,0.2,1,0.1,0.4,0.8,7.08
Alessio Cragno,Cagliari,25,GK,38,3420,-,-,-,-,-,0.2,-,-,0.1,7.07
Federico Fazio,Roma,32,D(C),31(3),2805,5,-,0.9,0.2,0.4,0.4,-,0.2,0.5,7.07
Germán Pezzella,Fiorentina,28,D(C),32,2852,2,1,0.8,0.2,0.1,0.8,-,0.3,0.5,7.06
Kalidou Koulibaly,Napoli,28,D(C),35,3134,2,2,0.5,0.2,0.3,0.5,-,0.3,0.5,7.06
Ivan Perisic,Inter,30,AM(CLR),30(4),2707,8,3,2.9,1.8,0.7,0.3,0.3,0.5,1.5,7.06
Steven Nzonzi,Roma,30,M(C),29(1),2619,1,2,0.7,0.8,0.4,0.5,-,0.4,0.5,7.06
Luis Alberto,Lazio,26,"AM(CL),FW",25(2),2003,4,5,2.5,2.9,0.9,0.9,0.1,1.6,1.8,7.05
Christian Kouamé,Genoa,21,"AM(L),FW",33(5),3072,4,5,2.3,1.3,1.1,2.2,0.5,2.1,2.7,7.05
Stefano Okaka,Udinese,29,FW,11(5),972,6,1,1.1,1.1,1.6,1.8,0.4,2.7,2.5,7.04
José Callejón,Napoli,32,M(LR),29(5),2652,3,10,1.8,2.1,0.4,1.4,0.5,0.6,0.8,7.03
Joaquín Correa,Lazio,24,"AM(CL),FW",18(16),1919,5,6,2.1,1.7,2.1,1.2,0.2,0.8,1.7,7.03
Miralem Pjanic,Juventus,29,M(C),27(4),2288,2,6,0.9,2.3,0.4,0.7,-,0.5,0.8,7.03
