Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Eden Hazard,Chelsea,28,"M(CLR),FW",32(5),2926,15,2.6,49.2,84.3,0.9,2.7,0.3,7.81
Raheem Sterling,Manchester City,24,"M(CLR),FW",31(3),2777,10,1.9,37.1,85.8,0.4,0.3,-,7.61
Mohamed Salah,Liverpool,27,"AM(CLR),FW",37(1),3262,8,1.8,28.4,75.9,0.4,0.6,0.3,7.57
Sergio Agüero,Manchester City,31,"AM(CL),FW",31(2),2480,8,1,23.4,85,-,0.1,0.1,7.53
Virgil van Dijk,Liverpool,27,D(C),38,3385,2,0.2,79.9,89.7,-,5.3,-,7.44
Sadio Mané,Liverpool,27,"AM(CLR),FW",35(1),3086,1,1.3,32.9,78.2,0.2,1.3,0.1,7.43
Harry Kane,Tottenham,25,"AM(C),FW",27(1),2427,4,1.1,19.7,73.1,0.1,1.6,-,7.38
Trent Alexander-Arnold,Liverpool,20,"D(R),M(R)",27(2),2467,12,1.7,58.5,77.5,2,4,0.1,7.36
Lucas Digne,Everton,25,D(L),33(2),2966,4,2,41.6,76,2.4,1.7,-,7.36
Ricardo Pereira,Leicester,25,"D(LR),M(R)",35,3125,6,0.9,43.8,78,0.4,1.2,-,7.34
Paul Pogba,Manchester United,26,M(C),34(1),3012,9,1.6,59.1,82.8,0.1,4.7,0.2,7.31
Fernandinho,Manchester City,34,"D(R),DMC",27(2),2382,3,0.8,70.7,87.5,-,2.7,0.2,7.31
Fabian Schär,Newcastle United,27,D(C),22(2),2004,1,0.5,41.4,68.1,0.1,5.6,-,7.30
Benjamin Mendy,Manchester City,24,"D(L),DMC,M(L)",10,900,5,1.2,65,88.3,1.1,1.8,-,7.29
Aaron Wan-Bissaka,Crystal Palace,21,D(R),35,3135,3,0.4,33.3,73,0.3,1,-,7.27
David Silva,Manchester City,33,M(CLR),28(5),2412,8,2.2,61.1,87.8,0.5,1.2,0.2,7.26
Bernardo Silva,Manchester City,24,AM(CLR),31(5),2853,7,2,47.4,86.1,0.3,2,0.1,7.26
Leroy Sané,Manchester City,23,M(CLR),21(10),1867,10,1.3,27.3,84.4,0.5,0.1,0.1,7.26
Felipe Anderson,West Ham,26,"M(CLR),FW",36,3054,4,1.8,46.3,76,0.9,2.4,0.3,7.23
Wilfred Ndidi,Leicester,22,DMC,37(1),3299,-,0.6,52.2,79.9,-,2.4,0.1,7.21
Wilfried Zaha,Crystal Palace,26,"AM(LR),FW",34,3041,5,1.6,29.6,77.3,0.3,0.7,0.1,7.21
James Maddison,Leicester,22,AM(CLR),35(1),2850,7,2.8,39,83.8,1.9,2.2,0.3,7.20
Roberto Firmino,Liverpool,27,"M(CLR),FW",31(3),2620,6,1.3,37.6,80.8,0.1,0.5,0.1,7.20
Luka Milivojevic,Crystal Palace,28,DMC,38,3420,2,1.6,52.3,80,1.4,3.4,-,7.19
John Ruddy,Wolverhampton Wanderers,32,GK,1,90,-,-,19,68.4,-,9,-,7.19
Oleksandr Zinchenko,Manchester City,22,"D(L),M(CR)",14,1153,3,0.9,84.6,91.5,0.5,2.6,-,7.19
Marcos Alonso,Chelsea,28,"D(CL),M(L)",31,2761,4,1.1,60.7,85,0.3,1.4,-,7.18
Alexandre Lacazette,Arsenal,28,"M(LR),FW",27(8),2507,8,0.9,22,74.2,0.1,0.5,0.1,7.17
Gylfi Sigurdsson,Everton,29,"M(CLR),FW",36(2),3134,6,1.9,26.1,76.2,1.3,0.7,0.3,7.16
Sol Bamba,Cardiff,34,"D(C),DMC",28,2477,1,0.1,19.6,69.1,-,1.6,-,7.15
