Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Youssouf Sabaly,Bordeaux,26,D(LR),35,3094,-,5,3,-,0.3,82.3,1.2,2,7.11
André-Frank Zambo Anguissa,Marseille,23,DMC,21(11),2002,-,-,4,-,0.9,87.7,1.9,2,7.11
Adrien Rabiot,Paris Saint-Germain,24,DMC,27(6),2366,1,5,2,-,0.7,92.2,1,-,7.11
João Moutinho,Monaco,32,M(C),31(2),2801,1,6,6,-,0.7,86.3,0.8,2,7.11
Jérôme Roussillon,Montpellier,26,"D(L),M(L)",22,1887,3,3,2,-,0.9,79.2,0.6,-,7.11
Lucas Ocampos,Marseille,24,"M(CLR),FW",23(8),2038,9,3,6,1,2,77.9,1.3,1,7.10
Thomas Lemar,Monaco,23,AM(CLR),27(3),2383,2,8,1,-,1.6,84.8,0.2,1,7.10
Rafael,Lyon,28,"D(LR),M(R)",22(2),1819,1,2,9,-,0.3,81.5,1.1,-,7.09
Ronny Rodelin,Caen,29,"AM(CLR),FW",36(1),3167,5,6,1,-,2.9,73.2,3.8,4,7.09
Thomas Meunier,Paris Saint-Germain,27,"D(R),M(R)",16(8),1573,4,4,3,-,0.5,84.8,1,-,7.09
Thiago Silva,Paris Saint-Germain,34,D(C),24(1),2117,1,-,5,-,0.4,96.1,1.9,-,7.08
Marçal,Lyon,30,D(CL),14(4),1294,-,3,1,-,0.1,83.9,1.7,-,7.08
Ruben Aguilar,Montpellier,26,"D(R),M(R)",27(4),2459,-,2,2,-,0.5,79.6,1,2,7.08
Lass Diarra,Paris Saint-Germain,34,M(C),8(2),609,-,1,4,-,-,92.2,1,1,7.07
Neven Subotic,Saint-Etienne,30,D(C),16,1440,2,1,1,-,0.4,85.7,2.8,-,7.06
Giovani Lo Celso,Paris Saint-Germain,23,"AM(C),FW",18(15),1769,4,3,2,-,1.2,90.3,0.2,-,7.06
Pierre Lees-Melou,Nice,26,AM(CLR),33(1),2898,5,6,6,1,1.4,84.8,0.4,3,7.05
Pablo,Bordeaux,28,D(C),15,1292,-,3,3,-,0.5,87,2.7,1,7.05
Lima,Nantes,27,"D(L),M(L)",30(3),2661,2,3,3,-,1,69.9,1.2,1,7.05
Bouna Sarr,Marseille,27,"D(R),M(CLR)",18(11),1782,-,3,5,-,0.6,88.4,1.2,-,7.04
Julian Draxler,Paris Saint-Germain,25,AM(CLR),19(11),1706,4,5,1,-,0.8,92.8,0.3,-,7.04
Diego Benaglio,Monaco,35,GK,2(1),225,-,-,-,-,-,69.8,-,-,7.03
Jonathan Martins Pereira,Guingamp,33,D(R),14,1137,-,-,2,-,0.4,82.6,1.4,-,7.03
Loic Perrin,Saint-Etienne,33,D(C),28,2466,-,1,3,-,0.5,88.4,2.8,1,7.02
Bakaye Dibassy,Amiens,29,D(CL),31(1),2779,1,1,4,-,0.4,78.6,1.2,-,7.02
Ferland Mendy,Lyon,24,"D(L),M(L)",24(3),2123,-,5,4,-,0.7,86.7,1.4,1,7.02
Flavien Tait,Angers,26,AM(CLR),26(5),2248,4,3,4,1,1.9,76.2,0.2,2,7.02
Rony Lopes,Monaco,23,AM(CLR),32(6),2553,15,5,2,-,1.8,76.9,0.3,3,7.01
Stevan Jovetic,Monaco,29,"AM(C),FW",7(8),751,8,1,1,-,2.3,68.1,1.8,1,7.01
Ramy Bensebaini,Rennes,24,"D(CL),DMC",26(3),2345,-,1,6,-,0.7,77.7,2.6,2,7.01
Brice Samba,Caen,25,GK,3(1),315,-,-,-,-,-,59.6,0.3,-,7.01
Wahbi Khazri,Rennes,28,"M(CLR),FW",23(1),1927,9,2,7,1,2.7,77.6,0.7,3,7.00
Renaud Cohade,Metz,34,M(C),38,3301,1,3,5,-,1,78.2,2.3,2,6.99
Morgan Sanson,Marseille,24,M(CLR),25(8),2173,9,2,8,-,1.6,82.4,0.6,1,6.99
Ibrahim Sangaré,Toulouse,21,DMC,18(2),1589,1,2,6,-,1,74.5,1.5,-,6.99
Javier Pastore,Paris Saint-Germain,30,AM(CLR),14(11),1344,4,5,2,-,1,82.3,0.2,-,6.99
Racine Coly,Nice,23,"D(L),M(L)",7,618,-,-,3,-,0.3,87.6,1.6,-,6.98
Papy Djilobodji,Dijon,30,D(C),30,2700,-,1,4,1,0.6,79.4,3.1,1,6.97
Soualiho Meité,Bordeaux,25,AM(C),15(3),1335,1,2,-,-,0.6,84.5,1.6,-,6.97
Yves Bissouma,Lille,22,M(C),15(9),1557,2,1,3,-,1.7,85.2,0.9,2,6.97
Adil Rami,Marseille,33,D(C),33,2957,1,2,5,-,0.5,86.6,2.9,-,6.97
Karl Toko Ekambi,Angers,26,"AM(L),FW",33(4),3041,17,6,4,-,2.8,78.1,0.8,4,6.96
Hilton,Montpellier,41,D(C),27,2430,-,-,5,-,0.7,79.2,2.6,1,6.96
Kenny Lala,Strasbourg,27,"D(LR),M(R)",30(1),2725,3,4,4,1,0.5,78.7,0.6,1,6.96
Patrice Evra,Marseille,38,"D(CL),M(L)",4,350,-,-,2,-,0.5,72.7,2.5,-,6.96
Lucas Tousart,Lyon,22,DMC,37,3140,-,-,8,-,0.4,86.1,2.1,-,6.95
Yassine Benzia,Lille,24,"AM(CLR),FW",30(1),2308,1,5,8,-,0.9,81.6,0.4,1,6.95
Diego Carlos,Nantes,26,D(C),27(1),2294,1,-,7,-,0.9,76.1,2.8,1,6.95
Arnaud Souquet,Nice,27,D(CR),27(2),2415,-,2,4,-,0.2,87.7,0.8,1,6.95
Almamy Touré,Monaco,23,D(CR),13(7),1242,1,6,3,-,0.4,73.5,1.6,1,6.94
Abdoulaye Touré,Nantes,25,DMC,31(5),2813,1,1,3,-,1.1,79.4,1.8,3,6.94
Jules Koundé,Bordeaux,20,D(C),17(1),1588,2,-,1,-,0.6,83.7,1.7,-,6.94
Yannis Salibur,Guingamp,28,"AM(CLR),FW",19(3),1529,3,3,4,-,2.5,82.8,0.5,2,6.94
Thomas Monconduit,Amiens,28,DMC,34,2956,1,3,7,1,0.8,79.2,1.6,2,6.94
Lukas Lerager,Bordeaux,25,DMC,37,3286,3,1,8,-,1.1,77.1,2.7,-,6.94
Moussa Sylla,Monaco,19,FW,3(2),303,2,-,1,-,2,57.6,2.6,1,6.94
Yann M'Vila,Saint-Etienne,29,M(C),17,1482,-,-,1,-,0.2,88.3,1.2,-,6.93
Boubacar Kamara,Marseille,19,"D(CL),DMC",5(1),455,-,1,1,-,0.3,89.3,1.7,-,6.93
Jemerson,Monaco,26,"D(C),DMC",33,2857,2,-,7,1,0.5,87.1,2,-,6.93
Jonathan Bamba,Saint-Etienne,23,"AM(LR),FW",27(7),2572,7,8,1,-,2,80.4,0.7,2,6.93
Adama Mbengue,Caen,25,D(L),18(1),1596,-,-,2,1,0.7,66.8,0.9,1,6.92
Danilo Avelar,Amiens,30,"D(L),M(L)",20(1),1728,1,-,2,-,0.3,71.2,2.3,1,6.92
Ismaila Sarr,Rennes,21,"AM(LR),FW",22(2),1866,5,3,2,-,1.7,79.7,0.5,-,6.92
Anthony Lopes,Lyon,28,GK,34,3060,-,-,1,-,-,75.8,0.2,1,6.92
Jean Michael Seri,Nice,27,M(C),30(1),2623,2,5,5,-,1.1,90.4,0.4,1,6.92
Alexander Djiku,Caen,24,D(CR),28,2520,-,-,10,-,0.6,80.8,3,-,6.92
Ambroise Oyongo,Montpellier,28,"D(LR),M(L)",3,203,-,-,-,-,0.3,81.7,0.7,-,6.92
John Stiven Mendoza,Amiens,27,AM(CLR),12(1),1038,2,-,-,-,1.9,75.2,0.5,-,6.92
