Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Zlatan Ibrahimovic,Paris Saint-Germain,37,FW,32(1),2774,26,11,7,-,4.9,76.4,2.1,9,7.79
Loic Perrin,Saint-Etienne,33,D(C),34,2981,6,1,4,-,0.6,84.9,4.4,7,7.73
Yassine Jebbour,Rennes,27,D(LR),2,180,-,1,-,-,-,85.9,3.5,-,7.61
Nemanja Pejcinovic,Nice,31,D(CR),14(1),1324,1,-,2,-,0.4,87.2,3.1,-,7.52
Jérémy Toulalan,Monaco,35,"D(C),M(C)",29,2504,1,1,6,-,0.7,82.6,2.9,4,7.51
Mathieu Bodmer,Nice,36,"D(C),M(C)",27,2306,2,1,5,-,0.6,84,3.4,4,7.48
Layvin Kurzawa,Monaco,26,"D(L),M(L)",28,2406,5,3,3,-,1.4,77.4,1.5,5,7.44
James Rodríguez,Monaco,27,AM(CLR),30(4),2644,9,12,1,-,2.7,81.1,0.6,4,7.44
Serge Aurier,Toulouse,26,"D(CLR),M(R)",34,3045,6,6,11,-,1.7,76.8,2.7,5,7.42
Thiago Silva,Paris Saint-Germain,34,D(C),28,2386,3,-,1,-,0.9,92.7,2.5,3,7.42
Aristote Ndongala,Nantes,25,Midfielder,1,90,-,-,-,-,-,62.2,2,-,7.39
Marko Basa,Lille,36,D(C),32,2789,2,2,2,-,0.8,91.1,3.6,5,7.38
Christophe Jallet,Paris Saint-Germain,35,D(LR),13,1085,-,-,1,-,0.6,89,1.6,2,7.37
Faouzi Ghoulam,Saint-Etienne,28,D(L),16(1),1466,1,4,2,-,0.9,72.1,2,2,7.36
Rémy Cabella,Montpellier,29,"M(CLR),FW",36(1),3206,14,5,2,-,2.7,79.5,0.5,8,7.36
Grégory Sertic,Bordeaux,29,"D(C),M(C)",29(1),2582,3,10,3,-,1.8,85.7,0.7,3,7.36
Grzegorz Krychowiak,Reims,29,"D(C),M(C)",33(2),2830,4,1,9,-,1,80.3,3,2,7.34
João Moutinho,Monaco,32,M(C),31,2564,1,8,3,-,1.4,85.8,0.6,4,7.30
Lucas Digne,Paris Saint-Germain,25,D(L),15,1336,-,1,3,-,0.7,90.7,1.6,-,7.30
Idrissa Gueye,Lille,29,M(C),37,3330,1,1,6,-,1.1,85.8,1.1,2,7.29
David Ospina,Nice,30,GK,29,2572,-,-,2,1,-,61.8,0.5,6,7.28
Thiago Motta,Paris Saint-Germain,36,M(C),31(1),2544,3,2,7,1,0.5,92.5,1.2,1,7.28
André Ayew,Marseille,29,"M(CLR),FW",24(1),2121,6,3,6,-,2.3,79.1,2.9,-,7.28
