Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Neymar,Barcelona,27,"AM(CLR),FW",30,2652,1.3,0.3,1.2,-,0.1,0.5,-,-,8.52
Lionel Messi,Barcelona,32,"AM(CR),FW",32(2),2833,0.7,0.2,0.4,-,-,0.4,-,-,8.47
Lucas Pérez,Deportivo La Coruna,30,"AM(CR),FW",1,90,-,-,2,-,-,-,-,-,8.08
Davy Roef,Deportivo La Coruna,25,GK,1,90,-,1,-,-,-,-,-,-,7.98
Luis Suárez,Barcelona,32,"AM(CLR),FW",34(1),2865,0.5,0.3,0.9,-,0.7,0.2,0.1,-,7.80
Toni Kroos,Real Madrid,29,M(C),28(1),2501,2.6,1.1,0.9,-,0.3,1.5,0.1,-,7.67
Cristiano Ronaldo,Real Madrid,34,"M(L),FW",29,2544,0.2,0.3,0.6,-,0.5,0.2,0.1,-,7.61
Filipe Luís,Atletico Madrid,33,D(L),34,3009,3.5,1.9,1,0.1,1.4,0.6,0.3,-,7.55
Cote,Villarreal,29,D(L),7,630,3.4,2.1,1,0.3,3.4,0.9,0.4,-,7.54
Gareth Bale,Real Madrid,29,"M(CLR),FW",17(2),1425,0.9,0.9,0.5,0.1,0.7,0.3,0.1,-,7.49
Danilo,Real Madrid,27,D(LR),17,1488,3,2.4,1,0.1,2.3,0.8,0.5,-,7.41
Borja Viguera,Athletic Bilbao,32,"AM(L),FW",0(1),26,-,-,-,-,-,-,-,-,7.39
Antoine Griezmann,Atletico Madrid,28,"AM(CLR),FW",36,3067,1.3,0.5,0.8,-,0.4,0.6,0.1,-,7.37
Aleix Vidal,Barcelona,29,"D(R),M(LR)",5(1),472,1.3,1.3,1.2,0.2,0.8,0.5,0.2,-,7.34
Asier Illarramendi,Real Sociedad,29,M(C),33(1),3004,3.1,3.5,1.6,-,1.7,1.4,0.3,1,7.32
Dani Ceballos,Real Betis,22,M(CL),24(6),2336,3.1,1.9,1.7,-,0.4,2.2,0.1,-,7.32
Saúl Ñíguez,Atletico Madrid,24,"D(CL),M(CLR)",29(4),2544,3.1,1.8,2.2,-,1.8,1.1,0.2,-,7.31
James Rodríguez,Real Madrid,27,AM(CLR),13(9),1180,1.3,0.5,0.5,-,0.2,0.7,-,-,7.27
Ignacio Camacho,Malaga,29,"D(C),M(C)",35,3146,3,3.3,2.6,0.1,2.3,1.5,0.3,-,7.26
Bruno Soriano,Villarreal,35,M(C),33(1),2984,2,2.5,0.4,0.1,2.5,0.5,0.8,-,7.25
Isco,Real Madrid,27,"AM(CLR),FW",18(12),1638,1.6,0.6,0.6,-,-,1.1,-,-,7.24
Gerard Moreno,Espanyol,27,"AM(C),FW",37,3280,1.5,0.8,1.4,0.1,1,1.3,0.2,-,7.24
Diego Godín,Atletico Madrid,33,D(C),30(1),2706,1.6,2.5,1,0.2,4.4,0.6,0.5,-,7.23
Luka Modric,Real Madrid,33,M(C),22(3),1892,1.5,1.7,1,-,0.3,0.8,0.2,-,7.23
Daniel Carvajal,Real Madrid,27,D(R),21(2),2015,2.5,2,1.3,0.1,1.1,1,0.3,-,7.22
Pepe,Real Madrid,36,D(C),13,1081,1.2,1.5,0.9,0.2,5.2,0.5,0.5,-,7.22
