Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Franco Vázquez,Palermo,30,"AM(CR),FW",37,3224,10,10,7,-,2.7,79.5,1.5,8,7.74
Paul Pogba,Juventus,26,M(C),24(2),2110,8,3,4,-,2.2,83.8,1.4,3,7.67
Carlos Tevez,Juventus,35,"AM(CL),FW",29(3),2593,20,7,6,-,3.6,85,0.1,7,7.66
Fredy Guarín,Inter,33,M(CR),25(3),2210,6,6,5,-,2.8,77.6,1.3,4,7.56
Juan Cuadrado,Fiorentina,31,"D(R),M(CLR),FW",17,1450,4,4,5,-,3.1,87,0.4,2,7.52
Diego Perotti,Genoa,30,"M(CLR),FW",27,2303,4,5,5,-,1.5,83.5,0.6,2,7.48
Felipe Anderson,Lazio,26,"M(CLR),FW",23(9),2097,10,7,5,-,2,77.4,0.2,8,7.47
Lucas Biglia,Lazio,33,DMC,27,2327,3,2,6,-,1.1,88.3,0.8,1,7.42
Andrea Pirlo,Juventus,40,M(C),19(1),1611,4,5,-,-,1.3,89.2,0.5,2,7.41
Davide Astori,Roma,32,D(C),22(2),2039,1,-,10,-,0.3,86.5,3,3,7.40
Gonzalo Rodríguez,Fiorentina,35,D(C),30,2680,7,-,9,1,0.7,82.5,2.4,2,7.38
Nikola Maksimovic,Torino,27,"D(CR),M(R)",27,2402,-,3,4,-,0.1,86.5,1,3,7.38
Giorgio Chiellini,Juventus,34,D(C),27(1),2447,-,1,7,-,0.7,87.3,2.3,2,7.37
Paulo Dybala,Palermo,25,"AM(CR),FW",34,2965,13,10,3,-,3.4,81.6,0.4,4,7.37
Claudio Marchisio,Juventus,33,M(C),33(2),2866,3,6,9,-,1.5,86.1,0.5,3,7.37
Allan,Udinese,28,DMC,33(2),3005,1,5,8,-,0.5,80.4,0.5,3,7.36
Stefan de Vrij,Lazio,27,D(C),29(1),2534,-,-,3,1,0.4,83,1.8,1,7.35
Eugenio Lamanna,Genoa,29,GK,6(2),637,-,-,-,-,-,60,0.1,-,7.34
Arturo Vidal,Juventus,32,M(C),23(5),2088,7,4,7,-,1.9,84.6,1.3,6,7.34
Simone Missiroli,Sassuolo,33,AM(C),30(3),2654,4,4,5,1,0.5,76.4,2.4,4,7.33
Molla Wagué,Udinese,28,D(C),10,893,2,-,4,-,0.5,78.4,4.4,1,7.33
Domenico Berardi,Sassuolo,24,"AM(R),FW",32,2682,15,10,13,1,3,72.5,0.5,2,7.31
Marco Parolo,Lazio,34,M(C),34,2999,10,2,9,1,1.9,79.6,2.2,1,7.29
Jérémy Ménez,AC Milan,32,"M(CLR),FW",31(2),2703,16,4,3,1,2.4,82.8,0.6,7,7.29
Antonio Candreva,Lazio,32,M(CLR),31(3),2654,10,9,6,-,3.4,82.6,0.1,6,7.27
José Holebas,Roma,35,"D(L),M(L)",23(1),2054,1,1,5,-,0.8,82.8,1.4,1,7.27
Hernanes,Inter,34,M(C),17(9),1628,5,4,6,-,2.5,83.5,1,4,7.26
Daniele Gastaldello,Sampdoria,36,D(C),13(1),1187,2,-,3,-,0.4,87.6,2.4,1,7.25
Davide Santon,Inter,28,D(LR),7(2),715,-,-,-,-,0.9,90.6,1.9,-,7.25
Manolo Gabbiadini,Sampdoria,27,"AM(CLR),FW",11(2),979,7,2,4,-,3.8,74,0.5,1,7.22
Andrea Bertolacci,Genoa,28,M(C),31(3),2673,6,8,10,-,1.8,79.2,0.4,5,7.22
Luca Antonelli,AC Milan,32,"D(L),M(CL)",12,1057,1,-,2,-,0.5,82.5,0.9,-,7.22
Radja Nainggolan,Roma,31,M(C),30(5),2776,5,2,10,-,2.3,86.8,0.6,3,7.21
Dario Dainelli,Chievo,40,D(C),28(2),2445,-,-,8,-,0.3,74.4,2.3,6,7.21
Santiago Gentiletti,Lazio,34,D(C),5,415,1,-,1,-,0.2,81.9,0.8,1,7.20
Juan Carrizo,Inter,35,GK,1,90,-,-,-,-,-,80,1,-,7.18
Miralem Pjanic,Roma,29,M(C),28(6),2530,5,10,9,-,1.3,90.2,0.8,5,7.17
Leonardo Fontanesi,Sassuolo,23,Defender,3,248,-,-,-,-,0.3,83.8,1,-,7.17
Mohamed Salah,Fiorentina,27,"AM(CLR),FW",10(6),912,6,3,-,-,1.8,86.3,0.3,1,7.17
Albin Ekdal,Cagliari,29,M(C),32(1),2692,5,1,7,-,1.2,82.5,1.4,3,7.16
Dusan Basta,Lazio,34,"D(R),M(R)",27,2383,-,2,5,-,0.7,78.7,1.5,-,7.16
Lorenzo Tonelli,Empoli,29,D(C),27(1),2298,5,-,4,2,0.5,84.4,3.2,2,7.16
Stefan Savic,Fiorentina,28,D(C),28(1),2516,2,1,5,1,0.3,87.6,2.8,-,7.16
Kostas Manolas,Roma,28,D(C),30,2610,-,-,5,2,0.2,90.9,2.4,3,7.15
Marcos Alonso,Fiorentina,28,"D(CL),M(L)",19(3),1684,1,3,4,-,1.3,80.3,2.6,1,7.15
Leonardo Bonucci,Juventus,32,D(C),33(1),3015,3,-,8,-,0.7,86.4,1.4,1,7.15
Mateo Kovacic,Inter,25,M(CL),26(9),2463,5,3,3,1,1.2,87.5,0.3,1,7.15
Senad Lulic,Lazio,33,"D(L),M(CL)",22(3),1848,3,7,8,-,1,79.3,0.8,2,7.15
Francesco Acerbi,Sassuolo,31,D(C),32,2878,2,-,7,1,0.6,82.1,1.8,1,7.15
Andrea Ranocchia,Inter,31,D(C),32(1),2850,2,-,9,-,0.7,85.5,2.4,1,7.15
Luis Pedro Cavanda,Lazio,28,"D(LR),M(R)",10(6),1001,-,2,4,1,0.2,83,0.6,-,7.14
Antonio Balzano,Cagliari,33,D(LR),21(4),1997,-,2,6,-,0.4,81.6,0.8,-,7.14
Milan Badelj,Fiorentina,30,M(C),18(3),1549,1,2,3,-,0.8,87,0.9,2,7.14
Patrice Evra,Juventus,38,"D(CL),M(L)",21,1796,1,2,4,-,0.5,84.2,1.3,-,7.14
Josip Ilicic,Fiorentina,31,"AM(CLR),FW",17(8),1523,8,3,6,-,2.9,83.4,0.3,3,7.14
Kalidou Koulibaly,Napoli,28,D(C),27,2424,1,1,8,1,0.4,86.7,1.8,2,7.13
Cristian Rodríguez,Parma,33,AM(CL),5,447,-,-,-,1,2.6,71.8,2.8,-,7.13
Juan Jesus,Inter,28,D(CL),32,2849,-,-,14,-,0.3,86,1.7,1,7.12
Francesco Magnanelli,Sassuolo,34,DMC,28(1),2495,1,3,11,-,0.5,81.6,1.2,2,7.12
Luca Antonelli,Genoa,32,"D(L),M(CL)",18(1),1640,3,1,4,-,0.6,75.7,0.7,2,7.12
Stefan Radu,Lazio,32,D(CL),24,2114,-,2,7,-,0.3,81,0.9,-,7.12
Zouhair Feddal,Parma,29,D(C),12(1),1081,-,-,2,-,0.7,74.9,1.8,-,7.11
Gary Medel,Inter,31,"D(C),DMC",34(1),2992,-,2,10,1,0.7,91.8,1.3,-,7.11
Mauricio Pinilla,Atalanta,35,FW,12(2),1031,6,2,6,1,2.8,61,4.3,2,7.11
Luca Rigoni,Palermo,34,M(CR),31,2701,9,1,11,-,1,81.7,1.6,2,7.11
Nemanja Vidic,Inter,37,D(C),23,2050,1,-,6,1,0.7,88.4,3.1,4,7.11
Mauricio,Lazio,30,D(C),14(1),1174,-,1,7,1,0.2,86.6,3.2,1,7.10
Ervin Zukanovic,Chievo,32,D(CL),28(1),2442,2,2,7,-,0.9,72.9,1.6,2,7.10
Cesare Bovo,Torino,36,D(C),14(1),1269,-,-,4,-,1,81.8,1.1,1,7.09
Faouzi Ghoulam,Napoli,28,D(L),20(1),1758,-,2,6,1,0.9,85.8,2,1,7.09
Giacomo Bonaventura,AC Milan,29,M(CLR),28(5),2572,7,4,3,1,1.8,83.8,1.1,6,7.09
Mapou Yanga-Mbiwa,Roma,30,D(CR),22(6),2092,1,1,6,-,0.2,91.2,0.8,3,7.09
Nigel de Jong,AC Milan,34,M(C),29,2596,3,-,11,-,0.6,88.3,1,1,7.09
Gonzalo Higuaín,Napoli,31,FW,31(6),2783,18,7,5,-,3.1,78.3,0.9,4,7.09
José Callejón,Napoli,32,M(LR),33(5),2973,11,3,1,-,2.2,84.2,0.8,-,7.08
Ivan Radovanovic,Chievo,30,DMC,29(2),2480,1,1,7,1,1.4,79,2.6,2,7.08
Dries Mertens,Napoli,32,"AM(CLR),FW",17(14),1680,6,7,4,1,1.9,77.8,0.2,3,7.08
Marco Marchionni,Sampdoria,38,M(C),1,77,-,-,-,-,-,78.7,-,-,7.08
Mauro Icardi,Inter,26,FW,33(3),2900,22,6,4,-,3.4,75.4,1.6,3,7.08
Panagiotis Tachtsidis,Verona,28,DMC,34,2971,3,2,9,-,1.3,77.2,2.9,3,7.08
Paul-José M'Poku,Cagliari,27,"AM(CLR),FW",14(2),1245,3,1,4,-,2.4,75,1.5,1,7.08
Luca Cigarini,Atalanta,33,M(C),30(3),2684,-,3,10,1,1.3,80.6,0.7,2,7.08
Pedro Obiang,Sampdoria,27,DMC,32(2),2764,3,1,12,-,0.9,82.2,0.8,3,7.07
Luca Antei,Sassuolo,27,D(C),5(3),513,-,-,2,-,0.3,82.8,1,1,7.07
Kamil Glik,Torino,31,D(C),31(1),2795,7,-,7,1,0.6,90.5,1.5,3,7.07
Samuel Eto'o,Sampdoria,38,"M(CL),FW",13(5),1223,2,3,1,-,2.2,81.7,0.3,2,7.07
Luca Toni,Verona,42,FW,36(2),3231,22,2,3,-,3.3,61.4,2.8,4,7.07
David López,Napoli,29,"D(C),DMC",29(3),2599,1,1,4,-,1,86.7,2.1,1,7.06
Giuseppe Biava,Atalanta,42,D(C),18,1542,2,-,4,1,0.4,80.3,0.8,1,7.06
Bruno Peres,Torino,29,"D(LR),M(LR)",28(6),2596,3,3,8,-,1.2,78,0.3,3,7.06
Daniele De Rossi,Roma,35,"D(C),M(C)",25(1),2154,2,-,11,1,0.7,87.8,1.1,1,7.06
Danilo Avelar,Cagliari,30,"D(L),M(L)",29(2),2638,4,3,10,1,1.2,80.1,1.3,2,7.05
Simone Benedetti,Cagliari,27,Defender,4(1),327,-,1,2,-,-,81.8,3,-,7.05
Leonardo Pavoletti,Genoa,30,FW,4(6),516,6,3,4,-,2,71.5,3.1,-,7.05
Jacopo Sala,Verona,27,"D(R),M(CR)",16,1194,2,2,2,2,0.4,81.5,0.6,-,7.04
Christian Maggio,Napoli,37,"D(R),M(R)",29,2578,-,2,7,1,0.4,82.5,1.5,-,7.04
Marek Hamsik,Napoli,31,AM(C),28(7),2314,7,10,1,-,2.3,83.4,0.5,1,7.03
Martín Cáceres,Juventus,32,"D(CLR),M(R)",10,791,1,-,1,-,0.8,87.6,1.3,-,7.03
Nenad Tomovic,Fiorentina,31,D(CLR),22(2),2010,1,2,4,-,0.2,84.5,1.9,2,7.03
Lorenzo De Silvestri,Sampdoria,31,"D(R),M(R)",33,2932,4,3,8,-,0.5,75.1,2.2,1,7.02
Víctor Ibarbo,Cagliari,29,"AM(LR),FW",12(1),1057,2,2,4,1,1.5,81.6,0.6,-,7.02
Riccardo Saponara,AC Milan,27,AM(C),1,90,-,-,-,-,1,89.2,1,-,7.02
M'Baye Niang,Genoa,24,"AM(LR),FW",12(2),971,5,2,2,-,2.5,74.8,1.4,1,7.02
Alessio Romagnoli,Sampdoria,24,D(CL),28(2),2534,2,2,9,-,0.3,82.9,1.7,1,7.02
Gervinho,Roma,32,"M(LR),FW",21(3),1896,2,4,1,-,1.6,83.3,0.1,1,7.01
Ivan Strinic,Napoli,31,D(L),9,806,-,2,1,-,0.2,81.7,1.4,-,7.01
Jonathan,Inter,33,"D(R),M(R)",2,174,-,-,-,-,0.5,76.9,1,-,7.01
Salvador Ichazo,Torino,27,GK,1,90,-,-,-,-,-,84.6,1,-,7.01
Éder,Sampdoria,32,"AM(CLR),FW",28(2),2370,9,4,5,-,2.8,83,0.5,4,7.01
Sebastien De Maio,Genoa,32,D(C),31(2),2791,1,1,9,-,0.4,79.7,1.6,1,7.01
Keisuke Honda,AC Milan,33,AM(CR),26(3),2166,6,4,3,-,1.5,79,0.9,1,7.01
Matías Vecino,Empoli,27,M(C),36,2994,2,3,6,-,1.5,79.1,2,4,7.00
Giuseppe Vives,Torino,38,"DMC,M(L)",26(2),2107,1,4,8,-,0.9,83.6,0.9,2,7.00
Matías Fernández,Fiorentina,33,AM(C),23(6),2053,2,6,1,-,1.5,89.7,0.1,2,7.00
Riccardo Saponara,Empoli,27,AM(C),17,1228,7,3,2,1,3,78.7,0.4,1,7.00
Boukary Dramé,Atalanta,33,"D(L),M(L)",27(2),2421,-,3,7,-,0.7,77.1,1.4,1,7.00
Rodrigo Palacio,Inter,37,"AM(CLR),FW",30(5),2636,8,5,3,-,1.7,82.6,1.6,2,7.00
Lorik Cana,Lazio,35,D(C),15(2),1338,-,-,6,1,0.2,84.6,2.9,1,6.99
Silvestre Varela,Parma,34,M(LR),19,1617,3,1,3,-,1.4,82.5,0.6,1,6.99
Ashley Cole,Roma,38,"D(L),M(L)",11,990,-,-,2,-,0.5,90,0.3,-,6.99
Kwadwo Asamoah,Juventus,30,"D(L),M(CL)",7,621,-,-,2,-,0.9,86,1,-,6.99
Raúl Albiol,Napoli,33,D(C),34(1),3098,-,1,10,-,0.3,84.7,1.8,2,6.99
Giacomo Bonaventura,Atalanta,29,M(CLR),1,90,-,-,-,-,2,79.2,-,-,6.99
Mirko Valdifiori,Empoli,33,DMC,36,3204,-,7,6,1,0.6,79.5,0.5,2,6.99
Matteo Darmian,Torino,29,"D(CLR),M(LR)",28(5),2568,2,1,2,-,0.9,77.7,0.9,1,6.98
Sergio Romero,Sampdoria,32,GK,9(1),878,-,-,1,-,-,59.5,0.1,1,6.98
Iago Falque,Genoa,29,"AM(CLR),FW",28(4),2352,13,3,6,-,1.9,84.7,0.1,1,6.98
José Basanta,Fiorentina,35,D(C),23(1),2079,2,-,3,-,0.7,86.6,1.7,-,6.98
Miroslav Klose,Lazio,41,FW,21(13),1835,13,6,5,-,1.1,71.8,2.4,2,6.98
Daniele Rugani,Empoli,24,D(C),38,3420,3,-,-,-,0.7,88.6,2.8,-,6.98
Luis Muriel,Sampdoria,28,"AM(CL),FW",11(5),1012,4,4,2,-,2.4,76.7,0.5,-,6.97
Mato Jajalo,Palermo,31,M(C),14(2),1128,1,1,5,-,0.8,83.3,1.1,-,6.97
Roberto Soriano,Sampdoria,28,AM(CL),29(4),2531,4,2,11,-,1.7,83.5,0.2,2,6.97
Micah Richards,Fiorentina,31,D(CR),7(3),567,-,-,1,-,0.2,87.9,1.4,-,6.96
