Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Lionel Messi,Barcelona,32,"AM(CR),FW",37(1),3375,18,2.5,61.4,82.9,0.5,2.7,0.9,8.84
Cristiano Ronaldo,Real Madrid,34,"M(L),FW",35,3099,16,2.2,33.7,80.7,0.6,0.6,0.2,8.48
Neymar,Barcelona,27,"AM(CLR),FW",29(4),2573,7,1.6,46.7,81,0.1,1.1,0.1,7.96
James Rodríguez,Real Madrid,27,AM(CLR),29,2290,13,2.7,49.3,87.2,2.1,2.6,0.3,7.85
Luis Suárez,Barcelona,32,"AM(CLR),FW",25(2),2180,14,2.2,27.4,77.2,0.4,0.6,0.2,7.69
David López,Espanyol,29,"D(C),DMC",1,90,-,-,41,82.9,-,3,-,7.68
Gareth Bale,Real Madrid,29,"M(CLR),FW",30(1),2582,9,1.6,28.1,78,0.5,1,0.3,7.66
Nicolás Otamendi,Valencia,31,D(C),35,3098,-,0.1,44.6,80.3,-,5.3,-,7.59
Karim Benzema,Real Madrid,31,FW,29,2312,10,1.6,27.3,79.3,0.2,0.5,0.1,7.56
José Giménez,Atletico Madrid,24,D(CR),19(1),1752,3,0.4,33.8,78.3,-,3.7,0.1,7.52
Marc Bartra,Barcelona,28,D(CR),11(3),1036,3,0.2,53.6,88.8,0.1,3.5,-,7.51
Tiago,Atletico Madrid,38,M(C),31,2592,4,0.6,48.8,81.2,0.1,2.5,0.1,7.50
Luka Modric,Real Madrid,33,M(C),16,1306,3,1.2,60.7,91.6,0.8,5.1,0.2,7.48
Nolito,Celta Vigo,32,AM(L),32(4),2973,13,2.7,34,73.9,1,1.6,0.5,7.47
Bruno Soriano,Villarreal,35,M(C),23(1),2087,1,0.8,56.2,82.5,-,3,0.1,7.43
Gerard Piqué,Barcelona,32,D(C),26(1),2385,1,0.1,64.1,89.3,-,4,0.1,7.43
Toni Kroos,Real Madrid,29,M(C),36,3064,7,2,65.4,92.2,1.6,5.8,0.1,7.42
Sergio Ramos,Real Madrid,33,D(CR),27,2254,1,0.3,60.2,90,-,5.6,0.1,7.42
Ignacio Camacho,Malaga,29,"D(C),M(C)",25,2206,2,0.5,52.2,75.1,-,3.2,0.1,7.41
David Costas,Celta Vigo,24,D(C),1,90,-,-,64,95.3,-,2,-,7.40
Marcelo,Real Madrid,31,D(L),33(1),2931,7,1.5,55.7,83.5,1.4,3.3,0.1,7.39
Diego Godín,Atletico Madrid,33,D(C),34,3060,-,0.1,34.2,76.2,-,3.3,-,7.37
Daniel Parejo,Valencia,30,M(C),33(1),2929,5,1.2,52.8,84.4,0.6,3.6,0.1,7.37
Aritz Aduriz,Athletic Bilbao,38,FW,30(1),2586,4,0.5,21.5,59.6,0.1,0.1,0.1,7.37
Dani Alves,Barcelona,36,"D(R),M(CR)",29(1),2524,6,1.3,64.7,88.5,1.2,2.6,0.1,7.37
Denis Cheryshev,Villarreal,28,"AM(L),FW",18(8),1693,9,1.3,23.1,69.1,0.7,0.7,0.2,7.36
Isco,Real Madrid,27,"AM(CLR),FW",26(8),2341,9,1.6,51.4,88,0.5,1.4,0.2,7.35
Grzegorz Krychowiak,Sevilla,29,"D(C),M(C)",31(1),2717,1,0.2,47.1,80.8,-,3.7,-,7.33
Aritz Elustondo,Real Sociedad,25,D(CR),4,320,-,0.3,31.8,69.3,0.8,2.5,-,7.32
Vicente Iborra,Sevilla,31,M(C),24(2),2026,1,0.8,37.1,74.2,-,1.7,0.1,7.32
Koke,Atletico Madrid,27,M(CLR),33(1),2884,10,1.9,52.7,78.7,2.2,1.8,0.1,7.32
Rúben Vezo,Valencia,25,D(CR),6(1),554,-,-,35.6,80.3,-,4,-,7.28
Pablo Piatti,Valencia,30,M(LR),26(2),1913,6,1.9,21.1,77.2,1.7,0.5,-,7.27
José Antonio Reyes,Sevilla,35,M(CLR),15(4),1227,4,1.9,33.4,69.8,1,2.1,0.6,7.25
Sergio Busquets,Barcelona,30,DMC,29(4),2492,2,0.5,67.2,91.7,0.1,3.8,0.1,7.24
Adrián Marín,Villarreal,22,D(L),4,346,-,-,28.5,79.8,-,2,-,7.24
Shkodran Mustafi,Valencia,27,D(CR),33,2915,-,0.1,35.1,79.5,-,3.8,-,7.23
Jordi Alba,Barcelona,30,D(L),27,2335,3,1,69.6,88.4,0.5,2.4,-,7.22
Mario Mandzukic,Atletico Madrid,33,"M(L),FW",24(4),1945,5,0.8,19.8,66.2,0.1,0.1,-,7.22
Pepe,Real Madrid,36,D(C),25(2),2225,2,0.4,44.5,86.7,0.1,3.6,-,7.20
José Gayá,Valencia,24,D(L),32(3),2921,6,0.7,30.5,79.5,0.9,1.5,-,7.19
Aymeric Laporte,Athletic Bilbao,25,D(CL),33,2960,1,0.2,51.5,80.1,0.1,4.3,0.1,7.19
Mateo Musacchio,Villarreal,28,D(C),12(2),1135,-,0.1,35,78.4,-,2.9,-,7.18
Jesús Gámez,Atletico Madrid,34,D(LR),12(2),1080,-,0.6,29.6,77.8,0.7,1.6,-,7.18
Víctor Ruiz,Villarreal,30,D(C),24(1),2205,2,0.1,37,78.7,-,2.8,-,7.18
Adrián Embarba,Rayo Vallecano,27,"AM(LR),FW",9(5),833,3,0.8,17.5,77.1,0.9,0.6,-,7.18
Mikel San José,Athletic Bilbao,30,"D(C),DMC",23(5),2140,1,0.4,44.8,77.9,0.1,2.3,0.1,7.17
Sergio García,Espanyol,36,"M(CLR),FW",34(1),2986,9,1.5,25.9,66.9,0.7,0.6,0.2,7.17
Gabi,Atletico Madrid,35,M(C),32(2),2612,5,1.1,49.6,79,1.5,3.6,0.1,7.17
Nico Pareja,Sevilla,35,D(C),26,2280,1,0.3,42.4,77.6,0.1,4.6,0.4,7.16
Raphael Varane,Real Madrid,26,D(C),21(6),2033,-,-,40.2,89,-,2.8,-,7.16
