Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Jonathan Ligali,Montpellier,28,GK,6,540,-,-,23.3,38.6,-,8.2,-,7.21
Nicolas Pallois,Bordeaux,31,D(C),33(1),2972,-,0.1,45.4,83.7,-,4.6,-,7.21
Damien Da Silva,Caen,31,D(C),35,3077,1,0.1,33.5,75.2,-,4.1,-,7.21
Benjamin Mendy,Marseille,24,"D(L),DMC,M(L)",33,2921,3,1.2,38.8,79.2,1.2,2.6,-,7.20
Djibril Sidibe,Lille,26,"D(LR),M(R)",23(2),2097,2,1.4,38.5,80.2,0.7,1.6,-,7.20
Paul Baysse,Saint-Etienne,31,D(CR),8(1),627,-,-,26.1,81.3,-,3.9,-,7.18
Jean-Armel Kana-Biyik,Toulouse,29,D(C),13,1079,-,0.1,28.2,80.7,-,2.2,-,7.18
Sylvain Armand,Rennes,38,D(CL),36,3240,-,0.3,52.3,82.3,-,5.7,-,7.17
Franck Signorino,Reims,37,"D(L),M(L)",26,2266,4,0.6,39,77.2,0.5,1.6,-,7.17
Yrondu Musavu-King,Caen,27,D(C),6,480,-,-,35.8,73.5,-,3.5,-,7.16
Youssouf Sabaly,Evian Thonon Gaillard,26,D(LR),28,2476,1,0.6,35.8,72.3,0.5,2.9,-,7.16
Samuel Umtiti,Lyon,25,D(CL),35,3089,2,0.1,49.7,85.3,-,3.6,-,7.15
Mohamed Fofana,Reims,34,D(C),10(3),1091,-,0.1,28.7,85,-,1.8,-,7.15
Romain Hamouma,Saint-Etienne,32,"M(CLR),FW",23(3),1973,8,1.5,21.6,78.5,0.8,0.6,0.1,7.15
Lamine Sané,Bordeaux,32,"D(C),M(C)",22(1),1932,1,0.2,42.6,88.6,-,2.9,-,7.14
Marko Basa,Lille,36,D(C),30,2572,-,0.3,42.9,90.7,-,2.6,-,7.14
Jonathan Rivierez,Metz,30,D(LR),7(1),632,-,0.4,25.6,65.4,0.6,2.8,-,7.14
Bryan Dabo,Montpellier,27,"D(R),M(CR)",20(1),1821,2,0.3,34.9,75,0.1,2.1,0.1,7.14
Florentin Pogba,Saint-Etienne,28,D(CL),12(4),1133,-,0.1,32.6,81.6,0.1,2.9,0.1,7.13
Guillaume Gillet,SC Bastia,35,"D(R),M(CR)",37(1),3350,2,0.5,40.7,76.8,0.1,3,-,7.13
Anthony Mounier,Montpellier,31,AM(CLR),36,3102,7,1.7,30.8,72.7,1.3,1,0.2,7.12
Adrien Rabiot,Paris Saint-Germain,24,DMC,10(10),1121,1,0.6,45.7,88.9,0.1,1.2,0.2,7.12
Mexer,Rennes,30,D(C),35,3150,-,0.1,46,86.4,0.1,3.8,-,7.10
Lamine Koné,Lorient,30,D(C),30,2700,1,0.2,31.5,75.1,0.1,3.5,-,7.10
Moustapha Bayal Sall,Saint-Etienne,33,D(C),23,2051,-,0.2,47,82.4,-,4.9,-,7.09
Claudio Beauvue,Guingamp,31,"AM(CLR),FW",34(2),2993,3,0.8,19.4,64.8,0.6,0.6,-,7.09
Jacques-Alaixys Romao,Marseille,35,"D(C),M(C)",27(5),2405,2,0.4,39,87.9,-,2.2,0.1,7.09
Nicolas Benezet,Caen,28,AM(CLR),5(7),570,1,1,20.8,79.6,0.9,0.5,-,7.09
Souleymane Diawara,Nice,40,D(C),12(2),1070,-,0.4,32.6,77.2,-,2.6,-,7.09
Jérémy Pied,Guingamp,30,"D(LR),M(CLR)",23(5),1980,6,1.6,23.9,66,1.1,1.1,0.1,7.08
Corentin Tolisso,Lyon,24,"D(R),M(C)",37(1),3317,2,0.6,56.3,86.1,-,2.9,0.1,7.07
Anthony Lopes,Lyon,28,GK,38,3420,1,-,27.3,59,-,5.9,-,7.07
Paul-Georges Ntep,Rennes,26,"AM(L),FW",29(6),2700,5,1.4,25.5,70.6,1.1,1.1,0.1,7.07
Jordan Veretout,Nantes,26,M(C),36,3216,6,2,44.7,79.8,1.4,2.6,0.1,7.07
Sébastien Squillaci,SC Bastia,38,D(C),25,2107,-,-,30.2,82.4,-,1.6,-,7.06
Mariano,Bordeaux,33,"D(R),M(R)",31,2777,3,1.5,43.7,75.1,1.5,5.3,0.1,7.06
