Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Cristian Ledesma,Lazio,36,M(C),13,1170,-,3,4,1,1.9,78.3,0.2,-,7.17
Nicola Belmonte,Bari,32,M(R),17(1),1524,-,-,4,-,0.3,80,1.2,-,7.17
Riccardo Montolivo,Fiorentina,34,M(C),33(3),2985,2,1,10,-,2.3,77.7,0.3,4,7.17
Marco Borriello,AC Milan,37,FW,27(2),2212,14,1,4,-,2.8,78.4,1.4,2,7.17
Fabio Quagliarella,Napoli,36,FW,32(2),2847,11,5,7,1,3.8,70.8,1.2,4,7.17
Juan Vargas,Fiorentina,35,"D(L),M(CL)",27(2),2378,5,6,3,-,2.8,80.2,0.3,3,7.16
Rafael Romo,Udinese,29,Goalkeeper,1,90,-,-,-,-,-,75,-,-,7.16
Angelo Palombo,Sampdoria,37,"D(C),DMC",36,3237,2,3,6,-,1.4,81.2,0.3,2,7.16
Jean-François Gillet,Bari,40,GK,37,3330,-,-,2,-,-,67.9,-,5,7.15
Jaime Valdés,Atalanta,38,AM(C),25(8),2217,7,2,4,1,1.8,74.2,0.2,4,7.15
Antonio Candreva,Livorno,32,M(CLR),16(3),1443,-,4,-,-,2.9,84.1,0.1,-,7.15
Javier Pastore,Palermo,30,AM(CLR),27(7),2358,3,5,6,-,1.5,75,0.3,-,7.15
Nelson Rivas,Livorno,36,"D(C),M(L)",16,1337,2,-,5,1,1,83.7,1.1,-,7.15
Roberto Baronio,Lazio,41,"D(C),DMC",22(2),1849,-,3,7,1,1.2,79.1,0.3,2,7.15
Daniele Galloppa,Parma,34,M(C),33(1),2669,2,2,9,1,1.2,72.9,0.2,-,7.14
Per Kroldrup,Fiorentina,39,D(C),24(1),2205,2,1,8,-,0.5,76.8,1.2,1,7.14
Mattia Cassani,Palermo,35,"D(CR),M(R)",37,3328,-,4,4,-,0.9,77.2,0.4,-,7.13
Marco Rossi,Genoa,41,M(R),26(2),2413,5,1,9,-,1,83.5,0.4,-,7.12
Guglielmo Stendardo,Lazio,38,D(C),19,1627,2,-,6,-,0.4,85,1.5,1,7.12
Salvatore Masiello,Bari,37,"D(L),M(L)",25(2),2344,1,2,2,-,0.6,86.8,0.9,-,7.12
Mauro Vigorito,Cagliari,29,Goalkeeper,1(1),159,-,-,-,-,-,49,-,-,7.12
Walter Samuel,Inter,41,D(C),25(3),2232,3,-,11,1,0.8,85.3,1.5,2,7.11
Maximiliano López,Catania,35,FW,17,1411,11,2,3,-,1.9,75.8,0.2,2,7.11
Dario Dainelli,Genoa,40,D(C),9(1),779,-,-,3,-,0.7,80.9,2.5,1,7.10
Michele Marcolini,Chievo,43,AM(C),28(2),2309,4,2,7,1,1.7,74.2,0.3,1,7.10
Tiberio Guarente,Atalanta,33,DMC,32,2816,1,6,12,-,1.9,79.8,0.4,1,7.10
Michael Agazzi,Cagliari,34,GK,3,270,-,-,-,-,-,55.6,-,1,7.10
Andrea Lazzari,Cagliari,34,M(C),25(8),2291,6,3,4,-,1.4,63.9,0.7,1,7.09
Patrick Vieira,Inter,43,"D(C),DMC",7(5),638,1,1,3,-,0.3,83.1,0.9,-,7.09
