Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Lúcio,Inter,41,D(C),30(1),2737,1,1,0.6,0.3,1.3,1.2,0.3,0.2,-,7.76
Maicon,Inter,37,D(R),33,2970,6,11,1.5,1.5,1.8,1.1,0.1,1.3,-,7.71
David Pizarro,Roma,39,M(C),31,2748,2,7,0.9,3.2,0.8,2.3,-,1.3,-,7.58
Antonio Di Natale,Udinese,41,FW,33(2),3012,29,6,4.3,1.5,0.7,0.8,2,1.5,-,7.58
Francesco Totti,Roma,42,"AM(CL),FW",21(2),1808,14,6,2.8,2.3,0.9,3.3,0.7,2.9,-,7.58
Giorgio Chiellini,Juventus,34,D(C),32,2880,4,2,1,0.4,0.4,1.7,0.1,0.4,-,7.58
Mirko Vucinic,Roma,35,FW,32(2),2559,14,6,2.9,1.9,1.8,1.9,1.1,3.1,-,7.55
Alexis Sánchez,Udinese,30,"M(CLR),FW",25(7),2299,5,3,1.8,2.2,2.2,3.1,0.4,2.3,-,7.53
Ronaldinho,AC Milan,39,AM(C),34(2),2901,12,14,2.2,2.4,2,2.3,0.2,3.4,-,7.53
Alexandre Pato,AC Milan,29,"M(CLR),FW",20(3),1804,12,1,2.5,0.9,2.7,2.9,0.7,2.7,-,7.52
Fabrizio Miccoli,Palermo,40,FW,32(3),2685,19,8,4.2,1.8,1,1.8,1.1,1.1,-,7.50
Daniele Conti,Cagliari,40,DMC,32,2844,5,5,1.3,1.1,0.2,2.2,-,0.7,-,7.49
Juan,Roma,40,D(C),28(1),2504,-,-,0.4,0.2,0.1,0.9,-,0.3,-,7.48
Daniele De Rossi,Roma,35,"D(C),M(C)",33,2811,7,3,1.8,1.2,1.2,1.7,0.1,0.8,-,7.48
Alessandro Nesta,AC Milan,43,D(C),22(1),1891,3,1,0.3,0.2,0.3,1.1,-,0.2,-,7.47
Diego Milito,Inter,40,FW,33(2),2881,22,4,2.5,1.7,0.8,2.2,1.4,2.2,-,7.47
Alessandro Diamanti,Livorno,36,"M(CR),FW",1,80,-,-,5,2,3,6,-,2,-,7.46
Thiago Silva,AC Milan,34,D(C),33,2921,2,-,0.4,0.1,0.3,1.2,-,0.3,-,7.44
Mauro Zárate,Lazio,32,"M(CLR),FW",27(5),2535,3,4,4.3,1.8,4.4,2.8,0.4,2.8,-,7.43
Hugo Campagnaro,Napoli,39,D(CR),28,2374,1,3,0.5,0.6,1.1,2.1,-,0.5,-,7.41
Jorge Martínez,Catania,36,FW,19(6),1831,9,2,1.6,1.2,2.1,2.3,0.9,3.2,-,7.39
André Dias,Lazio,40,D(C),12,1080,2,-,0.8,0.1,0.3,1,-,0.5,-,7.38
Davide Astori,Cagliari,32,D(C),34,3039,2,-,0.3,0.3,0.2,0.9,0.1,0.1,-,7.35
Mario Yepes,Chievo,43,D(C),31,2790,1,3,0.6,0.3,0.1,1.9,0.2,0.4,-,7.34
Mario Balotelli,Inter,28,FW,13(13),1396,9,5,2.5,1,1.7,3.2,0.2,1.5,-,7.33
Antonio Cassano,Sampdoria,36,"AM(CL),FW",30(2),2706,9,8,2.4,2.2,1.7,3.3,0.7,3.1,-,7.32
Andrea Ranocchia,Bari,31,D(C),17,1491,2,1,0.4,0.2,0.6,0.9,-,0.5,-,7.31
Wesley Sneijder,Inter,35,AM(CL),24(2),1943,4,6,3.2,3,0.7,1.5,-,2,-,7.31
Domenico Criscito,Genoa,32,"D(CL),M(L)",28(1),2427,2,2,0.8,0.7,0.3,0.8,-,0.7,-,7.29
Marek Hamsik,Napoli,31,AM(C),37,3246,12,5,2.4,1.8,0.8,0.7,0.2,1.2,-,7.29
Cristiano Lupatelli,Cagliari,41,Goalkeeper,1(1),135,-,-,-,-,-,-,-,-,-,7.28
Daniele Gastaldello,Sampdoria,36,D(C),33,2970,3,-,0.5,0.1,0.1,1.3,-,0.2,-,7.28
Sergio Floccari,Lazio,37,FW,17,1401,8,2,2.4,1.5,1.1,2.4,0.6,2.9,-,7.27
Pablo Álvarez,Catania,35,D(CLR),23(2),2124,-,1,0.6,0.3,0.6,1.1,0.1,0.9,-,7.27
Samuel Eto'o,Inter,38,"M(CL),FW",27(5),2499,12,6,3.1,1.6,0.9,1.3,0.7,2,-,7.26
Diego,Juventus,34,AM(CLR),31(2),2560,5,7,2.4,2.5,1.3,3.1,0.3,2.2,-,7.25
Esteban Cambiasso,Inter,38,"D(C),M(C)",26(4),2311,3,2,0.8,0.9,0.3,0.7,-,0.5,-,7.25
Salvatore Bocchetti,Genoa,32,D(C),25(3),2272,1,-,0.6,0.2,0.3,1.5,-,0.2,-,7.24
Ezequiel Lavezzi,Napoli,34,"AM(CLR),FW",27(3),2379,8,6,2.1,1.6,1.8,2.9,0.8,2.8,-,7.23
Andrea Cossu,Cagliari,39,M(CL),31(2),2583,3,12,1.6,2,1.6,2.6,0.3,1.6,-,7.23
Gianluca Grava,Napoli,42,"D(C),M(R)",22(2),1907,-,-,0.1,0.2,0.1,1.2,-,0.5,-,7.22
McDonald Mariga,Parma,32,DMC,8(1),684,-,-,1.4,0.7,0.7,1.2,0.1,1,-,7.22
Stefano Lucchini,Sampdoria,38,D(C),25(1),2178,-,1,0.3,0.2,-,1.1,-,0.2,-,7.22
Jonathan Biabiany,Parma,31,"M(LR),FW",25(4),2203,6,3,1.3,1,2.1,1.9,0.2,2.4,-,7.22
Giulio Migliaccio,Palermo,38,DMC,28(2),2541,1,1,0.5,0.3,0.1,1.4,0.1,0.5,-,7.22
Cesare Bovo,Palermo,36,D(C),29,2610,2,1,0.7,0.3,0.1,1.2,-,0.1,-,7.22
Aleksandar Kolarov,Lazio,33,"D(CL),M(L)",33,2926,3,3,3,1.1,1.6,2,-,1.2,-,7.21
John Arne Riise,Roma,38,D(L),34(2),3083,5,-,2.2,0.6,0.4,0.5,0.1,0.6,-,7.21
Javier Zanetti,Inter,45,"D(R),DMC,M(R)",37,3330,-,1,0.2,0.6,1.2,1.3,-,0.6,-,7.21
Andrea Pirlo,AC Milan,40,M(C),33(1),2951,-,4,1.4,2.2,0.7,1.5,-,1.4,-,7.20
Giandomenico Mesto,Genoa,37,"D(R),M(R)",32(4),2725,5,5,1.1,1,1.2,1.4,0.2,1.9,-,7.20
Jérémy Ménez,Roma,32,"M(CLR),FW",18(5),1390,1,3,2.1,1.4,2,2.8,0.1,1.6,-,7.20
Luca Antonini,AC Milan,36,"D(CL),M(L)",20(2),1768,1,2,0.4,0.5,0.3,0.9,0.2,0.8,-,7.19
Stefano Morrone,Parma,40,"D(C),DMC,M(R)",30(1),2713,1,2,1.1,1.1,0.2,1.9,-,1.5,-,7.19
Thomas Manfredini,Atalanta,39,D(C),26,2217,1,2,0.6,0.4,-,1.5,0.2,0.1,-,7.19
Massimo Ambrosini,AC Milan,42,M(C),26(4),2281,1,2,0.6,0.7,0.2,2.6,0.1,1.2,-,7.18
Sergio Almirón,Bari,38,M(C),20(7),1753,5,1,2,0.7,0.8,0.9,-,1,-,7.18
Cristian Ledesma,Lazio,36,M(C),13,1170,-,3,1.9,2.1,0.7,2.2,-,1.2,-,7.17
Nicola Belmonte,Bari,32,M(R),17(1),1524,-,-,0.3,0.3,0.5,0.7,-,0.7,-,7.17
Riccardo Montolivo,Fiorentina,34,M(C),33(3),2985,2,1,2.3,1.5,0.8,1.2,-,2.1,-,7.17
Marco Borriello,AC Milan,37,FW,27(2),2212,14,1,2.8,0.6,0.7,1.5,0.8,2.9,-,7.17
Fabio Quagliarella,Napoli,36,FW,32(2),2847,11,5,3.8,1.1,0.7,1.9,1.1,2.3,-,7.17
Juan Vargas,Fiorentina,35,"D(L),M(CL)",27(2),2378,5,6,2.8,2,1,1.1,0.2,2.2,-,7.16
Rafael Romo,Udinese,29,Goalkeeper,1,90,-,-,-,-,-,-,-,-,-,7.16
Angelo Palombo,Sampdoria,37,"D(C),DMC",36,3237,2,3,1.4,1.1,0.2,3.2,-,0.9,-,7.16
Jean-François Gillet,Bari,40,GK,37,3330,-,-,-,0.1,0.1,0.2,-,-,-,7.15
Jaime Valdés,Atalanta,38,AM(C),25(8),2217,7,2,1.8,1.7,2.1,1.9,0.2,2.1,-,7.15
Antonio Candreva,Livorno,32,M(CLR),16(3),1443,-,4,2.9,2.2,1.5,1.9,0.1,1,-,7.15
Javier Pastore,Palermo,30,AM(CLR),27(7),2358,3,5,1.5,1.3,2.1,2.6,0.1,3.3,-,7.15
Nelson Rivas,Livorno,36,"D(C),M(L)",16,1337,2,-,1,0.1,0.4,1.2,-,0.2,-,7.15
Roberto Baronio,Lazio,41,"D(C),DMC",22(2),1849,-,3,1.2,1.8,0.5,1.8,-,0.4,-,7.15
Daniele Galloppa,Parma,34,M(C),33(1),2669,2,2,1.2,1.6,0.7,1.7,0.1,1.6,-,7.14
Per Kroldrup,Fiorentina,39,D(C),24(1),2205,2,1,0.5,0.2,0.3,0.8,-,0.1,-,7.14
Mattia Cassani,Palermo,35,"D(CR),M(R)",37,3328,-,4,0.9,1.2,0.6,0.9,0.3,0.8,-,7.13
Marco Rossi,Genoa,41,M(R),26(2),2413,5,1,1,0.4,0.3,1.2,0.1,0.9,-,7.12
Guglielmo Stendardo,Lazio,38,D(C),19,1627,2,-,0.4,0.1,-,2.4,0.2,0.1,-,7.12
Salvatore Masiello,Bari,37,"D(L),M(L)",25(2),2344,1,2,0.6,0.4,1,1.1,-,0.7,-,7.12
Mauro Vigorito,Cagliari,29,Goalkeeper,1(1),159,-,-,-,0.5,-,-,-,-,-,7.12
Walter Samuel,Inter,41,D(C),25(3),2232,3,-,0.8,0.2,-,0.3,-,0.1,-,7.11
Maximiliano López,Catania,35,FW,17,1411,11,2,1.9,0.5,0.6,0.8,1.6,2.4,-,7.11
Dario Dainelli,Genoa,40,D(C),9(1),779,-,-,0.7,0.3,0.4,0.7,-,0.1,-,7.10
Michele Marcolini,Chievo,43,AM(C),28(2),2309,4,2,1.7,1.8,0.2,1.2,-,0.5,-,7.10
Tiberio Guarente,Atalanta,33,DMC,32,2816,1,6,1.9,1.2,0.5,1.2,-,0.7,-,7.10
Michael Agazzi,Cagliari,34,GK,3,270,-,-,-,-,-,0.3,-,-,-,7.10
Andrea Lazzari,Cagliari,34,M(C),25(8),2291,6,3,1.4,1,1,1.2,-,1.2,-,7.09
Patrick Vieira,Inter,43,"D(C),DMC",7(5),638,1,1,0.3,0.7,0.3,0.8,0.1,0.8,-,7.09
Nicolas Burdisso,Roma,38,D(C),32(1),2888,2,-,0.5,-,0.1,0.7,-,0.2,-,7.09
Giampiero Pinzi,Chievo,38,M(C),31(1),2732,3,-,1.2,0.8,0.5,2.3,0.2,1.8,-,7.09
Walter Gargano,Napoli,34,DMC,35(1),3063,-,2,1,1.5,0.6,1.9,-,2.2,-,7.09
Massimo Paci,Parma,41,D(C),23(4),2042,-,-,0.5,0.1,0.2,0.8,-,-,-,7.09
Massimo Maccarone,Robur Siena,39,FW,37,3244,12,4,3.3,1.3,1.9,3.2,0.9,3.1,-,7.09
Kakha Kaladze,AC Milan,41,"D(C),DMC",5(1),532,-,-,0.5,-,0.2,0.8,-,0.3,-,7.09
