Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Josip Posavec,Palermo,23,GK,1,90,-,-,34,47.1,-,12,-,7.86
Paul Pogba,Juventus,26,M(C),33(2),3019,12,1.5,48.5,83.4,0.3,3.3,0.3,7.81
Diego Perotti,Roma,30,"M(CLR),FW",14(1),1205,7,2.1,47.9,84.8,1.5,1.3,0.1,7.80
Gonzalo Higuaín,Napoli,31,FW,35,2978,2,1.5,25.9,78.1,0.1,1.3,0.1,7.74
Paulo Dybala,Juventus,25,"AM(CR),FW",29(5),2465,9,2.1,30.1,84.9,1.5,1.7,0.1,7.71
Francesco Bardi,Frosinone,27,GK,2,120,-,-,20,35,-,7,-,7.53
Franco Vázquez,Palermo,30,"AM(CR),FW",36,3186,7,1.5,39.4,77.2,1,2.3,0.1,7.51
Samir,Verona,24,D(CL),3,270,-,-,26.3,77.2,-,1.7,-,7.50
Miralem Pjanic,Roma,29,M(C),30(3),2654,12,2.4,65.5,84.9,1.3,4.1,0.3,7.46
Alex Sandro,Juventus,28,"D(L),M(L)",15(7),1490,3,1.9,36.2,84,1.2,2,-,7.45
Lucas Biglia,Lazio,33,DMC,26(1),2299,3,2,69.1,88.2,1.3,5.3,0.1,7.43
Giacomo Bonaventura,AC Milan,29,M(CLR),31(2),2841,8,2.1,43.9,82.2,1.4,2,0.1,7.39
Alejandro Gómez,Atalanta,31,"M(CL),FW",33(1),2825,7,1.8,33.4,79.5,1.6,1.3,0.1,7.36
Federico Viviani,Verona,27,DMC,17(2),1593,6,2.3,56.3,80.9,1.9,8.1,0.1,7.36
Alberto Pelagotti,Empoli,29,GK,6,540,-,-,21.7,66.9,-,5.5,-,7.35
Thiago Cionek,Palermo,33,D(CR),5,450,1,0.2,25.6,83.6,-,3,-,7.33
Cristian Ansaldi,Genoa,32,"D(CLR),DMC,M(LR)",23(1),2013,4,1,35.9,73.2,1,2.4,-,7.33
Francesco Acerbi,Sassuolo,31,D(C),36,3240,-,0.2,50.1,87.1,-,4.3,-,7.32
Mario Lemina,Juventus,25,DMC,7(3),727,-,0.5,46.3,89.8,-,3.9,-,7.32
