Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Mousa Dembélé,Fulham,31,M(CR),2,180,-,-,1,1.5,6,1,-,2,1.5,8.42
Kieran Richardson,Sunderland,34,"D(L),M(CL)",1,90,-,-,-,1,-,-,-,-,1,7.96
Ján Mucha,Everton,36,GK,2,180,-,-,-,-,-,-,-,-,-,7.95
Gareth Bale,Tottenham,29,"M(CLR),FW",33,2925,21,4,5,2.3,1.8,1.4,0.3,1.6,1.7,7.92
Luis Suárez,Liverpool,32,"AM(CLR),FW",33,2955,23,5,5.7,2.8,2.9,1.8,1.2,2.8,2.4,7.89
Santi Cazorla,Arsenal,34,M(CLR),37(1),3311,12,11,3,2.6,2.3,1.3,-,1.7,1.1,7.86
Robin van Persie,Manchester United,35,"AM(C),FW",35(3),3123,26,9,3.7,1.9,0.7,1.4,1.2,2,1.3,7.71
Daniel Sturridge,Liverpool,29,"M(R),FW",11(3),1093,10,3,4.4,2.1,1.7,1.1,0.9,2.1,1.6,7.64
Jan Vertonghen,Tottenham,32,D(CL),34,3060,4,3,1.1,0.7,0.8,0.7,0.1,0.6,0.6,7.62
Marouane Fellaini,Everton,31,M(C),31,2786,11,5,2.9,1.3,0.6,1.5,0.4,2.4,2.5,7.59
Andy Carroll,West Ham,30,FW,22(2),1939,7,4,3.3,1.4,0.3,2.2,0.4,2.1,1.9,7.58
Matt Upson,Stoke,40,D(C),1,90,1,-,2,-,-,-,-,-,-,7.56
Steven Gerrard,Liverpool,39,M(C),36,3223,9,9,2.6,2.6,0.5,0.5,0.1,0.8,0.5,7.54
Chico Flores,Swansea,32,D(C),26,2241,-,-,0.8,0.3,0.3,1.1,-,0.5,0.3,7.47
Christian Benteke,Aston Villa,28,FW,32(2),2824,19,4,3.1,1.5,0.7,1.5,1.5,2.4,2.2,7.45
Leighton Baines,Everton,34,"D(L),M(L)",38,3420,5,5,0.9,3.1,0.8,1.5,-,0.9,0.5,7.43
Sandro,Tottenham,30,M(C),22,1780,1,2,1.1,1,0.7,1.3,-,1.1,0.6,7.40
Nemanja Vidic,Manchester United,37,D(C),18(1),1619,1,-,0.6,0.1,0.1,0.6,-,0.1,0.1,7.39
Andros Townsend,Queens Park Rangers,27,"AM(LR),FW",12,1019,2,1,2.9,1.3,4,1.7,-,2.7,2.1,7.37
Mikel Arteta,Arsenal,37,M(C),34,2985,6,3,0.6,0.8,0.6,1.4,-,0.7,0.5,7.37
Rafael,Manchester United,28,"D(LR),M(R)",27(1),2317,3,3,0.8,0.9,0.6,1,0.1,1.1,1,7.36
Alexander Büttner,Manchester United,30,"D(L),M(L)",4(1),382,2,1,1.2,0.4,1.4,1.2,-,1.6,2,7.34
Micah Richards,Manchester City,31,D(CR),7,618,-,-,1.4,0.4,0.7,0.6,0.3,0.4,0.9,7.34
Eden Hazard,Chelsea,28,"M(CLR),FW",31(3),2640,9,11,1.9,1.9,1.8,2.3,0.1,1.8,1.8,7.33
Michael Harriman,Queens Park Rangers,26,Defender,1,90,-,-,-,-,-,1,-,-,2,7.32
Patrice Evra,Manchester United,38,"D(CL),M(L)",34,3060,4,5,0.6,0.7,0.8,0.9,0.1,1.2,0.9,7.31
Ryan Nelsen,Queens Park Rangers,41,D(C),21,1884,1,-,0.4,0.1,0.1,0.3,0.2,-,0.1,7.30
Coutinho,Liverpool,27,M(CLR),12(1),933,3,5,2.8,1.6,1.3,0.8,0.5,1.9,1.3,7.30
David Silva,Manchester City,33,M(CLR),29(3),2526,4,8,1.7,3.3,0.9,0.9,0.1,1.9,1.1,7.30
Mike Williamson,Newcastle United,35,D(C),19,1710,-,-,0.5,0.2,0.2,0.7,-,-,0.2,7.29
Morgan Schneiderlin,Southampton,29,DMC,36,3210,5,-,0.8,0.8,0.4,0.9,-,0.9,1,7.28
Juan Mata,Chelsea,31,AM(CLR),31(4),2749,12,12,2,2.8,0.6,1,0.5,1.9,1.3,7.28
Bryan Ruiz,Fulham,33,"M(CLR),FW",26(3),2386,5,7,1.8,1.7,1.1,1.7,0.1,2.7,1.5,7.28
Wayne Rooney,Manchester United,33,"M(CLR),FW",22(5),2019,12,10,3.2,1.8,0.4,0.7,0.1,1.9,0.9,7.27
Gaël Clichy,Manchester City,33,D(L),26(2),2334,-,2,0.3,0.7,0.6,0.5,0.2,0.8,0.4,7.27
Glen Johnson,Liverpool,34,"D(CLR),M(R)",36,3224,1,4,1.5,1.3,1.7,0.7,0.1,1.5,1.4,7.26
Robert Snodgrass,Norwich,31,AM(CLR),35(2),3067,6,6,2.1,1.8,1.2,2.4,0.3,2,1.5,7.26
Dimitar Berbatov,Fulham,38,"AM(C),FW",32(1),2849,15,3,2.5,1.4,1,1.4,1.1,2.2,1.9,7.25
Jonny Evans,Manchester United,31,D(CL),21(2),1903,3,1,0.4,0.3,0.1,1,-,0.2,0.4,7.24
Carlos Tevez,Manchester City,35,"AM(CL),FW",28(6),2410,11,8,3.1,1.8,1.4,1,0.5,1.9,1.5,7.24
Leon Osman,Everton,38,M(CLR),36,3186,5,2,2.1,0.8,0.8,1.9,-,1.6,0.8,7.24
Theo Walcott,Arsenal,30,"M(CLR),FW",24(8),2286,14,10,2.7,1.3,1.5,1.1,0.8,1.3,0.9,7.24
Mousa Dembélé,Tottenham,31,M(CR),26(4),2211,1,3,0.8,1.9,1.8,1.2,-,1.3,0.9,7.23
Adel Taarabt,Queens Park Rangers,30,"AM(CL),FW",25(6),2245,5,4,3.2,2.5,2.7,1.9,-,1.7,2.2,7.22
Lucas Leiva,Liverpool,32,"D(C),M(C)",24(2),1953,-,1,0.1,0.7,0.2,0.5,-,0.6,0.4,7.21
David Luiz,Chelsea,32,"D(C),DMC",29(1),2634,2,2,1.9,0.7,0.3,1.4,-,0.5,0.9,7.21
Phil Jagielka,Everton,36,D(CR),36,3155,2,1,0.7,0.4,0.1,0.9,-,0.2,0.3,7.20
Yohan Cabaye,Newcastle United,33,M(C),25(1),2124,6,2,2.3,2,0.3,0.5,-,1.1,0.7,7.20
Sylvain Distin,Everton,41,D(C),31(3),2837,-,1,0.5,0.4,0.1,0.7,0.1,0.2,0.1,7.19
Pablo Zabaleta,Manchester City,34,"D(R),DMC,M(R)",29(1),2652,2,2,0.7,0.6,0.1,1.1,0.1,0.7,0.5,7.18
Yaya Touré,Manchester City,36,M(C),32,2830,6,5,2.1,1.4,1.1,1,-,1.2,0.7,7.18
Angel Rangel,Swansea,36,D(R),30(3),2750,3,1,0.8,0.7,0.4,0.4,0.1,0.4,0.6,7.18
