Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Robert Lewandowski,Bayern Munich,30,FW,33,2959,22,7,4.4,1.4,1.5,1.4,0.9,1.5,2.8,7.65
Thiago Alcántara,Bayern Munich,28,M(C),26(4),2409,2,6,0.8,1.3,1.9,1.1,-,0.9,0.7,7.59
Kerem Demirbay,Hoffenheim,25,AM(C),24(2),2023,4,9,2.3,3.1,2.2,1.3,0.1,2,2,7.59
Marcel Halstenberg,RasenBallsport Leipzig,27,"D(L),M(L)",27(1),2414,3,6,0.8,2,1,0.8,0.1,0.9,1,7.56
Sébastien Haller,Eintracht Frankfurt,25,FW,23(6),2181,15,9,1.9,1.3,1,1.5,0.7,1.7,3,7.55
Jadon Sancho,Borussia Dortmund,19,AM(LR),26(8),2464,12,14,1.2,1.9,3.3,1.1,0.1,1.7,2.7,7.52
Joshua Kimmich,Bayern Munich,24,"D(CR),DMC",34,3060,2,13,0.7,2.4,1.1,1.5,0.1,0.7,1.2,7.49
Gregor Kobel,Hoffenheim,21,GK,1,90,-,-,-,-,-,-,-,-,-,7.48
Frederik Rönnow,Eintracht Frankfurt,26,GK,1(1),122,-,-,-,-,-,-,-,-,-,7.47
Thorgan Hazard,Borussia M.Gladbach,26,"AM(CLR),FW",33,2878,10,10,2.3,2.2,2.2,1.8,0.5,1.5,2.2,7.44
Willi Orban,RasenBallsport Leipzig,26,D(C),23(1),2050,4,-,1.1,-,0.1,1.2,-,0.1,0.4,7.41
Lukasz Piszczek,Borussia Dortmund,34,"D(CR),M(R)",20,1759,1,6,0.6,1.1,0.4,0.5,-,0.3,0.7,7.41
Marco Reus,Borussia Dortmund,30,"M(CLR),FW",27,2322,17,8,2.6,1.4,0.9,1.1,0.6,1.4,2,7.39
Ihlas Bebou,Hannover 96,25,"AM(CLR),FW",12,1068,4,3,2.3,1.3,2.9,1.8,0.3,1.8,2.4,7.34
Kingsley Coman,Bayern Munich,23,"AM(LR),FW",17(4),1392,6,4,1.5,1.3,2.9,2,0.1,1.6,2.3,7.34
Ignacio Camacho,Wolfsburg,29,"D(C),M(C)",6,540,-,-,1.2,0.3,0.2,1.8,0.2,0.2,0.8,7.34
Tyler Adams,RasenBallsport Leipzig,20,M(CR),8(2),723,-,2,0.2,0.5,1.4,1.1,-,0.6,1.8,7.30
George Timotheou,Schalke 04,21,Defender,1,90,-,-,2,-,-,1,-,-,1,7.30
Ishak Belfodil,Hoffenheim,27,"AM(LR),FW",20(8),1864,16,3,3.1,1.1,1.4,0.5,0.8,1.1,1.4,7.29
Kevin Volland,Bayer Leverkusen,26,"AM(CLR),FW",32(2),2820,14,9,2.6,1.3,0.9,1.5,0.6,1.7,2.8,7.28
