Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Lionel Messi,Barcelona,32,"AM(CR),FW",29(2),2508,27,11,2,-,5,84.9,0.2,13,8.34
Cristiano Ronaldo,Real Madrid,34,"M(L),FW",30,2545,31,9,4,1,7.2,80.2,1.8,10,8.27
Sergio Álvarez,Celta Vigo,32,GK,3,270,-,-,-,-,-,62.6,0.3,1,8.26
Gareth Bale,Real Madrid,29,"M(CLR),FW",24(3),2073,15,12,3,-,3.3,76.3,1.1,5,7.75
Ivan Rakitic,Sevilla,31,M(C),29(4),2676,11,10,7,-,2.3,79.3,1.2,6,7.61
Gabi,Atletico Madrid,35,M(C),35(1),3119,3,8,11,-,1,79.4,1.1,2,7.58
Alexis Sánchez,Barcelona,30,"M(CLR),FW",27(7),2386,19,10,2,-,1.9,79.8,0.7,3,7.54
Neymar,Barcelona,27,"AM(CLR),FW",19(7),1742,9,8,6,-,2.6,84.5,0.5,4,7.51
Tiago,Atletico Madrid,38,M(C),21(1),1866,2,1,8,-,1.1,81.4,2.5,2,7.49
Gerard Piqué,Barcelona,32,D(C),26,2311,2,-,5,-,0.8,90.2,3.8,3,7.49
Javi Flores,Elche,33,Midfielder,1,75,-,-,-,-,3,78.8,-,-,7.48
Sergio Ramos,Real Madrid,33,D(CR),32,2759,4,1,10,2,1.3,88.8,4.3,6,7.47
Carles Puyol,Barcelona,41,D(C),5,429,1,-,-,-,0.2,92.3,2.6,-,7.46
Ángel Di María,Real Madrid,31,"M(CLR),FW",27(7),2384,4,17,6,-,1.8,82.1,-,1,7.46
Diego Godín,Atletico Madrid,33,D(C),34,3060,4,1,11,-,0.5,78.7,2.9,4,7.44
Karim Benzema,Real Madrid,31,FW,34(1),2779,17,9,2,-,2.9,81.9,0.7,1,7.44
Dani Alves,Barcelona,36,"D(R),M(CR)",26(1),2388,2,3,6,-,1.1,87.3,1.2,-,7.44
Felipe Mattioni,Espanyol,30,D(R),2,180,-,-,1,-,-,78.6,2.5,-,7.44
Federico Fazio,Sevilla,32,D(C),27,2387,2,1,6,-,0.6,76.7,4.2,1,7.43
Carlos Vela,Real Sociedad,30,"M(CLR),FW",35(2),3116,15,12,4,-,2.2,78.9,0.7,5,7.42
Pepe,Real Madrid,36,D(C),30,2700,4,2,9,-,0.6,85.9,2.9,-,7.42
Isco,Real Madrid,27,"AM(CLR),FW",23(9),2001,8,6,1,-,1.4,88,0.4,4,7.41
Ander Herrera,Athletic Bilbao,29,M(C),31(2),2577,5,5,7,-,2.1,80.6,1,3,7.40
Diego Costa,Atletico Madrid,30,FW,34(1),2965,27,3,7,-,3.1,75.5,1.4,6,7.40
Daniel Parejo,Valencia,30,M(C),28(3),2423,4,5,7,-,1,87.9,0.8,3,7.39
Marc Bartra,Barcelona,28,D(CR),17(3),1590,1,1,3,-,0.4,89.9,2.2,-,7.39
Koke,Atletico Madrid,27,M(CLR),33(3),2819,6,13,5,-,1.1,80.6,0.9,5,7.39
Rafinha,Celta Vigo,26,M(CR),27(5),2437,4,5,7,-,1,83,0.8,3,7.36
Andrés Iniesta,Barcelona,35,M(CL),27(8),2487,3,7,-,-,1.2,90.7,0.1,1,7.34
Edu Albácar,Elche,39,D(L),18,1588,3,1,4,-,0.8,69.4,1.6,3,7.34
Cesc Fàbregas,Barcelona,32,"M(CL),FW",28(7),2446,8,12,4,-,1.4,87,0.5,1,7.32
Aritz Aduriz,Athletic Bilbao,38,FW,26(5),2410,15,7,6,2,2.6,61.7,5.6,7,7.32
Luka Modric,Real Madrid,33,M(C),29(5),2651,1,6,6,-,1.1,89.7,0.4,-,7.31
Javier Manquillo,Atletico Madrid,25,"D(LR),M(R)",3,270,-,-,1,-,0.3,72.6,3.7,-,7.30
Gurpegi,Athletic Bilbao,38,"D(C),M(C)",27,2386,2,-,8,-,0.3,82.9,2.7,1,7.28
Marcelo,Real Madrid,31,D(L),24(4),2176,1,6,3,-,1,85,0.6,-,7.28
Adriano,Barcelona,34,"D(CLR),M(L)",24(2),2119,3,1,8,-,1.3,89.4,1.6,2,7.26
Filipe Luís,Atletico Madrid,33,D(L),32,2879,-,2,6,1,0.4,80.2,0.7,-,7.25
Keylor Navas,Levante,32,GK,37,3250,-,-,3,1,-,43.3,0.7,4,7.24
Javi Jiménez,Levante,32,Goalkeeper,1(1),168,-,-,-,-,-,58.9,0.5,-,7.24
Joseba Zaldua,Real Sociedad,27,D(R),10,890,-,-,2,-,0.2,72.3,2.7,-,7.24
Asier Riesgo,Osasuna,35,GK,1(1),119,-,-,-,-,-,62.8,0.5,-,7.23
Iker Muniain,Athletic Bilbao,26,AM(CLR),32(3),2730,7,3,6,-,1.5,82.7,0.3,1,7.23
Antoine Griezmann,Real Sociedad,28,"AM(CLR),FW",31(4),2666,16,3,5,-,3.2,77.3,1.2,4,7.22
Sergio Busquets,Barcelona,30,DMC,30(2),2656,1,1,11,-,0.3,92.5,1.7,-,7.21
Daniel Carvajal,Real Madrid,27,D(R),25(6),2236,2,2,5,-,0.2,86.7,1.2,1,7.21
Antonio Amaya,Real Betis,36,D(C),22(2),2027,1,1,9,1,1,72.3,4.3,4,7.21
Jonathan Viera,Valencia,29,"AM(CLR),FW",1,79,-,-,-,-,1,84.2,-,-,7.21
Cote,Real Sociedad,29,D(L),22,1911,1,5,5,-,0.5,78.7,0.6,3,7.21
Stéphane Mbia,Sevilla,33,"D(C),M(C)",18(1),1508,3,4,5,1,1,83.4,1.9,-,7.20
Aymeric Laporte,Athletic Bilbao,25,D(CL),33(2),2948,2,-,4,1,0.8,81.9,2.5,1,7.20
Mesut Özil,Real Madrid,30,M(CLR),2,134,-,-,-,-,0.5,83.3,-,-,7.18
Víctor Sánchez,Espanyol,31,"D(LR),M(CL)",32(1),2886,4,1,11,2,0.9,76,1.6,1,7.17
Ignacio Camacho,Malaga,29,"D(C),M(C)",27(6),2377,5,1,6,-,0.8,78.3,3.6,3,7.16
Daniel Carriço,Sevilla,30,"D(C),DMC",22,1939,2,-,8,-,0.8,80.1,2.1,2,7.16
Miranda,Atletico Madrid,34,D(C),32,2880,2,1,5,-,0.4,79.5,2,1,7.15
Vicente Iborra,Sevilla,31,M(C),25(2),2121,3,2,10,1,0.9,77,3.9,2,7.15
Markel Susaeta,Athletic Bilbao,31,M(LR),34(4),2978,6,12,1,-,1.2,78.8,0.4,2,7.15
Sergio Escudero,Getafe,29,"D(L),M(L)",18(1),1440,2,2,10,1,1.2,68.9,1.7,1,7.15
Javier Mascherano,Barcelona,35,"D(C),M(C)",27(1),2367,-,-,9,-,0.1,88.9,1.2,-,7.14
Martín Montoya,Barcelona,28,D(LR),12(1),1122,-,2,-,-,0.6,87.5,2.5,-,7.14
Bruno Soriano,Villarreal,35,M(C),35(1),2940,6,2,5,1,0.9,85.5,1.9,3,7.14
Patrick Ebert,Real Valladolid,32,M(CLR),13,1005,3,5,6,1,2.2,72.6,1.9,-,7.14
Mateo Musacchio,Villarreal,28,D(C),32,2844,1,1,3,-,0.3,79.3,1.9,2,7.13
Liassine Cadamuro,Real Sociedad,31,D(CL),4,360,-,-,-,-,-,84,2.8,1,7.13
Nolito,Celta Vigo,32,AM(L),24(11),2264,12,2,6,-,2.3,71.8,0.4,4,7.13
Ander Iturraspe,Athletic Bilbao,30,M(C),31(2),2707,-,2,8,-,0.4,81.5,3.1,2,7.13
Pedro,Barcelona,31,M(CLR),28(9),2367,15,8,3,-,1.9,84.5,0.2,2,7.13
Fran Vélez,Almeria,28,"D(C),DMC",4,257,1,-,-,-,0.3,68.8,2.8,1,7.13
Heinz,Real Valladolid,31,Defender,1,90,-,-,-,-,-,78.3,1,-,7.12
Yacine Brahimi,Granada,29,M(CLR),33(2),2793,3,4,5,1,1.7,83,0.1,-,7.12
Sebastián Dubarbier,Almeria,33,"D(L),M(L)",26(1),2304,1,-,10,1,0.5,67.4,0.9,-,7.11
Gabriel Paulista,Villarreal,28,D(CR),17(1),1473,-,1,3,-,0.2,83.9,1.8,-,7.11
Alejandro Arribas,Osasuna,30,D(C),36,3198,1,1,9,1,0.8,78.5,2.7,-,7.10
Fabián Orellana,Celta Vigo,33,AM(CLR),22(8),1957,5,6,4,-,1.3,76.5,0.5,1,7.10
Mikel Balenziaga,Athletic Bilbao,31,D(L),31,2670,-,-,4,-,0.2,72.1,1,2,7.10
Fran Rico,Granada,31,M(C),28(4),2471,2,5,8,-,0.9,82.6,1.6,2,7.10
Carlos Peña,Real Valladolid,35,D(CL),37,3327,1,4,5,-,0.4,69.7,2.1,1,7.09
Jordi Alba,Barcelona,30,D(L),14(1),1202,-,2,5,1,0.3,89.4,1.1,-,7.08
Pape Diop,Levante,33,M(C),33(1),2764,4,-,8,1,1,70.8,2.1,3,7.08
Javi López,Espanyol,33,"D(R),DMC",33,2927,-,1,8,1,0.1,67.1,1.9,-,7.08
Pablo Piatti,Valencia,30,M(LR),13(4),1118,5,3,3,-,1.9,75,0.9,2,7.07
Xabi Alonso,Real Madrid,37,M(C),23(3),2027,-,1,5,-,0.3,88,2,1,7.07
Diego Colotto,Espanyol,38,D(C),30(1),2731,4,1,4,-,0.7,70.1,2.7,1,7.07
Jeremy Mathieu,Valencia,35,D(CL),32,2824,3,-,6,1,0.5,82.8,1.9,-,7.07
Xavi,Barcelona,39,DMC,26(4),2256,3,2,-,-,1.1,93,0.2,-,7.06
Juanfran,Atletico Madrid,34,D(R),35,3150,-,4,6,1,0.2,79,0.8,-,7.06
Stefan Mitrovic,Real Valladolid,29,D(C),16,1440,-,-,8,-,0.2,80.4,4.3,1,7.06
Antonio Cotán,Sevilla,23,Midfielder,2,180,-,-,1,-,-,90.3,2,-,7.06
Hicham Khaloua,Almeria,24,Forward,0(1),3,1,-,-,-,1,-,-,-,7.06
Oriol Riera,Osasuna,32,FW,35(2),3022,13,-,5,-,2.1,68.2,5.8,5,7.05
Andreu Fontàs,Celta Vigo,29,"D(C),DMC",35,3092,-,-,3,1,0.3,82.8,1.9,1,7.05
Roberto Fernández,Granada,40,GK,32,2880,-,-,5,-,-,58.2,0.4,2,7.04
David López,Espanyol,29,"D(C),DMC",33,2859,2,1,9,-,1,76.5,3.1,2,7.04
Saúl Ñíguez,Rayo Vallecano,24,"D(CL),M(CLR)",34,3009,2,1,12,1,1.6,78.5,3.7,-,7.04
Simao Mate,Levante,30,"D(C),M(C)",30(1),2581,1,-,10,-,0.4,73,3.5,1,7.04
Mikel San José,Athletic Bilbao,30,"D(C),DMC",19(6),1799,5,1,6,-,0.8,77.9,2.2,3,7.04
Marc Valiente,Real Valladolid,32,D(C),27(2),2384,1,1,5,-,0.4,82.3,2.5,1,7.04
