Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Lionel Messi,Barcelona,32,"AM(CR),FW",28(4),2644,46,12,5.1,1.4,3.8,2.3,0.5,2.6,1.3,8.83
Jesús Fernández,Real Madrid,31,GK,1,90,-,-,-,-,-,-,-,-,-,8.37
Cristiano Ronaldo,Real Madrid,34,"M(L),FW",30(4),2721,34,10,6.9,1.9,1.6,2.4,0.9,1.5,1.9,8.15
Jorge Pulido,Atletico Madrid,28,D(C),1,90,-,-,-,-,-,-,-,1,-,7.62
Carlos Martínez,Real Sociedad,33,D(R),29,2589,1,4,0.3,1.2,0.8,1.2,-,0.4,0.5,7.59
Sergio Escudero,Getafe,29,"D(L),M(L)",9,787,1,-,1.2,0.3,0.6,0.9,-,0.4,0.8,7.58
Casemiro,Real Madrid,27,DMC,1,90,-,-,2,1,-,3,-,1,1,7.51
Patrick Ebert,Real Valladolid,32,M(CLR),22(1),1809,6,7,3,2,0.7,1.4,0.1,1.1,1.2,7.46
Cesc Fàbregas,Barcelona,32,"M(CL),FW",30(2),2325,11,11,1.6,1.6,0.7,1.1,0.3,1.4,1,7.45
Sergio Ramos,Real Madrid,33,D(CR),26,2268,4,-,1.4,0.7,0.2,1.2,0.2,0.5,0.4,7.45
Andrés Iniesta,Barcelona,35,M(CL),24(7),2096,3,16,1.1,1.4,2.2,1.5,0.1,1.5,0.6,7.41
Ivan Rakitic,Sevilla,31,M(C),34,2967,8,10,1.8,2.9,0.6,1.5,0.3,1.2,1,7.41
Carlos Vela,Real Sociedad,30,"M(CLR),FW",32(3),2715,14,9,2.9,1.6,1.6,2.7,0.6,1.4,1,7.40
Mesut Özil,Real Madrid,30,M(CLR),23(9),2042,9,13,0.9,2.8,1,1.3,0.5,1.6,1.3,7.39
Domingo Cisma,Atletico Madrid,37,D(L),2,166,-,-,-,2,1,0.5,-,-,-,7.39
Emiliano Armenteros,Osasuna,33,AM(CLR),30,2629,3,5,2.5,2.4,1.1,1.9,0.5,2,1.4,7.34
Diego Godín,Atletico Madrid,33,D(C),35,3107,1,2,0.9,0.2,0.5,0.6,0.2,0.1,0.3,7.33
Damiá,Osasuna,37,D(LR),29,2482,-,1,0.4,0.7,0.5,0.7,0.1,0.4,0.9,7.33
Koke,Atletico Madrid,27,M(CLR),29(4),2519,3,9,1.4,2.4,0.6,1.1,0.1,1.3,1.1,7.32
Xabi Alonso,Real Madrid,37,M(C),22(6),2147,-,5,0.4,1.8,0.2,0.9,-,0.7,0.4,7.31
Fábio Coentrão,Real Madrid,31,"D(L),M(LR)",17,1471,1,1,0.3,0.7,1.1,1.8,0.1,0.9,1,7.31
Álvaro Negredo,Sevilla,33,FW,34(2),3036,25,1,4.2,1.1,0.8,1.6,0.8,1.6,2.2,7.30
Gabi,Atletico Madrid,35,M(C),34(1),2884,-,3,0.6,1.1,0.4,1.1,-,0.7,0.8,7.28
Emir Spahic,Sevilla,38,D(C),22,1959,1,-,0.5,0.2,0.4,0.9,-,0.5,0.3,7.27
Filipe Luís,Atletico Madrid,33,D(L),32,2802,1,2,0.7,1,1,0.9,-,0.9,0.7,7.27
Pedro Morales,Malaga,34,M(CL),5(2),400,3,3,1.7,1.4,1.1,0.4,-,1.6,0.9,7.27
Diego Mainz,Granada,36,D(C),26(1),2367,1,-,0.3,0.1,-,0.4,-,0.1,0.2,7.27
Hugo Mallo,Celta Vigo,28,"D(CR),M(R)",17,1530,-,-,0.6,0.7,0.2,0.8,-,0.4,0.4,7.25
Radamel Falcao,Atletico Madrid,33,FW,34,2908,28,1,3.6,0.9,0.9,1.9,0.9,2.8,3,7.25
Asier Illarramendi,Real Sociedad,29,M(C),32,2717,-,2,0.8,1,0.4,2.3,-,0.9,0.7,7.25
Gonzalo Higuaín,Real Madrid,31,FW,19(9),1741,16,5,2,0.8,0.7,0.8,1.1,0.9,1.1,7.24
Nacho Monreal,Malaga,33,"D(CL),M(L)",14,1191,1,2,0.8,0.4,0.4,0.7,0.3,0.4,0.2,7.23
Keylor Navas,Levante,32,GK,9,810,-,-,-,0.1,-,0.2,-,-,-,7.23
Roberto Soldado,Valencia,34,FW,33(2),2932,24,4,2.9,0.9,0.5,1.5,0.9,0.7,1.2,7.23
Sergio Busquets,Barcelona,30,DMC,25(6),2250,1,2,-,0.3,0.7,1.6,-,0.6,0.5,7.22
Geromel,Mallorca,33,D(C),29(1),2613,1,-,0.4,0.1,0.2,0.9,-,0.3,0.5,7.22
Adriano,Barcelona,34,"D(CLR),M(L)",18(5),1444,5,1,0.7,0.3,0.7,0.5,-,0.6,0.4,7.20
