Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Lionel Messi,Barcelona,32,"AM(CR),FW",29(2),2508,27,11,5,2.4,4.6,1.5,0.5,2.2,0.8,8.34
Cristiano Ronaldo,Real Madrid,34,"M(L),FW",30,2545,31,9,7.2,1.6,2.2,1.9,1.5,1.4,1.2,8.27
Sergio Álvarez,Celta Vigo,32,GK,3,270,-,-,-,-,-,-,-,-,-,8.26
Gareth Bale,Real Madrid,29,"M(CLR),FW",24(3),2073,15,12,3.3,1.5,2.1,0.7,0.4,1,1.1,7.75
Ivan Rakitic,Sevilla,31,M(C),29(4),2676,11,10,2.3,2.3,0.8,1.9,0.1,0.8,0.7,7.61
Gabi,Atletico Madrid,35,M(C),35(1),3119,3,8,1,1.5,0.7,1.4,-,0.9,0.5,7.58
Alexis Sánchez,Barcelona,30,"M(CLR),FW",27(7),2386,19,10,1.9,1.4,1.1,1.6,0.7,1.2,1.3,7.54
Neymar,Barcelona,27,"AM(CLR),FW",19(7),1742,9,8,2.6,1.6,3,3,0.8,1.7,1.6,7.51
Tiago,Atletico Madrid,38,M(C),21(1),1866,2,1,1.1,0.5,0.3,0.9,-,0.6,0.3,7.49
Gerard Piqué,Barcelona,32,D(C),26,2311,2,-,0.8,0.2,0.2,0.4,-,0.3,0.5,7.49
Javi Flores,Elche,33,Midfielder,1,75,-,-,3,2,6,3,-,1,-,7.48
Sergio Ramos,Real Madrid,33,D(CR),32,2759,4,1,1.3,0.3,0.2,1.6,0.2,0.1,0.2,7.47
Carles Puyol,Barcelona,41,D(C),5,429,1,-,0.2,0.2,-,0.8,-,0.4,-,7.46
Ángel Di María,Real Madrid,31,"M(CLR),FW",27(7),2384,4,17,1.8,2.6,1.4,0.9,-,0.8,1.2,7.46
Diego Godín,Atletico Madrid,33,D(C),34,3060,4,1,0.5,0.1,0.5,1.1,0.1,0.1,0.1,7.44
Karim Benzema,Real Madrid,31,FW,34(1),2779,17,9,2.9,1.8,0.5,0.6,1.1,1.2,1.1,7.44
Dani Alves,Barcelona,36,"D(R),M(CR)",26(1),2388,2,3,1.1,1.3,1.2,1.7,0.4,0.9,0.8,7.44
Felipe Mattioni,Espanyol,30,D(R),2,180,-,-,-,1.5,1,0.5,-,1,0.5,7.44
Federico Fazio,Sevilla,32,D(C),27,2387,2,1,0.6,0.2,0.3,0.3,0.2,-,0.3,7.43
Carlos Vela,Real Sociedad,30,"M(CLR),FW",35(2),3116,15,12,2.2,2.1,2,3.5,0.5,2,1.4,7.42
Pepe,Real Madrid,36,D(C),30,2700,4,2,0.6,0.3,0.2,0.8,-,0.2,0.3,7.42
Isco,Real Madrid,27,"AM(CLR),FW",23(9),2001,8,6,1.4,2.2,2.1,1.4,0.3,1.4,1,7.41
Ander Herrera,Athletic Bilbao,29,M(C),31(2),2577,5,5,2.1,1.6,1.2,2.6,0.1,1.7,1.4,7.40
Diego Costa,Atletico Madrid,30,FW,34(1),2965,27,3,3.1,1.3,1.7,3.3,1.4,3.6,2.8,7.40
Daniel Parejo,Valencia,30,M(C),28(3),2423,4,5,1,2.1,1.4,2.2,0.1,1.2,0.7,7.39
Marc Bartra,Barcelona,28,D(CR),17(3),1590,1,1,0.4,0.3,0.6,0.5,-,0.3,0.4,7.39
Koke,Atletico Madrid,27,M(CLR),33(3),2819,6,13,1.1,1.9,0.5,0.8,-,1.7,0.6,7.39
Rafinha,Celta Vigo,26,M(CR),27(5),2437,4,5,1,1.6,2.3,3.4,-,2.3,1.2,7.36
Andrés Iniesta,Barcelona,35,M(CL),27(8),2487,3,7,1.2,1.5,2.3,1.8,-,0.5,0.8,7.34
Edu Albácar,Elche,39,D(L),18,1588,3,1,0.8,1.2,0.6,1.1,-,0.3,0.4,7.34
Cesc Fàbregas,Barcelona,32,"M(CL),FW",28(7),2446,8,12,1.4,1.6,0.7,1.1,0.1,0.9,0.9,7.32
Aritz Aduriz,Athletic Bilbao,38,FW,26(5),2410,15,7,2.6,1,0.7,1.8,0.6,2,1.5,7.32
Luka Modric,Real Madrid,33,M(C),29(5),2651,1,6,1.1,1.5,1.7,1.3,-,0.9,0.6,7.31
Javier Manquillo,Atletico Madrid,25,"D(LR),M(R)",3,270,-,-,0.3,0.3,1.3,0.7,-,1.3,0.7,7.30
Gurpegi,Athletic Bilbao,38,"D(C),M(C)",27,2386,2,-,0.3,0.1,-,0.5,-,0.1,0.1,7.28
Marcelo,Real Madrid,31,D(L),24(4),2176,1,6,1,1.6,1.3,0.8,0.3,0.6,0.8,7.28
Adriano,Barcelona,34,"D(CLR),M(L)",24(2),2119,3,1,1.3,0.8,0.8,0.7,0.1,0.5,0.8,7.26
Filipe Luís,Atletico Madrid,33,D(L),32,2879,-,2,0.4,0.8,0.8,0.6,0.2,0.8,0.8,7.25
Keylor Navas,Levante,32,GK,37,3250,-,-,-,0.1,-,0.4,-,-,-,7.24
Javi Jiménez,Levante,32,Goalkeeper,1(1),168,-,-,-,-,-,-,-,-,-,7.24
Joseba Zaldua,Real Sociedad,27,D(R),10,890,-,-,0.2,1.3,0.4,2.2,-,0.2,0.3,7.24
Asier Riesgo,Osasuna,35,GK,1(1),119,-,-,-,-,-,-,-,-,-,7.23
Iker Muniain,Athletic Bilbao,26,AM(CLR),32(3),2730,7,3,1.5,0.9,2.7,2.4,-,2.1,1.4,7.23
Antoine Griezmann,Real Sociedad,28,"AM(CLR),FW",31(4),2666,16,3,3.2,1,0.6,0.7,0.5,0.6,1.1,7.22
Sergio Busquets,Barcelona,30,DMC,30(2),2656,1,1,0.3,0.6,0.8,1.6,0.1,0.5,0.4,7.21
Daniel Carvajal,Real Madrid,27,D(R),25(6),2236,2,2,0.2,1.1,0.7,0.9,0.1,0.3,0.7,7.21
Antonio Amaya,Real Betis,36,D(C),22(2),2027,1,1,1,0.5,0.1,0.3,-,0.2,0.3,7.21
Jonathan Viera,Valencia,29,"AM(CLR),FW",1,79,-,-,1,-,5,-,1,1,-,7.21
Cote,Real Sociedad,29,D(L),22,1911,1,5,0.5,0.8,1.7,1.2,-,0.5,0.7,7.21
Stéphane Mbia,Sevilla,33,"D(C),M(C)",18(1),1508,3,4,1,0.7,0.8,1.2,0.1,0.7,0.3,7.20
Aymeric Laporte,Athletic Bilbao,25,D(CL),33(2),2948,2,-,0.8,0.3,0.7,0.9,-,0.5,0.3,7.20
Mesut Özil,Real Madrid,30,M(CLR),2,134,-,-,0.5,5,2,-,-,0.5,0.5,7.18
Víctor Sánchez,Espanyol,31,"D(LR),M(CL)",32(1),2886,4,1,0.9,0.4,0.3,1.4,-,0.8,0.5,7.17
Ignacio Camacho,Malaga,29,"D(C),M(C)",27(6),2377,5,1,0.8,0.2,0.2,0.9,-,0.5,0.4,7.16
Daniel Carriço,Sevilla,30,"D(C),DMC",22,1939,2,-,0.8,0.3,0.4,1,-,1,0.5,7.16
Miranda,Atletico Madrid,34,D(C),32,2880,2,1,0.4,0.2,0.1,0.5,0.1,0.2,0.3,7.15
Vicente Iborra,Sevilla,31,M(C),25(2),2121,3,2,0.9,0.4,0.1,0.9,-,0.3,0.5,7.15
Markel Susaeta,Athletic Bilbao,31,M(LR),34(4),2978,6,12,1.2,2.1,1.1,1.3,0.6,1.6,1.4,7.15
Sergio Escudero,Getafe,29,"D(L),M(L)",18(1),1440,2,2,1.2,0.5,1.1,0.9,-,0.2,0.3,7.15
Javier Mascherano,Barcelona,35,"D(C),M(C)",27(1),2367,-,-,0.1,0.1,0.1,0.7,-,-,0.1,7.14
Martín Montoya,Barcelona,28,D(LR),12(1),1122,-,2,0.6,0.3,0.6,0.7,0.1,1.4,0.8,7.14
Bruno Soriano,Villarreal,35,M(C),35(1),2940,6,2,0.9,0.6,0.6,0.9,-,0.9,0.6,7.14
Patrick Ebert,Real Valladolid,32,M(CLR),13,1005,3,5,2.2,1.2,0.5,1.2,0.3,1.3,0.8,7.14
Mateo Musacchio,Villarreal,28,D(C),32,2844,1,1,0.3,0.2,0.6,0.8,-,0.3,0.3,7.13
Liassine Cadamuro,Real Sociedad,31,D(CL),4,360,-,-,-,1,0.5,0.5,-,0.3,1,7.13
Nolito,Celta Vigo,32,AM(L),24(11),2264,12,2,2.3,1.4,1.3,1.2,0.6,1.4,1.2,7.13
Ander Iturraspe,Athletic Bilbao,30,M(C),31(2),2707,-,2,0.4,0.5,0.5,1.7,-,0.8,0.4,7.13
Pedro,Barcelona,31,M(CLR),28(9),2367,15,8,1.9,1,0.7,1.2,0.5,1,1.1,7.13
Fran Vélez,Almeria,28,"D(C),DMC",4,257,1,-,0.3,-,0.3,0.5,0.3,0.3,-,7.13
Heinz,Real Valladolid,31,Defender,1,90,-,-,-,-,-,-,-,-,-,7.12
Yacine Brahimi,Granada,29,M(CLR),33(2),2793,3,4,1.7,1.1,4.6,1.5,0.2,2.2,1.4,7.12
Sebastián Dubarbier,Almeria,33,"D(L),M(L)",26(1),2304,1,-,0.5,0.7,1.7,0.9,-,0.4,0.5,7.11
Gabriel Paulista,Villarreal,28,D(CR),17(1),1473,-,1,0.2,0.1,0.1,0.3,0.1,-,0.4,7.11
Alejandro Arribas,Osasuna,30,D(C),36,3198,1,1,0.8,0.2,0.2,1.1,0.1,0.2,0.3,7.10
Fabián Orellana,Celta Vigo,33,AM(CLR),22(8),1957,5,6,1.3,1.5,1.4,0.8,0.2,1.3,1.2,7.10
Mikel Balenziaga,Athletic Bilbao,31,D(L),31,2670,-,-,0.2,0.6,0.8,0.8,-,0.9,0.6,7.10
Fran Rico,Granada,31,M(C),28(4),2471,2,5,0.9,2.1,0.4,0.8,-,0.6,0.6,7.10
Carlos Peña,Real Valladolid,35,D(CL),37,3327,1,4,0.4,0.9,0.2,0.4,0.1,0.3,0.4,7.09
Jordi Alba,Barcelona,30,D(L),14(1),1202,-,2,0.3,1.2,0.4,1.1,0.1,0.2,0.6,7.08
Pape Diop,Levante,33,M(C),33(1),2764,4,-,1,1,0.4,1.3,-,0.9,0.6,7.08
Javi López,Espanyol,33,"D(R),DMC",33,2927,-,1,0.1,0.5,0.5,1.3,-,0.4,0.6,7.08
Pablo Piatti,Valencia,30,M(LR),13(4),1118,5,3,1.9,0.9,1,1.9,0.1,1.6,1.3,7.07
