Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Henrikh Mkhitaryan,Borussia Dortmund,30,M(CLR),28(3),2578,15,2.7,43.4,75.7,1,1.3,0.1,7.90
Park Joo-Ho,Mainz 05,32,"D(L),DMC",1,90,-,-,37,91.9,1,3,-,7.68
Raffael,Borussia M.Gladbach,34,"AM(CL),FW",30(1),2690,10,1.8,38,81.8,0.4,1.1,-,7.64
Robert Lewandowski,Bayern Munich,30,FW,29(3),2654,2,0.7,23.8,79.2,-,0.4,-,7.60
Caiuby,Augsburg,30,"AM(CL),FW",25(1),2218,5,1.5,28.6,64.1,0.3,0.8,-,7.60
Douglas Costa,Bayern Munich,28,M(CLR),23(4),1973,9,1.8,34.8,80.1,1.3,1,-,7.56
Lars Bender,Bayer Leverkusen,30,"D(R),M(C)",11,887,1,0.7,48.3,78.7,0.1,2,0.1,7.54
Kingsley Coman,Bayern Munich,23,"AM(LR),FW",20(3),1688,6,1.5,34.8,84.5,0.7,0.3,-,7.52
Thomas Müller,Bayern Munich,29,"M(CLR),FW",26(5),2345,5,1.9,34.1,77,0.2,0.9,-,7.50
Lars Stindl,Borussia M.Gladbach,30,"M(CR),FW",29(1),2597,8,1.8,47.3,80.3,0.1,1.4,0.2,7.44
Ilkay Gündogan,Borussia Dortmund,28,M(C),22(3),1994,3,1,80.9,87.8,0.1,3.5,0.1,7.43
Julian Draxler,Schalke 04,25,AM(CLR),3,253,-,0.7,36.7,81.8,0.3,5.7,-,7.43
Daniel Ginczek,VfB Stuttgart,28,FW,7,630,1,1.7,25,61.1,-,0.1,0.1,7.41
Arturo Vidal,Bayern Munich,32,M(C),24(6),2048,5,1.6,67.8,90.2,0.4,3.3,0.1,7.40
Eric Maxim Choupo-Moting,Schalke 04,30,"M(CLR),FW",21(7),1865,2,1.3,24.9,72.5,0.5,0.9,-,7.37
Granit Xhaka,Borussia M.Gladbach,26,M(C),28,2368,1,0.8,82.7,85.1,-,7.4,0.1,7.35
Mats Hummels,Borussia Dortmund,30,D(C),29(1),2496,2,0.2,78.9,86.4,0.1,4.3,-,7.34
Thiago Alcántara,Bayern Munich,28,M(C),16(11),1637,3,1.4,58.5,88.2,0.4,3.7,0.1,7.34
Jonas Hector,FC Cologne,29,"D(L),DMC,M(L)",32,2859,4,1.8,48.9,81.8,1,2.4,-,7.33
Alexander Meier,Eintracht Frankfurt,36,"M(C),FW",19,1658,1,0.9,26.3,66.9,-,0.6,0.1,7.32
Joel Matip,Schalke 04,27,D(C),34,3060,3,0.4,50.1,83.5,-,4.1,0.1,7.32
Papy Djilobodji,Werder Bremen,30,D(C),14,1260,1,0.6,47.4,67.9,0.1,5.7,-,7.31
Pierre-Emerick Aubameyang,Borussia Dortmund,30,"M(LR),FW",28(3),2475,5,0.9,16.6,68.7,0.2,0.1,-,7.31
Ibrahima Traoré,Borussia M.Gladbach,31,AM(LR),17(7),1471,1,1.5,28.1,77.8,1.3,1.4,-,7.27
Danilo Soares,Ingolstadt,27,"D(L),M(L)",1,90,-,-,31,41.9,1,-,-,7.27
Leon Goretzka,Schalke 04,24,M(CR),23(2),1993,3,1,38.1,81.6,-,1.7,0.2,7.27
Alexander Hack,Mainz 05,25,D(C),7,630,-,0.1,57.7,81.2,-,5.6,-,7.26
Marcel Risse,FC Cologne,29,"D(R),M(CLR)",33,2963,5,2,35.6,61.9,1.7,3.3,-,7.25
Santiago García,Werder Bremen,30,"D(CL),M(L)",29,2468,3,1.1,33.6,67.2,0.4,1.8,-,7.25
Benjamin Hübner,Ingolstadt,29,D(C),30,2630,-,0.1,23.1,65.7,-,2.3,-,7.25
Salif Sané,Hannover 96,28,"D(C),DMC",30(1),2752,-,0.3,50.8,76.5,0.1,2.8,-,7.24
Marco Reus,Borussia Dortmund,30,"M(CLR),FW",24(2),1927,3,1.7,29.9,82.1,0.3,0.8,0.1,7.20
Filip Kostic,VfB Stuttgart,26,"M(LR),FW",30,2603,5,2.6,25.9,61.6,2.6,0.7,-,7.20
Zlatko Junuzovic,Werder Bremen,31,M(CLR),26(4),2355,10,2.8,30.8,68.8,2,1.9,-,7.20
Tom Mickel,Hamburger SV,30,GK,1,90,-,-,23,69.6,-,11,-,7.20
Ja-Cheol Koo,Augsburg,30,M(CLR),24(3),2081,1,1,30.2,79.7,0.2,1.1,-,7.20
Karim Bellarabi,Bayer Leverkusen,29,"AM(CLR),FW",31(2),2607,11,1.3,24.5,69.7,0.2,0.7,-,7.20
Jonathan Tah,Bayer Leverkusen,23,D(C),29,2566,-,0.2,42.1,79,-,3.1,-,7.19
Sandro Wagner,Darmstadt,31,FW,27(5),2477,4,0.9,28,50.4,0.1,0.8,0.1,7.19
Hakan Calhanoglu,Bayer Leverkusen,25,"M(CLR),FW",27(4),2265,5,2.6,40.5,74.3,1.8,3,0.1,7.19
Gaëtan Bussmann,Mainz 05,28,D(L),13,1170,-,0.8,33.1,61.6,0.2,2.1,-,7.18
Kevin Kampl,Bayer Leverkusen,28,M(CLR),19(3),1746,2,0.9,47,82.1,0.1,2.2,0.2,7.18
Mario Götze,Bayern Munich,27,"M(CLR),FW",11(3),957,4,1.3,37.6,86.9,0.3,0.4,0.1,7.18
Naldo,Wolfsburg,36,D(C),29,2596,1,0.3,63.5,87.3,-,5.2,-,7.17
Johannes Geis,Schalke 04,25,"D(C),DMC",27(1),2334,5,2.1,56,81.3,1.8,6.9,-,7.17
Julian Draxler,Wolfsburg,25,AM(CLR),19(2),1522,5,1.7,32.5,83.4,0.7,2.4,0.1,7.17
Stefan Kießling,Bayer Leverkusen,35,FW,19(11),1885,3,0.5,22.2,60,-,0.2,-,7.17
Vieirinha,Wolfsburg,33,"D(R),M(LR)",22(4),1904,5,1.3,43.6,77.7,1.1,3.3,-,7.16
Matthias Ginter,Borussia Dortmund,25,"D(CR),DMC",21(3),1890,4,0.9,47.8,82.6,0.5,1.2,0.1,7.16
Lukasz Piszczek,Borussia Dortmund,34,"D(CR),M(R)",16(4),1519,3,1.1,54.6,84.2,0.5,1.3,0.1,7.15
Jannik Vestergaard,Werder Bremen,26,D(C),33,2970,-,0.2,40.4,72.7,-,4,-,7.15
Lewis Holtby,Hamburger SV,28,M(CLR),34,2908,2,1.3,50.4,78.4,0.7,4,-,7.15
Xabi Alonso,Bayern Munich,37,M(C),23(3),1947,2,1.6,90.1,90.7,0.8,4.2,-,7.15
Julian Baumgartlinger,Mainz 05,31,DMC,30(1),2716,1,0.7,48.2,83.5,-,2.7,-,7.15
Arjen Robben,Bayern Munich,35,"M(CLR),FW",14(1),1101,1,1.8,38.1,80.4,0.6,1.3,0.1,7.14
Medhi Benatia,Bayern Munich,32,D(C),11(3),980,2,0.2,59.8,89.6,-,1.9,-,7.13
Tobias Levels,Ingolstadt,32,D(R),16,1440,2,0.4,42.3,77.1,0.4,2.8,-,7.13
Mahmoud Dahoud,Borussia M.Gladbach,23,M(C),27(5),2084,8,1,40.5,83.5,-,2.2,0.1,7.13
Aytac Sulu,Darmstadt,33,D(C),33,2970,-,0.3,16.6,56.3,-,2.5,-,7.13
Leon Balogun,Mainz 05,31,D(CR),17(4),1511,-,0.3,31.2,75.6,-,2.2,-,7.12
Anthony Modeste,FC Cologne,31,FW,33(1),2875,3,0.6,18.4,59.6,-,0.2,-,7.12
Benjamin Henrichs,Bayer Leverkusen,22,"D(LR),M(R)",5(4),538,1,0.3,20.1,72.4,-,1.4,-,7.12
Stefan Bell,Mainz 05,27,D(CR),29(1),2635,2,0.2,52,79.1,-,5.1,-,7.11
Chicharito,Bayer Leverkusen,31,FW,25(3),2174,2,1,19.1,74.2,0.1,0.3,-,7.10
Theodor Gebre Selassie,Werder Bremen,32,"D(LR),DMC,M(R)",33,2961,2,0.8,30.2,73.8,0.4,1.2,-,7.10
Leroy Sané,Schalke 04,23,M(CLR),23(10),2314,6,0.8,18.8,77.5,-,0.5,-,7.10
Ricardo Rodríguez,Wolfsburg,26,"D(CL),M(L)",23(1),2067,3,1.5,55.1,83.1,1.4,4.8,-,7.10
Ömer Toprak,Bayer Leverkusen,29,D(C),17(2),1412,-,0.3,38.9,76.2,-,3.7,0.1,7.09
Philipp Lahm,Bayern Munich,35,"D(R),DMC",25(1),2200,1,1.9,76.5,90.8,0.3,3.2,0.1,7.09
Andreas Christensen,Borussia M.Gladbach,23,"D(C),DMC",31,2790,1,0.1,59.8,87.6,-,3.1,-,7.08
Noah Joel Sarenren Bazee,Hannover 96,22,AM(R),5,383,3,1.2,10,50,0.2,0.2,-,7.08
Vedad Ibisevic,Hertha Berlin,34,FW,25(1),2099,4,0.8,22.3,67.4,-,0.7,-,7.08
Marc Stendera,Eintracht Frankfurt,23,M(C),24(2),2051,1,1,39.3,76.6,0.8,2.3,0.1,7.07
Daniel Didavi,VfB Stuttgart,29,"AM(CR),FW",30(1),2432,3,1.3,31.5,77.3,0.5,1.4,0.1,7.07
Javi Martínez,Bayern Munich,30,"D(C),M(C)",11(5),1104,1,0.5,56.8,89.8,0.1,1.9,-,7.07
Shinji Kagawa,Borussia Dortmund,30,M(CL),26(3),2172,7,1.4,50,85.2,0.1,2,-,7.06
Sebastian Boenisch,Bayer Leverkusen,32,D(CL),7(1),548,-,0.4,38.4,64.2,0.3,2.6,-,7.06
Christian Gentner,VfB Stuttgart,33,M(CLR),29,2494,2,0.9,47.1,73.1,0.2,2.4,-,7.06
Franck Ribéry,Bayern Munich,36,AM(L),6(7),683,3,2.1,39.5,81.3,0.7,1.5,-,7.05
Lukas Rupp,VfB Stuttgart,28,M(CR),24(5),2108,4,1.3,33.1,75.3,0.1,0.9,0.1,7.05
Clemens Fritz,Werder Bremen,38,"D(R),DMC",29,2528,2,0.5,34.7,73.9,0.1,3.1,-,7.05
Julian Weigl,Borussia Dortmund,23,"D(C),DMC",25(5),2249,-,0.5,78.1,91.9,-,3,-,7.05
Kevin Volland,Hoffenheim,26,"AM(CLR),FW",31(2),2731,7,1.3,25.2,58.7,0.5,0.8,-,7.04
Alfred Finnbogason,Augsburg,30,FW,13(1),1133,1,1,20.6,69.2,-,0.5,-,7.04
Dominic Maroh,FC Cologne,32,D(C),23(2),2122,1,0.1,47.2,87,-,2.8,-,7.04
Ivan Perisic,Wolfsburg,30,AM(CLR),2,164,-,1.5,39,75.6,0.5,2.5,-,7.04
Christoph Kramer,Bayer Leverkusen,28,DMC,28,2400,1,0.6,55.5,83.3,0.1,2.6,-,7.03
Claudio Pizarro,Werder Bremen,40,"AM(C),FW",17(11),1742,3,1.1,21.5,68.4,0.1,1,-,7.03
Mergim Mavraj,FC Cologne,33,D(C),11(1),991,-,-,33.3,83.5,-,1.5,-,7.03
Pascal Groß,Ingolstadt,28,M(C),32,2833,4,3,56.5,67.3,2.1,4.5,0.1,7.03
Nicolai Müller,Hamburger SV,31,"M(CLR),FW",27(2),2163,5,1,21.9,68.2,0.1,0.2,-,7.03
Sokratis,Borussia Dortmund,31,D(CR),23(2),2113,-,0.1,74.9,88.8,-,3,-,7.02
Daniel Baier,Augsburg,35,M(C),28,2334,2,1.8,52.7,77,1,4.8,-,7.02
Hiroshi Kiyotake,Hannover 96,29,AM(CLR),20(1),1765,6,2.9,44.5,80.1,1.1,2,0.2,7.02
Szabolcs Huszti,Eintracht Frankfurt,36,M(CLR),14(1),1184,2,2.2,39.1,75.6,1.5,1.3,-,7.02
André Hahn,Borussia M.Gladbach,28,"AM(R),FW",7(8),739,1,0.5,16.6,61.4,-,0.3,-,7.01
Florian Jungwirth,Darmstadt,30,"D(CR),DMC",16(3),1496,1,0.3,16.9,61.2,0.3,1.2,-,7.01
Cléber Reis,Hamburger SV,28,D(C),15(8),1467,-,-,32.8,77.9,-,2.5,-,7.00
Marvin Matip,Ingolstadt,33,D(C),32(1),2925,1,0.3,31.5,76.5,-,2.4,-,7.00
Gonzalo Castro,Borussia Dortmund,32,M(CR),16(9),1484,7,1.1,40.7,82.2,0.1,1.4,0.2,7.00
Danny Latza,Mainz 05,29,DMC,20(7),1863,2,1.2,43.8,80.6,0.9,2.7,-,7.00
Jaroslav Drobny,Hamburger SV,39,GK,9(1),846,1,0.1,28.6,51.7,-,8.9,-,7.00
Roger Bernardo,Ingolstadt,33,"D(C),DMC",28(1),2501,1,0.3,27.4,66.6,-,2.1,-,6.99
Salomon Kalou,Hertha Berlin,33,"AM(CLR),FW",30(2),2535,2,0.7,21.1,76.9,0.1,0.4,-,6.99
Daniel Caligiuri,Wolfsburg,31,"D(R),M(LR),FW",20(9),1825,5,1.1,26.5,78,0.4,1.1,-,6.98
Josuha Guilavogui,Wolfsburg,28,M(C),26(4),2330,-,0.7,48.3,88.1,-,3.2,-,6.98
Fynn Arkenberg,Hannover 96,23,Defender,2,180,-,0.5,17.5,62.9,0.5,-,-,6.98
Peter Niemeyer,Darmstadt,35,"D(C),M(C)",31,2573,-,0.2,23.4,55.6,-,1.3,-,6.98
Mathew Leckie,Ingolstadt,28,AM(CLR),28(4),2477,-,1,27.7,69.5,0.2,0.6,-,6.98
Yunus Malli,Mainz 05,27,"AM(CL),FW",33(1),2796,4,1.3,25.6,73.3,0.1,0.7,0.1,6.98
Neven Subotic,Borussia Dortmund,30,D(C),5(1),463,-,0.3,78.2,87.2,-,4.2,-,6.98
Mitchell Weiser,Hertha Berlin,25,"D(R),M(R)",27(2),2431,4,0.7,33.5,72,0.3,1.3,-,6.97
Albin Ekdal,Hamburger SV,29,M(C),14,1143,-,0.3,43.9,76.9,-,1.6,-,6.97
Jérôme Boateng,Bayern Munich,30,D(CR),17(2),1353,3,0.7,68.4,86.5,0.2,7.2,0.1,6.96
Håvard Nordtveit,Borussia M.Gladbach,29,"D(CR),DMC",27(4),2449,1,0.3,55.7,82.4,0.1,4.7,-,6.96
Markus Suttner,Ingolstadt,32,"D(L),M(L)",15(3),1341,-,0.9,23.3,64.8,0.6,3.4,-,6.96
Juan Bernat,Bayern Munich,26,"D(L),M(CL)",13(3),1149,1,0.4,50.8,90.7,0.2,1.2,-,6.96
Leonardo Bittencourt,FC Cologne,25,AM(CLR),27(2),2219,4,1.3,28,71.2,0.3,0.8,0.1,6.96
Rafinha,Bayern Munich,33,"D(CLR),M(R)",18(7),1748,3,0.8,72.1,92.6,0.4,2.6,-,6.96
Oliver Baumann,Hoffenheim,29,GK,33,2970,-,0.1,39.1,61.4,-,8,-,6.96
Fabian Johnson,Borussia M.Gladbach,31,"D(LR),M(CLR)",25(1),2161,4,1.1,33.9,77.1,-,0.7,-,6.95
Frederik Sörensen,FC Cologne,27,D(CR),19(3),1676,2,0.2,36.9,77.3,-,3.7,-,6.95
Marwin Hitz,Augsburg,31,GK,33,2967,-,-,32.8,63.4,-,10.1,-,6.95
Wendell,Bayer Leverkusen,25,"D(CL),M(L)",26(2),2407,-,0.7,45.5,75,0.2,2.3,-,6.94
