Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Mario Fernández,Racing Santander,31,GK,1,90,-,-,-,-,-,75,-,1,10.00
Lionel Messi,Barcelona,32,"AM(CR),FW",31(2),2859,31,18,3,-,4.5,86.2,0.1,20,8.76
Cristiano Ronaldo,Real Madrid,34,"M(L),FW",32(2),2913,40,11,2,-,7.4,75.7,1.4,12,8.35
José Manuel Jurado,Atletico Madrid,33,M(CLR),1,78,1,-,-,-,1,82.9,1,-,8.27
Marc Bartra,Barcelona,28,D(CR),2,180,1,-,-,-,1,83.8,1,-,7.77
Andrés Iniesta,Barcelona,35,M(CL),32(2),2799,8,3,1,-,1.3,89.6,0.1,2,7.72
Marcelo,Real Madrid,31,D(L),31(1),2738,3,4,7,-,0.8,79.5,0.6,4,7.72
Gabi,Real Zaragoza,35,M(C),36,3230,10,6,15,-,2.3,78.2,1.1,11,7.67
Dani Alves,Barcelona,36,"D(R),M(CR)",31(4),2904,2,15,10,-,1,86.6,0.6,3,7.66
Raúl,Sporting Gijon,32,Goalkeeper,1,90,-,-,-,-,-,55.6,-,-,7.62
José Antonio Reyes,Atletico Madrid,35,M(CLR),34,2935,6,7,7,1,2.6,71,0.9,5,7.62
Xavi,Barcelona,39,DMC,29(2),2467,3,7,6,-,1.1,94.4,-,2,7.58
Raúl Fernández,Athletic Bilbao,31,GK,1,90,-,-,-,-,-,61.5,2,-,7.55
Ivan Rakitic,Sevilla,31,M(C),13,1098,5,2,1,-,1.9,80.4,0.8,1,7.53
Gonzalo Higuaín,Real Madrid,31,FW,16(1),1317,10,6,1,-,2.9,81.8,0.4,2,7.51
Xabi Alonso,Real Madrid,37,M(C),29(5),2665,-,6,12,-,0.6,85.3,1.4,4,7.50
Ángel Di María,Real Madrid,31,"M(CLR),FW",29(6),2329,6,11,6,-,2.1,75.8,-,4,7.49
Álvaro Cejudo,Osasuna,35,M(LR),13,1029,2,2,2,-,2.3,74.4,0.9,2,7.47
Bruno Soriano,Villarreal,35,M(C),36(1),3274,-,2,8,-,0.3,89.5,2.1,4,7.45
Giuseppe Rossi,Villarreal,32,FW,35(1),3030,18,5,6,-,3.8,79,0.3,4,7.44
Mesut Özil,Real Madrid,30,M(CLR),30(6),2571,6,17,2,-,1.1,85.4,0.1,1,7.44
Javi Martínez,Athletic Bilbao,30,"D(C),M(C)",35,2986,4,1,11,-,1.5,74.8,3.1,3,7.43
Santi Cazorla,Villarreal,34,M(CLR),34(3),2901,5,10,6,-,2.5,84.2,-,5,7.39
