Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Samuel Atrous,Lens,29,Goalkeeper,1,90,-,-,-,-,-,39.4,1,-,7.82
Jordan Amavi,Nice,25,"D(L),M(L)",36,3233,4,-,11,-,0.5,74.6,3.1,8,7.74
Zlatan Ibrahimovic,Paris Saint-Germain,37,FW,23(1),2003,19,6,3,-,3.6,77.9,2.2,6,7.73
Alexandre Lacazette,Lyon,28,"M(LR),FW",33,2849,27,6,6,-,2.9,78.8,1.1,8,7.69
Bruno Ecuele Manga,Lorient,30,D(CR),3,270,-,-,-,-,1,74.6,8,-,7.62
Loic Perrin,Saint-Etienne,33,D(C),27(1),2438,1,-,1,-,0.5,84.3,4.3,5,7.59
Nicolas Nkoulou,Marseille,29,D(C),23(1),2111,2,-,5,-,0.5,90.8,3.4,1,7.59
Nabil Fekir,Lyon,25,"AM(CR),FW",34,2776,13,9,7,-,2.6,83.8,0.6,7,7.57
Hilton,Montpellier,41,D(C),37,3330,3,-,3,1,0.7,64,3.4,6,7.57
Dimitri Payet,Marseille,32,M(CLR),35(1),3062,7,16,3,-,2,79.1,0.1,7,7.56
Marco Verratti,Paris Saint-Germain,26,DMC,28(4),2460,2,8,11,-,0.4,91.4,0.3,5,7.55
Serge Aurier,Paris Saint-Germain,26,"D(CLR),M(R)",12(2),1136,-,5,2,-,0.5,88.9,1.9,1,7.54
Layvin Kurzawa,Monaco,26,"D(L),M(L)",25(2),2205,-,4,1,-,1.2,77.5,1.9,6,7.54
Thiago Silva,Paris Saint-Germain,34,D(C),26,2309,1,-,1,-,0.4,91.2,3.5,4,7.53
Christophe Jallet,Lyon,35,D(LR),32,2880,1,3,6,-,0.8,82.6,1.5,2,7.50
Dany Nounkeu,Evian Thonon Gaillard,33,D(C),14,1241,1,-,4,-,0.3,72.5,3.4,4,7.49
Lucas Moura,Paris Saint-Germain,26,"AM(CLR),FW",22(7),1901,7,5,2,-,1.4,86.6,0.9,6,7.47
Said Benrahma,Nice,23,AM(LR),3,200,1,2,-,-,1.7,75,0.3,-,7.46
Maxime Gonalons,Lyon,30,"D(C),M(C)",35,3137,1,2,7,-,0.6,88.7,2.3,3,7.43
Sofiane Boufal,Lille,25,"AM(CLR),FW",11(3),1016,3,6,1,-,1.4,84.7,0.4,3,7.42
Idrissa Gueye,Lille,29,M(C),30(2),2734,4,2,4,-,1.1,86.4,1,4,7.41
Morgan Sanson,Montpellier,24,M(CLR),30(2),2743,6,3,3,-,1.4,81,0.9,3,7.41
Wesley Lautoa,Lorient,31,"D(C),DMC",26,2309,-,-,4,-,0.3,81.6,4.2,2,7.38
Fabinho,Monaco,25,"D(R),DMC",35(1),3169,1,-,4,-,0.5,81.5,1.4,2,7.38
Javier Pastore,Paris Saint-Germain,30,AM(CLR),31(3),2755,5,12,4,-,1.3,81.3,0.3,3,7.37
N'Golo Kanté,Caen,28,DMC,36(1),3183,2,5,4,1,0.9,78.7,0.7,2,7.36
Max-Alain Gradel,Saint-Etienne,31,"M(LR),FW",23(8),2190,17,3,6,-,3.3,71.9,0.6,6,7.36
Taylor Moore,Lens,22,D(R),4,360,-,1,1,-,0.5,71.8,3,-,7.35
Giannelli Imbula,Marseille,26,M(C),37,3179,2,2,5,1,1.3,89.6,1.2,1,7.35
Olivier Boscagli,Nice,21,D(CL),2,174,-,-,-,-,-,67.4,1.5,-,7.35
André Ayew,Marseille,29,"M(CLR),FW",27(1),2375,9,3,6,-,1.9,81.4,2.3,2,7.34
Franck Tabanou,Saint-Etienne,30,"D(L),M(L)",30(1),2614,1,5,6,-,0.7,76.4,2.4,1,7.33
Simon Kjaer,Lille,30,D(C),31,2709,1,-,6,-,1,79.1,3.1,3,7.32
Jérémy Toulalan,Monaco,35,"D(C),M(C)",28,2447,-,1,6,-,0.4,80.8,2.3,-,7.32
Clément Grenier,Lyon,28,M(CL),4(2),361,1,2,-,-,1.3,77.7,1,1,7.32
Papy Djilobodji,Nantes,30,D(C),30(1),2716,-,-,11,-,0.8,76,3.1,2,7.31
Mathieu Bodmer,Nice,36,"D(C),M(C)",21(1),1852,2,-,5,-,0.4,81,3.5,2,7.30
Romain Genevois,Nice,31,D(CR),34,2941,1,1,3,-,0.3,76.8,2.8,2,7.29
Olivier Veigneau,Nantes,33,D(L),24,2050,-,-,2,-,0.1,75.1,1.7,2,7.29
João Moutinho,Monaco,32,M(C),35(2),3165,4,6,6,-,1.3,83.4,1,3,7.27
Nicolas Seube,Caen,39,M(C),22(2),1883,1,2,3,-,0.6,73.4,2.1,1,7.27
Geoffrey Kondogbia,Monaco,26,DMC,22(1),1912,1,1,3,-,1.2,86.2,1.3,-,7.26
Abdelhamid El Kaoutari,Montpellier,29,D(CL),37,3330,-,1,3,-,-,70.6,1.7,1,7.25
David Luiz,Paris Saint-Germain,32,"D(C),DMC",26(2),2291,2,-,5,-,1,89.6,2.3,-,7.25
Yannick Carrasco,Monaco,25,"M(LR),FW",33(3),2813,6,10,6,-,2.1,78.2,0.4,4,7.25
Rod Fanni,Marseille,37,D(CR),24(3),2244,2,2,2,1,0.4,86.5,2.1,1,7.25
Jérémy Morel,Marseille,35,D(CL),30(1),2678,1,-,6,1,0.2,85.1,2.9,1,7.25
Ludovic Baal,Lens,33,"D(L),M(L)",27,2406,-,4,2,1,0.3,76.2,2.2,2,7.24
Daniel Congré,Montpellier,34,D(CLR),26(4),2366,-,-,4,-,0.2,75.5,2.2,1,7.24
Benjamin Stambouli,Montpellier,28,"D(C),M(C)",2,180,-,-,-,-,2,86.7,0.5,-,7.24
Benjamin Karamoko,Saint-Etienne,24,Defender,1(1),135,-,-,1,-,-,73.7,3,-,7.24
Bernardo Silva,Monaco,24,AM(CLR),25(7),2287,9,3,1,-,1.1,84.7,0.5,3,7.23
Tiemoué Bakayoko,Monaco,24,DMC,10(2),835,-,-,3,1,0.3,82.7,3,2,7.22
Almamy Touré,Monaco,23,D(CR),4(1),375,1,-,-,-,0.4,83.5,0.6,-,7.21
Jonathan Ligali,Montpellier,28,GK,6,540,-,-,1,-,-,38.6,0.3,-,7.21
Nicolas Pallois,Bordeaux,31,D(C),33(1),2972,-,-,3,1,0.3,83.7,2.4,3,7.21
Damien Da Silva,Caen,31,D(C),35,3077,1,1,5,1,0.4,75.2,3.1,2,7.21
Benjamin Mendy,Marseille,24,"D(L),DMC,M(L)",33,2921,-,3,8,-,0.7,79.2,1.8,1,7.20
Djibril Sidibe,Lille,26,"D(LR),M(R)",23(2),2097,2,2,6,1,0.8,80.2,1.2,2,7.20
Paul Baysse,Saint-Etienne,31,D(CR),8(1),627,1,-,1,-,0.6,81.3,3.2,-,7.18
Jean-Armel Kana-Biyik,Toulouse,29,D(C),13,1079,1,-,-,1,0.5,80.7,1.8,2,7.18
Sylvain Armand,Rennes,38,D(CL),36,3240,1,-,4,-,0.3,82.3,1.4,3,7.17
Franck Signorino,Reims,37,"D(L),M(L)",26,2266,-,4,8,-,-,77.2,1.4,1,7.17
Yrondu Musavu-King,Caen,27,D(C),6,480,1,-,-,-,0.8,73.5,3.7,1,7.16
Youssouf Sabaly,Evian Thonon Gaillard,26,D(LR),28,2476,-,1,3,-,0.6,72.3,1,-,7.16
Samuel Umtiti,Lyon,25,D(CL),35,3089,1,2,5,-,0.5,85.3,1.2,1,7.15
Mohamed Fofana,Reims,34,D(C),10(3),1091,-,-,4,-,0.2,85,2.1,-,7.15
Romain Hamouma,Saint-Etienne,32,"M(CLR),FW",23(3),1973,3,8,5,-,1,78.5,0.5,2,7.15
Lamine Sané,Bordeaux,32,"D(C),M(C)",22(1),1932,1,1,-,1,0.4,88.6,3.6,2,7.14
Marko Basa,Lille,36,D(C),30,2572,1,-,2,-,0.4,90.7,2.9,2,7.14
Jonathan Rivierez,Metz,30,D(LR),7(1),632,-,-,2,-,0.1,65.4,1.3,-,7.14
Bryan Dabo,Montpellier,27,"D(R),M(CR)",20(1),1821,2,2,5,-,0.9,75,1.1,3,7.14
Florentin Pogba,Saint-Etienne,28,D(CL),12(4),1133,1,-,-,-,0.4,81.6,2.2,3,7.13
Guillaume Gillet,SC Bastia,35,"D(R),M(CR)",37(1),3350,2,2,6,-,0.7,76.8,3.8,1,7.13
Anthony Mounier,Montpellier,31,AM(CLR),36,3102,9,7,1,-,1.5,72.7,0.5,1,7.12
Adrien Rabiot,Paris Saint-Germain,24,DMC,10(10),1121,4,1,1,-,0.9,88.9,1.4,3,7.12
Mexer,Rennes,30,D(C),35,3150,4,-,3,-,0.5,86.4,2.3,2,7.10
Lamine Koné,Lorient,30,D(C),30,2700,1,1,4,-,0.6,75.1,2.7,1,7.10
Moustapha Bayal Sall,Saint-Etienne,33,D(C),23,2051,1,-,8,-,0.6,82.4,2,-,7.09
