Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Hakim Ziyech,Ajax,26,M(CR),34,3043,15,4.2,61.1,75.4,2.9,5,0.6,8.21
Alireza Jahanbakhsh,AZ Alkmaar,25,AM(CLR),33,2840,12,2.4,42.6,73.4,0.9,1.4,0.3,8.20
Hirving Lozano,PSV Eindhoven,23,AM(LR),29,2350,8,2.6,20,75.3,2.4,0.7,-,7.90
David Neres,Ajax,22,AM(CLR),28(4),2534,11,2.2,31.8,83.1,0.2,0.3,0.2,7.85
Steven Berghuis,Feyenoord,27,"AM(R),FW",31,2597,12,2.1,49.4,78.4,1.4,4,0.1,7.81
Luuk de Jong,PSV Eindhoven,28,"AM(C),FW",22(6),2078,5,1.7,24.4,66.7,-,0.4,0.1,7.69
Azor Matusiwa,Ajax,21,M(C),1,90,-,3,77,85.7,-,2,-,7.66
Marko Vejinovic,AZ Alkmaar,29,M(C),7,557,4,3,69.7,86.3,2.9,4.9,-,7.64
Mike Hauptmeijer,PEC Zwolle,22,Goalkeeper,0(1),47,-,-,25,48,-,8,-,7.55
Brandley Kuwas,Heracles,26,"AM(CR),FW",29(1),2497,13,3.2,28,76.9,1.8,1.8,0.1,7.53
Marco van Ginkel,PSV Eindhoven,26,M(C),28,2483,4,1.6,45.3,79.4,0.3,3.2,0.1,7.51
Justin Kluivert,Ajax,20,AM(LR),27(3),2335,5,1.6,27.3,86.7,0.8,0.6,0.1,7.51
Jürgen Locadia,PSV Eindhoven,25,"AM(LR),FW",15,1253,2,1.5,28.6,77.2,0.5,1.8,-,7.51
Kostas Lamprou,Ajax,27,GK,1,90,-,-,30,73.3,-,6,-,7.48
Lasse Schöne,Ajax,33,M(CLR),27(3),2350,3,1.4,56.1,87,0.9,1.7,0.1,7.45
Zakaria Labyad,FC Utrecht,26,"AM(CLR),FW",29,2550,9,2.8,30.4,72.8,2.4,1.4,0.2,7.44
Wout Weghorst,AZ Alkmaar,26,FW,31,2762,6,1.3,28.7,73.5,-,0.8,0.1,7.42
Oussama Idrissi,AZ Alkmaar,23,AM(LR),9(3),749,6,2.7,33.4,83.3,1.2,1.4,0.1,7.40
Donny van de Beek,Ajax,22,M(C),33(1),2856,6,1.5,45.8,82.5,0.2,1.6,0.1,7.40
Jorrit Hendrix,PSV Eindhoven,24,"D(C),DMC",33,2818,4,0.8,40.7,79.2,0.1,3.7,0.1,7.38
Martin Ødegaard,SC Heerenveen,20,AM(CR),24,2079,1,1.9,45.2,80.9,1,1.8,0.3,7.36
