Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Jean-Louis Leca,Valenciennes,33,GK,1,90,-,-,30,60,-,17,-,8.18
Anthony Mounier,Lyon,31,AM(CLR),1,90,1,1,38,71.1,1,4,-,7.96
Nenê,Monaco,37,AM(CLR),34,2997,4,2.4,30.1,66.7,1.9,1.4,0.1,7.73
Fabio Grosso,Lyon,41,D(CL),1,90,-,-,69,73.9,-,7,-,7.68
Florian Bague,Boulogne,34,Goalkeeper,1,90,-,-,34,58.8,-,15,-,7.67
Laurent Koscielny,Lorient,33,D(C),35,3118,-,0.3,27.1,74.9,-,2.1,0.1,7.57
Benoit Pedretti,Auxerre,38,M(C),36,3220,4,2.3,61.4,77.9,2.5,7.5,0.2,7.53
Mamadou Niang,Marseille,39,"AM(CLR),FW",29(3),2494,6,1,20.1,76.4,0.2,0.3,0.1,7.50
Yohan Cabaye,Lille,33,M(C),30(2),2557,7,2,39.8,76.5,1.4,4.3,0.2,7.50
Yoann Gourcuff,Bordeaux,32,M(CL),26(3),2269,7,2.3,48.4,81.5,1.8,4.2,0.6,7.49
Cris,Lyon,42,D(C),34,3060,1,0.1,37.3,82,0.1,3.8,-,7.47
Abdoulaye Diallo,Rennes,27,GK,1,90,-,-,35,34.3,-,10,-,7.43
Wendel,Bordeaux,37,M(CL),25(6),2205,6,1.5,32,81.6,1.3,0.8,-,7.42
Gervinho,Lille,32,"M(LR),FW",28(4),2472,4,1.1,21.5,80.6,0.1,0.2,-,7.40
Hamdi Kasraoui,Lens,36,GK,6,540,-,0.2,24,50,-,8.2,-,7.39
Serge Aurier,Lens,26,"D(CLR),M(R)",5,450,-,0.2,34.2,66.1,0.4,2.8,-,7.36
Lionel Letizi,Nice,46,Goalkeeper,1(1),145,-,-,18.5,56.8,-,9.5,-,7.35
Souleymane Diawara,Marseille,40,D(C),37,3330,1,0.1,41.7,82.8,-,3.4,-,7.34
Mathieu Debuchy,Lille,33,D(CR),30(1),2674,1,0.8,29.9,69.9,0.7,1,-,7.34
Julien Féret,Nancy,36,M(C),35(2),3155,9,1.8,37.7,73.2,0.9,2.5,0.3,7.34
Lionel Cappone,Lorient,40,GK,3,270,-,-,25.3,32.9,-,5.3,-,7.33
Rudy Mater,Valenciennes,38,D(R),28,2316,5,0.7,37.9,69.4,0.8,3.3,0.2,7.33
Emir Spahic,Montpellier,38,D(C),34,3005,1,0.2,42,74.9,-,2.7,-,7.33
Jean-Alain Boumsong,Lyon,39,"D(CL),DMC",19,1705,-,0.2,33.6,82.1,-,1,0.1,7.32
Sylvain Marveaux,Rennes,33,"AM(CLR),FW",33(2),2724,5,2.4,33.2,79.7,1.6,1.5,0.2,7.31
Benoit Cheyrou,Marseille,38,M(C),27(5),2408,5,1.8,44,78.7,1.1,4,0.2,7.31
Stéphane Grichting,Auxerre,40,"D(CL),DMC",37,3217,-,0.1,27.7,75,0.1,1.5,-,7.30
Lucho González,Marseille,38,M(C),28(4),2370,12,1.9,35.3,77.1,0.9,1.7,0.4,7.30
Alou Diarra,Bordeaux,37,"D(C),M(C)",30,2554,-,0.5,45.2,86.6,-,1.9,-,7.29
Michael Ciani,Bordeaux,35,D(C),29(1),2513,-,0.1,39.4,85.6,-,3.9,-,7.28
Elinton Andrade,Marseille,40,Goalkeeper,2(1),243,-,-,23,71,-,9.7,-,7.28
Jérémy Toulalan,Lyon,35,"D(C),M(C)",27(4),2482,1,0.3,51.8,79.2,0.1,3.8,0.1,7.27
Aurélien Chedjou,Lille,34,"D(C),DMC",28(3),2449,1,0.3,38.5,81.7,-,3.8,-,7.26
Guy NDy Assembe,Valenciennes,33,GK,17,1530,-,0.1,22.9,55.5,-,9.3,-,7.26
Aly Cissokho,Lyon,31,"D(L),M(L)",31,2735,3,0.9,35.9,80.5,1.3,1.1,-,7.26
Maxime Gonalons,Lyon,30,"D(C),M(C)",12(3),1073,-,0.5,39.8,80.1,0.1,3.2,0.1,7.26
Loic Perrin,Saint-Etienne,33,D(C),15(3),1309,-,0.8,30.2,74,0.2,1.6,0.1,7.26
Tino Costa,Montpellier,34,M(C),31,2674,6,2.3,49.6,75.6,1.6,3.4,0.1,7.24
Pascal Berenguer,Nancy,38,"D(C),M(CR)",29(1),2600,1,0.5,39.8,75.6,0.1,2.2,-,7.24
Sylvain Marchal,Lorient,39,D(C),31,2704,-,-,26,75.3,-,1.7,-,7.24
Adama Coulibaly,Auxerre,38,"D(CL),DMC",33,2960,2,0.1,27.2,82.4,-,2.1,-,7.24
Rod Fanni,Rennes,37,D(CR),38,3420,3,0.9,38.4,75.5,0.8,1.9,-,7.22
Taye Taiwo,Marseille,34,D(CL),24(3),2165,2,1.1,37.7,74.1,0.9,2.7,-,7.22
Gabriel Heinze,Marseille,41,"D(CL),DMC",26(1),2252,1,0.5,40.5,78.9,0.2,3.3,-,7.21
Brandão,Marseille,39,FW,27(3),2452,5,1.2,20.3,64.3,0.1,0.3,-,7.21
Eden Hazard,Lille,28,"M(CLR),FW",31(6),2696,8,1.5,29,77.3,0.5,0.8,0.2,7.20
Stéphane Sessegnon,Paris Saint-Germain,35,M(CLR),27(2),2358,5,2.2,35,76.2,1.3,1.9,0.2,7.20
André-Pierre Gignac,Toulouse,33,FW,30(1),2718,4,0.9,15.8,71.4,0.2,0.5,0.3,7.20
Abdoulaye Keita,Bordeaux,28,Goalkeeper,0(1),56,-,1,19,68.4,-,4,-,7.20
