Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Dylan Saint-Louis,Saint-Etienne,24,Forward,1,84,1,-,-,-,2,56.7,3,-,7.84
Sylvain Armand,Rennes,38,D(CL),0(1),65,-,-,-,-,-,81,2,-,7.82
Anthony Maisonnial,Saint-Etienne,21,Goalkeeper,1(1),167,-,-,-,-,-,43.5,-,1,7.77
Romain Salin,Guingamp,34,GK,1,90,-,-,-,-,-,76.5,2,-,7.57
Alexandre Lacazette,Lyon,28,"M(LR),FW",28(2),2408,28,3,3,-,2.8,78,0.9,7,7.57
Marco Verratti,Paris Saint-Germain,26,DMC,25(3),2158,3,5,6,-,0.4,88.4,0.2,3,7.54
Ryad Boudebouz,Montpellier,29,"M(CLR),FW",33,2925,11,9,4,-,1.8,78.8,0.9,7,7.52
Dimitri Payet,Marseille,32,M(CLR),14(1),1249,4,3,3,-,2.6,80.4,0.3,2,7.52
Fabinho,Monaco,25,"D(R),DMC",33(4),3071,9,1,8,-,0.8,84.4,1.8,2,7.51
Mauro Goicoechea,Toulouse,31,GK,2,180,-,-,-,-,-,55.4,0.5,1,7.51
Thomas Lemar,Monaco,23,AM(CLR),28(6),2612,9,10,1,-,1.7,82.8,0.3,5,7.48
Loic Perrin,Saint-Etienne,33,D(C),26(1),2246,4,1,1,-,0.8,87.7,2.9,3,7.47
Maxime Gonalons,Lyon,30,"D(C),M(C)",28(1),2432,1,1,7,1,0.7,90,2.8,2,7.44
Marçal,Guingamp,30,D(CL),31,2689,-,7,3,1,0.5,79.2,1.8,3,7.43
Jorge,Monaco,23,D(L),1(1),91,1,-,-,-,2,76.5,2,1,7.42
Lucas Moura,Paris Saint-Germain,26,"AM(CLR),FW",29(8),2435,12,5,-,-,1.8,82.7,0.5,4,7.41
Thomas Meunier,Paris Saint-Germain,27,"D(R),M(R)",18(4),1692,1,4,3,-,1,86.2,1.5,1,7.39
Thomas Vincensini,SC Bastia,25,Goalkeeper,3,270,-,-,-,-,-,52.3,0.3,-,7.38
Radamel Falcao,Monaco,33,FW,22(7),1941,21,5,2,-,2.8,78.9,1.4,3,7.38
Thiago Silva,Paris Saint-Germain,34,D(C),27,2386,3,2,1,-,0.8,93.9,2.2,2,7.38
Florian Thauvin,Marseille,26,"AM(CLR),FW",36(2),2978,15,8,2,-,2.5,77.8,0.5,9,7.37
Edinson Cavani,Paris Saint-Germain,32,"AM(LR),FW",35(1),2978,35,4,5,-,4,81.9,0.3,5,7.37
Ricardo Pereira,Nice,25,"D(LR),M(R)",23(1),2058,2,4,2,-,0.8,86.5,1.1,4,7.36
Adrien Rabiot,Paris Saint-Germain,24,DMC,20(7),1932,3,2,2,-,0.8,90,1.9,3,7.36
Gabriel Boschilia,Monaco,23,AM(CLR),5(6),437,6,2,1,-,1.8,76.1,0.3,1,7.35
Cheikh N'Doye,Angers,33,M(C),32(1),2911,5,5,5,1,2.7,65.8,8.2,6,7.34
William Vainqueur,Marseille,30,DMC,29,2550,-,1,6,-,1,91.8,1.1,-,7.32
Marcel Tisserand,Monaco,26,"D(CLR),M(R)",1,90,-,-,1,-,1,67.6,1,-,7.31
Memphis Depay,Lyon,25,"AM(CL),FW",12(4),1099,5,7,1,-,2.9,80.2,0.3,2,7.30
Óscar Trejo,Toulouse,31,M(CLR),27(2),2322,2,5,4,-,0.9,74.9,0.7,5,7.30
Bernardo Silva,Monaco,24,AM(CLR),33(4),2800,8,9,3,-,1.6,81.1,0.5,3,7.29
Almamy Touré,Monaco,23,D(CR),12(3),1082,-,5,-,-,0.4,79.3,2.1,-,7.29
