Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Gonzalo Castro,Mallorca,34,"AM(LR),FW",30(5),2545,6,9,1.9,2,1.1,0.7,0.1,1.4,1.2,7.25
Roberto Fernández,Granada,40,GK,22,1980,-,-,-,0.1,-,0.2,-,-,-,7.25
Fernando Amorebieta,Athletic Bilbao,34,D(CL),27(1),2339,3,1,0.3,0.2,0.2,1,-,0.2,0.2,7.25
Gustavo Cabral,Levante,33,D(C),15(1),1366,1,1,0.4,0.1,0.2,0.2,-,0.4,0.2,7.25
Juanfran,Levante,42,D(CL),29,2587,-,3,0.2,0.6,0.5,1.4,0.1,0.5,0.7,7.25
Michu,Rayo Vallecano,33,"AM(C),FW",37,3285,15,3,2.4,1.1,0.3,0.9,0.3,1.2,1,7.24
Javi López,Espanyol,33,"D(R),DMC",26(3),2286,1,3,0.6,0.6,0.6,1.9,0.1,0.7,1,7.24
Fernando Navarro,Sevilla,37,D(CL),35,3043,-,1,0.1,0.6,0.5,1.6,-,0.6,0.4,7.23
Beñat Etxebarria,Real Betis,32,M(C),30(5),2648,6,5,2.2,1.5,0.4,1.1,-,1,0.8,7.23
Jesús Gámez,Malaga,34,D(LR),24(1),2155,-,5,0.3,1,0.3,1,-,0.6,0.3,7.22
Javad Nekounam,Osasuna,38,"D(C),M(CR)",28(3),2507,5,-,1.5,0.4,0.2,0.9,0.1,0.6,0.4,7.22
Antoine Griezmann,Real Sociedad,28,"AM(CLR),FW",28(7),2621,7,4,2.7,1.2,0.9,0.9,0.4,1.4,0.9,7.21
Arda Turan,Atletico Madrid,32,AM(CLR),24(9),2167,3,6,1.4,1.2,0.9,1.4,0.3,1.9,1.2,7.21
Pepe,Real Madrid,36,D(C),29,2550,1,-,0.5,0.3,0.3,1.3,0.2,0.4,0.2,7.21
Valdo,Levante,38,"M(CR),FW",32(2),2852,6,6,0.8,1,1.3,2,0.3,2.6,1.8,7.20
Isco,Malaga,27,"AM(CLR),FW",29(3),2520,5,4,1.9,1.3,2,2.4,0.2,3,1.9,7.20
Javi Venta,Levante,43,D(R),25(1),2225,-,2,0.1,0.6,0.5,0.5,-,0.8,0.5,7.20
Radamel Falcao,Atletico Madrid,33,FW,33(1),2942,24,3,3.6,1,0.5,1.9,1.2,2.8,1.9,7.20
Martín Demichelis,Malaga,38,D(C),33(2),3017,2,1,0.5,0.2,0.3,0.9,0.2,0.3,0.4,7.19
Raúl Rodríguez,Espanyol,31,"D(CR),DMC",28,2437,-,-,0.5,0.4,-,0.7,-,0.3,0.3,7.19
Borja Valero,Villarreal,34,M(CL),36,3151,5,6,1.4,2.1,1.1,2.8,0.3,2.4,1.4,7.18
Diego Costa,Rayo Vallecano,30,FW,15(1),1320,10,4,2.8,0.9,1.3,4.1,1.4,3.5,2.1,7.18
Joaquín,Malaga,37,"M(CLR),FW",19(4),1711,2,3,1.2,2.1,2.8,2,0.3,2.3,1.7,7.18
Álvaro Arbeloa,Real Madrid,36,D(LR),26,2226,-,3,0.2,0.6,0.7,2,-,1.3,0.6,7.18
Nacho Monreal,Malaga,33,"D(CL),M(L)",28(3),2564,-,4,0.4,1.2,0.5,1.1,-,0.5,0.6,7.17
Jefferson Montero,Real Betis,29,M(L),26(6),2052,1,3,1.9,0.9,3.6,1.4,0.1,2.3,1.4,7.17
Ernesto Galán,Espanyol,33,"D(R),DMC",11,952,-,-,0.4,0.4,-,0.7,-,0.6,0.5,7.16
Álvaro Negredo,Sevilla,33,FW,28(2),2341,14,3,2.8,1.3,1,1.9,0.5,2,1.5,7.15
Ion Ansotegi,Real Sociedad,36,D(C),9(1),833,-,-,0.5,0.1,-,0.7,0.2,-,0.1,7.15
Sergio Ballesteros,Levante,43,D(C),37,3330,1,1,0.2,0.3,0.3,0.6,-,0.4,0.2,7.14
Marcos Senna,Villarreal,42,"D(C),DMC,M(R)",24(7),2093,5,1,1.7,0.8,0.4,1.6,-,0.9,0.5,7.14
Federico Fazio,Sevilla,32,D(C),25(3),2249,2,-,0.8,0.3,0.6,0.4,0.1,0.1,0.3,7.14
Gorka Elustondo,Real Sociedad,32,"D(C),M(C)",16(1),1412,1,2,1.1,0.4,0.2,0.7,0.1,0.9,0.5,7.14
David Albelda,Valencia,41,M(C),19(2),1599,-,-,0.2,0.5,0.3,1,-,0.4,0.3,7.13
Iván Ramis,Mallorca,34,D(C),34,2976,2,-,0.9,0.1,0.2,0.6,0.1,0.3,0.3,7.13
Adriano,Barcelona,34,"D(CLR),M(L)",20(6),1733,1,5,0.8,0.5,1,0.6,0.1,1,0.5,7.13
Diego,Atletico Madrid,34,AM(CLR),27(3),2210,3,3,1.9,2.5,1.2,2.4,0.3,1.9,1.2,7.12
Dídac Vilá,Espanyol,30,D(L),37,3330,2,2,0.7,0.8,0.4,0.9,-,0.9,1,7.12
Pape Diop,Racing Santander,33,M(C),33(1),2914,1,4,1.3,0.8,0.6,1.8,0.1,1.5,1.3,7.12
Casado,Rayo Vallecano,32,D(L),32,2776,-,2,0.5,0.6,0.7,0.5,0.1,0.7,0.5,7.12
Juanfran,Atletico Madrid,34,D(R),23(3),2064,-,5,0.5,0.8,1,1,0.1,0.6,0.9,7.12
Vicente Iborra,Levante,31,M(C),28(5),2328,-,1,0.5,0.2,0.2,0.9,0.1,0.4,0.4,7.12
David Navarro,Levante,39,D(C),3(1),271,-,-,0.3,-,0.3,0.3,-,0.3,-,7.11
Alberto de la Bella,Real Sociedad,33,D(L),21,1818,-,2,0.2,1,0.2,0.6,-,0.6,0.3,7.10
David Barral,Sporting Gijon,36,FW,26(4),2251,9,2,2.7,0.7,0.7,1.7,0.4,1.3,1.4,7.10
Pablo Álvarez,Real Zaragoza,35,D(CLR),15,1282,-,-,0.8,0.3,0.1,1.1,0.2,0.4,0.5,7.10
Carlos Vela,Real Sociedad,30,"M(CLR),FW",28(7),2488,12,7,2.3,1.2,0.8,2.1,0.7,1.7,1.3,7.09
Eneko Satrústegui,Osasuna,28,D(C),10,787,-,-,0.1,0.3,0.2,0.6,-,0.9,0.6,7.09
Paulo Da Silva,Real Zaragoza,39,D(C),27(2),2468,1,-,0.3,-,-,0.3,0.1,0.1,0.1,7.09
Alberto Lora,Sporting Gijon,32,D(R),25(2),2241,3,1,0.5,0.9,0.6,0.9,-,0.9,0.7,7.09
Toño,Racing Santander,39,GK,25,2166,-,-,-,-,-,0.2,-,-,-,7.08
Gary Medel,Sevilla,31,"D(C),DMC",30(1),2638,2,-,0.8,0.5,0.1,0.8,-,0.8,0.4,7.08
Gorka Iraizoz,Athletic Bilbao,38,GK,37,3330,-,-,-,-,-,0.2,-,-,-,7.08
Cata Díaz,Getafe,39,D(C),36,3240,-,-,0.3,0.1,0.3,0.6,-,0.2,0.3,7.07
Ádám Pintér,Real Zaragoza,31,"D(C),M(C)",14(3),1258,-,-,0.7,0.4,0.1,0.5,-,0.6,0.4,7.07
José Antonio Reyes,Sevilla,35,M(CLR),15(4),1210,1,4,1.7,1.7,1.7,2.6,0.2,1.8,1.5,7.07
Mikel González,Real Sociedad,33,D(C),25(3),2206,1,-,0.1,0.1,0.1,0.2,-,0.3,0.2,7.07
Mateo Musacchio,Villarreal,28,D(C),29(1),2650,-,-,0.2,0.2,0.3,0.9,0.1,0.5,0.3,7.07
Martí,Mallorca,44,M(C),24(4),2140,1,-,0.3,0.7,0.1,0.9,-,0.8,0.3,7.07
Barkero,Levante,40,M(C),30(2),2510,7,8,1.6,1.7,0.5,1.3,0.2,1.5,1.1,7.07
Eric Abidal,Barcelona,39,D(C),20(2),1765,-,2,0.2,0.4,0.2,0.3,0.1,0.4,0.5,7.07
