Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Neymar,Paris Saint-Germain,27,"AM(CLR),FW",16(1),1444,7,2.5,57.8,81.1,1,2.5,0.9,8.26
Kylian Mbappé,Paris Saint-Germain,20,"AM(LR),FW",24(5),2344,7,1.6,26.9,79.4,0.2,0.6,0.1,8.00
Téji Savanier,Nimes,27,DMC,32,2866,14,2.7,50.4,71.4,2.3,6.6,0.1,7.89
Jessy Moulin,Saint-Etienne,33,GK,1,90,-,-,20,85,-,-,-,7.76
Nicolas Pepe,Lille,24,"AM(R),FW",37(1),3332,11,1.8,31.6,79.1,0.4,0.7,0.3,7.62
Ángel Di María,Paris Saint-Germain,31,"M(CLR),FW",28(2),2339,11,1.8,42.1,78.8,1,1.7,0.2,7.52
Youcef Atal,Nice,23,"D(R),M(R)",25(4),2261,-,0.8,34.9,83.6,0.3,0.9,0.1,7.48
Yassine Benzia,Lille,24,"AM(CLR),FW",2,162,1,2.5,49.5,81.8,1,4,0.5,7.46
Edinson Cavani,Paris Saint-Germain,32,"AM(LR),FW",20(1),1676,5,0.6,16.7,76.3,-,0.3,-,7.44
Hatem Ben Arfa,Rennes,32,"M(CR),FW",23(3),2037,2,1.4,32.7,85.2,0.5,1.6,0.2,7.35
Memphis Depay,Lyon,25,"AM(CL),FW",29(7),2737,10,3.1,34.8,80.1,2,1.4,0.2,7.34
Nabil Fekir,Lyon,25,"AM(CR),FW",24(5),1991,7,1.8,34.1,85.2,1,1.2,0.1,7.31
Adrien Rabiot,Paris Saint-Germain,24,DMC,12(2),1064,1,0.4,74.8,93.1,-,3.4,0.2,7.31
Flavien Tait,Angers,26,AM(CLR),34(2),2995,7,2.1,36.4,78.8,1.4,1.4,0.2,7.30
Metehan Guclu,Paris Saint-Germain,20,Forward,0(1),16,-,1,3,100,-,-,-,7.29
Andy Delort,Montpellier,27,"AM(R),FW",36,3132,7,1.6,29.3,63.9,0.8,1.4,0.1,7.27
Thiago Mendes,Lille,27,"D(R),M(CR)",35,3082,5,1.8,56.7,84.8,1.4,3.1,0.1,7.27
Wahbi Khazri,Saint-Etienne,28,"M(CLR),FW",32,2825,6,2.2,27.4,74.5,1.6,1.8,-,7.25
