Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Luca Crosta,Cagliari,21,Goalkeeper,1,90,-,-,1,-,2,-,-,-,8.32
Edin Dzeko,Roma,33,FW,33(4),3056,0.3,0.3,1.4,-,0.9,0.2,0.1,-,7.85
Dries Mertens,Napoli,32,"AM(CLR),FW",28(7),2566,0.7,0.2,1.2,-,0.3,0.4,0.1,-,7.76
Alejandro Gómez,Atalanta,31,"M(CL),FW",37,3140,0.7,0.7,1,-,0.2,0.8,-,-,7.75
Lorenzo Insigne,Napoli,28,"AM(CL),FW",35(2),2935,1,0.7,0.2,-,0.1,0.9,-,-,7.67
Marcos Alonso,Fiorentina,28,"D(CL),M(L)",2,180,1.5,1,1.5,0.5,7.5,-,0.5,-,7.66
Alex Sandro,Juventus,28,"D(L),M(L)",25(2),2310,2.3,2.1,1.6,0.2,2,0.6,0.1,1,7.63
Felipe Anderson,Lazio,26,"M(CLR),FW",33(3),2919,2.8,1.5,1.3,-,0.4,1.4,-,-,7.62
Andrea Belotti,Torino,25,FW,34(1),3071,0.9,0.3,2.4,-,0.9,0.6,0.2,-,7.58
Federico Fazio,Roma,32,D(C),35(2),3117,1.5,2.6,0.7,0.9,7.2,0.3,0.8,-,7.50
Giacomo Bonaventura,AC Milan,29,M(CLR),19,1574,1.1,1.2,0.8,0.1,0.9,1.2,0.1,-,7.50
Gonzalo Higuaín,Juventus,31,FW,32(6),2968,0.5,0.2,0.6,-,0.4,0.7,0.1,-,7.50
Mohamed Salah,Roma,27,"AM(CLR),FW",29(2),2487,0.8,0.4,0.9,-,0.2,0.5,-,-,7.48
Paulo Dybala,Juventus,25,"AM(CR),FW",26(5),2154,0.5,0.7,0.7,-,-,0.6,0.1,-,7.46
José Callejón,Napoli,32,M(LR),37,3149,1.1,0.8,0.9,-,0.7,0.8,-,-,7.42
Radja Nainggolan,Roma,31,M(C),35(2),3044,1.8,1,1.2,-,0.7,0.5,0.1,-,7.37
Emerson,Roma,24,"D(L),M(L)",23(2),1966,1.8,1.8,0.5,0.2,2,0.3,0.1,-,7.37
Marek Hamsik,Napoli,31,AM(C),37(1),3050,0.9,0.4,0.4,-,0.7,0.7,0.1,-,7.37
Senad Lulic,Lazio,33,"D(L),M(CL)",29(2),2492,2.4,1.5,1.5,0.1,1,1.5,0.1,-,7.32
Miralem Pjanic,Juventus,29,M(C),25(5),2173,1.3,1.1,0.9,-,0.3,1.2,0.1,-,7.31
Gerard Deulofeu,AC Milan,25,"AM(LR),FW",16(1),1463,0.9,0.6,0.9,-,0.1,0.9,-,-,7.30
Mauro Icardi,Inter,26,FW,34,3029,0.3,0.1,0.8,-,1,0.2,0.1,1,7.30
Sergej Milinkovic-Savic,Lazio,24,AM(C),31(3),2734,2.1,1.1,2,-,1.1,1.5,0.2,-,7.30
Kevin Strootman,Roma,29,DMC,31(2),2789,2.7,1.7,1.7,0.1,0.8,1.4,0.2,-,7.29
Mattia Caldara,Atalanta,25,D(C),30,2656,1.6,3.4,1.3,0.4,5.2,0.3,0.8,-,7.28
Ivan Perisic,Inter,30,AM(CLR),31(5),2757,1.3,1,0.7,-,0.7,1.1,0.1,-,7.28
Dani Alves,Juventus,36,"D(R),M(CR)",15(4),1347,2.5,1.5,1.5,0.2,0.7,1,-,-,7.28
Roberto Gagliardini,Inter,25,DMC,18,1576,2.4,1.7,1.7,-,1.3,1.2,0.4,-,7.27
Domenico Berardi,Sassuolo,24,"AM(R),FW",20(1),1739,1.7,1.2,2.3,-,0.2,2.3,-,-,7.27
Ciro Immobile,Lazio,29,FW,35(1),3124,0.5,0.2,1.1,-,0.4,0.4,-,-,7.26
Jorginho,Napoli,27,DMC,27,2148,2.3,2,1,-,0.6,1.3,0.2,-,7.24
Danilo Avelar,Torino,30,"D(L),M(L)",3,263,4,2,1,0.3,3.7,0.7,-,-,7.23
Samir,Udinese,24,D(CL),21,1784,2.5,2,1,0.5,3.8,0.3,0.2,-,7.23
Cesare Bovo,Torino,36,D(C),4,360,1.5,2.3,1.3,0.5,8.8,0.8,1,-,7.23
Lucas Biglia,Lazio,33,DMC,28(1),2279,3.2,2,1.6,-,0.6,1.6,0.3,-,7.22
Kalidou Koulibaly,Napoli,28,D(C),28,2472,2,2.3,1.5,0.7,4.1,0.4,1,-,7.22
Alessandro Florenzi,Roma,28,"D(R),M(CLR)",8(1),750,1.6,2,1,0.4,2.2,0.8,0.2,-,7.21
Ivan Strinic,Napoli,31,D(L),12,1037,2.4,1.8,1,0.4,1.6,0.4,0.4,-,7.21
Suso,AC Milan,25,"AM(CLR),FW",33(1),2820,1.1,0.2,1.2,-,0.1,1,-,-,7.21
Adem Ljajic,Torino,27,"AM(CLR),FW",30(3),2521,0.4,0.6,0.3,-,0.5,0.4,-,-,7.18
Keita,Lazio,24,"AM(LR),FW",21(10),1932,0.5,0.1,0.6,-,-,0.3,-,-,7.18
Francesco Acerbi,Sassuolo,31,D(C),38,3420,1.5,2.7,0.4,1,6.2,0.2,1,-,7.18
Miranda,Inter,34,D(C),32,2880,2.5,2.4,1.7,0.6,4.4,0.6,0.6,-,7.16
Éver Banega,Inter,31,M(C),20(8),1559,1.5,0.5,0.6,-,0.1,0.7,-,-,7.16
Diego Perotti,Roma,30,"M(CLR),FW",20(12),1750,1.3,0.6,0.5,-,0.2,0.8,-,-,7.16
Francesco Magnanelli,Sassuolo,34,DMC,14(1),1193,2.8,2.6,1.7,0.1,1.1,1.3,0.7,-,7.15
Medhi Benatia,Juventus,32,D(C),14(1),1183,2.1,2.5,1.5,0.4,3.7,0.3,0.6,-,7.14
Remo Freuler,Atalanta,27,DMC,29(4),2608,2.1,1.9,1.5,-,1,1.5,0.2,-,7.14
Marcelo Brozovic,Inter,26,M(CR),20(3),1738,2.3,1.2,1,-,0.7,2.2,0.1,-,7.14
Lucas Castro,Chievo,30,AM(CLR),33,2768,2.3,2,1.6,-,0.9,1.5,0.1,-,7.13
Daniele Rugani,Juventus,24,D(C),11(4),1077,1.3,1.5,1,0.2,3.7,0.1,0.3,-,7.13
Mirko Valdifiori,Napoli,33,DMC,1,90,3,1,-,-,-,-,-,-,7.13
Giorgio Chiellini,Juventus,34,D(C),20(1),1638,1.8,1.7,1.2,0.2,4.7,0.2,0.7,-,7.12
Leandro Paredes,Roma,25,DMC,15(12),1469,1.8,1.4,0.9,-,0.7,1,0.2,-,7.12
Juan Cuadrado,Juventus,31,"D(R),M(CLR),FW",21(9),2099,1.6,0.9,1.3,0.1,0.5,0.9,-,-,7.12
Andrea Conti,Atalanta,25,"D(R),M(R)",31(2),2668,2,2.3,1.4,0.2,1.6,1.1,0.2,-,7.11
Andrea Masiello,Atalanta,33,D(CR),34(1),2930,1.3,2.6,1.1,0.5,5,0.7,0.5,-,7.11
Antonio Candreva,Inter,32,M(CLR),36(2),3022,0.7,0.5,0.3,0.1,0.4,0.7,-,-,7.11
Kostas Manolas,Roma,28,D(C),32(1),2780,1.2,2,1.1,0.5,5.3,0.6,1.1,-,7.09
Davide Santon,Inter,28,D(LR),11(3),1018,1.7,2.6,0.9,0.1,1.5,0.4,0.1,-,7.09
Danilo D'Ambrosio,Inter,30,"D(CLR),M(LR)",32,2831,2.4,2,2.2,0.2,1.9,0.5,0.3,-,7.09
Kwadwo Asamoah,Juventus,30,"D(L),M(CL)",16(2),1470,1.7,1.4,0.7,0.1,1.3,0.4,0.1,-,7.08
Daniele De Rossi,Roma,35,"D(C),M(C)",27(4),2346,2,2,0.7,-,1.1,1.1,0.5,-,7.07
Rafael Tolói,Atalanta,28,D(C),31(1),2722,2.8,3.3,1.5,0.3,4.2,1.3,0.3,-,7.07
Marco Parolo,Lazio,34,M(C),34,2980,2.9,1.8,1.7,0.1,1.7,1.2,0.4,-,7.06
Vlad Chiriches,Napoli,29,D(CR),13(1),1124,1.1,1.3,0.4,0.6,2.4,0.3,0.7,-,7.06
Nikola Maksimovic,Napoli,27,"D(CR),M(R)",7(1),677,1.6,1.4,1.1,0.8,3.4,0.4,1.9,-,7.06
Hernanes,Juventus,34,M(C),8(2),723,2.1,1.2,1.9,-,2.1,0.5,0.3,-,7.05
Gianluigi Donnarumma,AC Milan,20,GK,38,3420,-,0.1,-,-,1.1,-,-,-,7.05
Stefan de Vrij,Lazio,27,D(C),27,2273,1.9,2.2,0.8,0.3,4.1,0.6,0.5,-,7.05
Geoffrey Kondogbia,Inter,26,DMC,20(4),1716,2.6,1.5,1.8,-,0.6,1.7,0.1,-,7.04
Faouzi Ghoulam,Napoli,28,D(L),26(3),2379,1,1,0.6,0.3,1.7,0.3,0.2,-,7.04
Valter Birsa,Chievo,32,"M(CLR),FW",34(1),2786,1.2,0.7,1,-,0.7,1.5,0.1,-,7.04
Luis Muriel,Sampdoria,28,"AM(CL),FW",25(6),2257,0.8,0.1,1,-,0.2,0.5,-,-,7.03
Panagiotis Tachtsidis,Cagliari,28,DMC,24(2),2140,3.3,2.3,1.6,-,1.4,2.2,0.5,-,7.03
Bruno Peres,Roma,29,"D(LR),M(LR)",24(6),2225,1.2,1.3,0.7,0.2,1.1,1,0.2,-,7.03
Iago Falque,Torino,29,"AM(CLR),FW",31(4),2533,0.9,0.9,0.6,-,0.5,1,-,-,7.03
Mario Mandzukic,Juventus,33,"M(L),FW",28(6),2488,1.1,0.8,1.3,-,0.9,0.6,0.2,-,7.03
Davide Astori,Fiorentina,32,D(C),33,2967,1.4,2.2,1.1,0.8,4.7,0.4,0.7,-,7.03
Andrea Fulignati,Palermo,24,GK,9,810,-,-,-,-,1.7,-,-,-,7.03
Sami Khedira,Juventus,32,M(C),31,2548,1.4,0.9,0.4,-,0.8,0.5,0.2,-,7.02
Borja Valero,Fiorentina,34,M(CL),30(1),2682,1.1,0.8,0.5,-,1,1,0.1,-,7.02
Lorenzo Tonelli,Napoli,29,D(C),3,270,2,0.3,2,1,3.7,0.3,0.3,-,7.02
Federico Bernardeschi,Fiorentina,25,"M(CLR),FW",27(5),2311,0.4,0.7,1,-,0.3,0.4,-,-,7.02
Rafael,Cagliari,37,GK,19(2),1802,-,-,-,-,1.3,-,-,-,7.01
Andrea Petagna,Atalanta,24,FW,31(3),2626,0.2,-,1.7,-,0.5,0.2,0.1,-,7.00
Lukasz Skorupski,Empoli,28,GK,35,3150,-,0.1,0.1,-,0.8,0.1,-,1,7.00
Simone Verdi,Bologna,26,"AM(CLR),FW",25(3),2126,1.2,0.5,1.2,-,0.3,0.8,-,-,7.00
João Pedro,Cagliari,27,"AM(C),FW",17(5),1460,1.1,0.6,1.6,-,0.8,0.8,0.1,-,6.99
Wojciech Szczesny,Roma,29,GK,38,3420,-,-,-,-,0.6,-,-,-,6.99
Davide Di Gennaro,Cagliari,31,AM(C),17(3),1436,1.5,1.3,0.7,-,0.3,1.4,0.3,-,6.99
Seko Fofana,Udinese,24,M(C),21(1),1824,1,1.4,1.2,-,0.2,1,0.2,-,6.98
Lucas Torreira,Sampdoria,23,DMC,35,3049,2.8,2.5,1.6,-,1,1.6,0.2,-,6.98
Davide Calabria,AC Milan,22,"D(LR),M(R)",11(1),988,3.3,1.8,1.2,0.5,2.1,1.3,0.3,-,6.98
Matías Vecino,Fiorentina,27,M(C),26(5),2351,2,0.9,1.9,-,1.1,1,0.2,-,6.98
Blerim Dzemaili,Bologna,33,M(C),29(2),2584,2.2,1.1,1.1,0.1,0.7,1.5,0.2,-,6.98
Piotr Zielinski,Napoli,25,AM(CL),18(18),1850,1,0.5,0.6,-,0.2,0.5,-,-,6.98
João Mário,Inter,26,M(CLR),22(8),2005,1,1,1.1,-,0.2,0.8,0.1,-,6.98
Omar El Kaddouri,Empoli,28,AM(CL),15,1251,1.7,0.7,2.1,-,0.5,0.5,0.1,-,6.97
Leonardo Spinazzola,Atalanta,26,"D(L),M(L)",28(2),2501,0.9,1,0.7,0.1,1,0.4,0.1,1,6.97
Raúl Albiol,Napoli,33,D(C),25(1),2297,1.3,0.8,0.9,0.5,4.7,0.6,0.5,-,6.95
Bryan Cristante,Atalanta,24,M(C),7(5),663,1.9,0.3,0.9,-,0.6,1,0.1,-,6.95
Luca Lezzerini,Fiorentina,24,Goalkeeper,0(1),50,-,-,-,-,-,-,-,-,6.95
Tomás Rincón,Genoa,31,M(CR),16,1394,1.9,1.2,2.5,-,1.4,0.9,0.1,-,6.95
Emiliano Moretti,Torino,38,D(CL),23,2064,1.9,2,0.9,0.8,5.5,0.2,0.7,-,6.94
Alessio Romagnoli,AC Milan,24,D(CL),27,2370,1.1,1.5,0.7,0.7,5.7,0.3,0.4,-,6.94
Cristian Molinaro,Torino,35,"D(L),M(L)",9(1),753,2,2.3,1.4,0.3,2.6,0.5,0.4,-,6.94
Roberto Gagliardini,Atalanta,25,DMC,8(5),775,1.5,1.5,1.8,-,0.6,0.8,0.2,-,6.94
Luca Antei,Sassuolo,27,D(C),11(4),1111,2.5,1.9,0.9,0.8,5.3,0.5,0.7,-,6.94
