Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Giulio Migliaccio,Palermo,38,DMC,35,3031,2.9,2.1,1.4,0.1,4.2,1,0.3,-,7.17
Alexandre Pato,AC Milan,29,"M(CLR),FW",19(6),1602,0.4,0.4,0.7,-,-,0.1,-,-,7.17
Francesco Grandolfo,Bari,26,Forward,1(2),115,0.3,0.3,0.7,-,0.3,-,-,-,7.17
Thiago Motta,Inter,36,M(C),15(4),1367,2.2,1.3,1.4,-,1.2,0.8,0.4,-,7.17
Andrea Ranocchia,Genoa,31,D(C),16,1318,2.6,1.9,1.1,1.1,7.6,0.9,0.3,-,7.16
Rodrigo Palacio,Genoa,37,"AM(CLR),FW",24(3),2130,1.3,0.4,1.7,-,0.6,0.2,-,-,7.16
Bojan Jokic,Chievo,33,"D(CL),M(L)",13(2),1095,2.8,2,0.8,0.3,5.8,1,0.2,-,7.16
Giuseppe Vives,Lecce,38,"DMC,M(L)",29(4),2598,4.2,3.2,2,0.2,2,0.8,0.2,1,7.16
Paolo De Ceglie,Juventus,32,"D(L),M(CL)",6(1),463,1.9,1.4,0.4,-,2.9,0.1,0.1,-,7.15
Luis Jiménez,Cesena,35,"AM(CL),FW",30(1),2548,1.6,1.3,2,-,0.5,0.6,-,-,7.15
Alberto Aquilani,Juventus,34,M(C),31(2),2670,3,1.5,1.7,-,1.3,0.9,0.2,-,7.15
Massimo Oddo,AC Milan,43,"D(R),M(R)",3(4),433,1.9,0.9,0.3,0.3,4.9,0.6,0.3,-,7.15
Giampaolo Pazzini,Inter,34,FW,14(3),1226,0.4,0.5,1.2,0.1,0.6,-,0.1,-,7.15
Gianluca Grava,Napoli,42,"D(C),M(R)",12(1),935,3.2,2.6,1.8,0.8,4.1,0.8,0.5,-,7.15
Dario Dainelli,Genoa,40,D(C),33(1),2839,2.1,2.3,1.1,1.4,8.1,0.6,0.8,-,7.14
Rodney Strasser,AC Milan,29,M(C),1(2),159,2,0.7,0.7,-,2.7,0.3,0.3,-,7.14
Luca Antonelli,Parma,32,"D(L),M(CL)",12,1080,3.3,2.4,0.6,0.1,4.9,0.3,0.4,-,7.14
Mauricio Isla,Udinese,31,"D(R),M(CR)",34,2874,2.2,1.1,0.6,0.1,2.1,0.5,0.3,-,7.13
Kakha Kaladze,Genoa,41,"D(C),DMC",23(3),2139,1.4,2.7,0.6,0.7,9.1,0.5,0.9,-,7.12
Mattia Perin,Genoa,26,GK,1,90,-,-,1,1,-,-,-,-,7.12
Diego Pérez,Bologna,39,M(C),27,2276,4.6,1.9,2.1,-,1.7,0.9,0.3,-,7.12
Davide Zoboli,Brescia,37,D(C),18,1592,2.1,2.6,1.6,0.5,7.6,0.2,0.8,-,7.12
Rubén Olivera,Lecce,36,M(C),30(1),2521,1.7,1.7,2.5,-,0.9,0.7,0.1,-,7.11
Sebastian Giovinco,Parma,32,"AM(C),FW",28(2),2283,0.7,0.5,1.4,-,0.1,0.5,-,-,7.11
Yuto Nagatomo,Inter,32,"D(LR),M(LR)",10(3),915,1.2,2.1,0.7,-,2.5,0.3,-,-,7.11
Robinho,AC Milan,35,"AM(CLR),FW",26(8),2330,0.5,0.6,0.9,-,0.1,0.2,0.1,-,7.11
Matteo Sereni,Brescia,44,GK,15,1350,-,-,-,-,0.7,-,-,-,7.11
Juan Vargas,Fiorentina,35,"D(L),M(CL)",19(5),1653,1.5,0.8,1.4,-,1.2,0.3,0.2,-,7.10
Daniele De Rossi,Roma,35,"D(C),M(C)",28,2380,2.1,2,1.2,0.1,2.5,1.1,0.4,-,7.10
Javier Zanetti,Inter,45,"D(R),DMC,M(R)",35,3147,2.8,1.4,0.8,0.1,1.5,0.5,0.3,-,7.10
Cesare Bovo,Palermo,36,D(C),31(1),2802,2.2,2.5,1.5,1.2,6.8,0.7,0.9,1,7.09
Marco Andreolli,Chievo,33,D(C),27(1),2349,1.6,2.4,1.3,1.1,9.8,0.5,0.6,-,7.09
Felipe Melo,Juventus,36,M(C),28(1),2350,2.7,1.6,1.6,-,1.8,1,0.4,-,7.09
Gennaro Gattuso,AC Milan,41,"D(C),M(C)",28(3),2211,3.8,1.9,1.9,-,1.4,1.8,0.3,-,7.09
Federico Balzaretti,Palermo,37,D(L),33,2893,2.2,2.5,1.3,0.3,2.3,1,0.5,1,7.09
Claudio Marchisio,Juventus,33,M(C),32,2806,2.3,2.4,1.3,-,1.1,1,0.2,-,7.09
Esteban Cambiasso,Inter,38,"D(C),M(C)",28(2),2375,2.5,2,1,0.1,1.2,1.3,0.2,-,7.09
Andrea Bertolacci,Lecce,28,M(C),9,644,3.1,1.9,1.9,0.1,0.7,0.7,0.3,-,7.08
Leandro Rinaudo,Juventus,36,D(C),1,75,1,3,2,1,8,1,-,-,7.08
Fabiano,Lecce,37,"D(L),DMC",28(1),2507,2.3,1.5,1.1,1.3,11.3,0.4,0.7,-,7.07
John Arne Riise,Roma,38,D(L),31(1),2863,2.2,2,0.4,0.5,3.5,0.4,0.2,-,7.07
Daniele Gastaldello,Sampdoria,36,D(C),28(1),2517,1.6,2.2,1.5,1.2,9.1,0.6,0.7,-,7.06
Kwadwo Asamoah,Udinese,30,"D(L),M(CL)",37(1),3289,1.9,1.6,1,-,1.4,0.3,0.2,-,7.06
Francesco Benussi,Palermo,37,GK,1,90,-,-,-,-,4,1,-,-,7.06
Andrea Pirlo,AC Milan,40,M(C),12(5),1140,1.4,1.2,0.9,-,0.9,0.7,0.1,-,7.06
Stefano Sorrentino,Chievo,40,GK,37,3312,0.1,-,-,-,1,0.1,-,-,7.06
Alessandro Gamberini,Fiorentina,37,D(C),35,3148,1.7,1.2,0.5,1.2,7.5,0.2,1.3,-,7.06
Simone Bentivoglio,Bari,34,M(C),16,1363,1.9,1.7,1.6,-,1.1,0.9,0.4,-,7.06
Mirko Vucinic,Roma,35,FW,22(6),1868,1.1,0.5,1,-,0.3,0.3,0.1,-,7.05
Fabiano Santacroce,Napoli,32,D(C),10(1),827,2.5,3.7,2.1,0.4,5.1,0.8,0.2,-,7.05
