Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Josh Harrop,Manchester United,23,AM(C),1,90,1,-,2,1,1,1,-,1,3,8.34
Sergio Romero,Manchester United,32,GK,2,180,-,-,-,-,-,-,-,-,-,8.17
Demetri Mitchell,Manchester United,22,Defender,1,90,-,-,-,2,2,2,-,1,3,8.15
Eden Hazard,Chelsea,28,"M(CLR),FW",36,3007,16,5,2.1,2.4,4,2.8,0.2,1.7,2,7.81
Alexis Sánchez,Arsenal,30,"M(CLR),FW",36(2),3224,24,10,3.4,2.1,2.9,1.8,0.7,3.4,2.5,7.76
Paul Pogba,Manchester United,26,M(C),29(1),2610,5,4,3.1,1.9,2.4,2.4,0.1,1.8,2.6,7.72
Harry Kane,Tottenham,25,"AM(C),FW",29(1),2536,29,7,3.7,1.4,1.3,1.5,0.6,1.6,2.8,7.68
Calum Chambers,Arsenal,24,"D(CR),DMC",1,90,1,-,2,-,-,2,-,-,-,7.63
Coutinho,Liverpool,27,M(CLR),28(3),2245,13,7,3.4,2.1,2.3,1.2,0.1,1.8,1.8,7.56
Kevin De Bruyne,Manchester City,28,"M(CLR),FW",33(3),2885,6,18,2.4,2.9,1.4,1.1,0.1,1.3,1.6,7.55
Roberto Firmino,Liverpool,27,"M(CLR),FW",34(1),3069,11,7,2.9,2.2,2,0.9,0.5,2.3,2.3,7.54
Christian Eriksen,Tottenham,27,M(CLR),36,3167,8,15,3.7,3.1,0.8,0.7,0.1,1.4,1.5,7.53
Dimitri Payet,West Ham,32,M(CLR),17(1),1515,2,6,3.1,4.1,2.6,1.9,-,1.4,1.7,7.53
Sadio Mané,Liverpool,27,"AM(CLR),FW",26(1),2248,13,5,2.1,1.6,2.5,2,0.5,2.7,2.2,7.51
Romelu Lukaku,Everton,26,"AM(R),FW",36(1),3267,25,6,3,1.3,1.7,0.9,1,2.4,2.1,7.50
Nicolás Otamendi,Manchester City,31,D(C),29(1),2592,1,1,0.5,0.2,0.4,0.9,-,0.2,0.4,7.49
Gabriel Jesus,Manchester City,22,"AM(LR),FW",8(2),651,7,4,2.4,1,1.2,1.7,0.9,1.4,1.3,7.48
Virgil van Dijk,Southampton,27,D(C),21,1854,1,-,0.8,0.3,0.4,0.8,-,0.1,0.2,7.43
Andy Carroll,West Ham,30,FW,15(3),1314,7,1,2.2,0.8,0.2,1.6,0.2,1.3,1.7,7.42
Danny Rose,Tottenham,28,"D(L),M(L)",18,1533,2,2,1.3,1.4,1.4,2.7,0.1,1.1,1.5,7.42
Marcos Alonso,Chelsea,28,"D(CL),M(L)",30(1),2694,6,3,1.5,0.8,0.7,0.6,0.1,1,1.2,7.41
Zlatan Ibrahimovic,Manchester United,37,FW,27(1),2437,17,5,4.1,1.7,0.6,0.7,1.3,1.4,2,7.41
Diego Costa,Chelsea,30,FW,35,3090,20,7,3.2,1.2,1.6,2.6,0.7,3.4,3.1,7.41
Wilfried Zaha,Crystal Palace,26,"AM(LR),FW",34(1),3025,7,9,1.4,1.1,4.1,3.5,0.2,3.7,3.3,7.38
Christian Benteke,Crystal Palace,28,FW,36,3138,15,2,2.9,0.9,0.8,1.3,1,1.8,2.6,7.36
Ander Herrera,Manchester United,29,M(C),27(4),2467,1,6,1.2,1.2,1,1.5,-,0.6,0.6,7.36
Shkodran Mustafi,Arsenal,27,D(CR),26,2275,2,2,0.9,0.3,0.6,0.6,-,0.2,0.3,7.35
Dele Alli,Tottenham,23,M(CL),35(2),3045,18,7,2.5,1.4,1.4,2.1,0.3,2.1,2.2,7.35
Sergio Agüero,Manchester City,31,"AM(CL),FW",25(6),2407,20,3,4.5,1,2.5,1.1,0.7,2.2,2.5,7.33
Jordan Henderson,Liverpool,29,M(CLR),24,2118,1,4,0.7,1.3,0.2,0.7,-,0.5,0.4,7.30
Mesut Özil,Arsenal,30,M(CLR),32(1),2848,8,9,1.2,3,1,1,0.6,1.2,1.9,7.30
Aleksandar Kolarov,Manchester City,33,"D(CL),M(L)",27(2),2533,1,1,1.1,0.5,0.8,1.3,-,0.2,0.6,7.30
Jan Vertonghen,Tottenham,32,D(CL),33,2897,-,-,0.4,0.2,0.8,0.6,-,0.3,0.4,7.28
David Silva,Manchester City,33,M(CLR),31(3),2768,4,7,1.4,2.4,1.4,1.6,0.1,1.6,1.1,7.28
Wilfred Ndidi,Leicester,22,DMC,17,1522,2,1,1.8,0.4,0.8,0.6,0.1,0.5,1,7.26
James Milner,Liverpool,33,"D(LR),M(CLR)",36,3160,7,3,1,1.6,0.9,0.6,0.1,0.6,0.9,7.26
Michail Antonio,West Ham,29,"D(R),M(CLR),FW",29,2440,9,3,2.7,1.1,2.6,1.7,0.7,1.9,2.4,7.25
Gylfi Sigurdsson,Swansea,29,"M(CLR),FW",37(1),3329,9,13,3.1,2.1,0.8,0.9,-,1.1,2.1,7.25
Laurent Koscielny,Arsenal,33,D(C),33,2824,2,-,0.3,0.1,0.1,0.8,0.1,-,0.4,7.25
