Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Darron Gibson,Manchester United,31,M(C),1,90,2,1,-,-,-,2,1,-,8.06
Robin van Persie,Arsenal,35,"AM(C),FW",37(1),3334,0.5,0.3,0.8,-,1.2,0.2,0.1,-,7.80
Wayne Rooney,Manchester United,33,"M(CLR),FW",32(2),2839,0.6,0.4,0.9,-,0.6,0.4,0.2,-,7.73
Gareth Bale,Tottenham,29,"M(CLR),FW",36,3217,1.2,1.5,0.4,0.1,1.1,0.4,0.1,-,7.66
Gylfi Sigurdsson,Swansea,29,"M(CLR),FW",17(1),1500,1.6,1.4,0.8,-,0.4,0.6,0.3,-,7.63
Luka Modric,Tottenham,33,M(C),36,3216,1.6,2.3,0.5,-,0.4,0.9,0.2,-,7.59
Brad Jones,Liverpool,37,GK,0(1),64,-,-,1,-,-,-,-,-,7.55
Antonio Valencia,Manchester United,33,"D(R),M(R)",22(5),2120,2.4,1.1,1.7,-,0.6,0.6,0.1,-,7.51
David Silva,Manchester City,33,M(CLR),33(3),2819,1.3,1,0.7,-,0.3,0.7,-,-,7.50
Nemanja Vidic,Manchester United,37,D(C),6,502,1,2.3,0.7,0.7,12.8,-,0.3,-,7.50
Steven Pienaar,Everton,37,M(CL),14,1239,1.9,1.8,1.4,-,0.4,0.4,0.3,-,7.48
Mikel Arteta,Arsenal,37,M(C),29,2475,2.5,1.9,1.4,0.1,0.4,1.1,0.2,-,7.45
Sergio Agüero,Manchester City,31,"AM(CL),FW",31(3),2602,0.7,0.5,0.6,-,-,0.4,-,-,7.45
Nani,Manchester United,32,"M(CLR),FW",24(5),2111,1.3,0.9,1,-,0.5,0.4,0.1,-,7.43
Yaya Touré,Manchester City,36,M(C),31(1),2651,1.7,1.2,1,-,0.8,0.9,-,-,7.42
Lucas Leiva,Liverpool,32,"D(C),M(C)",12,1045,5.7,2.8,1.6,-,1.2,1,0.3,-,7.40
Rafael,Manchester United,28,"D(LR),M(R)",10(2),916,4.1,1.1,1,0.1,3,0.5,0.2,-,7.39
Patrice Evra,Manchester United,38,"D(CL),M(L)",37,3239,2.8,1.4,1,0.1,4.6,0.8,0.2,-,7.38
Gaël Clichy,Manchester City,33,D(L),28,2488,2.3,2.7,0.7,0.1,3.6,0.8,0.2,-,7.37
Papiss Demba Cissé,Newcastle United,34,"AM(R),FW",13(1),1113,0.9,0.9,0.9,-,0.6,0.2,-,-,7.37
Luis Suárez,Liverpool,32,"AM(CLR),FW",29(2),2557,1.1,0.4,1.4,-,-,0.3,-,-,7.35
Michael Carrick,Manchester United,37,"D(C),M(C)",27(3),2513,3,2.4,0.7,-,1.6,0.8,0.5,-,7.34
Vincent Kompany,Manchester City,33,D(C),31,2774,2.1,2.4,1,0.5,6.2,0.3,0.8,1,7.32
Juan Mata,Chelsea,31,AM(CLR),29(5),2533,0.7,0.6,0.5,-,0.2,0.8,-,-,7.31
Younes Kaboul,Tottenham,33,D(C),33,2904,2.1,2.3,0.8,0.5,8.8,0.3,0.7,1,7.30
Ben Amos,Manchester United,29,GK,1,90,-,-,-,-,1,-,-,-,7.30
Stiliyan Petrov,Aston Villa,39,"D(C),M(CR),FW",26(1),2330,2.2,3.6,1.1,-,1.9,1.3,0.6,-,7.29
Pablo Zabaleta,Manchester City,34,"D(R),DMC,M(R)",18(3),1549,3.3,2.1,1.2,-,2.4,0.8,0.3,-,7.29
Emmanuel Adebayor,Tottenham,35,FW,32(1),2841,0.8,0.7,1.6,-,0.8,0.3,0.1,-,7.29
James Morrison,West Bromwich Albion,33,M(CR),23(7),2132,2.2,2.2,0.7,-,1.1,0.8,0.2,-,7.28
Clint Dempsey,Fulham,36,"M(CL),FW",37,3325,1.5,1.3,1.2,-,0.9,0.3,0.2,-,7.28
Mousa Dembélé,Fulham,31,M(CR),33(3),2941,3.1,0.9,1.3,-,0.6,0.4,0.2,-,7.27
Yohan Cabaye,Newcastle United,33,M(C),34,2839,3.4,2.6,1,-,1,1.3,0.1,-,7.26
Alejandro Faurlin,Queens Park Rangers,32,M(C),20,1800,4.5,2.3,1.2,-,1.9,1.5,0.4,-,7.26
André Santos,Arsenal,36,"D(L),M(CL)",10(5),1012,3.3,2.3,1.2,0.1,1,1.1,0.2,-,7.25
Ashley Young,Manchester United,33,"D(LR),M(LR)",19(6),1573,1.4,0.7,0.7,-,0.4,0.2,0.2,-,7.24
Charlie Adam,Liverpool,33,M(C),27(1),2177,2.2,1.6,2.1,-,1.3,1.1,0.3,1,7.24
Laurent Koscielny,Arsenal,33,D(C),33,2874,2.6,2.8,1,1.5,5.1,0.4,0.5,2,7.24
Gareth Barry,Manchester City,38,M(C),31(3),2739,2.5,2.1,1.5,-,2,0.8,0.3,-,7.23
Paul Scholes,Manchester United,44,M(C),14(3),1170,2.3,1.4,1.3,-,0.3,0.7,0.2,-,7.22
Scott Parker,Tottenham,38,M(C),28(1),2476,3.7,3,1.6,-,1.2,1.3,0.8,-,7.22
Alexandre Song,Arsenal,31,M(C),34,2999,2.9,1.9,2.1,0.1,1.2,1.4,0.3,1,7.22
Anderson,Manchester United,31,M(CR),8(2),695,2.3,1.5,1.2,-,0.7,0.9,0.5,-,7.22
Rafael van der Vaart,Tottenham,36,M(C),28(5),2339,1.1,0.8,1,-,0.2,0.7,-,-,7.21
Ramires,Chelsea,32,M(CR),28(2),2475,2.8,1.9,1.4,-,0.9,0.5,0.2,-,7.21
Jonny Evans,Manchester United,31,D(CL),28(1),2428,1.2,1.9,0.9,0.2,7.8,0.3,1,1,7.21
Samir Nasri,Manchester City,32,M(CLR),26(4),2173,0.5,0.9,0.6,-,0.2,0.3,0.1,-,7.20
David Stockdale,Fulham,33,GK,8,720,-,-,-,-,1,-,-,-,7.20
Michael Dawson,Tottenham,35,D(C),6(1),548,1,2.1,0.4,0.6,8.9,0.3,1.1,-,7.20
David Luiz,Chelsea,32,"D(C),DMC",18(2),1652,1.4,2.8,1.1,0.7,3.9,0.6,0.5,-,7.19
Landon Donovan,Everton,37,"M(CLR),FW",7,630,1.9,1.7,1.1,-,0.7,0.6,0.1,-,7.19
Phil Jones,Manchester United,27,"D(CR),DMC",25(4),2124,2.3,1.7,0.7,-,4.4,0.5,0.4,1,7.18
Aleksandar Kolarov,Manchester City,33,"D(CL),M(L)",9(3),821,1.4,0.8,1.1,0.1,2.3,0.5,-,-,7.18
Danny Welbeck,Manchester United,28,"AM(CLR),FW",23(7),2018,1.3,0.9,0.5,-,0.5,0.3,0.1,-,7.17
Heidar Helguson,Queens Park Rangers,41,AM(L),13(3),1155,0.6,0.3,1.2,-,1.3,0.1,0.3,-,7.17
Carl Ikeme,Wolverhampton Wanderers,33,GK,0(1),38,-,-,-,-,-,-,-,-,7.15
Li Ke,Arsenal,26,"D(R),DMC",0(1),45,4,1,-,1,3,1,-,-,7.14
Joe Allen,Swansea,29,M(C),31(5),2893,3,2.1,0.8,-,0.8,1.3,0.1,-,7.14
Carlos Tevez,Manchester City,35,"AM(CL),FW",7(6),601,0.8,0.3,0.6,-,0.1,0.5,0.1,-,7.14
Bacary Sagna,Arsenal,36,D(CR),20(1),1701,2,1.7,0.6,0.3,2.4,0.6,-,-,7.14
Declan Rudd,Norwich,28,GK,1(1),99,-,-,-,-,1,-,-,-,7.14
Thomas Vermaelen,Arsenal,33,D(CL),28(1),2478,1.6,2.3,1.1,1,4.1,0.1,0.5,1,7.13
Leighton Baines,Everton,34,"D(L),M(L)",33,2970,1.7,2,0.9,0.2,2.3,0.3,0.4,-,7.13
Kyle Walker,Tottenham,29,"D(CR),M(R)",37,3231,2.6,1.8,0.9,0.2,3.2,0.6,0.2,-,7.13
Frank Lampard,Chelsea,41,M(C),26(4),2251,1.4,1.2,0.6,-,1.3,0.5,0.3,-,7.12
Branislav Ivanovic,Chelsea,35,D(CR),26(3),2264,2,2,0.8,1,4.5,0.2,0.4,-,7.12
Samba Diakité,Queens Park Rangers,30,M(C),9,676,2.9,1.4,2.6,-,1.3,0.8,0.6,-,7.11
Titus Bramble,Sunderland,37,D(C),8,651,1.5,1.8,0.5,0.8,7.1,0.8,1.1,-,7.11
John Terry,Chelsea,38,D(C),31,2790,1.8,1.9,0.7,0.6,5.8,0.5,0.8,-,7.11
Nikica Jelavic,Everton,33,FW,10(3),958,0.2,0.4,1.5,-,1.2,0.5,0.2,-,7.11
Benoit Assou-Ekotto,Tottenham,35,D(L),34,2963,1.8,2.7,1.1,0.2,2.3,0.5,0.1,-,7.11
Sebastian Larsson,Sunderland,34,M(CR),32,2710,2.5,1.5,1,-,0.9,1.2,0.2,-,7.10
Marouane Fellaini,Everton,31,M(C),31(3),2856,2.9,1.6,2.6,0.1,2,0.8,0.2,-,7.10
Youssouf Mulumbu,West Bromwich Albion,32,M(C),34(1),2816,2.9,2.9,1.4,-,0.8,1.1,0.2,-,7.09
Joey Barton,Queens Park Rangers,36,M(C),31,2673,2.9,1.9,1.5,-,1.3,1.1,0.5,-,7.09
William Gallas,Tottenham,41,D(C),15,1325,1.1,1.9,0.7,0.7,7.3,0.1,0.3,-,7.09
Mario Balotelli,Manchester City,28,FW,14(9),1325,0.7,0.7,1.8,-,0.6,0.2,-,-,7.07
James McClean,Sunderland,30,"M(CLR),FW",20(3),1843,2.4,1.2,0.7,-,0.9,0.9,0.2,-,7.07
Bobby Zamora,Fulham,38,FW,14(1),1188,0.3,0.3,1.3,-,0.8,0.4,-,-,7.07
Michel Vorm,Swansea,35,GK,37,3330,0.1,-,-,-,0.9,-,-,-,7.06
Mahamadou Diarra,Fulham,38,DMC,8(3),753,1.5,3.6,1.1,-,1.7,0.5,0.4,-,7.06
Kieran Gibbs,Arsenal,29,"D(L),M(L)",15(1),1253,2.1,1.6,0.6,0.7,2.2,0.3,0.3,-,7.06
