Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Dylan Saint-Louis,Saint-Etienne,24,Forward,1,84,-,1,30,56.7,2,3,-,7.84
Sylvain Armand,Rennes,38,D(CL),0(1),65,-,-,42,81,-,5,-,7.82
Anthony Maisonnial,Saint-Etienne,21,Goalkeeper,1(1),167,-,-,23,43.5,-,6.5,-,7.77
Romain Salin,Guingamp,34,GK,1,90,-,-,17,76.5,-,6,-,7.57
Alexandre Lacazette,Lyon,28,"M(LR),FW",28(2),2408,3,1.7,28.2,78,0.1,0.4,0.2,7.57
Marco Verratti,Paris Saint-Germain,26,DMC,25(3),2158,5,1.4,87.5,88.4,0.1,4.5,0.5,7.54
Ryad Boudebouz,Montpellier,29,"M(CLR),FW",33,2925,9,3.5,55.3,78.8,2.2,3.7,0.3,7.52
Dimitri Payet,Marseille,32,M(CLR),14(1),1249,3,2.6,45.9,80.4,1.6,2.1,0.3,7.52
Fabinho,Monaco,25,"D(R),DMC",33(4),3071,1,0.9,53.9,84.4,0.1,4,0.1,7.51
Mauro Goicoechea,Toulouse,31,GK,2,180,-,-,28,55.4,-,8,-,7.51
Thomas Lemar,Monaco,23,AM(CLR),28(6),2612,10,2.2,37,82.8,1.6,2.3,0.1,7.48
Loic Perrin,Saint-Etienne,33,D(C),26(1),2246,1,0.2,50.1,87.7,-,3.9,-,7.47
Maxime Gonalons,Lyon,30,"D(C),M(C)",28(1),2432,1,0.7,58.9,90,-,3.7,0.1,7.44
Marçal,Guingamp,30,D(CL),31,2689,7,1.7,44.5,79.2,1.2,3.2,-,7.43
Jorge,Monaco,23,D(L),1(1),91,-,1,25.5,76.5,1,-,-,7.42
Lucas Moura,Paris Saint-Germain,26,"AM(CLR),FW",29(8),2435,5,1.5,33.5,82.7,1.4,0.6,0.1,7.41
Thomas Meunier,Paris Saint-Germain,27,"D(R),M(R)",18(4),1692,4,1.1,47,86.2,0.7,1.9,-,7.39
Thomas Vincensini,SC Bastia,25,Goalkeeper,3,270,-,-,29.3,52.3,-,7.3,-,7.38
Radamel Falcao,Monaco,33,FW,22(7),1941,5,0.8,17,78.9,0.1,0.4,0.1,7.38
Thiago Silva,Paris Saint-Germain,34,D(C),27,2386,2,0.4,79.7,93.9,-,4.9,-,7.38
Florian Thauvin,Marseille,26,"AM(CLR),FW",36(2),2978,8,1.6,35.8,77.8,1.2,1.7,0.2,7.37
