Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Lucas Pérez,Deportivo La Coruna,30,"AM(CR),FW",35(1),3141,8,2,24.9,79.1,0.7,0.6,0.1,7.10
David García,Las Palmas,37,D(CR),18(1),1609,1,0.5,44.7,80.3,0.2,2.7,-,7.10
Charly Musonda,Real Betis,22,AM(LR),13(3),1228,1,0.8,21.4,78.4,0.4,0.8,-,7.09
Fabián Orellana,Celta Vigo,33,AM(CLR),34,2921,7,1.7,44.9,77.8,0.6,2.4,0.1,7.09
Bernardo Espinosa,Sporting Gijon,29,D(C),16,1338,-,0.3,33.1,69.6,-,3.5,-,7.09
Jesús Fernández,Granada,31,GK,1,90,-,1,42,40.5,-,15,-,7.09
Isco,Real Madrid,27,"AM(CLR),FW",21(10),1826,7,1.4,38.1,89.2,0.7,1.2,0.2,7.09
Alphonse Areola,Villarreal,26,GK,32,2880,-,-,21.6,46.7,-,6.9,-,7.09
Mateo Musacchio,Villarreal,28,D(C),12(1),1010,-,0.2,35.2,83,-,2.4,-,7.08
Miguel Lopes,Granada,32,D(CR),23(3),1973,1,0.4,26.8,75.9,0.3,1.2,-,7.08
Germán Pezzella,Real Betis,28,D(C),23(2),2165,1,0.1,31.2,73.1,-,2.4,-,7.07
Dani Castellano,Las Palmas,31,D(L),25(2),2247,-,0.4,40.7,82.2,0.2,1.7,-,7.07
Juanfran,Atletico Madrid,34,D(R),34(1),3030,1,0.8,33.5,77.1,0.9,1.1,-,7.06
Imanol Agirretxe,Real Sociedad,32,FW,14(2),1174,-,0.2,20.7,66.2,0.1,0.4,-,7.06
Bruno González,Real Betis,29,D(C),32,2807,-,-,32.5,77.6,-,2.8,-,7.06
Gustavo Cabral,Celta Vigo,33,D(C),31,2675,-,0.2,56.6,87.4,-,4,-,7.06
Alberto García,Sporting Gijon,34,GK,6,540,-,-,29.5,43.5,-,7.3,-,7.05
Mikel San José,Athletic Bilbao,30,"D(C),DMC",30(4),2691,3,0.4,44.2,78.7,0.1,1.9,0.1,7.05
Dani Alves,Barcelona,36,"D(R),M(CR)",24(5),2149,4,0.7,57.7,87.2,0.8,3.1,0.1,7.05
Jordi Alba,Barcelona,30,D(L),29(2),2591,6,0.6,66.5,87.2,0.2,1.7,0.1,7.05
Cristiano Piccini,Real Betis,26,D(R),16,1421,-,0.8,37.6,78.4,0.8,1.3,-,7.04
Lucas Hernández,Atletico Madrid,23,D(CL),8(2),834,-,0.3,28.9,70.2,0.1,2,-,7.04
Martín Montoya,Real Betis,28,D(LR),13,1167,1,0.3,42.8,77.7,0.2,1.1,-,7.04
Marco Asensio,Espanyol,23,AM(CLR),33(1),2833,10,2,32.6,81,1.3,1.2,0.1,7.03
Beñat Etxebarria,Athletic Bilbao,32,M(C),32(4),2900,5,1.8,52.7,81.3,1.8,4.9,0.1,7.03
Heiko Westermann,Real Betis,35,D(CLR),20,1633,-,0.1,30.9,75.9,-,2.3,-,7.02
Iago Aspas,Celta Vigo,31,"AM(CR),FW",31(4),2668,4,1.4,26.7,77.5,0.3,1.1,0.1,7.02
Óscar De Marcos,Athletic Bilbao,30,"D(LR),M(CR)",33(1),2886,3,0.7,34.2,70.6,0.8,1.8,-,7.02
Charles,Malaga,35,FW,33(2),3007,3,1,24.2,70.4,0.1,0.2,0.1,7.02
Sergio Álvarez,Sporting Gijon,27,"D(C),M(C)",26(1),2189,2,0.6,39.6,75.3,-,1.8,-,7.01
Roberto Trashorras,Rayo Vallecano,38,M(C),35(1),3119,7,2.2,74.8,87.3,1.3,8.7,0.1,7.01
Jaume Costa,Villarreal,31,"D(L),M(L)",17(1),1538,1,0.3,33.9,78.4,0.2,1.8,-,7.01
Javier Mascherano,Barcelona,35,"D(C),M(C)",31(1),2694,-,0.3,66.3,90.5,-,7.9,-,7.01
Gonzalo Escalante,Eibar,26,DMC,32(2),2829,1,0.4,35.9,73.3,0.1,2.2,0.1,7.00
Alfred N'Diaye,Real Betis,29,"D(C),M(C)",34,3010,-,0.2,33.7,79.7,0.1,2.1,-,7.00
Hugo Mallo,Celta Vigo,28,"D(CR),M(R)",33(1),2944,4,0.5,42.6,78.5,0.2,2.2,-,7.00
Gonzalo Castro,Malaga,34,"AM(LR),FW",15(1),1247,1,1.6,26.5,70,2.4,1.2,-,7.00
Kiko Casilla,Real Madrid,32,GK,4,360,-,-,18.5,60.8,-,2.8,-,6.99
Rúben Vezo,Valencia,25,D(CR),10(5),1084,-,0.2,29.3,74.3,0.1,2.6,-,6.99
Nacho,Real Madrid,29,D(CLR),12(4),1153,-,0.2,33.2,89.8,0.1,1.1,-,6.98
Aythami Artiles,Las Palmas,33,D(C),30(1),2643,1,0.2,50.5,83.1,-,4.1,-,6.98
Roberto Rosales,Malaga,30,"D(R),M(R)",35,3071,5,0.6,34.7,74.6,0.5,2.5,-,6.98
Juan Vargas,Real Betis,35,"D(L),M(CL)",20,1719,2,1.3,30.1,74.8,1.6,1.3,-,6.98
Fernando Torres,Atletico Madrid,35,FW,17(13),1692,4,0.7,11.9,65.9,0.1,0.1,0.1,6.98
Keko,Eibar,27,M(R),27(2),2316,3,1.4,25.3,71.3,1.1,0.7,0.1,6.97
Pablo Hernández,Celta Vigo,32,M(C),28(5),2313,4,0.4,45.7,79.1,-,2.7,-,6.97
Sidnei,Deportivo La Coruna,29,D(C),33,2897,-,0.2,36.5,78.4,-,4.1,0.1,6.97
Guilherme Siqueira,Atletico Madrid,33,D(L),1,90,-,1,46,82.6,-,2,-,6.97
Stefan Savic,Atletico Madrid,28,D(C),10(2),925,-,-,31.4,78.2,-,2.4,-,6.97
Sergi Darder,Malaga,25,"DMC,M(L)",1,85,-,1,36,80.6,1,3,-,6.96
Markel Susaeta,Athletic Bilbao,31,M(LR),22(6),1922,8,1.5,23.3,76.9,1.1,0.5,0.1,6.96
Íñigo Martínez,Real Sociedad,28,D(C),30,2700,-,0.1,47,78.5,-,4.4,-,6.95
Mariano,Sevilla,33,"D(R),M(R)",18(5),1685,3,0.9,24.6,75,1.1,1.3,-,6.95
Diego Llorente,Rayo Vallecano,25,"D(C),DMC",33,2877,-,0.1,43,79.6,-,3.6,-,6.95
Aritz Elustondo,Real Sociedad,25,D(CR),30(1),2602,-,0.3,36.3,78.1,0.5,1.8,-,6.94
Yannick Carrasco,Atletico Madrid,25,"M(LR),FW",16(13),1502,1,0.7,24.8,82,0.5,0.4,-,6.94
Ander Capa,Eibar,27,"D(R),M(R)",34(2),3122,5,0.6,32.9,62.9,0.6,1.9,-,6.94
Raúl Albentosa,Malaga,30,D(C),27(2),2553,-,0.3,36.2,69.7,-,3.8,-,6.93
Sergi Roberto,Barcelona,27,"D(R),M(CR)",21(10),1916,5,0.6,39.9,88.1,0.3,0.8,0.1,6.93
Mario Gaspar,Villarreal,28,"D(CR),M(R)",32(1),2874,2,0.3,38.6,72.9,0.2,1.8,0.1,6.93
Recio,Malaga,28,M(C),32(1),2750,4,1.1,42.1,82.3,0.6,2.1,-,6.93
Aymeric Laporte,Athletic Bilbao,25,D(CL),25(1),2214,1,0.2,49.8,80.2,-,4.5,-,6.93
Denis Suárez,Villarreal,25,AM(CLR),25(8),2372,4,1.4,28.6,72.9,1.1,0.5,0.2,6.93
José Luis Morales,Levante,31,"D(R),M(CLR),FW",31(4),2676,5,1.6,22.4,71.6,1.1,0.9,0.1,6.92
Javi Castellano,Las Palmas,31,DMC,1,90,-,-,39,76.9,-,2,-,6.92
Eric Bailly,Villarreal,25,D(CR),25,2026,-,0.1,31.1,76.9,-,1.9,-,6.92
Claudio Bravo,Barcelona,36,GK,32,2878,-,-,26.7,84.3,-,4.4,-,6.92
Carlos Martínez,Real Sociedad,33,D(R),6(4),536,2,0.6,26.9,78.8,0.3,1.2,-,6.92
Alejandro Arribas,Deportivo La Coruna,30,D(C),31,2737,-,0.1,35.3,73.7,-,2.4,-,6.92
Pape Diop,Espanyol,33,M(C),29(1),2485,-,0.1,38.8,77.7,-,2.9,-,6.91
Sergio Escudero,Sevilla,29,"D(L),M(L)",13(2),1173,1,0.9,30.2,78.4,0.7,0.9,-,6.91
Hernán Pérez,Espanyol,30,M(LR),27(5),2448,1,0.9,27.6,71.2,0.8,0.8,-,6.91
Thomas Vermaelen,Barcelona,33,D(CL),6(4),506,-,-,34.1,91.8,-,1.7,-,6.91
Youssef El-Arabi,Granada,32,"AM(C),FW",27(8),2517,2,0.7,18.1,65.3,0.1,0.6,0.1,6.91
Raphael Varane,Real Madrid,26,D(C),23(3),2182,-,-,47.3,88.2,-,3.7,-,6.90
Mikel Balenziaga,Athletic Bilbao,31,D(L),33(1),2906,3,0.7,31.3,77.6,0.8,1,-,6.90
Emiliano Velázquez,Getafe,25,D(C),12,975,1,0.3,31,66.7,0.1,2.7,-,6.90
