Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Lionel Messi,Barcelona,32,"AM(CR),FW",29(5),2710,13,2.7,53.8,81.3,0.4,3.4,0.9,8.48
Alex Sola,Real Sociedad,20,Defender,1,90,-,1,52,80.8,1,1,-,8.03
Luis Suárez,Barcelona,32,"AM(CLR),FW",31(2),2830,6,1.4,29,75.3,0.2,1.5,0.1,7.57
Iago Aspas,Celta Vigo,31,"AM(CR),FW",26(1),2262,6,2.1,32.1,82,0.2,1.4,0.2,7.51
Daniel Parejo,Valencia,30,M(C),35(1),3063,7,2.3,61.5,85.8,1.9,5.6,0.1,7.40
Karim Benzema,Real Madrid,31,FW,35(1),2964,6,1.3,32.9,82.6,0.1,1.1,0.1,7.38
Carlos Isaac,Atletico Madrid,21,Defender,1,90,-,1,41,85.4,-,-,-,7.35
Antoine Griezmann,Atletico Madrid,28,"AM(CLR),FW",37,3204,9,2,37.5,78.3,0.6,1.3,0.1,7.29
Ousmane Dembélé,Barcelona,22,AM(CLR),20(9),1673,5,1.6,31.4,80.7,0.8,1,0.1,7.25
Rodrigo,Atletico Madrid,23,DMC,32(2),2743,1,0.5,56.7,91.1,-,3.4,-,7.24
Wissam Ben Yedder,Sevilla,28,"AM(C),FW",31(4),2821,9,1.3,21.6,73.9,0.1,0.5,0.1,7.23
Gorka Iraizoz,Girona,38,GK,6(1),558,-,-,26.7,60.4,-,8,-,7.21
Guillermo Maripán,Deportivo Alaves,25,D(C),22(1),2009,2,0.1,30.8,75.3,-,3.7,-,7.20
Gerard Piqué,Barcelona,32,D(C),35,3150,2,0.2,68.3,91.4,-,4.3,-,7.18
Jaume Doménech,Valencia,28,GK,4,360,-,-,18.3,56.2,-,7.5,-,7.18
Saúl Ñíguez,Atletico Madrid,24,"D(CL),M(CLR)",32(1),2925,1,0.5,44.9,78.8,0.1,1.5,0.1,7.17
Raúl García,Athletic Bilbao,32,"M(CLR),FW",27(6),2379,3,0.8,27,55.7,0.1,0.8,0.1,7.17
Pablo Sarabia,Sevilla,27,"D(L),M(CLR)",30(3),2730,13,2.1,36.6,79.6,1.3,1.2,0.1,7.16
Casemiro,Real Madrid,27,DMC,27(2),2316,-,0.5,55.8,88,0.1,4.9,-,7.15
Joan Jordán,Eibar,24,M(C),32(4),2879,4,1.9,46.8,83.4,1.8,4.8,-,7.14
José Giménez,Atletico Madrid,24,D(CR),19(2),1772,-,0.1,34.2,80.5,-,4.1,-,7.13
José Campaña,Levante,26,M(C),36,3213,9,1.6,51.6,84.4,1.2,3,-,7.10
Álvaro Morata,Atletico Madrid,26,"AM(L),FW",13(2),1089,1,0.3,17.1,59.4,-,0.1,0.1,7.10
Javi Galán,SD Huesca,24,"D(L),M(L)",16,1440,2,1.1,24.8,65.2,0.9,0.9,0.1,7.10
