Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Neymar,Paris Saint-Germain,27,"AM(CLR),FW",20,1788,19,13,4.5,3.5,7.1,5.2,0.5,2.9,3.4,8.95
Florian Thauvin,Marseille,26,"AM(CLR),FW",35,2966,22,11,3.7,2.2,3.4,1.5,0.5,2.5,2.3,7.94
Nabil Fekir,Lyon,25,"AM(CR),FW",28(2),2481,18,8,3,2,3,3.5,0.6,2.5,2.4,7.86
Adama Traoré II,Monaco,24,AM(C),2(1),189,3,-,2,0.3,1,2,-,1.7,2,7.77
Edinson Cavani,Paris Saint-Germain,32,"AM(LR),FW",30(2),2589,28,6,3.3,1.2,0.5,0.6,0.8,0.4,1.1,7.69
Jean-Christophe Bouet,Amiens,35,Goalkeeper,1,90,-,-,-,-,-,1,-,-,-,7.69
Kylian Mbappé,Paris Saint-Germain,20,"AM(LR),FW",24(3),2097,13,8,2.9,1.9,2.9,1.4,0.9,2.2,2.4,7.54
Dimitri Payet,Marseille,32,M(CLR),28(3),2358,6,13,1.9,3.9,1.5,1.7,0.1,1.6,1.7,7.54
Mathieu Debuchy,Saint-Etienne,33,D(CR),15,1316,4,-,1.3,0.9,0.4,0.9,0.1,0.7,1.5,7.53
Fabinho,Monaco,25,"D(R),DMC",34,3060,7,3,0.7,1.1,1.1,1.9,-,0.6,0.7,7.51
Kylian Mbappé,Monaco,20,"AM(LR),FW",1,75,-,-,3,-,4,1,2,1,1,7.51
Malcom,Bordeaux,22,AM(CLR),32(3),2867,12,7,2.1,2.5,2.7,2.6,0.2,1.9,2.1,7.46
Dani Alves,Paris Saint-Germain,36,"D(R),M(CR)",23(2),2063,1,7,1.1,1.9,1.1,1.4,0.2,1.2,0.8,7.45
Bertrand Traoré,Lyon,23,"AM(R),FW",27(4),2292,13,4,2.6,0.8,1.7,1.1,0.3,1.3,2.5,7.43
Tanguy NDombele,Amiens,22,DMC,3,237,-,-,1.7,1.3,4.7,1.7,-,2.7,2,7.43
Houssem Aouar,Lyon,21,M(CL),27(5),2438,6,5,1.6,1.2,2.6,1.4,0.2,1.7,1.6,7.41
Memphis Depay,Lyon,25,"AM(CL),FW",28(8),2564,19,13,2.9,2.1,1.6,1.4,0.3,1.8,2.5,7.40
David Alcibiade,Nantes,27,Defender,2(1),207,-,1,0.7,0.7,-,0.7,0.3,0.3,0.3,7.38
Ángel Di María,Paris Saint-Germain,31,"M(CLR),FW",26(4),2122,11,6,3.2,1.7,1.6,0.5,0.5,1.1,1.4,7.37
Enock Kwateng,Nantes,22,"D(R),M(R)",1,90,-,-,-,-,-,-,-,-,1,7.35
Rémy Cabella,Saint-Etienne,29,"M(CLR),FW",25(1),2261,7,6,2.2,1.9,2.4,2.6,0.2,2.4,1.8,7.34
Seydou Sy,Monaco,23,GK,2(1),256,-,-,-,-,-,-,-,-,-,7.34
Jorge,Monaco,23,D(L),22,1922,1,2,0.3,0.6,1,2,0.1,1,1.5,7.32
Naim Sliti,Dijon,26,AM(CL),26(5),2297,7,6,1.9,1.9,3.4,2.1,0.3,2.3,2.4,7.31
Jessy Moulin,Saint-Etienne,33,GK,3(1),304,-,-,-,-,-,0.5,-,-,-,7.30
Marco Verratti,Paris Saint-Germain,26,DMC,20(2),1724,-,3,0.3,1.3,1.9,2.4,-,1.6,0.9,7.28
