Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Nenê,Paris Saint-Germain,37,AM(CLR),35,3037,21,11,5,-,2.9,74.8,0.2,14,7.94
Eden Hazard,Lille,28,"M(CLR),FW",35(3),3212,20,16,2,-,2.8,81.9,0.1,10,7.80
Benjamin Lecomte,Lorient,28,GK,4(1),428,-,-,-,-,-,69.6,-,-,7.67
Laurent Pionnier,Montpellier,37,GK,4,360,-,-,-,-,-,72.8,-,1,7.59
Olivier Giroud,Montpellier,32,FW,36,3202,21,9,6,-,4.5,69.1,3.6,8,7.59
Florent Chaigneau,Lorient,35,GK,2(1),254,-,-,-,-,-,42.2,-,-,7.56
Jérémy Ménez,Paris Saint-Germain,32,"M(CLR),FW",33,2719,7,13,12,-,2.1,80.4,0.2,5,7.50
Fouad Rachid,Nancy,27,Midfielder,1,90,-,-,-,-,-,83.3,3,-,7.46
Wesley Lautoa,Lorient,31,"D(C),DMC",5,450,-,-,1,-,0.2,84.3,1.4,2,7.40
Etienne Capoue,Toulouse,30,"D(C),M(CL)",31(2),2819,3,4,6,1,1.5,76.7,2,5,7.39
Miralem Pjanic,Lyon,29,M(C),1(2),160,1,3,1,-,1.3,87.7,0.3,-,7.39
Donovan Léon,Auxerre,26,Goalkeeper,2,180,-,-,-,-,-,50,-,1,7.38
Javier Pastore,Paris Saint-Germain,30,AM(CLR),30(3),2645,13,6,4,-,2.6,74.4,0.2,4,7.31
Bertrand Laquait,Evian Thonon Gaillard,42,GK,7,602,-,-,-,-,-,43,-,-,7.30
Yohan Mollo,Nancy,29,"M(CLR),FW",18(1),1504,3,6,2,-,1.6,77.3,0.7,1,7.29
Mathieu Debuchy,Lille,33,D(CR),32,2845,5,1,9,1,1.3,77.4,2.1,2,7.29
Mathieu Valbuena,Marseille,34,M(CLR),27(6),2345,5,13,7,-,1.7,84.8,0.3,5,7.28
Bruno Ecuele Manga,Lorient,30,D(CR),31(1),2799,2,-,8,-,0.8,82.5,3.1,4,7.28
Renaud Cohade,Valenciennes,34,M(C),34(1),2969,7,4,6,-,1.7,80.5,0.8,4,7.28
Ludovic Obraniak,Bordeaux,34,M(CLR),17,1513,4,3,4,-,2.6,77.9,0.4,-,7.27
Ali Ahamada,Toulouse,27,GK,38,3420,-,-,1,-,-,51.7,0.1,6,7.27
Massadio Haidara,Nancy,26,D(L),19,1676,-,1,2,-,0.5,75.3,1,2,7.25
Henri Bedimo,Montpellier,35,D(L),36,3235,1,2,6,-,0.4,83.3,0.4,-,7.25
Étienne Didot,Toulouse,35,M(C),22(1),1957,1,2,3,-,1.2,75.3,0.2,1,7.23
Hilton,Montpellier,41,D(C),34(1),3037,1,1,2,1,0.3,85,1.3,-,7.23
Aurélien Chedjou,Lille,34,"D(C),DMC",27,2348,5,-,2,-,0.5,88.1,1.2,2,7.22
John Mensah,Lyon,36,"D(CL),DMC",1,90,-,-,-,-,-,90.7,1,-,7.22
Mapou Yanga-Mbiwa,Montpellier,30,D(CR),34,3050,1,-,5,1,0.3,84.6,0.9,2,7.22
Yann M'Vila,Rennes,29,M(C),38,3399,-,2,2,-,0.7,83.2,1.1,3,7.18
Jackson Mendy,AC Ajaccio,32,D(C),2(1),225,-,-,1,-,0.3,82.1,1.3,1,7.18
Steeve Elana,Brest,38,GK,37,3330,-,-,-,-,-,55.8,0.1,4,7.14
Younès Belhanda,Montpellier,29,M(CL),26(2),2241,12,5,5,2,2,80.1,0.3,2,7.14
André Ayew,Marseille,29,"M(CLR),FW",23(3),1993,8,-,6,-,2.7,80.4,0.7,2,7.14
Lamine Sané,Bordeaux,32,"D(C),M(C)",30(2),2724,2,2,6,-,0.5,81.2,2.1,3,7.14
