Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Josip Posavec,Palermo,23,GK,1,90,-,-,-,-,-,47.1,-,-,7.86
Paul Pogba,Juventus,26,M(C),33(2),3019,8,12,10,-,3.5,83.4,1.8,8,7.81
Diego Perotti,Roma,30,"M(CLR),FW",14(1),1205,3,7,2,-,1.7,84.8,0.5,3,7.80
Gonzalo Higuaín,Napoli,31,FW,35,2978,36,2,1,1,5.2,78.1,0.3,9,7.74
Paulo Dybala,Juventus,25,"AM(CR),FW",29(5),2465,19,9,1,-,3.1,84.9,0.1,7,7.71
Francesco Bardi,Frosinone,27,GK,2,120,-,-,1,-,-,35,0.5,1,7.53
Franco Vázquez,Palermo,30,"AM(CR),FW",36,3186,8,7,11,-,2.9,77.2,1.7,5,7.51
Samir,Verona,24,D(CL),3,270,1,-,1,-,0.7,77.2,2.7,1,7.50
Miralem Pjanic,Roma,29,M(C),30(3),2654,10,12,10,1,2.1,84.9,0.7,3,7.46
Alex Sandro,Juventus,28,"D(L),M(L)",15(7),1490,2,3,5,1,0.8,84,1.5,3,7.45
Lucas Biglia,Lazio,33,DMC,26(1),2299,4,3,9,1,0.7,88.2,0.8,3,7.43
Giacomo Bonaventura,AC Milan,29,M(CLR),31(2),2841,6,8,8,-,3.2,82.2,0.6,7,7.39
Alejandro Gómez,Atalanta,31,"M(CL),FW",33(1),2825,7,7,4,1,2.5,79.5,0.2,5,7.36
Federico Viviani,Verona,27,DMC,17(2),1593,3,6,4,1,1.6,80.9,0.7,2,7.36
Alberto Pelagotti,Empoli,29,GK,6,540,-,-,-,-,-,66.9,0.2,2,7.35
Thiago Cionek,Palermo,33,D(CR),5,450,-,1,2,-,0.2,83.6,1.8,1,7.33
Cristian Ansaldi,Genoa,32,"D(CLR),DMC,M(LR)",23(1),2013,-,4,4,-,0.5,73.2,0.8,1,7.33
Francesco Acerbi,Sassuolo,31,D(C),36,3240,4,-,3,-,0.4,87.1,1.7,3,7.32
Mario Lemina,Juventus,25,DMC,7(3),727,2,-,4,-,0.5,89.8,0.7,-,7.32
Stephan El Shaarawy,Roma,26,"AM(CLR),FW",15(1),1202,8,2,-,-,2.9,80.8,0.6,2,7.32
Marek Hamsik,Napoli,31,AM(C),38,3245,6,11,-,-,2.2,86.6,0.7,2,7.31
Claudio Marchisio,Juventus,33,M(C),23,1931,-,2,8,-,1.1,88.5,0.4,2,7.30
Stefan de Vrij,Lazio,27,D(C),2,180,-,-,-,-,-,90.4,3,-,7.30
Juan Cuadrado,Juventus,31,"D(R),M(CLR),FW",16(12),1710,4,5,2,-,1.3,86.4,0.4,4,7.29
Gervinho,Roma,32,"M(LR),FW",13(1),1089,6,1,-,-,1.9,85.9,-,3,7.28
Tomás Rincón,Genoa,31,M(CR),33,2931,3,6,9,-,0.8,85.3,1.2,1,7.27
