Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Hakim Ziyech,Ajax,26,M(CR),28,2404,1.8,0.9,1.1,-,0.4,1.7,-,-,7.82
Andrés Guardado,PSV Eindhoven,32,"D(L),M(CL)",27,2273,2.2,1.7,0.8,0.1,1,1.1,0.3,-,7.73
Lasse Schöne,Ajax,33,M(CLR),26(1),2216,2.2,2.8,0.9,0.1,1.9,1.2,0.3,-,7.73
Renze Fij,Heracles,26,Goalkeeper,0(1),67,-,-,-,-,2,-,-,-,7.71
Nicolai Jørgensen,Feyenoord,28,FW,32,2698,0.8,0.3,1.2,-,0.6,0.3,0.1,-,7.70
Joël Veltman,Ajax,27,D(CR),30,2694,4.4,2.7,1.7,0.2,3.8,1.4,0.3,-,7.70
Eljero Elia,Feyenoord,32,"AM(LR),FW",21(3),1707,2,0.7,1.3,-,0.4,0.9,-,-,7.69
Nemanja Gudelj,Ajax,27,M(C),5(1),459,1.3,1.3,0.7,-,1.3,-,-,1,7.62
David Neres,Ajax,22,AM(CLR),5(3),498,0.6,0.5,1.3,-,-,1,0.3,-,7.60
Hakim Ziyech,Twente,26,M(CR),4,360,1.3,1,1.3,-,0.3,1,-,-,7.60
Eric Botteghin,Feyenoord,31,D(C),34,3060,2,3,1.7,0.4,5.7,0.8,0.6,-,7.59
Marco van Ginkel,PSV Eindhoven,26,M(C),15,1288,1.2,0.7,1.3,0.1,0.7,0.9,-,-,7.53
Bertrand Traoré,Ajax,23,"AM(R),FW",22(2),1797,1,0.8,0.8,-,0.2,0.4,-,-,7.49
Sam Larsson,SC Heerenveen,26,AM(L),31(2),2650,1.2,1.2,1,-,0.3,1.4,-,-,7.48
Tonny Vilhena,Feyenoord,24,M(CL),29,2610,2.6,2,1.2,-,1,0.9,-,-,7.47
Luuk de Jong,PSV Eindhoven,28,"AM(C),FW",31(1),2759,0.6,0.3,1,0.1,1,0.7,0.1,-,7.45
Sébastien Haller,FC Utrecht,25,FW,36,3224,0.9,0.4,1.1,-,0.9,0.6,0.2,-,7.45
Amin Younes,Ajax,25,AM(CL),28(1),2371,1.2,0.4,0.8,-,-,0.4,-,-,7.43
Yassin Ayoub,FC Utrecht,25,M(C),35(1),3114,3.2,1.3,1.3,-,0.9,1.3,0.1,1,7.43
Kasper Dolberg,Ajax,21,FW,26(3),2158,0.3,0.1,1.4,-,0.1,0.2,-,-,7.41
Alireza Jahanbakhsh,AZ Alkmaar,25,AM(CLR),26(4),2277,1.5,1,1.5,-,0.1,0.9,0.1,-,7.41
Karim El Ahmadi,Feyenoord,34,DMC,30,2653,3.4,2.2,2.2,-,0.8,1.5,0.2,-,7.38
Steven Berghuis,Feyenoord,27,"AM(R),FW",25(5),2110,1.4,0.3,0.8,-,0.1,0.9,-,-,7.38
Jens Toornstra,Feyenoord,30,AM(CLR),31(3),2801,0.7,0.9,0.9,-,0.8,0.7,-,-,7.37
Santiago Arias,PSV Eindhoven,27,D(R),28,2509,2.3,1.9,0.9,0.3,1.9,0.9,0.4,-,7.37
Enes Ünal,Twente,22,FW,31(1),2729,0.6,0.2,0.9,-,0.9,0.6,0.2,-,7.36
Davy Pröpper,PSV Eindhoven,27,M(C),33(1),2891,1.5,1.4,0.9,-,0.8,1.3,0.2,-,7.35
Davy Klaassen,Ajax,26,AM(C),33,2851,1.6,1,1,-,1.1,0.8,0.3,-,7.35
Daley Sinkgraven,Ajax,23,"D(L),M(CL)",21(3),1791,2.4,2.3,1.1,0.2,1.7,1.3,0.1,-,7.34
Remko Pasveer,PSV Eindhoven,35,GK,3,270,-,0.3,-,-,0.3,-,-,-,7.34
Django Warmerdam,PEC Zwolle,23,"D(L),M(CL)",23(3),2140,2.3,1.7,0.8,-,3.4,1.2,0.2,-,7.33
Mateusz Klich,Twente,29,M(C),29,2603,2.7,2.3,1.6,-,0.8,1.4,0.3,-,7.33
