Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Didier Drogba,Chelsea,41,FW,31(1),2775,29,10,7,-,5.6,59.7,1.8,13,8.32
Cesc Fàbregas,Arsenal,32,"M(CL),FW",26(1),2194,15,13,5,-,3.2,79.3,0.5,11,8.25
Robin van Persie,Arsenal,35,"AM(C),FW",14(2),1256,9,7,3,-,4.8,79.7,0.9,2,8.07
Luís Boa Morte,West Ham,41,"AM(C),FW",1,64,1,-,1,-,2,81,-,-,8.01
Frank Lampard,Chelsea,41,M(C),36,3220,22,14,-,-,3.9,81,0.1,2,7.95
Wayne Rooney,Manchester United,33,"M(CLR),FW",32,2723,26,3,6,-,5.7,73.6,0.8,5,7.91
Mikel Arteta,Everton,37,M(C),11(2),1031,6,1,3,-,1.8,86.1,0.9,5,7.84
Rafael,Manchester United,28,"D(LR),M(R)",8,683,1,1,2,-,0.4,77.7,1,-,7.82
Abou Diaby,Arsenal,33,M(C),26(3),2322,6,3,2,-,1.3,83.1,1.9,6,7.76
James Collins,West Ham,35,D(C),3,270,-,-,1,-,0.3,78.4,3.3,1,7.73
Fernando Torres,Liverpool,35,FW,20(2),1718,18,3,5,-,3.6,69.4,1.7,5,7.65
Gareth Bale,Tottenham,29,"M(CLR),FW",18(5),1707,3,5,2,-,1.7,64.9,2,2,7.64
Florent Malouda,Chelsea,39,M(CL),26(7),2304,12,8,3,1,1.9,84.1,0.6,4,7.63
Richard Dunne,Manchester City,39,D(C),2,180,-,-,-,-,-,85.1,3,-,7.61
Glen Johnson,Liverpool,34,"D(CLR),M(R)",24(1),2141,3,3,1,-,1.1,81.6,0.9,-,7.61
Michael Essien,Chelsea,36,"D(R),DMC",13(1),1195,3,-,2,-,2.8,87.8,0.9,1,7.60
Nicolas Anelka,Chelsea,40,FW,31(2),2705,11,7,-,-,3,78.6,1.1,2,7.60
Nemanja Vidic,Manchester United,37,D(C),24,2107,1,-,7,1,0.5,83.2,4.5,1,7.59
Ciaran Clark,Aston Villa,29,D(CL),1,90,-,-,-,-,1,84.8,2,-,7.58
Michael Dawson,Tottenham,35,D(C),25(4),2334,2,-,4,-,0.5,73.3,3.9,2,7.58
Carlos Tevez,Manchester City,35,"AM(CL),FW",32(3),2871,23,7,6,-,3.6,81.7,0.1,6,7.57
Christopher Samba,Blackburn,35,D(C),30,2597,4,-,4,1,1.6,63,4.3,2,7.55
Curtis Davies,Aston Villa,34,D(C),2,180,1,-,-,-,1,59.5,1,1,7.55
Grant Hanley,Blackburn,27,D(C),1,90,-,-,-,-,1,40,4,-,7.54
Ritchie de Laet,Manchester United,30,D(LR),2,148,-,-,-,-,0.5,75.7,2,-,7.53
Steven Gerrard,Liverpool,39,M(C),32(1),2850,9,7,6,-,3.2,77.7,0.9,6,7.52
Alexandre Song,Arsenal,31,M(C),25(1),2240,1,1,10,-,0.5,84.7,1.5,1,7.50
Nani,Manchester United,32,"M(CLR),FW",19(4),1590,4,6,1,1,2.7,75.4,0.4,2,7.49
Marouane Fellaini,Everton,31,M(C),20(3),1763,2,2,6,-,1.6,75.3,3.9,5,7.49
Carlos Cuellar,Aston Villa,37,D(C),36,3240,2,1,6,1,0.4,69.2,2.2,5,7.48
Tom Huddlestone,Tottenham,32,DMC,33,2851,2,3,8,-,2.5,78.9,0.8,1,7.48
Kieran Gibbs,Arsenal,29,"D(L),M(L)",3,270,-,-,1,-,0.3,77.6,1.7,-,7.48
Antonio Valencia,Manchester United,33,"D(R),M(R)",29(5),2615,5,7,3,-,1.1,82.9,0.9,6,7.47
Branislav Ivanovic,Chelsea,35,D(CR),25(3),2256,1,5,6,-,0.9,81.6,2.1,1,7.47
Richard Dunne,Aston Villa,39,D(C),35,3132,3,-,7,-,0.6,74.5,4.1,1,7.46
Ryan Giggs,Manchester United,45,M(CL),20(5),1815,5,9,-,-,1.2,74.1,0.3,4,7.44
Deco,Chelsea,41,M(C),14(5),1240,2,2,4,-,1,81.3,0.3,2,7.43
Danny Rose,Tottenham,28,"D(L),M(L)",1,46,1,-,-,-,1,85.7,1,-,7.42
Patrice Evra,Manchester United,38,"D(CL),M(L)",37(1),3288,-,3,5,-,0.8,80.1,1.8,2,7.42
Gareth Barry,Manchester City,38,M(C),34,2996,2,7,4,-,0.9,77.5,1.5,1,7.41
Dimitar Berbatov,Manchester United,38,"AM(C),FW",24(9),2096,12,5,1,-,3,77.9,1.3,6,7.41
Ashley Cole,Chelsea,38,"D(L),M(L)",25(2),2157,4,3,4,-,0.6,88.1,0.5,-,7.41
José Bosingwa,Chelsea,36,D(CLR),8,649,-,1,-,-,1,86.6,1.6,1,7.40
Mohamed Diamé,Wigan,32,M(CLR),34,2865,1,1,6,-,1,80.9,1.3,4,7.40
Niko Kranjcar,Tottenham,34,M(CL),19(5),1661,6,6,3,-,2.2,79.2,0.4,-,7.39
Gaël Clichy,Arsenal,33,D(L),23(1),2086,-,1,4,-,0.3,79.3,1.2,-,7.38
Steve Simonsen,Stoke,40,Goalkeeper,2(1),229,-,-,-,-,-,39.8,-,1,7.38
Thomas Vermaelen,Arsenal,33,D(CL),33,2799,7,1,3,1,1.2,83.3,3.1,-,7.38
Sylvain Distin,Everton,41,D(C),29,2590,-,1,2,-,0.2,72.4,2.8,1,7.37
James Milner,Aston Villa,33,"D(LR),M(CLR)",36,3175,7,12,5,-,1.8,75.6,0.4,2,7.37
Alex,Chelsea,37,D(C),13(3),1269,1,-,2,-,1.8,87.9,2.3,-,7.37
Emmanuel Adebayor,Manchester City,35,FW,25(1),2212,14,3,1,-,2.2,78.2,1.8,3,7.37
Jonny Evans,Manchester United,31,D(CL),18,1587,-,-,2,-,0.4,80.8,2.7,1,7.37
Steven Pienaar,Everton,37,M(CL),30,2663,4,2,8,1,1.7,82.1,0.2,-,7.35
Andy Reid,Sunderland,36,M(CL),18(3),1645,2,6,2,-,1.6,68.5,0.2,3,7.35
Franck Queudrue,Birmingham,40,DMC,6,496,-,-,-,-,0.3,68.3,1.3,-,7.34
Younes Kaboul,Portsmouth,33,D(C),19,1710,3,-,3,1,1.6,64.2,3.5,1,7.34
Scott Parker,West Ham,38,M(C),30(1),2576,2,3,8,1,1.4,82.4,0.2,2,7.33
Aaron Lennon,Tottenham,32,M(LR),20(2),1805,3,9,1,-,1.1,84,-,1,7.33
Benoit Assou-Ekotto,Tottenham,35,D(L),29(1),2535,1,2,5,-,0.4,75.7,1,2,7.33
Darren Fletcher,Manchester United,35,M(C),29(1),2577,4,4,4,1,1.2,84.5,0.9,-,7.33
Phil Jagielka,Everton,36,D(CR),11(1),1035,-,-,-,-,0.6,73.2,2.7,1,7.33
Stiliyan Petrov,Aston Villa,39,"D(C),M(CR),FW",37,3272,-,1,11,-,1,81.1,1.1,4,7.33
Gary Cahill,Bolton,33,D(C),29,2610,5,1,3,-,1.3,68.4,4.4,5,7.33
Darren Bent,Sunderland,35,FW,38,3393,24,1,5,-,3,69.4,2.8,4,7.30
Luka Modric,Tottenham,33,M(C),21(4),1916,3,3,2,-,2,86.1,0.2,2,7.30
Kolo Touré,Manchester City,38,D(C),31,2711,1,-,1,-,0.4,79.1,2,1,7.29
Carlo Cudicini,Tottenham,45,GK,6(1),613,-,-,-,-,-,45.9,0.3,-,7.28
Sotirios Kyrgiakos,Liverpool,39,"D(L),DMC",13(1),1193,1,-,1,1,0.9,79.2,4.4,1,7.28
Kenwyne Jones,Sunderland,34,FW,24(8),2185,9,3,1,1,1.9,54.5,5.9,6,7.27
Peter Crouch,Tottenham,38,FW,21(17),2209,8,6,1,-,2.6,60.3,5.6,4,7.27
Lucas Leiva,Liverpool,32,"D(C),M(C)",32(3),2844,-,2,9,-,1,83.6,1.8,2,7.26
Kevin Davies,Bolton,42,"AM(L),FW",37,3316,7,7,9,-,1.9,53.3,6,2,7.26
Vincent Kompany,Manchester City,33,D(C),21(4),1913,2,1,2,-,0.4,81.1,2.2,2,7.26
Tim Cahill,Everton,39,"M(C),FW",33,2870,8,4,8,-,2.2,74.1,3.5,2,7.26
Javier Mascherano,Liverpool,35,"D(C),M(C)",31(3),2756,-,-,9,2,0.8,83,0.6,-,7.26
Andrey Arshavin,Arsenal,38,AM(LR),25(5),2267,10,1,2,-,2.9,73.6,0.2,1,7.26
Denílson,Arsenal,31,M(C),19(1),1573,3,1,2,-,1.1,86.4,1.5,2,7.25
John Heitinga,Everton,35,D(C),29(2),2591,-,3,8,-,1,74,1.2,-,7.25
Phil Jones,Blackburn,27,"D(CR),DMC",7(2),662,-,-,-,-,0.6,58.4,2.1,1,7.24
John Terry,Chelsea,38,D(C),37,3261,2,2,6,1,0.7,87.4,2.2,1,7.24
Adam Johnson,Manchester City,31,M(CLR),14(2),1180,1,5,1,-,1.1,80.4,0.1,-,7.23
Leighton Baines,Everton,34,"D(L),M(L)",37,3330,1,8,2,-,0.9,75.7,0.7,2,7.23
Cameron Jerome,Birmingham,32,FW,32,2686,11,3,5,-,2.4,60.1,4.1,4,7.23
Charles N'Zogbia,Wigan,33,M(CR),35(1),3039,5,6,7,-,2,74.2,0.5,4,7.22
James Collins,Aston Villa,35,D(C),26(1),2367,1,-,2,-,1.1,71.6,3.9,2,7.22
Heurelho Gomes,Tottenham,38,GK,31,2717,-,-,2,-,-,51.1,0.1,2,7.21
Clint Dempsey,Fulham,36,"M(CL),FW",27(2),2397,7,3,1,-,3.7,72.3,2.1,2,7.21
Roger Johnson,Birmingham,36,D(C),38,3420,-,1,8,-,0.6,60.4,3.3,1,7.21
Ledley King,Tottenham,38,"D(L),DMC",19(1),1548,2,-,1,-,0.6,76.8,2.5,3,7.21
James McFadden,Birmingham,36,"M(C),FW",32(4),2656,5,3,6,-,1.5,62.2,1.4,3,7.21
Ryan Nelsen,Blackburn,41,D(C),25(3),2271,4,1,3,-,0.6,64.8,3.3,1,7.20
Craig Bellamy,Manchester City,39,AM(R),26(6),2379,10,8,3,1,1.8,80.8,0.1,2,7.20
Damien Duff,Fulham,40,M(LR),30(2),2546,6,3,2,-,1.8,84.2,0.1,1,7.20
Brede Hangeland,Fulham,38,D(C),32,2809,1,-,2,-,0.3,75.5,3.3,1,7.20
Danny Collins,Sunderland,38,D(C),3,270,-,-,-,-,0.3,58,3,-,7.19
Danny Murphy,Fulham,42,"DMC,M(R)",25,2142,5,-,5,-,1.1,75.9,0.9,2,7.19
David Bentley,Tottenham,34,D(C),11(4),985,2,1,1,-,2.3,79.5,0.3,-,7.19
Marcus Hahnemann,Wolverhampton Wanderers,47,GK,25,2250,-,-,3,-,-,35.5,0.1,1,7.18
Armand Traore,Arsenal,29,"D(L),M(L)",9,805,-,-,2,-,0.1,83.7,1.9,-,7.18
Emiliano Insúa,Liverpool,30,"D(L),M(L)",30(1),2722,-,4,1,-,0.6,82.1,0.9,-,7.18
Kamil Zayatte,Hull,34,D(C),21(2),1872,2,1,3,-,0.6,56.6,3.9,1,7.17
Samir Nasri,Arsenal,32,M(CLR),22(4),1888,2,4,2,-,1.4,86.4,0.1,1,7.16
Manuel da Costa,West Ham,33,D(C),12(3),1094,2,-,-,-,0.6,67.8,3.4,2,7.16
Ricardo Carvalho,Chelsea,41,D(C),22,1853,-,1,4,-,0.6,86.2,1.3,-,7.16
