Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Lúcio,Inter,41,D(C),30(1),2688,1,1,5,-,0.6,86.1,1.2,4,7.77
Alexis Sánchez,Udinese,30,"M(CLR),FW",27(4),2392,12,6,5,1,2.3,74.9,0.9,7,7.74
Samuel Eto'o,Inter,38,"M(CL),FW",35,2967,21,9,3,-,3.5,81.4,0.1,8,7.63
Nicolas Martin Gorobsov,Cesena,29,Midfielder,1,90,-,-,-,-,3,90.9,1,-,7.62
Zlatan Ibrahimovic,AC Milan,37,FW,29,2535,14,11,8,2,4,71.2,2.4,7,7.59
Antonio Di Natale,Udinese,41,FW,35(1),2941,28,7,3,-,4.2,74.4,0.1,7,7.54
Thiago Silva,AC Milan,34,D(C),33,2898,1,-,1,-,0.6,91.9,1.3,3,7.48
Medhi Benatia,Udinese,32,D(C),34,3045,3,-,8,-,0.5,78.9,0.8,4,7.48
Andrea Ranocchia,Inter,31,D(C),17(1),1486,-,1,2,-,0.4,89.9,1.9,2,7.48
Hugo Campagnaro,Napoli,39,D(CR),30(1),2731,-,-,10,-,0.4,80.7,1.8,6,7.47
Domenico Criscito,Genoa,32,"D(CL),M(L)",36,3201,-,3,6,1,1.1,81.2,1.1,5,7.47
Hernanes,Lazio,34,M(C),35(1),2863,11,5,1,-,3.5,80.8,0.7,7,7.44
Giorgio Chiellini,Juventus,34,D(C),32,2880,2,1,3,-,0.6,83.7,2,5,7.43
Maicon,Inter,37,D(R),28,2457,1,8,5,-,1.4,84.1,0.3,2,7.42
Ignazio Abate,AC Milan,32,"D(R),M(R)",26(3),2413,-,1,1,1,0.2,81.8,0.4,1,7.41
Philippe Mexes,Roma,37,D(C),20(2),1773,1,2,4,1,0.6,83.8,1.7,2,7.41
Amauri,Parma,39,FW,11,918,7,1,2,-,3.2,65.2,3.9,4,7.41
Mario Yepes,AC Milan,43,D(C),11(2),1036,-,-,1,-,0.5,86,2.8,-,7.40
Ezequiel Lavezzi,Napoli,34,"AM(CLR),FW",29(2),2650,6,12,8,-,3,77.4,0.2,4,7.40
Davide Astori,Cagliari,32,D(C),36,3240,-,1,10,-,0.2,75.8,1.6,3,7.39
Nicola Pavarini,Parma,45,GK,2(1),241,-,-,-,-,-,46,-,-,7.39
Francesco Totti,Roma,42,"AM(CL),FW",29(3),2439,15,8,6,1,3.4,72.4,0.1,5,7.36
Javier Pastore,Palermo,30,AM(CLR),34(1),2910,11,5,4,-,2.8,73.1,0.3,3,7.35
Fabio Quagliarella,Juventus,36,FW,17,1313,9,2,-,-,3.5,76.3,1.4,2,7.34
Edinson Cavani,Napoli,32,"AM(LR),FW",32(3),2904,26,6,4,1,3.6,73,0.5,5,7.33
Antonio Cassano,Sampdoria,36,"AM(CL),FW",7,609,4,2,1,-,2.4,68.3,0.1,-,7.31
