Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Franco Vázquez,Palermo,30,"AM(CR),FW",37,3224,10,1.8,44.2,79.5,0.6,2,0.2,7.74
Paul Pogba,Juventus,26,M(C),24(2),2110,3,1.4,46.6,83.8,0.1,3.2,0.1,7.67
Carlos Tevez,Juventus,35,"AM(CL),FW",29(3),2593,7,1.9,40.8,85,0.6,2,0.1,7.66
Fredy Guarín,Inter,33,M(CR),25(3),2210,6,1.6,44.9,77.6,0.9,2.5,0.2,7.56
Juan Cuadrado,Fiorentina,31,"D(R),M(CLR),FW",17,1450,4,2.1,40.1,87,0.4,2.2,-,7.52
Diego Perotti,Genoa,30,"M(CLR),FW",27,2303,5,2,38.6,83.5,1.9,0.7,-,7.48
Felipe Anderson,Lazio,26,"M(CLR),FW",23(9),2097,7,1.1,29.2,77.4,0.5,1.1,0.2,7.47
Lucas Biglia,Lazio,33,DMC,27,2327,2,1.5,70.8,88.3,0.6,4.3,-,7.42
Andrea Pirlo,Juventus,40,M(C),19(1),1611,5,2.2,72.7,89.2,2,7.9,0.2,7.41
Davide Astori,Roma,32,D(C),22(2),2039,-,0.2,52,86.5,-,5,-,7.40
Gonzalo Rodríguez,Fiorentina,35,D(C),30,2680,-,0.2,52.2,82.5,0.1,4.2,-,7.38
Nikola Maksimovic,Torino,27,"D(CR),M(R)",27,2402,3,1,53.9,86.5,0.2,3.6,-,7.38
Giorgio Chiellini,Juventus,34,D(C),27(1),2447,1,0.4,64.3,87.3,-,4.1,0.1,7.37
Paulo Dybala,Palermo,25,"AM(CR),FW",34,2965,10,1.7,32.2,81.6,1.2,1.3,0.1,7.37
Claudio Marchisio,Juventus,33,M(C),33(2),2866,6,1.4,61.3,86.1,0.7,4.7,0.1,7.37
Allan,Udinese,28,DMC,33(2),3005,5,1.1,42,80.4,0.2,3.2,0.1,7.36
Stefan de Vrij,Lazio,27,D(C),29(1),2534,-,0.3,40.1,83,-,4.2,-,7.35
Eugenio Lamanna,Genoa,29,GK,6(2),637,-,0.1,18.8,60,-,5.6,-,7.34
Arturo Vidal,Juventus,32,M(C),23(5),2088,4,1.3,49.5,84.6,0.4,2.6,0.1,7.34
Simone Missiroli,Sassuolo,33,AM(C),30(3),2654,4,1.2,36.8,76.4,0.2,1.8,0.2,7.33
Molla Wagué,Udinese,28,D(C),10,893,-,0.1,32.8,78.4,-,1.8,-,7.33
Domenico Berardi,Sassuolo,24,"AM(R),FW",32,2682,10,1.5,33,72.5,1.1,1.9,0.1,7.31
Marco Parolo,Lazio,34,M(C),34,2999,2,0.9,46.3,79.6,0.2,2.6,-,7.29
Jérémy Ménez,AC Milan,32,"M(CLR),FW",31(2),2703,4,1.4,36.8,82.8,0.4,2.8,0.1,7.29
Antonio Candreva,Lazio,32,M(CLR),31(3),2654,9,1.7,33.3,82.6,1.5,2.1,0.1,7.27
José Holebas,Roma,35,"D(L),M(L)",23(1),2054,1,0.8,43.3,82.8,0.5,1.5,-,7.27
Hernanes,Inter,34,M(C),17(9),1628,4,1.9,30.6,83.5,1,0.9,0.3,7.26
Daniele Gastaldello,Sampdoria,36,D(C),13(1),1187,-,0.1,38,87.6,-,4.7,-,7.25
Davide Santon,Inter,28,D(LR),7(2),715,-,1.2,51,90.6,0.9,1.9,-,7.25
Manolo Gabbiadini,Sampdoria,27,"AM(CLR),FW",11(2),979,2,1.2,22.2,74,1.1,0.5,-,7.22
Andrea Bertolacci,Genoa,28,M(C),31(3),2673,8,1.4,43.6,79.2,0.3,2.9,0.2,7.22
Luca Antonelli,AC Milan,32,"D(L),M(CL)",12,1057,-,0.8,41.3,82.5,0.2,1.5,0.1,7.22
Radja Nainggolan,Roma,31,M(C),30(5),2776,2,1,54.2,86.8,0.2,5.2,0.2,7.21
Dario Dainelli,Chievo,40,D(C),28(2),2445,-,0.3,26.4,74.4,-,3.8,-,7.21
Santiago Gentiletti,Lazio,34,D(C),5,415,-,0.4,49.6,81.9,-,4,-,7.20
Juan Carrizo,Inter,35,GK,1,90,-,-,25,80,-,8,-,7.18
Miralem Pjanic,Roma,29,M(C),28(6),2530,10,2,64.5,90.2,0.6,3.6,0.1,7.17
Leonardo Fontanesi,Sassuolo,23,Defender,3,248,-,0.7,22.7,83.8,0.7,-,-,7.17
Mohamed Salah,Fiorentina,27,"AM(CLR),FW",10(6),912,3,1.9,27.8,86.3,-,0.4,0.1,7.17
Albin Ekdal,Cagliari,29,M(C),32(1),2692,1,0.9,47.7,82.5,0.1,1.5,0.1,7.16
Dusan Basta,Lazio,34,"D(R),M(R)",27,2383,2,1,43.7,78.7,0.8,2,-,7.16
Lorenzo Tonelli,Empoli,29,D(C),27(1),2298,-,0.1,46.3,84.4,0.1,2.5,-,7.16
Stefan Savic,Fiorentina,28,D(C),28(1),2516,1,0.2,56.8,87.6,-,3.7,-,7.16
Kostas Manolas,Roma,28,D(C),30,2610,-,0.1,42.6,90.9,-,2.8,-,7.15
Marcos Alonso,Fiorentina,28,"D(CL),M(L)",19(3),1684,3,0.9,39.6,80.3,0.6,2,-,7.15
Leonardo Bonucci,Juventus,32,D(C),33(1),3015,-,0.3,59.2,86.4,-,5.5,0.1,7.15
Mateo Kovacic,Inter,25,M(CL),26(9),2463,3,1.8,53.1,87.5,0.1,1.7,0.3,7.15
Senad Lulic,Lazio,33,"D(L),M(CL)",22(3),1848,7,1.3,33.7,79.3,0.4,2.6,-,7.15
Francesco Acerbi,Sassuolo,31,D(C),32,2878,-,0.2,45.3,82.1,-,4.1,-,7.15
Andrea Ranocchia,Inter,31,D(C),32(1),2850,-,0.1,49.2,85.5,-,2.3,-,7.15
Luis Pedro Cavanda,Lazio,28,"D(LR),M(R)",10(6),1001,2,0.6,32.3,83,0.4,1.8,0.1,7.14
Antonio Balzano,Cagliari,33,D(LR),21(4),1997,2,0.8,45.5,81.6,0.8,1.5,-,7.14
Milan Badelj,Fiorentina,30,M(C),18(3),1549,2,0.8,55.5,87,0.1,3.8,-,7.14
Patrice Evra,Juventus,38,"D(CL),M(L)",21,1796,2,1.3,37.4,84.2,0.9,0.7,-,7.14
Josip Ilicic,Fiorentina,31,"AM(CLR),FW",17(8),1523,3,1.8,32.6,83.4,0.8,1.6,-,7.14
Kalidou Koulibaly,Napoli,28,D(C),27,2424,1,0.2,54.8,86.7,-,3.8,-,7.13
Cristian Rodríguez,Parma,33,AM(CL),5,447,-,1.6,36.2,71.8,0.4,0.6,-,7.13
Juan Jesus,Inter,28,D(CL),32,2849,-,0.4,59.5,86,0.3,2,-,7.12
Francesco Magnanelli,Sassuolo,34,DMC,28(1),2495,3,1.2,56.1,81.6,0.1,5.4,0.1,7.12
Luca Antonelli,Genoa,32,"D(L),M(CL)",18(1),1640,1,0.8,29.3,75.7,0.5,0.8,-,7.12
Stefan Radu,Lazio,32,D(CL),24,2114,2,0.5,45.2,81,0.4,2.4,0.1,7.12
Zouhair Feddal,Parma,29,D(C),12(1),1081,-,0.1,34.3,74.9,0.1,3.5,-,7.11
Gary Medel,Inter,31,"D(C),DMC",34(1),2992,2,0.8,77.1,91.8,-,5.5,0.1,7.11
