Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Hakim Ziyech,Ajax,26,M(CR),28,2404,7,11,2,-,4.4,76,0.5,6,7.82
Andrés Guardado,PSV Eindhoven,32,"D(L),M(CL)",27,2273,2,9,2,-,1,83.5,1.2,1,7.73
Lasse Schöne,Ajax,33,M(CLR),26(1),2216,7,4,3,-,1.9,83.6,1.2,3,7.73
Renze Fij,Heracles,26,Goalkeeper,0(1),67,-,-,-,-,-,36.7,-,-,7.71
Nicolai Jørgensen,Feyenoord,28,FW,32,2698,21,11,-,-,3.2,75.1,2.2,6,7.70
Joël Veltman,Ajax,27,D(CR),30,2694,-,3,6,1,0.4,84.6,1.9,1,7.70
Eljero Elia,Feyenoord,32,"AM(LR),FW",21(3),1707,9,8,1,-,2,77.9,0.3,5,7.69
Nemanja Gudelj,Ajax,27,M(C),5(1),459,2,1,-,-,3.8,89.2,0.5,1,7.62
David Neres,Ajax,22,AM(CLR),5(3),498,3,1,1,-,3,84.2,0.4,1,7.60
Hakim Ziyech,Twente,26,M(CR),4,360,2,1,1,-,5.8,73,0.3,1,7.60
Eric Botteghin,Feyenoord,31,D(C),34,3060,4,1,3,-,1.1,86.9,3,3,7.59
Marco van Ginkel,PSV Eindhoven,26,M(C),15,1288,7,3,4,-,2.4,79.9,2.7,2,7.53
Bertrand Traoré,Ajax,23,"AM(R),FW",22(2),1797,9,-,4,-,3.5,80.2,0.9,3,7.49
Sam Larsson,SC Heerenveen,26,AM(L),31(2),2650,9,12,4,1,3,73.6,0.3,8,7.48
Tonny Vilhena,Feyenoord,24,M(CL),29,2610,4,1,5,-,2.3,80.3,1.4,2,7.47
Luuk de Jong,PSV Eindhoven,28,"AM(C),FW",31(1),2759,8,7,4,-,3.7,67.1,6.1,5,7.45
Sébastien Haller,FC Utrecht,25,FW,36,3224,15,5,3,-,2.7,65.9,5.3,8,7.45
Amin Younes,Ajax,25,AM(CL),28(1),2371,3,6,3,-,2.1,81.7,0.1,4,7.43
Yassin Ayoub,FC Utrecht,25,M(C),35(1),3114,5,6,4,-,1.6,79.2,0.5,7,7.43
Kasper Dolberg,Ajax,21,FW,26(3),2158,16,6,1,-,2.9,73.3,0.9,5,7.41
Alireza Jahanbakhsh,AZ Alkmaar,25,AM(CLR),26(4),2277,11,8,4,-,2.7,68.6,0.7,4,7.41
Karim El Ahmadi,Feyenoord,34,DMC,30,2653,5,1,8,-,1.1,88,0.8,-,7.38
Steven Berghuis,Feyenoord,27,"AM(R),FW",25(5),2110,7,5,4,-,2.2,79.4,0.4,1,7.38
Jens Toornstra,Feyenoord,30,AM(CLR),31(3),2801,14,9,3,-,2.1,80.4,0.3,4,7.37
