Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Paulo Dybala,Juventus,25,"AM(CR),FW",26(7),2358,22,5,-,-,3.5,87.3,0.2,8,7.77
Luis Alberto,Lazio,26,"AM(CL),FW",32(2),2677,11,14,5,-,2.4,79.9,0.4,5,7.69
Faouzi Ghoulam,Napoli,28,D(L),11,987,2,3,1,-,0.9,89.1,2,1,7.65
Alejandro Gómez,Atalanta,31,"M(CL),FW",31(2),2758,6,10,2,-,3,81.9,-,6,7.65
Lukasz Skorupski,Roma,28,GK,1,90,-,-,-,-,-,73.1,-,-,7.63
Aleksandar Kolarov,Roma,33,"D(CL),M(L)",34(1),3061,2,8,3,-,1.8,81.2,1.5,6,7.52
Lorenzo Insigne,Napoli,28,"AM(CL),FW",36(1),3104,8,11,4,-,4.8,85.2,0.1,7,7.51
Alex Sandro,Juventus,28,"D(L),M(L)",23(3),2115,4,4,8,-,0.7,86.4,1.8,3,7.47
Douglas Costa,Juventus,28,M(CLR),18(13),1793,4,12,1,-,1.2,84,0.2,4,7.45
Felipe Anderson,Lazio,26,"M(CLR),FW",9(12),1152,4,7,-,-,1.2,76.6,0.1,3,7.45
Marco Silvestri,Verona,28,GK,2,180,-,-,-,-,-,68.2,-,-,7.44
Miralem Pjanic,Juventus,29,M(C),28(3),2489,5,8,5,-,1.7,90.2,0.4,4,7.42
Edin Dzeko,Roma,33,FW,33(3),3019,16,4,6,-,4.2,70.8,3,5,7.40
Josip Ilicic,Atalanta,31,"AM(CLR),FW",21(10),2004,11,8,3,-,2.9,81.6,0.3,6,7.39
Sergej Milinkovic-Savic,Lazio,24,AM(C),33(2),2850,12,3,8,-,2.6,79.9,2.9,7,7.39
Ciro Immobile,Lazio,29,FW,33,2697,29,9,3,1,3.3,79.1,0.5,7,7.39
Ivan Perisic,Inter,30,AM(CLR),37,3316,11,9,4,-,3.1,75.4,1.8,5,7.35
Juan Cuadrado,Juventus,31,"D(R),M(CLR),FW",15(6),1359,4,6,5,-,1.3,89,0.4,2,7.28
Mauro Icardi,Inter,26,FW,34,2971,29,1,2,-,3,74,1.1,6,7.28
Lucas Leiva,Lazio,32,"D(C),M(C)",35(1),2894,2,3,9,-,0.8,86.9,1.6,2,7.26
Christian Puggioni,Sampdoria,38,GK,9,810,-,-,-,-,-,66.9,0.3,2,7.26
Federico Fazio,Roma,32,D(C),32(2),2920,2,-,6,-,0.5,84.4,4.4,5,7.26
Gonzalo Higuaín,Juventus,31,FW,32(3),2818,16,6,4,-,2.9,80.4,0.3,5,7.25
Medhi Benatia,Juventus,32,D(C),19(1),1755,2,-,8,-,0.7,90.5,2.4,1,7.25
Mattia De Sciglio,Juventus,26,"D(LR),M(LR)",10(2),967,1,-,1,-,0.4,89.9,1.1,1,7.24
Simone Verdi,Bologna,26,"AM(CLR),FW",34,2836,10,10,2,-,2.7,78,0.1,4,7.23
Lorenzo Tonelli,Napoli,29,D(C),3(1),350,1,-,-,-,0.8,94,3.5,-,7.23
Suso,AC Milan,25,"AM(CLR),FW",33(2),2847,6,7,2,1,2.7,81.3,0.1,7,7.22
Antonio Santurro,Bologna,27,Goalkeeper,1,90,-,-,1,-,-,47.6,1,-,7.22
José Callejón,Napoli,32,M(LR),38,3247,10,10,3,-,1.7,84.3,0.6,2,7.22
Adem Ljajic,Torino,27,"AM(CLR),FW",23(4),2155,6,10,2,-,2.3,82.1,-,4,7.21
Dries Mertens,Napoli,32,"AM(CLR),FW",35(3),3013,18,6,4,-,3.4,75.5,0.1,7,7.21
Milan Skriniar,Inter,24,D(C),38,3420,4,-,2,-,0.6,91.2,1.9,3,7.20
Rafinha,Inter,26,M(CR),12(5),1048,2,3,1,-,0.9,89.5,0.5,3,7.20
Marcelo Brozovic,Inter,26,M(CR),21(10),1924,4,9,9,-,1.5,87.9,0.7,3,7.20
Benedikt Höwedes,Juventus,31,D(CLR),3,248,1,-,1,-,0.7,92.8,0.7,-,7.19
Allan,Napoli,28,DMC,32(6),2857,4,5,2,-,1,87.7,0.3,3,7.17
Lucas Torreira,Sampdoria,23,DMC,36,3185,4,1,6,-,0.9,87.2,0.6,3,7.17
Giorgio Chiellini,Juventus,34,D(C),25(1),2163,-,2,2,-,0.4,87.4,2,2,7.17
Radja Nainggolan,Roma,31,M(C),31,2620,4,9,6,1,2,84.2,0.6,1,7.16
Thiago Cionek,SPAL 2013,33,D(CR),15,1350,1,-,5,-,0.5,78.9,2.1,1,7.16
Raúl Albiol,Napoli,33,D(C),30(1),2742,3,1,7,-,0.5,89.5,3.1,3,7.15
Cyril Théréau,Udinese,36,"AM(CL),FW",2,180,2,-,-,-,1.5,81.4,1.5,-,7.14
Hakan Calhanoglu,AC Milan,25,"M(CLR),FW",25(6),2174,6,7,5,1,2.8,82.4,0.2,3,7.13
Iago Falque,Torino,29,"AM(CLR),FW",34(3),2839,12,8,2,-,2.1,80,0.4,2,7.12
Milan Badelj,Fiorentina,30,M(C),27,2355,2,1,8,1,1.2,83.2,0.9,1,7.12
