Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Glen Johnson,Liverpool,34,"D(CLR),M(R)",28,2438,2,1,38.8,78.5,0.5,1.9,-,7.23
Chris Brunt,West Bromwich Albion,34,"D(L),M(CLR)",34,3016,9,2.6,40.1,77.1,2.1,3.6,0.4,7.23
Benoit Assou-Ekotto,Tottenham,35,D(L),30,2573,-,0.7,50.6,71.3,0.5,6.6,-,7.22
Park Ji-Sung,Manchester United,38,M(CLR),13(2),1084,3,1.1,37.8,86.1,0.3,0.8,0.2,7.22
Lucas Leiva,Liverpool,32,"D(C),M(C)",32(1),2858,1,0.7,54.4,82.8,-,3,0.2,7.21
Peter Odemwingie,West Bromwich Albion,37,"AM(LR),FW",29(3),2685,7,1.8,25.3,78,0.4,1.1,0.2,7.21
Mark Halstead,Blackpool,28,Goalkeeper,0(1),24,-,-,9,44.4,-,4,-,7.20
Leighton Baines,Everton,34,"D(L),M(L)",38,3420,11,1.9,38.6,79.6,2.6,1.6,-,7.20
Ryan Giggs,Manchester United,45,M(CL),19(6),1678,6,2.4,36.6,72.7,1.8,1.9,0.3,7.18
Johan Elmander,Bolton,38,"M(C),FW",37,3115,6,1.1,26.3,66.5,0.4,0.7,0.1,7.18
David Stockdale,Fulham,33,GK,7,630,-,-,30,39.5,-,7.1,-,7.18
Stewart Downing,Aston Villa,34,"D(L),M(CLR)",38,3387,7,2.2,39.1,77.5,2.1,2.2,0.1,7.18
David Luiz,Chelsea,32,"D(C),DMC",11(1),954,-,0.5,39.3,83.9,0.1,3.8,0.1,7.17
Yaya Touré,Manchester City,36,M(C),35,2977,4,1.1,52.4,85.5,0.1,3.1,0.4,7.17
Charles N'Zogbia,Wigan,33,M(CR),32(2),2801,4,2,29.6,77.7,0.8,0.8,0.4,7.17
Philippe Senderos,Fulham,34,D(C),3,270,-,-,27.7,73.5,-,1.3,-,7.16
Steve Gohouri,Wigan,38,"D(CLR),DMC",26(1),2361,1,0.4,34,74.8,0.1,1.7,0.1,7.16
Youssouf Mulumbu,West Bromwich Albion,32,M(C),34,2863,1,0.6,46.8,84.6,0.1,5.1,0.1,7.16
Bacary Sagna,Arsenal,36,D(CR),33,2969,3,0.7,54.8,87,1,1.6,-,7.16
David Vaughan,Blackpool,36,M(C),35,3150,2,0.7,48.4,87.3,0.6,4.1,0.1,7.16
Cheick Tioté,Newcastle United,33,M(C),26,2311,1,0.6,54.4,87.1,0.1,4.5,-,7.16
Robert Huth,Stoke,34,D(C),35,3111,2,0.3,17.9,62.1,-,0.9,-,7.15
David Silva,Manchester City,33,M(CLR),30(5),2565,7,2.1,44.4,87,0.5,1.5,0.3,7.15
Sylvain Distin,Everton,41,D(C),38,3411,-,0.2,33.8,74.8,-,4.2,-,7.15
Maxi Rodríguez,Liverpool,38,"M(CL),FW",24(4),2044,-,1.3,33.3,84.3,0.1,1.3,0.2,7.14
Ryan Nelsen,Blackburn,41,D(C),28,2415,3,0.2,26,67,0.1,2.3,-,7.14
Rio Ferdinand,Manchester United,40,D(C),19,1710,-,0.2,47.8,82.5,-,5.8,0.1,7.13
Daniel Sturridge,Bolton,29,"M(R),FW",11(1),973,-,1.3,18.8,73.5,0.1,1.9,0.3,7.12
Mousa Dembélé,Fulham,31,M(CR),22(2),1923,3,1.6,33.3,81.5,0.3,0.6,0.1,7.12
Leon Osman,Everton,38,M(CLR),20(6),1809,5,1.1,26,78.5,0.6,0.9,-,7.12
Phil Jagielka,Everton,36,D(CR),31(2),2796,-,0.2,35.8,73.6,-,4.7,-,7.11
Ashley Young,Aston Villa,33,"D(LR),M(LR)",34,3054,10,2.4,33.6,71.6,2.2,2.1,0.7,7.11
Paulo Da Silva,Sunderland,39,D(C),1,90,-,-,24,66.7,-,3,-,7.11
Jermaine Pennant,Stoke,36,M(R),26(3),2033,8,1.8,17,73,2.1,0.8,0.2,7.11
Kolo Touré,Manchester City,38,D(C),21(1),1846,-,-,42.3,86.9,-,2.1,-,7.10
Patrice Evra,Manchester United,38,"D(CL),M(L)",34(1),2963,1,1,37.9,83.9,0.5,1.2,-,7.10
Marouane Fellaini,Everton,31,M(C),19(1),1654,2,1,50.3,77.3,0.1,2.8,0.1,7.10
Nicolas Anelka,Chelsea,40,FW,27(5),2364,4,1.4,32,81.8,0.7,1.8,0.2,7.10
Demba Ba,West Ham,34,FW,10(2),932,-,0.9,21.8,75.9,0.1,0.8,0.1,7.10
Leon Best,Newcastle United,32,FW,9(2),753,-,0.5,16.5,67,0.1,0.1,0.1,7.09
Clint Dempsey,Fulham,36,"M(CL),FW",35(2),3099,3,1,30.8,74.4,0.1,0.8,0.2,7.09
Steven Pienaar,Everton,37,M(CL),18,1576,-,1.6,46.8,82.2,0.6,2.1,0.6,7.08
Roger Johnson,Birmingham,36,D(C),38,3376,1,0.2,29.1,67.6,-,2.8,-,7.08
Aaron Hughes,Fulham,39,D(CR),38,3406,-,0.2,36.5,77.1,-,1.8,-,7.08
Danny Murphy,Fulham,42,"DMC,M(R)",37,3130,4,1.3,63,80,0.6,4.7,0.1,7.08
Abou Diaby,Arsenal,33,M(C),13(3),962,3,0.8,41.8,90.6,0.1,0.8,0.1,7.08
John Obi Mikel,Chelsea,32,M(C),28,2219,1,0.8,64.4,89.5,-,5.1,0.2,7.07
Darren Bent,Aston Villa,35,FW,16,1400,1,0.6,19.5,65.4,-,0.2,0.1,7.07
Chris Baird,Fulham,37,"D(LR),DMC",25(4),2386,1,0.8,45.1,76.7,0.4,3.2,0.1,7.07
Phil Bardsley,Sunderland,34,D(LR),32(2),2824,1,0.7,34.2,69.3,0.4,2.1,0.1,7.07
Gareth Barry,Manchester City,38,M(C),31(2),2705,2,0.7,53.9,85.2,0.1,2.9,0.1,7.06
Andrey Arshavin,Arsenal,38,AM(LR),25(12),2197,11,1.5,27.5,75,0.9,0.7,0.4,7.06
Ramires,Chelsea,32,M(CR),22(7),1943,-,0.7,34.9,84.3,0.2,2.2,0.1,7.06
Nigel de Jong,Manchester City,34,M(C),30(2),2612,1,0.5,49.2,90,-,4,0.1,7.05
Jordan Henderson,Sunderland,29,M(CLR),37,3219,4,2.2,44.4,81.2,1.5,3.5,0.2,7.05
Jack Wilshere,Arsenal,27,M(CLR),31(4),2652,3,1.7,54.4,86.1,0.3,3.1,0.3,7.05
Laurent Koscielny,Arsenal,33,D(C),30,2619,-,-,37.9,85.2,-,1.8,-,7.04
Titus Bramble,Sunderland,37,D(C),22(1),2001,-,0.1,28,62.3,-,2.9,-,7.04
Martin Kelly,Liverpool,29,D(CLR),10(1),859,1,0.8,25.2,68.2,0.7,0.5,0.1,7.04
Mike Williamson,Newcastle United,35,D(C),28(1),2565,1,0.1,27.6,72,-,1.7,-,7.04
James Collins,Aston Villa,35,D(C),31(1),2853,-,0.1,35.7,68,-,2.8,-,7.04
Jamie O'Hara,Wolverhampton Wanderers,32,M(C),13(1),1118,1,1.5,50.9,82.7,1.6,5.5,0.1,7.04
Marc Albrighton,Aston Villa,29,M(LR),20(9),1805,4,1.2,16.6,72.3,1.2,0.8,-,7.03
Ben Watson,Wigan,33,M(C),23(6),2122,1,1.5,47.6,81.7,1.3,4.4,0.2,7.03
David Junior Hoilett,Blackburn,29,"M(CLR),FW",17(7),1498,1,1,15.1,76.2,0.4,0.4,0.1,7.02
Chris Smalling,Manchester United,29,D(CR),11(5),1082,-,0.3,29.9,77.5,0.1,2.1,-,7.02
Richard Dunne,Aston Villa,39,D(C),32,2720,1,0.3,36.4,72.9,-,3.3,-,7.02
Stiliyan Petrov,Aston Villa,39,"D(C),M(CR),FW",23(4),2072,2,0.6,38.6,85.8,0.1,2.9,0.1,7.02
Heurelho Gomes,Tottenham,38,GK,30,2700,-,0.1,22.9,54.3,-,7.6,-,7.01
Alan Hutton,Tottenham,34,D(LR),19(2),1704,1,0.7,37.9,78.5,0.7,2.1,-,7.00
Ian Evatt,Blackpool,37,DMC,36(2),3216,3,0.4,35.2,73.9,-,3.5,-,7.00
Craig Gardner,Birmingham,32,"D(R),M(CLR)",25(4),2219,-,0.8,27,74.4,0.3,2.4,0.1,7.00
Ronald Zubar,Wolverhampton Wanderers,33,D(C),14(1),1258,-,0.5,35.5,71.8,0.1,1.2,-,7.00
Joleon Lescott,Manchester City,36,D(CL),20(2),1882,1,0.1,37.2,82.8,-,1.5,-,6.99
Tim Cahill,Everton,39,"M(C),FW",22(5),2016,3,1.3,30.4,74.3,0.1,0.9,-,6.99
Ciaran Clark,Aston Villa,29,D(CL),16(3),1567,-,0.3,35.1,76.9,0.1,1.6,-,6.99
John O'Shea,Manchester United,38,D(C),18(2),1542,3,1,41.1,79.7,0.6,1.4,0.1,6.99
Phil Jones,Blackburn,27,"D(CR),DMC",24(2),2176,-,0.3,26.3,61.9,0.1,1.7,0.1,6.98
Danny Welbeck,Sunderland,28,"AM(CLR),FW",21(5),1769,1,0.8,22.2,79.4,0.1,0.3,0.2,6.98
Zat Knight,Bolton,39,D(C),34,2998,-,-,24.3,68.6,-,3.1,-,6.98
Carlos Cuellar,Aston Villa,37,D(C),10(2),894,-,0.3,29,77,0.2,2,-,6.98
Johan Djourou,Arsenal,32,D(C),20(2),1796,-,0.1,39.9,90.1,-,2.1,-,6.97
Micah Richards,Manchester City,31,D(CR),16(2),1401,1,0.3,26.8,83.2,0.1,0.3,-,6.97
Lee Cattermole,Sunderland,31,M(C),22(1),1922,-,0.7,37.9,79.4,-,3.4,0.1,6.97
José Enrique,Newcastle United,33,"D(L),M(L)",36,3126,1,0.8,46.2,77,0.9,2.9,0.1,6.97
Valon Behrami,West Ham,34,M(C),6(1),515,-,0.4,25.1,86.4,0.4,0.7,-,6.96
Grétar Steinsson,Bolton,37,D(R),23,1990,-,0.6,24.4,59.3,0.6,2.1,-,6.96
Sulley Muntari,Sunderland,34,M(C),7(2),538,2,0.9,37.3,77.7,0.3,2,0.1,6.96
Simon Davies,Fulham,39,"D(C),M(C),FW",25(5),2212,4,2.1,32.9,81,1.7,1,0.1,6.96
Victor Obinna,West Ham,32,FW,17(8),1574,3,1.8,22.4,72.7,1.5,1.6,0.2,6.96
Curtis Davies,Birmingham,34,D(C),2(4),335,-,0.2,16.3,73.5,-,1.2,-,6.96
Younes Kaboul,Tottenham,33,D(C),19(2),1635,1,0.3,36.1,76.4,0.1,2.1,-,6.95
Anderson,Manchester United,31,M(CR),14(4),1190,2,0.8,38,82.9,0.1,2.8,0.2,6.95
Mohamed Diamé,Wigan,32,M(CLR),30(6),2642,2,1,29.6,77.5,0.1,2.2,0.1,6.95
Mark Noble,West Ham,32,M(C),25(1),2144,3,1.8,46.5,85.5,1,4.7,0.3,6.95
Ashley Cole,Chelsea,38,"D(L),M(L)",38,3387,3,1.2,43.6,88.6,0.5,1.7,-,6.95
James McFadden,Birmingham,36,"M(C),FW",3(1),281,1,2.3,19.5,69.2,2.3,0.8,-,6.95
Vedran Corluka,Tottenham,33,D(C),13(2),1167,1,0.8,42.9,81.6,0.5,3.6,-,6.95
Ben Foster,Birmingham,36,GK,38,3371,-,0.1,38,37.3,-,11.5,-,6.94
Sebastian Larsson,Birmingham,34,M(CR),31(4),2833,6,1.8,33.5,76.3,2.2,1.9,0.1,6.94
Jermaine Jones,Blackburn,37,"D(C),M(C)",15,1297,-,0.7,29.3,68.6,0.1,2.1,0.1,6.94
Jonás Gutiérrez,Newcastle United,35,"D(LR),M(CLR)",34(3),2983,4,1.3,30.1,83.5,1,0.3,0.2,6.93
Chung-Yong Lee,Bolton,30,M(CLR),25(6),2201,6,1.4,19.9,67.6,0.8,0.4,0.2,6.93
Adam Bogdan,Bolton,31,GK,3(1),321,-,-,41.5,56.6,-,22.3,-,6.93
Fernando Torres,Liverpool,35,FW,22(1),1896,2,1,19.3,65,0.2,0.5,0.1,6.93
Morten Gamst Pedersen,Blackburn,37,M(C),27(8),2517,6,1.5,32.2,64.7,1.4,2.3,0.1,6.93
Kevin Nolan,Newcastle United,37,M(C),30,2658,1,0.9,33,82.9,0.1,1.7,0.2,6.93
Paul Scharner,West Bromwich Albion,39,D(C),33,2751,1,0.4,34.2,78.7,-,2.4,-,6.93
Scott Dann,Birmingham,32,D(C),20,1800,1,0.2,34.1,72.8,-,4.2,-,6.93
Darren Fletcher,Manchester United,35,M(C),24(2),2108,6,1,53.6,84.5,0.5,4.6,-,6.92
Joe Hart,Manchester City,32,GK,38,3420,-,0.1,24.1,44,-,6.2,-,6.92
Matthew Etherington,Stoke,37,M(L),30(2),2532,6,2.2,20.9,70.8,2.3,0.6,0.1,6.92
Theo Walcott,Arsenal,30,"M(CLR),FW",19(9),1696,7,0.8,16.1,82.9,0.4,0.1,0.1,6.92
Hatem Ben Arfa,Newcastle United,32,"M(CR),FW",3(1),171,-,0.8,19.3,79.2,0.5,0.5,-,6.92
Tom Huddlestone,Tottenham,32,DMC,13(1),1165,2,1.6,55.8,82.1,0.4,9,0.1,6.91
Nedum Onuoha,Sunderland,32,D(CR),31,2673,1,0.3,30.4,73.4,0.2,1.3,-,6.91
Jérôme Boateng,Manchester City,30,D(CR),14(2),1239,-,0.5,34.4,78.6,0.3,1.3,0.2,6.91
Carlos Salcido,Fulham,39,D(C),22(1),1904,2,0.5,32.7,77.2,0.5,1.2,-,6.91
Jack Robinson,Liverpool,25,"D(CL),M(L)",1(1),147,-,-,20,82.5,-,0.5,-,6.91
Marouane Chamakh,Arsenal,35,"AM(C),FW",18(11),1846,4,1.4,24.9,78.1,-,0.2,-,6.91
Jay Spearing,Liverpool,30,M(C),10(1),797,-,0.6,38.3,79.8,0.1,2.7,0.1,6.91
James McCarthy,Wigan,28,M(C),24,1983,1,0.8,34.4,83.8,0.1,2.2,0.1,6.91
Asmir Begovic,Stoke,32,GK,28,2520,-,0.1,33.3,44.9,-,13.9,-,6.90
Jonathan Greening,Fulham,40,AM(C),6(4),528,2,0.8,33.6,89.3,1.1,1.7,-,6.90
Anton Ferdinand,Sunderland,34,D(C),23(4),2089,-,-,24.1,65.1,-,1.3,-,6.90
Frédéric Piquionne,West Ham,40,FW,26(8),2253,3,1,22.9,64.8,0.2,0.5,0.1,6.90
Geoffrey Mujangi Bia,Wolverhampton Wanderers,29,AM(L),0(1),11,1,1,4,75,1,-,-,6.90
