Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Franck Ribéry,Bayern Munich,36,AM(L),18(4),1643,0.8,0.7,0.9,-,-,1.3,-,-,8.28
Ricardo Rodríguez,Wolfsburg,26,"D(CL),M(L)",34,3060,3,1.8,1.1,0.4,2.9,0.8,0.4,-,8.01
Robert Lewandowski,Borussia Dortmund,30,FW,31(2),2807,0.6,0.2,2.3,-,0.4,0.6,-,-,8.00
Roberto Firmino,Hoffenheim,27,"M(CLR),FW",33,2916,2.5,0.8,2.2,-,0.6,2.3,-,-,7.94
Marco Reus,Borussia Dortmund,30,"M(CLR),FW",26(4),2221,1.2,0.5,1.1,-,0.3,1.2,0.1,-,7.91
Raffael,Borussia M.Gladbach,34,"AM(CL),FW",34,2999,1.4,0.8,0.6,-,0.1,2.9,0.1,-,7.91
Thiago Alcántara,Bayern Munich,28,M(C),11(5),1004,1.9,1.3,0.8,-,0.4,1.1,0.1,-,7.90
Max Kruse,Borussia M.Gladbach,31,"M(CLR),FW",34,3021,0.8,0.4,0.6,-,0.1,1.2,0.1,-,7.88
Slobodan Rajkovic,Hamburger SV,30,D(C),2,158,2,2,1.5,1,9,1,0.5,-,7.88
Adrián Ramos,Hertha Berlin,33,FW,30(2),2665,1.1,0.8,1.2,-,0.8,0.8,0.1,-,7.75
Diego,Wolfsburg,34,AM(CLR),15,1274,1.9,0.7,1.9,-,0.4,1.2,-,-,7.73
Mario Götze,Bayern Munich,27,"M(CLR),FW",20(7),1830,1.5,0.3,0.6,-,0.1,1.2,-,-,7.72
Mats Hummels,Borussia Dortmund,30,D(C),23,1962,2,2.5,0.7,0.4,5.7,1.4,0.3,-,7.71
Kevin De Bruyne,Wolfsburg,28,"M(CLR),FW",16,1420,0.9,1,1.6,0.1,0.1,1.5,-,-,7.71
Stefan Kießling,Bayer Leverkusen,35,FW,30(2),2679,1.1,0.5,2.2,-,0.9,1.1,0.1,-,7.70
Jefferson Farfán,Schalke 04,34,"M(CR),FW",17(2),1524,1.6,0.8,1.3,-,0.5,1.1,-,-,7.70
Julian Draxler,Schalke 04,25,AM(CLR),25(1),2154,1.7,0.7,1.1,-,0.2,1.3,0.2,-,7.69
Arjen Robben,Bayern Munich,35,"M(CLR),FW",20(8),1705,0.4,0.1,0.4,-,-,0.8,0.1,-,7.62
Henrikh Mkhitaryan,Borussia Dortmund,30,M(CLR),29(2),2454,1.7,1,1.6,-,0.3,2.4,0.1,-,7.59
David Alaba,Bayern Munich,27,"D(CL),M(C)",26(2),2399,1.8,1,0.7,0.4,1.6,0.8,0.4,-,7.55
Pierre-Michel Lasogga,Hamburger SV,27,FW,18(2),1491,0.3,0.2,2.2,-,0.9,0.7,0.1,-,7.54
Naldo,Wolfsburg,36,D(C),33,2970,2.2,2.8,1.5,1.4,4.9,0.9,0.5,-,7.54
Sokratis,Borussia Dortmund,31,D(CR),24(4),2265,2.6,1.3,1.6,0.8,4.8,0.8,0.5,-,7.54
Milan Badelj,Hamburger SV,30,M(C),29,2411,3.5,2.9,1.6,-,1.9,3,0.4,-,7.50
Javi Martínez,Bayern Munich,30,"D(C),M(C)",14(4),1341,2.6,1.6,1.5,0.8,2.7,0.8,0.4,-,7.50
Mario Mandzukic,Bayern Munich,33,"M(L),FW",21(9),2028,0.6,0.2,1.6,-,0.4,0.9,-,-,7.50
Daniel Baier,Augsburg,35,M(C),34,3060,3.5,3.3,0.9,-,1.3,2.3,0.1,-,7.49
Santiago García,Werder Bremen,30,"D(CL),M(L)",21(1),1851,2.9,2.5,2.1,0.3,5.2,1.6,0.3,-,7.47
Nuri Sahin,Borussia Dortmund,30,M(C),31(3),2779,3.5,2.5,1.6,-,0.9,2.6,0.1,-,7.46
Joel Matip,Schalke 04,27,D(C),31,2790,2.4,2.5,1.3,0.7,6,0.4,0.5,-,7.45
Klaas-Jan Huntelaar,Schalke 04,35,FW,17(1),1463,0.3,0.3,1.7,-,0.9,1.1,0.1,-,7.45
