Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Holger Badstuber,Bayern Munich,30,D(CL),9(1),769,-,-,-,-,0.2,93.4,2.7,-,7.26
Robin Knoche,Wolfsburg,27,D(C),25(2),2295,2,-,-,-,0.4,86,4,1,7.26
Jérôme Boateng,Bayern Munich,30,D(CR),25(2),2140,-,-,2,1,0.7,86.1,2.2,1,7.26
David Alaba,Bayern Munich,27,"D(CL),M(C)",19,1666,1,1,-,-,1.4,91.5,0.9,1,7.24
Daniel Caligiuri,Wolfsburg,31,"D(R),M(LR),FW",18(10),1654,7,3,1,-,1.4,75.3,1.5,3,7.24
Vieirinha,Wolfsburg,33,"D(R),M(LR)",25(6),2312,1,5,1,-,1.1,74.2,1.5,-,7.24
Ermin Bicakcic,Hoffenheim,29,D(C),24,2071,1,-,3,1,0.4,81.6,4.9,1,7.23
Patrick Herrmann,Borussia M.Gladbach,28,"M(LR),FW",26(6),2204,11,4,5,-,1.6,75.3,1,5,7.23
Pirmin Schwegler,Hoffenheim,32,M(C),26(2),2264,1,4,5,-,0.8,74.7,2.5,1,7.23
Medhi Benatia,Bayern Munich,32,D(C),13(2),1151,1,-,4,-,0.7,90.1,3.3,-,7.22
Joselu,Hannover 96,29,FW,28(2),2476,8,3,4,-,2.6,65.1,6.9,2,7.21
Gonzalo Castro,Bayer Leverkusen,32,M(CR),19(3),1784,2,7,4,-,1.4,74.3,1.1,2,7.21
Matija Nastasic,Schalke 04,26,D(C),16,1440,-,-,3,-,0.4,81.1,3.9,1,7.21
Rafinha,Bayern Munich,33,"D(CLR),M(R)",24(2),2143,-,1,4,-,0.3,90.4,0.8,-,7.20
Hakan Calhanoglu,Bayer Leverkusen,25,"M(CLR),FW",31(2),2522,8,6,3,-,3.2,69.5,1.3,4,7.20
Niklas Süle,Hoffenheim,23,D(C),15,1270,1,-,1,-,0.6,78.8,3.7,-,7.20
Kevin Volland,Hoffenheim,26,"AM(CLR),FW",30(2),2670,8,5,6,-,2.6,66,1.4,1,7.19
Mario Götze,Bayern Munich,27,"M(CLR),FW",28(4),2249,9,2,1,-,1.9,86.2,0.4,3,7.19
Jan-Ingwer Callsen-Bracker,Augsburg,34,D(C),22(1),2052,1,2,4,-,0.5,83.4,4.6,2,7.18
Sokratis,Borussia Dortmund,31,D(CR),19(2),1727,1,-,6,-,0.6,79.1,4.6,-,7.17
Julian Schieber,Hertha Berlin,30,FW,15(1),1280,7,-,1,-,1.7,55,6.5,2,7.17
Julian Baumgartlinger,Mainz 05,31,DMC,26,2307,-,-,3,-,0.6,82.9,3,-,7.17
Marcel Schmelzer,Borussia Dortmund,31,"D(CL),M(L)",22,1920,-,2,4,-,1.2,72.8,2.2,-,7.16
Theodor Gebre Selassie,Werder Bremen,32,"D(LR),DMC,M(R)",25(1),2276,3,1,-,-,0.7,72.2,3.8,1,7.16
Sebastian Langkamp,Hertha Berlin,31,D(C),15(1),1356,1,-,3,1,0.3,79,3.9,1,7.16
Ilkay Gündogan,Borussia Dortmund,28,M(C),22(1),1911,3,4,2,-,1.7,85.5,0.9,-,7.16
Benedikt Höwedes,Schalke 04,31,D(CLR),28,2487,2,-,8,-,0.4,85.1,3.1,-,7.16
Mario Vrancic,Paderborn,30,M(CL),23(7),2121,2,1,5,-,0.7,74.7,1.5,2,7.16
Anthony Ujah,FC Cologne,28,FW,28(4),2354,10,3,2,-,1.8,63.6,5.2,3,7.15
Ivan Perisic,Wolfsburg,30,AM(CLR),21(3),1736,5,4,4,-,1.8,72.1,2.7,3,7.15
Javi Martínez,Bayern Munich,30,"D(C),M(C)",1,62,-,-,-,-,1,88.2,4,-,7.15
Milan Badelj,Hamburger SV,30,M(C),2,180,-,-,-,-,1.5,82.6,1.5,-,7.15
Marcell Jansen,Hamburger SV,33,"D(L),M(L)",11(4),1055,2,1,1,-,1.3,54.5,4.7,2,7.15
Son Heung-Min,Bayer Leverkusen,26,"M(CLR),FW",28(2),2292,11,2,4,-,2.1,76.1,1.1,1,7.14
Marcelo,Hannover 96,32,D(C),34,3060,2,-,4,-,0.6,77.9,5.9,1,7.13
Neven Subotic,Borussia Dortmund,30,D(C),24(4),2275,2,-,9,-,0.7,79.6,4.8,1,7.12
Haris Seferovic,Eintracht Frankfurt,27,"AM(LR),FW",32,2850,10,5,8,1,2.9,66.8,2.9,2,7.12
