Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Thiago Alcántara,Bayern Munich,28,M(C),26(1),2291,6,5,4,-,1.3,90.2,1.7,6,8.28
Arjen Robben,Bayern Munich,35,"M(CLR),FW",21(5),1830,13,9,-,-,3.2,81.2,0.3,5,7.82
Emil Forsberg,RasenBallsport Leipzig,27,AM(CLR),27(3),2349,8,19,1,1,1.6,76.2,0.6,9,7.75
Robert Lewandowski,Bayern Munich,30,FW,31(2),2777,30,5,5,-,4.3,75.2,1.9,6,7.74
Naby Keita,RasenBallsport Leipzig,24,M(C),29(2),2416,8,7,8,-,1.4,81.8,0.6,3,7.60
Max Kruse,Werder Bremen,31,"M(CLR),FW",23,2047,15,7,1,-,1.8,76.1,1.9,3,7.54
Hakan Calhanoglu,Bayer Leverkusen,25,"M(CLR),FW",14(1),1217,6,5,1,-,3.1,77.6,1.7,3,7.49
Kerem Demirbay,Hoffenheim,25,AM(C),27(1),2182,6,8,4,-,1.8,78.8,0.4,6,7.49
Andreas Luthe,Augsburg,32,GK,2,180,-,-,-,-,-,41.2,-,1,7.48
Ousmane Dembélé,Borussia Dortmund,22,AM(CLR),22(10),2042,6,12,7,-,1.7,67,0.2,5,7.44
Kyriakos Papadopoulos,Hamburger SV,27,D(C),15,1291,2,-,6,-,1,64.8,4.6,3,7.43
Sebastian Rudy,Hoffenheim,29,"D(R),M(CR)",32,2789,2,7,9,-,0.8,80.8,1.3,3,7.43
Pierre-Emerick Aubameyang,Borussia Dortmund,30,"M(LR),FW",31(1),2782,31,2,3,-,3.6,69.7,1.3,3,7.42
Benjamin Hübner,Hoffenheim,29,D(C),25,2149,2,3,10,-,0.7,87.7,2.6,2,7.39
Franck Ribéry,Bayern Munich,36,AM(L),14(8),1242,5,11,2,-,1,83.9,0.4,1,7.38
Lukas Klünter,FC Cologne,23,"D(R),M(R)",8,720,1,1,4,-,0.3,59.9,0.9,-,7.37
Sven Müller,FC Cologne,23,Goalkeeper,1,90,-,-,-,-,-,40.7,-,-,7.35
Tom Starke,Bayern Munich,38,GK,3,270,-,-,-,-,-,79.7,-,-,7.35
Frederik Sörensen,FC Cologne,27,D(CR),30(1),2680,-,2,5,-,0.6,72,2.6,3,7.34
Anthony Modeste,FC Cologne,31,FW,34,2978,25,2,3,-,3,63.5,4.4,7,7.34
Mats Hummels,Bayern Munich,30,D(C),24(3),2181,1,1,4,-,1.1,88.8,3.4,2,7.32
Sead Kolasinac,Schalke 04,26,"D(L),M(L)",24(1),2070,3,5,5,-,0.7,71.7,1.8,2,7.32
Thomas Müller,Bayern Munich,29,"M(CLR),FW",25(4),2265,5,12,-,-,2.2,76,1.8,1,7.30
Johannes Geis,Schalke 04,25,"D(C),DMC",17(1),1334,-,-,4,-,0.8,78.6,2.3,1,7.29
Timo Werner,RasenBallsport Leipzig,23,"AM(L),FW",28(3),2435,21,5,4,-,2.4,67.5,0.9,4,7.29
Arturo Vidal,Bayern Munich,32,M(C),21(6),1824,4,2,8,-,1.4,87.8,2.1,1,7.28
Willi Orban,RasenBallsport Leipzig,26,D(C),28,2518,3,1,7,1,0.8,81.5,4.5,-,7.28
Markus Suttner,Ingolstadt,32,"D(L),M(L)",31,2737,4,5,10,-,1.4,60.4,2.2,1,7.28
Javi Martínez,Bayern Munich,30,"D(C),M(C)",25,2135,1,1,5,-,0.4,91.6,2.4,-,7.27
Jonas Hector,FC Cologne,29,"D(L),DMC,M(L)",33,2970,1,2,6,-,0.5,81.2,2.3,2,7.26
Naldo,Schalke 04,36,D(C),19,1624,1,-,1,1,1.5,85.1,3.6,3,7.25
