Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Xabier Etxeita,Athletic Bilbao,31,D(C),22(2),1971,2,-,5,1,0.3,75.9,2.1,5,7.13
Vitorino Antunes,Malaga,32,D(L),15,1323,1,2,1,1,1.3,67.2,0.5,-,7.12
Lucas Vázquez,Espanyol,27,M(R),31(3),2660,3,6,6,-,1.1,73.5,0.4,5,7.12
Javier Mascherano,Barcelona,35,"D(C),M(C)",26(2),2208,-,-,8,1,0.1,91.2,0.8,-,7.12
Ivan Rakitic,Barcelona,31,M(C),23(9),2037,5,7,1,-,1.1,90.6,0.7,-,7.11
Julián,Almeria,28,GK,15,1350,-,-,2,-,-,42.8,0.7,2,7.11
Adriano,Barcelona,34,"D(CLR),M(L)",10(6),953,-,1,2,-,0.5,89.6,0.8,-,7.11
Gabriel Paulista,Villarreal,28,D(CR),18(1),1607,-,-,4,-,0.7,84.4,2.5,-,7.11
Xavi,Barcelona,39,DMC,19(12),1779,2,8,1,-,0.9,92.7,0.3,-,7.11
Raúl Albentosa,Eibar,30,D(C),17,1530,2,2,5,-,0.5,66.9,3.6,2,7.11
Cristian Ansaldi,Atletico Madrid,32,"D(CLR),DMC,M(LR)",6(1),576,-,-,-,-,0.4,66.2,0.9,-,7.10
Eric Bailly,Espanyol,25,D(CR),4(1),354,-,-,1,-,0.4,70.4,1.6,1,7.10
Sidnei,Deportivo La Coruna,29,D(C),32,2835,-,2,10,-,0.3,78.6,2.1,1,7.10
Javi Fuego,Valencia,35,M(C),34(1),3005,3,1,8,1,0.3,83.4,0.9,-,7.10
Eric Bailly,Villarreal,25,D(CR),10,829,-,-,5,-,0.2,83.9,2,2,7.10
Íñigo Martínez,Real Sociedad,28,D(C),34,3028,3,-,6,-,0.6,75.6,3,3,7.09
Anaitz Arbilla,Espanyol,32,D(CLR),25(3),2230,1,1,9,1,0.9,73.7,1.8,2,7.09
Emiliano Velázquez,Getafe,25,D(C),27,2352,1,1,5,1,0.3,68.3,2.1,2,7.08
Sergio Escudero,Getafe,29,"D(L),M(L)",26(4),2213,2,2,7,1,1.3,71.1,1.6,1,7.08
Andreu Fontàs,Celta Vigo,29,"D(C),DMC",33(1),2984,-,-,7,1,0.4,82.6,1.8,2,7.08
Xabi Prieto,Real Sociedad,35,M(CLR),33(2),2985,4,6,5,-,0.9,75.4,4.5,1,7.07
Coke,Sevilla,32,"D(CLR),M(R)",21(1),1818,2,3,6,-,0.9,73.6,1.3,2,7.04
Rubén Pérez,Granada,30,M(C),13(1),1113,-,-,7,-,0.9,80.7,2.1,2,7.04
Arda Turan,Atletico Madrid,32,AM(CLR),28(4),2347,2,4,7,-,0.8,85.2,1.2,1,7.04
Mario Gaspar,Villarreal,28,"D(CR),M(R)",31(3),2835,3,2,5,-,1,72.9,0.9,1,7.03
