Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Nenê,Paris Saint-Germain,37,AM(CLR),35,3091,1.5,1.5,1.2,-,0.3,0.7,0.1,-,7.81
Mamadou Samassa,Marseille,33,"AM(CLR),FW",0(1),34,1,-,1,-,-,-,-,-,7.52
Romain Sartre,Lens,36,DMC,1,90,3,1,1,-,12,1,2,-,7.51
Laurent Pionnier,Montpellier,37,GK,1,90,-,-,-,-,-,-,-,-,7.50
Eden Hazard,Lille,28,"M(CLR),FW",35(3),3085,0.9,1.1,0.9,-,0.1,0.5,-,-,7.47
Yohan Benalouane,Saint-Etienne,32,D(CR),0(1),74,1,4,-,-,7,2,-,-,7.45
Hatem Ben Arfa,Marseille,32,"M(CR),FW",0(1),34,-,-,1,-,-,-,-,-,7.37
Moussa Sow,Lille,33,"M(LR),FW",33(3),2817,0.4,0.8,0.6,-,0.4,0.1,0.1,-,7.37
Dimitri Payet,Saint-Etienne,32,M(CLR),28(5),2526,1,0.8,0.8,-,0.3,0.4,0.1,-,7.37
Yohan Cabaye,Lille,33,M(C),36,3099,3,3,1.9,-,0.6,1.6,0.1,-,7.37
Emir Spahic,Montpellier,38,D(C),23,1977,2.6,3,1.5,0.7,10.3,0.3,0.3,-,7.34
André Ayew,Marseille,29,"M(CLR),FW",32(5),2797,2.5,1.6,1.8,0.1,0.2,0.5,-,-,7.34
Kader Mangane,Rennes,36,"D(C),DMC",29,2576,2.2,2.4,1.6,1.1,8.7,0.5,0.7,-,7.29
Marvin Martin,Sochaux,31,M(C),37,3312,1.6,0.8,1.1,-,0.5,0.5,0.2,-,7.29
Benoit Pedretti,Auxerre,38,M(C),20,1800,1.7,1.9,1.6,-,2.2,0.9,0.2,-,7.27
Teddy Richert,Sochaux,44,GK,15,1306,0.1,0.1,-,-,1.8,0.3,-,-,7.27
Julien Féret,Nancy,36,M(C),36,3082,1.7,1.8,0.9,-,0.7,0.6,-,-,7.26
Willy Boly,Auxerre,28,D(C),8,720,2.6,2.8,1.9,0.4,8.4,0.5,0.5,-,7.26
