Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Daniel Baier,Augsburg,35,M(C),33,2949,2,1.8,52.1,76.5,0.7,4.1,0.2,7.26
Julian Baumgartlinger,Mainz 05,31,DMC,31(1),2801,1,0.7,58.1,87,0.1,3.9,0.1,7.25
Stefan Reinartz,Bayer Leverkusen,30,M(C),29,2446,1,0.8,48,84,-,4.6,0.1,7.25
Xherdan Shaqiri,Bayern Munich,27,M(CLR),13(13),1393,5,1.5,29.9,86.4,1.4,2.4,0.2,7.24
Oliver Fink,Fortuna Duesseldorf,37,M(CL),21(5),1870,1,0.2,34.7,73.5,0.2,2.5,-,7.24
Lukasz Piszczek,Borussia Dortmund,34,"D(CR),M(R)",28(1),2533,8,1.4,44.9,80.2,0.9,2.4,-,7.23
Philipp Wollscheid,Bayer Leverkusen,30,D(C),31,2790,-,0.1,49.3,86.1,-,6.8,-,7.23
Roman Neustädter,Schalke 04,31,"D(C),M(C)",31,2672,1,0.8,56.6,82.9,-,4.8,0.2,7.22
Roberto Firmino,Hoffenheim,27,"M(CLR),FW",29(4),2477,2,1.3,32.2,72.2,0.3,1.1,0.2,7.21
Nikolce Noveski,Mainz 05,40,D(C),32,2880,-,0.1,47.3,83.3,-,6.1,-,7.20
Jermaine Jones,Schalke 04,37,"D(C),M(C)",23(2),2018,5,1,47.3,75.6,0.2,5.4,0.3,7.20
Zdenek Pospech,Mainz 05,40,D(R),32(1),2829,3,0.7,35.4,79.9,0.9,2.6,-,7.20
Dong-Won Ji,Augsburg,28,"AM(CLR),FW",17,1495,-,1.4,30.9,77.7,0.2,1.2,0.1,7.19
Emre Can,Bayern Munich,25,"D(CLR),DMC",2(2),218,-,1,21.8,79.3,0.5,1,-,7.19
Nicolai Müller,Mainz 05,31,"M(CLR),FW",26(6),2376,5,0.9,19.3,76.4,0.5,0.6,-,7.18
Holger Badstuber,Bayern Munich,30,D(CL),12,983,1,0.8,59,92.9,0.3,5.3,-,7.18
Ibrahim Afellay,Schalke 04,33,M(CLR),8(2),632,-,0.6,29.9,90,0.6,2.5,0.1,7.18
Arthur Boka,VfB Stuttgart,36,"D(L),M(C)",23(2),2017,1,0.6,37,77.1,0.5,2.6,-,7.18
