Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Nicolas Douchez,Paris Saint-Germain,39,GK,1,90,-,-,-,-,-,91.7,1,-,8.32
Zlatan Ibrahimovic,Paris Saint-Germain,37,FW,29(2),2553,38,13,1,-,5,78.9,1.4,14,8.29
Layvin Kurzawa,Monaco,26,"D(L),M(L)",3,229,1,-,1,-,1.3,75.4,3.3,3,7.97
Ángel Di María,Paris Saint-Germain,31,"M(CLR),FW",26(3),2134,10,18,-,-,2.4,80.5,-,5,7.94
Layvin Kurzawa,Paris Saint-Germain,26,"D(L),M(L)",14(2),1287,3,5,1,-,1,89.9,1.9,1,7.90
Serge Aurier,Paris Saint-Germain,26,"D(CLR),M(R)",21,1887,2,2,8,-,1,88.4,2.8,-,7.75
Mathieu Gorgelin,Lyon,28,GK,1,90,-,-,-,-,-,51.9,-,-,7.72
Thiago Silva,Paris Saint-Germain,34,D(C),29(1),2622,1,1,3,-,0.5,94.6,2.4,2,7.65
Hatem Ben Arfa,Nice,32,"M(CR),FW",33(1),2844,17,6,2,-,2.7,79.7,0.2,5,7.58
Sofiane Boufal,Lille,25,"AM(CLR),FW",27(2),2343,11,4,10,2,1.7,77.1,0.4,6,7.56
Ousmane Dembélé,Rennes,22,AM(CLR),22(4),1937,12,5,1,-,2.2,72.3,0.3,7,7.55
Ricardo Pereira,Nice,25,"D(LR),M(R)",26,2281,-,4,6,-,0.1,84.4,1.9,5,7.48
Djibril Sidibe,Lille,26,"D(LR),M(R)",36(1),3275,4,3,3,-,1.1,78.5,1.5,3,7.45
Gregory van der Wiel,Paris Saint-Germain,31,"D(CR),M(R)",16(1),1381,2,3,2,-,0.5,89.8,1,-,7.45
Wahbi Khazri,Bordeaux,28,"M(CLR),FW",20,1588,5,7,7,-,2,77.4,1,6,7.44
Salvatore Sirigu,Paris Saint-Germain,32,GK,2(1),225,-,-,-,-,-,80,-,-,7.42
Erwin Koffi,Lorient,24,D(R),1,90,-,-,-,-,-,75,1,-,7.41
Lucas Moura,Paris Saint-Germain,26,"AM(CLR),FW",26(10),2328,9,4,3,-,1.8,85.1,0.9,1,7.40
Aissa Laidouni,Angers,22,Midfielder,1,90,-,-,-,-,-,77.8,1,-,7.38
