Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Carles Puyol,Barcelona,41,D(C),17,1386,2.1,2.6,0.6,0.9,3.2,0.5,0.1,-,7.19
Juan Mata,Valencia,31,AM(CLR),31(2),2592,0.8,0.8,0.6,-,0.1,0.4,-,-,7.19
Carlos Kameni,Espanyol,35,GK,33,2970,-,-,-,-,1.2,-,-,-,7.18
Peña,Hercules,40,D(C),28,2469,3,4.3,1.2,0.4,1.6,0.8,0.5,-,7.17
Dídac Vilá,Espanyol,30,D(L),12(1),1116,2.5,3,0.7,0.6,4.9,0.3,0.5,-,7.16
Willy Caballero,Malaga,37,GK,15,1347,-,-,-,-,1.1,0.1,-,-,7.16
Mohamed Sarr,Hercules,35,D(L),2,180,3,5.5,2,1,4.5,1,0.5,-,7.16
Thiago Alcántara,Barcelona,28,M(C),6(6),662,2.1,1.8,0.8,-,0.2,0.6,-,-,7.16
Alberto Lora,Sporting Gijon,32,D(R),35(1),3170,3.1,3.8,1.5,0.6,2.5,1.1,0.2,-,7.16
Nacho Monreal,Osasuna,33,"D(CL),M(L)",31,2758,2.8,3.5,1.3,0.4,3.3,0.6,0.4,-,7.14
Diego Alves,Almeria,34,GK,33,2970,-,-,0.1,-,0.9,-,-,1,7.14
Antonio Luna,Almeria,28,"D(L),M(L)",13,1168,3.2,4.9,0.8,0.3,1.8,1.2,0.4,-,7.14
Álvaro Arbeloa,Real Madrid,36,D(LR),20(6),1849,2.8,2.6,1.3,0.3,1.7,0.5,0.3,1,7.13
César,Valencia,47,GK,15,1270,-,0.1,0.1,-,1.7,0.1,-,-,7.13
Karim Benzema,Real Madrid,31,FW,20(13),1887,0.5,0.6,0.8,-,0.1,0.3,-,-,7.12
Masoud Shojaei,Osasuna,35,"M(CL),FW",14(4),1202,1.6,1.9,2.1,-,0.3,0.9,-,-,7.12
Ander Herrera,Real Zaragoza,29,M(C),30(3),2625,3.2,2.5,2,-,0.5,1.1,0.2,-,7.12
Apoño,Malaga,35,M(C),26(1),2178,1.7,3.1,0.8,-,0.7,1.2,0.1,-,7.12
David López,Athletic Bilbao,36,M(CR),17(11),1655,1.1,1.9,0.6,-,0.1,0.4,0.1,-,7.12
Jesús Gámez,Malaga,34,D(LR),30,2583,2.8,3.4,1.2,0.1,2.5,0.9,0.2,-,7.11
Eric Abidal,Barcelona,39,D(C),23(3),2024,2,2.2,0.6,0.9,2,0.3,0.2,-,7.11
Jeremy Mathieu,Valencia,35,D(CL),27(2),2216,2.9,2.6,1.3,0.4,2.6,0.8,0.3,-,7.10
Borja Valero,Villarreal,34,M(CL),34(1),2960,2,1.4,1.2,0.1,0.2,1.2,0.1,-,7.10
Daniel Aranzubia,Deportivo La Coruna,39,GK,32,2880,-,-,-,-,0.8,0.1,-,-,7.10
Éver Banega,Valencia,31,M(C),19(9),1745,2.1,1.8,1,-,0.2,1.1,-,-,7.09
Edson Ratinho,Mallorca,33,D(R),7,576,2.1,3.3,1.4,-,1.9,1,0.7,-,7.09
Eliseu,Malaga,35,"D(L),M(L)",34(1),2953,2.3,2.3,1.3,0.1,1.3,0.4,0.1,-,7.09
Nacho Cases,Sporting Gijon,31,M(C),17(1),1420,2.6,2.3,0.8,-,0.3,0.3,0.2,-,7.09
Alberto Rivera,Sporting Gijon,41,M(C),30,2562,2.9,3.4,0.8,-,1.5,1.5,0.4,-,7.09
Daniel Parejo,Getafe,30,M(C),28(8),2498,1.7,2,0.8,-,0.2,0.6,0.1,-,7.09
Iván Ramis,Mallorca,34,D(C),33,2922,1.8,3.2,0.8,0.8,4.8,0.5,0.5,-,7.09
Royston Drenthe,Hercules,32,M(CLR),15(2),1303,1,1.5,1.4,-,0.1,0.5,-,-,7.09
Diego Godín,Atletico Madrid,33,D(C),25,2243,2.2,3.5,1.5,1.1,6.1,0.6,0.4,-,7.08
Carlos Marchena,Villarreal,39,D(C),27(1),2350,2.4,3.3,1.1,1.7,3.7,0.9,0.6,-,7.08
Jonathan de Guzmán,Mallorca,31,M(CLR),33,2871,1.1,1.6,1.4,-,0.1,0.5,0.1,-,7.08
Leonardo Ponzio,Real Zaragoza,37,M(C),30(2),2574,3.8,4,1.9,0.1,1.6,1,0.3,-,7.08
Diego Colotto,Deportivo La Coruna,38,D(C),36,3192,1.9,2.9,1,1,5.2,0.7,0.6,1,7.07
Frederic Kanoute,Sevilla,41,"AM(CL),FW",19(9),1894,0.8,0.6,1.7,-,1.1,-,0.2,-,7.07
Fernando Navarro,Sevilla,37,D(CL),30,2577,3.3,3.2,1.9,0.2,2.6,1.2,0.2,-,7.07
Christian Fernández,Racing Santander,33,D(L),13(5),1242,2.1,4.6,1.7,0.3,3.5,0.7,0.4,-,7.06
Nilmar,Villarreal,34,FW,27(4),2369,1.2,0.6,0.8,-,0.2,0.2,0.1,-,7.05
Sergi Roberto,Barcelona,27,"D(R),M(CR)",1,90,2,1,-,-,1,-,-,-,7.05
Diego Rivas,Real Sociedad,39,"D(C),M(R)",31(1),2581,3.4,3.8,2.8,-,1.2,1.8,0.6,-,7.05
Juanfran,Levante,42,D(CL),22(1),1876,2.1,4.3,0.9,0.3,2,0.7,0.3,-,7.05
Henrique,Racing Santander,32,D(CR),35,3079,2.2,3.5,1.1,1.3,5.5,0.4,0.5,-,7.05
Toño,Racing Santander,39,GK,37,3330,-,-,-,-,1.1,0.1,-,-,7.04
Vicente Iborra,Levante,31,M(C),14(2),1260,2.8,3.8,1.6,-,2,0.9,0.3,-,7.04
Roberto Soldado,Valencia,34,FW,26(8),2418,0.4,0.6,1,-,0.9,0.3,0.1,-,7.04
Abdoulay Konko,Sevilla,35,"D(LR),M(R)",9(2),814,2.6,2.4,1.1,0.2,2.3,0.4,0.5,-,7.04
Gerard Piqué,Barcelona,32,D(C),29(2),2652,1.7,1.9,1,0.9,3.7,0.6,0.4,-,7.04
Salomón Rondón,Malaga,29,FW,28(2),2427,0.5,0.3,1.5,-,0.7,0.3,0.1,-,7.04
Gonzalo Colsa,Racing Santander,40,"D(C),M(CR)",30(1),2666,2.3,3.4,1.9,-,2.3,1.1,0.4,-,7.03
Gaizka Toquero,Athletic Bilbao,34,"AM(R),FW",26(4),2102,1.5,1.4,1.8,-,0.6,0.3,0.1,-,7.03
Luís Fabiano,Sevilla,38,FW,16(5),1395,0.9,0.5,2,-,0.5,0.1,0.1,-,7.03
Ricardo Carvalho,Real Madrid,41,D(C),31(2),2771,2.1,2.3,1.2,1.1,4.6,0.6,0.7,-,7.03
Asier Del Horno,Levante,38,"D(C),DMC",21(1),1898,1.6,4,1.2,0.2,3.1,1,0.4,-,7.03
Filipe Luís,Atletico Madrid,33,D(L),23(4),2069,2.9,2.5,1.1,0.2,1.4,0.9,0.1,-,7.02
Javi Márquez,Espanyol,33,M(C),26(3),2229,2.4,2.3,1.8,-,0.9,0.6,0.1,-,7.02
Cani,Villarreal,37,M(CLR),25(9),2103,1.1,1.8,0.7,-,0.2,0.9,0.1,-,7.01
Iván Hernández,Sporting Gijon,39,"D(CL),DMC",24(1),2165,1.9,3,0.8,1.2,5.2,0.3,0.6,-,7.01
Antoine Griezmann,Real Sociedad,28,"AM(CLR),FW",34(3),2869,1.7,1.9,1.2,-,0.2,0.8,-,-,7.01
Juanfran,Osasuna,34,D(R),18,1551,1.1,1.6,1.8,0.1,-,0.3,0.1,-,7.01
Ricardo,Osasuna,47,GK,38,3420,-,-,-,-,0.8,-,-,-,7.01
