Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Bryan Linssen,Vitesse,28,"AM(CLR),FW",33,2781,1.5,0.6,1.9,-,0.7,0.9,-,-,7.14
Tom Beugelsdijk,ADO Den Haag,28,D(C),23(1),2064,1.7,2.3,1,0.7,6.4,1,0.8,-,7.14
Arbër Zeneli,SC Heerenveen,24,AM(LR),20(2),1659,0.8,0.2,0.4,-,0.3,1,-,-,7.14
Lex Immers,ADO Den Haag,33,"AM(C),FW",33,2926,2,1.8,1.2,0.1,1.7,1.5,0.4,-,7.14
Jean-Paul Boëtius,Feyenoord,25,AM(CL),19(9),1680,1.5,0.6,1,-,0.2,0.6,0.1,-,7.14
Dani Schahin,Roda,29,FW,26(2),2289,0.3,0.3,1.8,-,0.9,0.3,0.1,-,7.14
Jean-Christophe Bahebeck,FC Utrecht,26,"AM(LR),FW",4(2),358,0.8,0.2,1,-,0.2,0.7,-,-,7.12
Adam Maher,Twente,25,M(CR),16,1422,2.3,1.2,1.6,-,0.6,1.5,0.2,1,7.12
Ritsu Doan,FC Groningen,21,AM(CLR),28(1),2296,2.2,0.4,0.8,-,0.3,0.9,0.1,-,7.12
Willem Janssen,FC Utrecht,32,"D(C),M(C)",33,2926,1.1,1.5,1.1,1,5.9,0.5,0.8,-,7.11
Alexander Büttner,Vitesse,30,"D(L),M(L)",15(2),1385,1.2,1.3,1.5,0.1,2,0.6,0.2,-,7.11
Jurgen Mattheij,Excelsior,26,D(C),33,2970,1.2,2,1.2,0.3,8.5,0.5,1.1,2,7.11
Kevin Diks,Feyenoord,22,D(R),18(5),1694,2.5,1.9,1,0.2,2.3,1.2,0.1,-,7.11
Abdenasser El Khayati,ADO Den Haag,30,AM(C),32,2796,0.8,0.3,0.5,0.1,0.4,1,0.1,-,7.11
Deyovaisio Zeefuik,FC Groningen,21,D(R),12(1),1080,2.8,0.8,1.5,0.3,2.4,0.2,0.9,-,7.10
Manu García,NAC Breda,21,M(CL),34,3024,1.6,0.6,0.7,-,0.6,1.5,0.1,-,7.10
Denzel Dumfries,SC Heerenveen,23,D(R),33,2940,2.2,1.3,2,0.2,2.9,1.1,0.3,1,7.10
Sergio Padt,FC Groningen,29,GK,34,3060,0.1,-,-,-,1.4,-,-,-,7.09
Dylan Vente,Feyenoord,20,FW,5(4),454,0.1,-,0.3,-,0.2,0.3,0.2,-,7.08
Jeffrey Chabot,Sparta Rotterdam,21,D(C),18(2),1566,2,2.2,1,0.6,5.2,0.9,0.7,-,7.08
Jeremiah St. Juste,Feyenoord,22,"D(CR),DMC",14(1),1220,2.5,1.5,0.7,0.5,2.8,0.6,0.3,-,7.08
Kenneth Paal,PSV Eindhoven,22,D(L),4(1),418,4.2,1.6,1,0.2,2.4,1.2,0.4,-,7.08
Jamiro Monteiro,Heracles,25,AM(C),30(4),2798,2.1,1.5,1.6,-,0.3,1.8,0.1,-,7.08
Matthijs de Ligt,Ajax,19,D(C),33,2913,1,1.7,0.8,0.7,4.4,0.4,0.6,1,7.07
Tim Coremans,ADO Den Haag,28,Goalkeeper,0(1),47,-,-,-,-,1,-,-,-,7.07
Luigi Bruins,Excelsior,32,AM(CL),24(3),2107,2,1,1.1,-,1.4,1.3,0.3,-,7.07
Daniel Schwaab,PSV Eindhoven,30,"D(CR),DMC",31,2790,1.3,1.3,0.4,0.7,4.4,0.9,0.6,-,7.06
Sven van Beek,Feyenoord,24,D(C),19(1),1747,1.6,1.3,1,0.8,5,0.4,0.6,-,7.06
Jan-Arie van der Heijden,Feyenoord,31,D(C),18,1614,1.7,1.8,0.8,0.7,4.3,1.1,0.4,1,7.06
Clint Leemans,VVV-Venlo,23,DMC,33,2939,1.5,0.7,0.7,-,1.7,1.4,0.2,-,7.05
Konstantinos Tsimikas,Willem II,23,D(L),32(1),2813,2.9,1.2,1.2,0.1,1.9,0.6,0.3,-,7.05
Ridgeciano Haps,Feyenoord,26,D(L),22(1),1717,1.9,1.4,0.7,0.1,1.4,0.5,0.2,-,7.04
