Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Lionel Messi,Barcelona,32,"AM(CR),FW",31(2),2730,26,16,4.8,2.3,3.5,1.8,0.3,2.2,0.9,8.46
Neymar,Barcelona,27,"AM(CLR),FW",34,3057,24,12,3.6,3,4.2,3.8,0.7,2.7,2.3,8.43
Gareth Bale,Real Madrid,29,"M(CLR),FW",21(2),1741,19,10,3.5,2.2,1.8,1.2,0.7,0.8,1.3,8.12
Luis Suárez,Barcelona,32,"AM(CLR),FW",35,3150,40,16,3.9,1.6,1.2,1.7,1.7,1.2,2,8.00
Cristiano Ronaldo,Real Madrid,34,"M(L),FW",36,3185,35,11,6.3,1.4,1.4,1.1,1.4,1.2,1.2,7.99
Karim Benzema,Real Madrid,31,FW,26(1),1994,24,7,3.6,1.6,0.6,0.8,0.7,1.3,1.3,7.65
Filipe Luís,Atletico Madrid,33,D(L),32,2834,1,4,0.3,0.9,2.2,0.9,-,0.8,1,7.60
Diego Godín,Atletico Madrid,33,D(C),31,2651,1,1,0.8,0.2,0.4,1.1,0.1,0.2,0.4,7.52
Antoine Griezmann,Atletico Madrid,28,"AM(CLR),FW",36(2),3058,22,5,2.4,1.4,0.8,1,0.4,1.3,1.8,7.50
Koke,Atletico Madrid,27,M(CLR),34(1),2973,5,14,1.2,2.2,0.4,1.5,-,1.6,1.3,7.49
Nolito,Celta Vigo,32,AM(L),27(2),2473,12,7,2.8,2.1,2,2.1,1.1,2.1,1.8,7.44
Marcelo,Real Madrid,31,D(L),28(2),2474,2,3,0.6,1.7,1.9,1.1,0.1,0.7,0.8,7.44
Saúl Ñíguez,Atletico Madrid,24,"D(CL),M(CLR)",26(5),2329,4,2,1.5,0.6,1,0.8,0.2,1.2,1.5,7.37
Luka Modric,Real Madrid,33,M(C),31(1),2629,2,4,1.1,1.9,1.5,1.4,0.1,1.1,0.7,7.37
Aritz Aduriz,Athletic Bilbao,38,FW,30(4),2776,20,6,2.7,1,0.5,2,1.1,2.4,2.3,7.37
