Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Douglas Costa,Bayern Munich,28,M(CLR),14(9),1374,4,3,1.9,1.5,2.5,0.7,0.3,1,0.8,7.17
Benedikt Höwedes,Schalke 04,31,D(CLR),31,2790,1,1,0.6,0.2,0.1,1.2,0.1,0.2,0.4,7.16
Vincenzo Grifo,Freiburg,26,AM(CL),27(3),2495,6,8,2.8,2.4,1.2,1.2,0.4,1.7,1.6,7.15
Marco Reus,Borussia Dortmund,30,"M(CLR),FW",16(1),1190,7,4,2.5,1.4,1.4,1.6,0.9,1,1.9,7.15
Diego Demme,RasenBallsport Leipzig,27,DMC,32,2872,1,3,0.4,0.9,0.6,2.3,-,0.9,0.9,7.15
David Alaba,Bayern Munich,27,"D(CL),M(C)",29(3),2508,4,4,1,1.1,0.3,0.3,0.2,0.7,0.6,7.14
Philipp Lahm,Bayern Munich,35,"D(R),DMC",24(2),2090,1,2,0.3,1.5,0.5,0.7,0.1,0.3,0.4,7.14
Pawel Olkowski,FC Cologne,29,"D(R),M(R)",12(2),1106,-,1,0.1,0.6,0.8,1.3,-,0.5,0.9,7.13
Juan Bernat,Bayern Munich,26,"D(L),M(CL)",13(5),1236,2,2,0.6,0.8,1.7,1,0.1,0.8,0.7,7.13
Mario Gomez,Wolfsburg,33,FW,32(1),2854,16,1,2.5,1.2,0.7,0.9,0.9,0.8,1.8,7.13
Thomas Delaney,Werder Bremen,27,DMC,11(2),920,4,1,1.1,0.5,-,1.2,-,0.4,0.5,7.13
Alessandro Schöpf,Schalke 04,25,M(CLR),22(6),2038,6,2,1,0.9,1.2,1.5,0.2,0.9,1.5,7.12
Josuha Guilavogui,Wolfsburg,28,M(C),17(2),1541,-,-,0.4,0.6,0.6,1.1,0.1,0.5,0.9,7.12
Lukasz Piszczek,Borussia Dortmund,34,"D(CR),M(R)",23(2),2036,5,1,0.8,0.7,0.4,0.5,-,0.5,0.5,7.10
Julian Draxler,Wolfsburg,25,AM(CLR),12(1),1055,-,2,2.2,2.1,2.1,0.8,0.3,1.5,1.6,7.09
Andrej Kramaric,Hoffenheim,28,"AM(CLR),FW",28(6),2374,15,8,2.9,1.1,0.9,1,0.5,1.4,1.2,7.09
Mahmoud Dahoud,Borussia M.Gladbach,23,M(C),26(2),2281,2,6,1.6,1,1.4,1.2,0.1,1.1,1,7.09
Jeffrey Gouweleeuw,Augsburg,27,D(C),18,1550,2,1,0.4,0.3,0.3,0.3,0.1,0.3,0.5,7.09
Omar Mascarell,Eintracht Frankfurt,26,DMC,27(1),2450,-,-,0.4,0.5,0.6,0.6,-,0.4,0.8,7.09
Marc Stendera,Eintracht Frankfurt,23,M(C),2,131,-,-,-,-,-,1.5,-,3,1.5,7.09
Lars Stindl,Borussia M.Gladbach,30,"M(CR),FW",29(1),2597,11,3,2.3,1.3,0.6,1.8,0.1,1.6,2,7.08
Marvin Compper,RasenBallsport Leipzig,34,D(C),25,2102,2,-,0.3,-,0.2,0.6,-,-,0.4,7.08
Thorgan Hazard,Borussia M.Gladbach,26,"AM(CLR),FW",18(5),1632,6,4,1.8,1.4,1.7,1.3,0.5,1.3,1.3,7.08
Mitchell Weiser,Hertha Berlin,25,"D(R),M(R)",12(5),1126,2,4,0.6,1.6,2.1,2.4,0.2,1.2,1.5,7.08
Julian Weigl,Borussia Dortmund,23,"D(C),DMC",27(3),2416,-,-,0.2,0.2,0.9,2.1,-,0.6,0.6,7.07
Daniel Baier,Augsburg,35,M(C),27,2399,1,3,0.9,1.2,0.3,2,0.1,0.6,0.4,7.07
Marcel Sabitzer,RasenBallsport Leipzig,25,"AM(CLR),FW",31(1),2601,8,4,2.5,1.1,0.8,1.2,0.3,1.3,1.3,7.06
Fin Bartels,Werder Bremen,32,"M(CLR),FW",23(8),2224,8,7,1.4,1.3,1.5,1.5,0.2,1.2,1.6,7.06
Sebastian Langkamp,Hertha Berlin,31,D(C),26(1),2312,-,-,0.3,0.1,0.1,1.4,-,0.1,0.3,7.06
Benjamin Henrichs,Bayer Leverkusen,22,"D(LR),M(R)",27(2),2427,-,2,0.2,0.6,1.1,1.2,-,0.6,1,7.06
Roberto Hilbert,Bayer Leverkusen,34,"D(R),M(R)",7,586,-,-,0.3,1.3,0.4,1,0.1,0.4,0.7,7.06
Stefan Ilsanker,RasenBallsport Leipzig,30,"D(CR),DMC",29(4),2644,-,-,0.3,0.3,0.2,0.8,0.1,0.2,0.6,7.06
Niklas Schmidt,Werder Bremen,21,Midfielder,0(1),14,-,1,-,1,-,-,-,-,-,7.05
David Abraham,Eintracht Frankfurt,32,D(C),30,2585,1,2,0.6,0.3,0.2,1,-,0.1,0.2,7.05
Christoph Kramer,Borussia M.Gladbach,28,DMC,23(1),1964,-,4,0.1,0.5,0.7,1.2,-,0.8,0.9,7.05
Jérôme Gondorf,Darmstadt,31,M(CR),29,2552,3,4,1.1,1.2,0.5,2.9,0.1,1,2.3,7.03
Yuya Osako,FC Cologne,29,"AM(CR),FW",27(3),2377,7,6,1.4,1.1,0.9,1.8,0.2,1.5,2.3,7.03
Sandro Wagner,Hoffenheim,31,FW,30(1),2601,11,2,2.1,0.5,0.3,2.7,1,1.2,2.2,7.03
Pascal Groß,Ingolstadt,28,M(C),31(2),2731,5,4,1.5,3,0.3,1.4,0.1,0.6,1.1,7.03
Adrián Ramos,Borussia Dortmund,33,FW,4(3),356,2,1,1.7,0.7,0.1,1.1,0.1,0.3,1.3,7.02
Andreas Christensen,Borussia M.Gladbach,23,"D(C),DMC",31,2782,2,-,0.4,0.2,0.2,0.7,-,0.1,0.4,7.01
Yussuf Poulsen,RasenBallsport Leipzig,25,"AM(R),FW",25(4),2068,5,4,1.6,0.9,0.7,1.7,0.6,1.9,2.6,7.01
Marvin Plattenhardt,Hertha Berlin,27,"D(L),M(L)",27,2430,3,3,0.9,1.3,0.4,0.9,-,0.2,0.3,7.01
Leonardo Bittencourt,FC Cologne,25,AM(CLR),12(4),977,3,5,1.4,0.9,0.9,1.7,0.1,0.3,1.2,7.01
Wendell,Bayer Leverkusen,25,"D(CL),M(L)",27(5),2529,2,2,0.6,0.8,0.6,1,-,0.5,0.8,7.01
Vedad Ibisevic,Hertha Berlin,34,FW,32,2723,12,4,2.3,0.6,0.8,1.9,0.5,1.8,1.7,7.00
Yunus Malli,Mainz 05,27,"AM(CL),FW",15(1),1381,6,6,1.9,2.1,0.7,0.8,0.6,1.1,1.8,7.00
Zlatko Junuzovic,Werder Bremen,31,M(CLR),28(2),2497,4,8,1.4,1.7,0.3,2,0.2,0.5,1.6,6.99
Stefan Bell,Mainz 05,27,D(CR),30(1),2744,5,1,0.8,0.5,0.1,0.7,0.1,0.2,0.1,6.99
Niklas Süle,Hoffenheim,23,D(C),33,2887,2,2,0.8,0.2,0.2,0.6,-,0.2,0.2,6.99
