Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Christian Eriksen,Ajax,27,M(CLR),4,360,2,3,3,3,0.5,1.3,-,1,1.3,7.99
Graziano Pellè,Feyenoord,33,FW,28,2505,23,6,4.3,2,0.5,2.2,0.5,2.4,2.7,7.97
Dusan Tadic,Twente,30,"AM(CLR),FW",33,2970,16,14,2.8,4,1.7,2.2,0.2,2,2.5,7.81
Memphis Depay,PSV Eindhoven,25,"AM(CL),FW",32,2705,12,7,5.1,2.7,3.2,1.9,0.3,3.1,3.4,7.74
Youness Mokhtar,PEC Zwolle,27,AM(LR),4,356,1,3,2.3,2.3,1.8,1.8,0.3,3.5,2.8,7.70
Joël Veltman,Ajax,27,D(CR),24(1),2158,2,2,0.5,0.3,1.8,2,-,0.3,0.4,7.68
Lex Immers,Feyenoord,33,"AM(C),FW",32,2820,12,5,2.5,1.8,0.5,1.8,0.1,1.1,1.4,7.64
Eric Botteghin,FC Groningen,31,D(C),38,3391,2,4,0.9,0.3,0.2,0.6,-,0.4,0.3,7.55
Alfred Finnbogason,SC Heerenveen,30,FW,32,2835,29,9,3.7,1.8,1,1.3,1.3,2,2.4,7.54
Quincy Promes,Twente,27,"M(CLR),FW",31,2732,11,8,3.2,2.7,1.4,1.4,0.5,1.4,1.9,7.54
Jordy van der Winden,FC Utrecht,25,Defender,2,136,-,-,-,0.5,1,0.5,-,1,0.5,7.52
Jetro Willems,PSV Eindhoven,25,"D(L),DMC,M(L)",28,2378,4,3,0.9,1.1,1.2,1.8,-,1.4,0.9,7.50
Filip Kostic,FC Groningen,26,"M(LR),FW",37(1),3297,11,7,2.1,1.3,2.6,2.2,0.2,2.4,2.3,7.47
Jean-Paul Boëtius,Feyenoord,25,AM(CL),24(5),2068,10,9,2,1.3,1,2.6,0.3,1.6,2.4,7.43
Lasse Schöne,Ajax,33,M(CLR),25(4),2152,9,8,1.6,2,1,1.1,0.1,1.7,1.4,7.39
Bilal Basacikoglu,SC Heerenveen,24,AM(LR),23(1),1991,6,4,2,1.8,2.4,1.2,0.2,1.7,2.3,7.39
Daley Blind,Ajax,29,"D(CL),DMC,M(L)",29,2533,1,1,1,1.3,0.7,0.9,-,0.6,1,7.38
Din Mori,Vitesse,30,D(C),5(1),495,1,-,0.8,0.2,0.3,0.7,0.2,0.5,0.7,7.37
Jeffrey Bruma,PSV Eindhoven,27,D(C),31,2757,4,1,1,0.4,0.8,0.7,-,0.3,0.6,7.37
Hakim Ziyech,SC Heerenveen,26,M(CR),28(5),2467,9,9,3.3,2.2,1.7,1.3,0.1,1.5,2,7.35
Jordy Clasie,Feyenoord,28,DMC,32,2840,1,7,1.1,1.2,0.5,1,-,0.7,0.9,7.34
Niklas Moisander,Ajax,33,D(C),22(1),1985,1,2,0.7,0.7,0.8,0.6,-,0.3,0.3,7.34
Guram Kashia,Vitesse,31,D(C),33,2869,2,3,0.7,0.5,0.3,0.6,-,0.4,0.4,7.34
Davy Klaassen,Ajax,26,AM(C),23(3),2102,10,3,1.7,1,0.7,1.1,0.2,1,1.4,7.33
Stefan de Vrij,Feyenoord,27,D(C),32,2843,4,1,0.8,0.3,0.5,0.4,-,0.3,-,7.32
Lucas Piazon,Vitesse,25,AM(CLR),24(5),2110,11,8,1.9,2.7,1.2,1.4,-,3,1.8,7.32
Joost van Aken,SC Heerenveen,25,D(CL),6(2),542,2,-,0.9,0.8,0.3,0.5,-,0.1,0.8,7.31
Felipe Gutiérrez,Twente,28,DMC,33,2951,3,3,1.8,1,1,1.1,-,1.1,1.3,7.30
Marten de Roon,SC Heerenveen,28,DMC,31(1),2803,3,1,1,0.9,0.5,1,-,0.8,0.9,7.30
Jeroen Veldmate,Heracles,30,D(C),17(2),1459,1,1,0.8,0.3,0.4,0.9,-,0.1,0.4,7.29
