Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Luuk de Jong,PSV Eindhoven,28,"AM(C),FW",32(1),2862,0.8,0.4,0.9,-,1.4,0.6,-,-,8.02
Robert Zwinkels,ADO Den Haag,36,GK,1,90,-,-,-,-,2,-,-,-,7.94
Joël Veltman,Ajax,27,D(CR),34,3026,3.4,3.4,1.7,0.6,5.2,0.6,0.3,-,7.77
Hakim Ziyech,Twente,26,M(CR),33,2953,1.9,0.8,1.5,-,0.3,1.4,-,-,7.75
Nemanja Gudelj,Ajax,27,M(C),34,2989,1.9,2.4,1.6,0.1,2,0.4,0.4,-,7.73
Oussama Tannane,Heracles,25,"AM(LR),FW",9(2),847,2.4,1.1,3.3,-,-,0.8,0.1,-,7.63
Davy Pröpper,PSV Eindhoven,27,M(C),33,2922,1.7,1.7,1.2,-,1.4,1.2,0.4,-,7.63
Andrés Guardado,PSV Eindhoven,32,"D(L),M(CL)",25,2190,1.5,2.4,0.7,-,1.2,1.4,0.2,-,7.52
Vincent Janssen,AZ Alkmaar,25,FW,32(2),2751,0.8,0.1,1.7,0.1,0.4,0.2,0.2,-,7.52
Marco van Ginkel,PSV Eindhoven,26,M(C),13,1170,1.5,0.8,1.6,-,1.2,1.2,0.2,-,7.52
Sébastien Haller,FC Utrecht,25,FW,37,3195,0.6,0.5,1.5,-,1.1,0.4,0.1,-,7.52
Diederik Boer,Ajax,38,GK,1,90,-,-,-,-,2,-,-,-,7.51
Guram Kashia,Vitesse,31,D(C),26(1),2341,2.6,2.7,0.9,0.7,4.7,0.8,0.5,-,7.45
Ben Rienstra,PEC Zwolle,29,"D(C),M(C)",3,270,0.3,2.3,1,-,1.7,1,0.7,-,7.44
Eric Botteghin,FC Groningen,31,D(C),1,90,3,4,2,-,4,-,1,-,7.41
Stijn Wuytens,Willem II,29,"D(C),DMC",18,1620,3.2,3.2,2.1,-,2.7,0.7,0.5,-,7.41
Dirk Kuyt,Feyenoord,38,"M(CLR),FW",31(1),2753,1,0.8,0.9,0.1,1.1,0.7,-,-,7.41
Edouard Duplan,ADO Den Haag,36,AM(CLR),31,2735,0.9,0.7,1.3,-,0.5,1,-,-,7.40
Jerson Cabral,Twente,28,AM(LR),21(3),1938,1.6,1.1,0.8,-,0.3,0.8,0.1,-,7.39
Amin Younes,Ajax,25,AM(CL),25(2),1914,1.1,0.7,1,-,-,0.4,-,-,7.39
Santiago Arias,PSV Eindhoven,27,D(R),32,2847,1.9,2.4,1.3,0.2,3.1,1,0.4,-,7.38
Ridgeciano Haps,AZ Alkmaar,26,D(L),26(1),2286,2.5,3.4,1.1,0.3,3.2,0.5,0.2,-,7.37
Alireza Jahanbakhsh,AZ Alkmaar,25,AM(CLR),21(2),1673,2,0.8,1.3,-,0.1,0.7,-,-,7.36
Davy Klaassen,Ajax,26,AM(C),30(1),2636,1.4,0.9,0.8,-,0.6,0.6,0.2,-,7.35
Eljero Elia,Feyenoord,32,"AM(LR),FW",27(4),2385,2.1,0.5,1.5,-,0.4,0.8,-,-,7.32
Mitchell Dijks,Ajax,26,"D(L),M(L)",29,2493,2,1.3,1.6,0.4,1.9,0.3,0.3,-,7.32
Sam Larsson,SC Heerenveen,26,AM(L),34,3003,1.1,0.8,0.5,-,0.3,0.9,-,-,7.30
Arkadiusz Milik,Ajax,25,FW,28(3),2474,0.3,0.3,1.2,-,0.3,0.5,-,-,7.30
Marvelous Nakamba,Vitesse,25,M(C),30,2608,4.2,1.6,2.5,-,1,1.3,0.3,-,7.30
