Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Lukasz Piszczek,Borussia Dortmund,34,"D(CR),M(R)",16(4),1519,1.2,2.2,0.5,0.2,2,0.6,0.4,-,7.15
Jannik Vestergaard,Werder Bremen,26,D(C),33,2970,2,3.2,0.7,1,4.5,0.8,0.7,-,7.15
Lewis Holtby,Hamburger SV,28,M(CLR),34,2908,2.9,2,2.2,-,1.2,1.2,0.1,-,7.15
Xabi Alonso,Bayern Munich,37,M(C),23(3),1947,2.1,1.7,1.3,0.3,0.8,1.2,0.1,1,7.15
Julian Baumgartlinger,Mainz 05,31,DMC,30(1),2716,3.7,2.5,1.9,-,1.9,2.2,0.3,-,7.15
Arjen Robben,Bayern Munich,35,"M(CLR),FW",14(1),1101,0.3,0.4,0.3,-,0.1,0.3,-,-,7.14
Medhi Benatia,Bayern Munich,32,D(C),11(3),980,1.2,2.4,1.1,1,2.3,0.4,0.2,-,7.13
Tobias Levels,Ingolstadt,32,D(R),16,1440,2.8,3.4,1.5,0.2,2.5,1.1,0.1,-,7.13
Mahmoud Dahoud,Borussia M.Gladbach,23,M(C),27(5),2084,2.2,1.8,1.7,-,0.4,1.1,0.1,-,7.13
Aytac Sulu,Darmstadt,33,D(C),33,2970,1.6,3.2,1,0.8,5.6,0.3,0.9,2,7.13
Leon Balogun,Mainz 05,31,D(CR),17(4),1511,2,2.8,1.1,0.4,5.2,0.5,0.6,-,7.12
Anthony Modeste,FC Cologne,31,FW,33(1),2875,0.2,0.3,1.3,-,1.1,0.3,0.1,-,7.12
Benjamin Henrichs,Bayer Leverkusen,22,"D(LR),M(R)",5(4),538,3.8,3.3,0.9,0.1,1.7,0.8,0.2,-,7.12
Stefan Bell,Mainz 05,27,D(CR),29(1),2635,1.4,3,1.6,0.8,5.2,0.6,0.7,1,7.11
Chicharito,Bayer Leverkusen,31,FW,25(3),2174,0.5,0.3,0.9,-,0.2,0.2,-,-,7.10
Theodor Gebre Selassie,Werder Bremen,32,"D(LR),DMC,M(R)",33,2961,2.4,2.9,1.3,0.2,2.9,0.7,0.2,1,7.10
Leroy Sané,Schalke 04,23,M(CLR),23(10),2314,1.8,0.8,1,-,0.1,1.2,-,-,7.10
Ricardo Rodríguez,Wolfsburg,26,"D(CL),M(L)",23(1),2067,1.5,1.8,1,0.3,1.7,0.6,0.5,-,7.10
Ömer Toprak,Bayer Leverkusen,29,D(C),17(2),1412,1.9,2.4,1.1,0.5,3.9,0.6,0.7,-,7.09
Philipp Lahm,Bayern Munich,35,"D(R),DMC",25(1),2200,0.9,1.6,0.4,0.2,0.7,0.5,0.2,-,7.09
Andreas Christensen,Borussia M.Gladbach,23,"D(C),DMC",31,2790,1.4,2.7,0.4,0.8,4.2,0.4,0.6,1,7.08
Noah Joel Sarenren Bazee,Hannover 96,22,AM(R),5,383,1,1.4,2.6,-,-,0.4,-,-,7.08
Vedad Ibisevic,Hertha Berlin,34,FW,25(1),2099,0.6,0.3,1.8,-,0.5,0.3,0.1,-,7.08
Marc Stendera,Eintracht Frankfurt,23,M(C),24(2),2051,3.2,2,1.8,-,0.3,1.8,0.1,-,7.07
Daniel Didavi,VfB Stuttgart,29,"AM(CR),FW",30(1),2432,1.5,0.9,1.8,-,0.5,1.2,0.1,-,7.07
Javi Martínez,Bayern Munich,30,"D(C),M(C)",11(5),1104,1.4,1.4,1,0.2,2,0.2,0.3,-,7.07
Shinji Kagawa,Borussia Dortmund,30,M(CL),26(3),2172,1.2,0.6,0.9,-,0.1,0.3,-,-,7.06
Sebastian Boenisch,Bayer Leverkusen,32,D(CL),7(1),548,2.3,3.1,1.1,-,2.4,0.4,0.5,-,7.06
Christian Gentner,VfB Stuttgart,33,M(CLR),29,2494,2.3,2.1,1.8,0.1,2,1.2,0.2,1,7.06
Franck Ribéry,Bayern Munich,36,AM(L),6(7),683,0.1,0.5,0.8,-,0.2,0.8,-,-,7.05
Lukas Rupp,VfB Stuttgart,28,M(CR),24(5),2108,2.4,2.2,1,0.1,0.7,1.4,0.2,-,7.05
Clemens Fritz,Werder Bremen,38,"D(R),DMC",29,2528,2.8,2.3,1.5,-,1.3,1.2,0.4,-,7.05
Julian Weigl,Borussia Dortmund,23,"D(C),DMC",25(5),2249,1.6,2.1,1.1,-,0.9,1,0.1,-,7.05
Kevin Volland,Hoffenheim,26,"AM(CLR),FW",31(2),2731,1.5,0.8,2,-,0.3,1,-,-,7.04
Alfred Finnbogason,Augsburg,30,FW,13(1),1133,1.1,1,1.6,-,0.7,0.6,0.1,-,7.04
Dominic Maroh,FC Cologne,32,D(C),23(2),2122,1.7,3,1.1,0.4,4.2,0.6,0.8,-,7.04
Ivan Perisic,Wolfsburg,30,AM(CLR),2,164,1.5,-,0.5,-,0.5,0.5,-,-,7.04
Christoph Kramer,Bayer Leverkusen,28,DMC,28,2400,2.8,1.6,1.5,-,1,1.6,0.1,-,7.03
Claudio Pizarro,Werder Bremen,40,"AM(C),FW",17(11),1742,0.6,0.9,1.1,-,0.4,0.3,-,-,7.03
Mergim Mavraj,FC Cologne,33,D(C),11(1),991,2.5,1.3,1.3,0.5,6.1,0.4,0.8,-,7.03
Pascal Groß,Ingolstadt,28,M(C),32,2833,1.8,1.9,1.3,-,0.6,1.3,0.1,-,7.03
Nicolai Müller,Hamburger SV,31,"M(CLR),FW",27(2),2163,2,1.1,2,-,0.4,1.5,-,-,7.03
Sokratis,Borussia Dortmund,31,D(CR),23(2),2113,2.1,1.4,1.3,0.9,2.7,0.4,0.4,-,7.02
Daniel Baier,Augsburg,35,M(C),28,2334,1.7,2.4,1.1,-,1.7,1,0.2,-,7.02
Hiroshi Kiyotake,Hannover 96,29,AM(CLR),20(1),1765,0.5,0.8,0.4,-,-,0.3,-,-,7.02
Szabolcs Huszti,Eintracht Frankfurt,36,M(CLR),14(1),1184,2.4,1.5,2.3,-,0.7,0.9,0.1,-,7.02
André Hahn,Borussia M.Gladbach,28,"AM(R),FW",7(8),739,0.9,0.7,1.7,-,0.1,0.5,-,-,7.01
Florian Jungwirth,Darmstadt,30,"D(CR),DMC",16(3),1496,2.9,3.5,0.9,0.1,2.7,1,0.3,-,7.01
Cléber Reis,Hamburger SV,28,D(C),15(8),1467,1.9,2.6,1,0.6,3.8,0.7,0.5,-,7.00
Marvin Matip,Ingolstadt,33,D(C),32(1),2925,1,2.5,0.8,1.3,6.2,0.7,0.5,-,7.00
Gonzalo Castro,Borussia Dortmund,32,M(CR),16(9),1484,1.2,1.1,0.5,-,0.2,0.5,-,-,7.00
Danny Latza,Mainz 05,29,DMC,20(7),1863,2.5,2.1,1.6,-,1.3,1.4,0.3,-,7.00
Jaroslav Drobny,Hamburger SV,39,GK,9(1),846,-,-,-,-,0.4,-,-,-,7.00
Roger Bernardo,Ingolstadt,33,"D(C),DMC",28(1),2501,2,2.6,1.4,0.2,2.2,1,0.3,-,6.99
Salomon Kalou,Hertha Berlin,33,"AM(CLR),FW",30(2),2535,0.5,0.6,1.3,-,0.5,0.5,0.2,-,6.99
Daniel Caligiuri,Wolfsburg,31,"D(R),M(LR),FW",20(9),1825,1.8,1.1,1.5,-,0.3,0.8,0.1,-,6.98
Josuha Guilavogui,Wolfsburg,28,M(C),26(4),2330,2.3,3,2,0.1,1.1,0.7,0.3,-,6.98
Fynn Arkenberg,Hannover 96,23,Defender,2,180,4.5,2,1,1,2.5,2.5,0.5,-,6.98
Peter Niemeyer,Darmstadt,35,"D(C),M(C)",31,2573,2.7,2.9,2.2,-,1.3,1.4,0.4,-,6.98
Mathew Leckie,Ingolstadt,28,AM(CLR),28(4),2477,1.2,1.3,1.6,-,0.5,0.5,0.1,-,6.98
Yunus Malli,Mainz 05,27,"AM(CL),FW",33(1),2796,0.5,0.4,0.5,-,0.2,0.4,-,-,6.98
Neven Subotic,Borussia Dortmund,30,D(C),5(1),463,0.7,1.7,0.8,1.3,3.2,0.7,0.5,-,6.98
Mitchell Weiser,Hertha Berlin,25,"D(R),M(R)",27(2),2431,2.2,1.7,1,0.1,0.9,1,0.1,-,6.97
Albin Ekdal,Hamburger SV,29,M(C),14,1143,1.9,3,1.9,0.1,1.6,1.1,0.1,1,6.97
Jérôme Boateng,Bayern Munich,30,D(CR),17(2),1353,0.7,1.6,0.5,0.8,2.2,0.3,0.2,-,6.96
Håvard Nordtveit,Borussia M.Gladbach,29,"D(CR),DMC",27(4),2449,1.2,1.9,0.9,0.4,2.8,0.4,0.6,-,6.96
Markus Suttner,Ingolstadt,32,"D(L),M(L)",15(3),1341,2.2,2.9,0.8,0.3,3.1,1.6,-,-,6.96
Juan Bernat,Bayern Munich,26,"D(L),M(CL)",13(3),1149,1.3,1.6,0.7,0.3,1.3,0.4,0.1,-,6.96
Leonardo Bittencourt,FC Cologne,25,AM(CLR),27(2),2219,2.7,1.3,1.8,-,0.2,1.7,0.1,-,6.96
Rafinha,Bayern Munich,33,"D(CLR),M(R)",18(7),1748,1.3,1.5,0.9,0.3,0.8,0.4,0.2,-,6.96
Oliver Baumann,Hoffenheim,29,GK,33,2970,-,0.1,-,-,0.7,-,-,-,6.96
Fabian Johnson,Borussia M.Gladbach,31,"D(LR),M(CLR)",25(1),2161,1,1.2,0.6,0.1,0.7,0.2,0.1,-,6.95
Frederik Sörensen,FC Cologne,27,D(CR),19(3),1676,2,1.7,1,0.2,4.9,0.8,1,-,6.95
Marwin Hitz,Augsburg,31,GK,33,2967,-,-,-,-,0.7,0.1,-,-,6.95
Wendell,Bayer Leverkusen,25,"D(CL),M(L)",26(2),2407,2.9,3.6,2,0.2,2.6,1.2,-,-,6.94
David Alaba,Bayern Munich,27,"D(CL),M(C)",27(3),2492,0.8,1.4,0.4,0.4,1.4,0.2,0.2,-,6.94
Yoshinori Muto,Mainz 05,26,FW,18(2),1497,1.2,0.7,2.3,-,0.1,0.6,-,-,6.94
Oscar Wendt,Borussia M.Gladbach,33,"D(L),M(L)",30,2638,1.7,2.2,0.7,0.1,1.8,0.5,0.2,-,6.94
André Schürrle,Wolfsburg,28,"M(CLR),FW",21(8),1904,0.9,0.8,0.8,-,0.2,0.7,0.1,-,6.93
Júnior Caiçara,Schalke 04,30,"D(R),M(R)",22(1),1856,2.5,2,1.7,0.2,3,0.8,0.3,-,6.92
Genki Haraguchi,Hertha Berlin,28,M(CLR),28(4),2522,2.1,1.1,0.9,-,0.4,1.1,-,-,6.92
Nico Elvedi,Borussia M.Gladbach,22,D(CLR),17(4),1548,1.8,2.3,0.8,0.6,3.1,0.3,0.3,-,6.92
Anthony Ujah,Werder Bremen,28,FW,26(6),2335,0.4,0.1,1.3,-,1.4,0.2,0.1,-,6.92
Florian Grillitsch,Werder Bremen,23,"DMC,M(L)",23(2),1989,2.3,3.4,0.8,-,0.6,1.4,0.2,-,6.92
Miiko Albornoz,Hannover 96,28,"D(L),M(L)",23,2070,2.4,2.3,1,0.4,2,1.1,0.3,-,6.91
Marcel Schmelzer,Borussia Dortmund,31,"D(CL),M(L)",22(4),2059,1.6,1.4,0.9,0.2,1.5,0.7,-,-,6.91
Sebastian Langkamp,Hertha Berlin,31,D(C),22,1880,1.6,1.5,0.6,0.6,5,0.4,0.7,-,6.91
Sven Bender,Borussia Dortmund,30,"D(C),M(C)",14(5),1245,1.8,2.4,0.6,0.6,3.2,0.6,0.4,-,6.91
Tobias Sippel,Borussia M.Gladbach,31,GK,2,180,-,-,-,-,-,-,-,-,6.90
Koen Casteels,Wolfsburg,27,GK,13,1170,-,-,0.1,-,0.5,0.1,-,-,6.90
Charles Aránguiz,Bayer Leverkusen,30,M(C),5(2),469,0.9,2.6,1.9,-,1.1,1.6,0.4,-,6.90
Roman Weidenfeller,Borussia Dortmund,38,GK,1,90,-,-,-,-,1,-,-,-,6.90
Danny da Costa,Ingolstadt,25,"D(R),M(R)",17(3),1524,2.8,2.2,0.8,0.3,2,0.6,0.2,-,6.90
Jérôme Gondorf,Darmstadt,31,M(CR),33,2918,2.3,2.6,1.9,0.1,1.3,1.8,0.3,-,6.90
Bastian Oczipka,Eintracht Frankfurt,30,"D(CL),M(L)",30,2700,1.9,2.6,0.9,0.2,1.6,0.4,0.3,-,6.90
