Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Franck Ribéry,Bayern Munich,36,AM(L),18(4),1643,10,10,2,-,2.7,83.8,0.4,8,8.28
Ricardo Rodríguez,Wolfsburg,26,"D(CL),M(L)",34,3060,5,9,2,-,1.1,80.4,3.1,8,8.01
Robert Lewandowski,Borussia Dortmund,30,FW,31(2),2807,20,6,3,-,3.5,72.1,4.4,7,8.00
Roberto Firmino,Hoffenheim,27,"M(CLR),FW",33,2916,16,11,5,-,2.8,74.7,2.2,9,7.94
Marco Reus,Borussia Dortmund,30,"M(CLR),FW",26(4),2221,16,13,6,-,3.7,74.7,0.9,5,7.91
Raffael,Borussia M.Gladbach,34,"AM(CL),FW",34,2999,15,7,1,-,2.2,84,0.5,6,7.91
Thiago Alcántara,Bayern Munich,28,M(C),11(5),1004,2,4,1,-,1.3,91.6,0.8,2,7.90
Max Kruse,Borussia M.Gladbach,31,"M(CLR),FW",34,3021,12,9,3,-,2.2,82.4,0.9,7,7.88
Slobodan Rajkovic,Hamburger SV,30,D(C),2,158,-,-,-,-,1,78.5,9.5,1,7.88
Adrián Ramos,Hertha Berlin,33,FW,30(2),2665,16,5,3,-,2.9,73.7,6.2,6,7.75
Diego,Wolfsburg,34,AM(CLR),15,1274,3,2,7,-,2.8,81.8,0.6,1,7.73
Mario Götze,Bayern Munich,27,"M(CLR),FW",20(7),1830,10,8,-,-,1.9,87.9,0.6,4,7.72
Mats Hummels,Borussia Dortmund,30,D(C),23,1962,2,2,4,1,0.9,81.4,4.9,1,7.71
Kevin De Bruyne,Wolfsburg,28,"M(CLR),FW",16,1420,3,6,2,1,2.1,74.2,1.1,1,7.71
Stefan Kießling,Bayer Leverkusen,35,FW,30(2),2679,15,3,3,-,2.6,69.8,6.8,5,7.70
Jefferson Farfán,Schalke 04,34,"M(CR),FW",17(2),1524,9,5,2,-,1.5,80.1,0.9,2,7.70
Julian Draxler,Schalke 04,25,AM(CLR),25(1),2154,2,6,5,-,1.8,84.1,1.9,3,7.69
Arjen Robben,Bayern Munich,35,"M(CLR),FW",20(8),1705,11,6,-,-,2.7,81.8,0.4,4,7.62
Henrikh Mkhitaryan,Borussia Dortmund,30,M(CLR),29(2),2454,9,10,6,-,2.3,76.7,1.1,3,7.59
David Alaba,Bayern Munich,27,"D(CL),M(C)",26(2),2399,2,6,-,-,1.7,89.3,1.5,1,7.55
Pierre-Michel Lasogga,Hamburger SV,27,FW,18(2),1491,13,1,1,-,3.6,63.9,5.7,2,7.54
Naldo,Wolfsburg,36,D(C),33,2970,3,2,7,-,1.5,80.8,5.4,4,7.54
Sokratis,Borussia Dortmund,31,D(CR),24(4),2265,1,2,4,1,0.8,81.7,5.8,1,7.54
Milan Badelj,Hamburger SV,30,M(C),29,2411,1,2,5,-,1.1,81.4,1.3,2,7.50
Javi Martínez,Bayern Munich,30,"D(C),M(C)",14(4),1341,-,-,3,-,0.9,89.5,4.2,1,7.50
Mario Mandzukic,Bayern Munich,33,"M(L),FW",21(9),2028,18,4,5,-,2.5,72.7,3,1,7.50
Daniel Baier,Augsburg,35,M(C),34,3060,-,3,4,-,1.2,80.1,1.9,5,7.49
Santiago García,Werder Bremen,30,"D(CL),M(L)",21(1),1851,3,-,9,1,0.8,59.4,6.5,4,7.47
Nuri Sahin,Borussia Dortmund,30,M(C),31(3),2779,2,2,4,-,1.6,79.5,2.5,1,7.46
Joel Matip,Schalke 04,27,D(C),31,2790,3,2,4,-,0.5,80.8,4.3,1,7.45
Klaas-Jan Huntelaar,Schalke 04,35,FW,17(1),1463,12,-,5,-,3.1,74.2,3.6,3,7.45
Fabian Lustenberger,Hertha Berlin,31,"D(C),M(C)",19,1710,-,-,1,-,0.3,85,3.4,-,7.44
André Hahn,Augsburg,28,"AM(R),FW",30(2),2736,12,7,10,-,2.9,57.3,5.8,5,7.43
Szabolcs Huszti,Hannover 96,36,M(CLR),30,2599,10,7,10,1,1.7,76.1,1.4,4,7.40
Admir Mehmedi,Freiburg,28,"M(CLR),FW",29(3),2618,12,4,2,1,2.5,76.7,1.5,4,7.40
Neven Subotic,Borussia Dortmund,30,D(C),10,826,-,-,1,-,1.1,83.4,3.6,-,7.40
Christoph Kramer,Borussia M.Gladbach,28,DMC,30(3),2660,3,1,8,-,0.6,88.6,2.2,2,7.39
Claudio Pizarro,Bayern Munich,40,"AM(C),FW",6(11),704,10,2,-,-,1.4,80.9,0.7,2,7.39
Son Heung-Min,Bayer Leverkusen,26,"M(CLR),FW",29(2),2387,10,4,1,-,2.7,80.3,0.9,3,7.39
Johannes Geis,Mainz 05,25,"D(C),DMC",31(2),2798,1,5,4,-,1.7,75.7,2,2,7.38
Marcell Jansen,Hamburger SV,33,"D(L),M(L)",20(1),1774,1,3,1,-,0.9,66.3,2.9,1,7.38
Dante,Bayern Munich,35,D(C),27(2),2420,2,1,4,-,0.7,91.4,3.4,-,7.37
Thomas Müller,Bayern Munich,29,"M(CLR),FW",25(6),2173,13,10,2,-,2.3,78.6,1.6,3,7.36
Luiz Gustavo,Wolfsburg,31,"D(C),M(C)",29,2543,4,2,6,3,1.1,86.6,1.9,3,7.35
Toni Kroos,Bayern Munich,29,M(C),24(5),2072,2,4,6,-,1.8,91.9,0.8,-,7.34
Sebastian Prödl,Werder Bremen,32,D(C),26(1),2305,2,2,4,-,0.6,73.4,4.7,1,7.34
Oscar Wendt,Borussia M.Gladbach,33,"D(L),M(L)",16(2),1475,3,1,2,-,0.4,84.3,1.4,1,7.34
Eric Maxim Choupo-Moting,Mainz 05,30,"M(CLR),FW",19(13),2046,10,3,1,-,2.6,78.5,3,5,7.33
Sidney Sam,Bayer Leverkusen,31,M(CLR),16(6),1396,8,7,2,-,1.8,80.2,0.4,2,7.33
Tolga Cigerci,Hertha Berlin,27,M(CLR),18(1),1495,1,3,6,-,1.6,74.3,1.9,1,7.32
Bastian Schweinsteiger,Bayern Munich,34,"D(C),M(C)",22(1),1833,4,4,4,-,1.3,89.9,2,2,7.32
Martin Stranzl,Borussia M.Gladbach,39,D(C),30,2673,2,-,5,1,0.5,89.3,4.4,1,7.32
Christopher Avevor,Hannover 96,27,"D(C),DMC",1,90,-,-,-,-,-,83.9,3,-,7.32
Mame Biram Diouf,Hannover 96,31,"M(LR),FW",18(1),1474,8,3,2,1,3.4,65.7,5.1,2,7.32
Tony Jantschke,Borussia M.Gladbach,29,"D(CR),DMC",31,2746,1,1,4,-,0.2,90.1,3.1,1,7.31
Hakan Calhanoglu,Hamburger SV,25,"M(CLR),FW",28(4),2451,11,4,2,1,2.8,71.5,1,-,7.31
Emre Can,Bayer Leverkusen,25,"D(CLR),DMC",24(5),2204,3,3,9,-,1.2,78,2.2,1,7.31
Emir Spahic,Bayer Leverkusen,38,D(C),26(1),2345,2,2,9,1,0.3,84.9,4.4,3,7.31
Aaron Hunt,Werder Bremen,32,"M(CLR),FW",31,2675,7,6,2,-,1.9,76.5,1.1,1,7.31
Lars Bender,Bayer Leverkusen,30,"D(R),M(C)",28(1),2352,3,1,2,1,0.8,77.6,2.8,-,7.30
Kevin-Prince Boateng,Schalke 04,32,"M(CLR),FW",28,2451,6,2,6,-,3.1,80,3.3,1,7.30
Benedikt Röcker,VfB Stuttgart,29,D(C),1,90,-,-,1,-,1,87.1,6,-,7.30
Nikolce Noveski,Mainz 05,40,D(C),32,2836,-,-,5,-,0.4,83,5.4,-,7.30
Gonzalo Castro,Bayer Leverkusen,32,M(CR),30,2559,5,8,7,-,1.6,79,0.8,-,7.29
Kevin Volland,Hoffenheim,26,"AM(CLR),FW",32(1),2880,11,4,4,-,2.8,69.2,1.7,1,7.29
Jérôme Boateng,Bayern Munich,30,D(CR),25,2169,1,1,6,1,0.5,87.3,2.8,-,7.28
Philipp Bargfrede,Werder Bremen,30,"D(C),M(C)",17(3),1589,3,-,6,-,0.7,68,2.6,2,7.28
Erik Durm,Borussia Dortmund,27,"D(LR),M(LR)",14(5),1392,-,-,-,-,0.6,73.8,2.3,1,7.27
