Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Kenneth Vermeer,Ajax,33,GK,1,90,-,-,-,-,-,51.1,-,-,8.01
Luuk de Jong,PSV Eindhoven,28,"AM(C),FW",32,2845,20,10,-,-,3.7,71.1,4.7,5,7.96
Memphis Depay,PSV Eindhoven,25,"AM(CL),FW",30,2565,22,5,2,-,5.4,74.7,0.3,8,7.92
Edouard Duplan,FC Utrecht,36,AM(CLR),16,1367,7,6,2,-,2.3,67.8,3.9,3,7.80
Jens Toornstra,FC Utrecht,30,AM(CLR),2,180,1,1,-,-,3.5,80,-,1,7.67
Jetro Willems,PSV Eindhoven,25,"D(L),DMC,M(L)",30,2455,2,13,9,1,0.7,78.6,0.8,4,7.66
Jesús Manuel Corona,Twente,26,"M(CLR),FW",20,1736,7,4,3,-,2,77.2,0.8,3,7.65
Marko Vejinovic,Vitesse,29,M(C),31(4),2837,12,8,6,-,2,84.2,1.4,4,7.63
Eric Botteghin,FC Groningen,31,D(C),34,3060,3,2,4,-,0.7,84.7,2.9,7,7.62
Joël Veltman,Ajax,27,D(CR),25,2186,4,-,3,-,0.6,88.7,3,3,7.60
Hakim Ziyech,Twente,26,M(CR),31,2723,11,16,4,-,3.6,72.9,0.8,6,7.59
Sam Larsson,SC Heerenveen,26,AM(L),25,2149,8,4,-,-,1.7,77.7,0.2,4,7.58
Guram Kashia,Vitesse,31,D(C),28(2),2560,2,2,8,-,0.7,84.6,3.3,3,7.53
Ruud Boymans,FC Utrecht,30,FW,8(1),724,9,1,2,-,3.6,68.8,4.3,1,7.53
Georginio Wijnaldum,PSV Eindhoven,28,M(CL),32(1),2878,14,3,-,-,2.5,84.4,0.6,2,7.47
Davy Klaassen,Ajax,26,AM(C),30,2583,6,9,4,-,1.4,82.3,1.6,2,7.47
Steven Berghuis,AZ Alkmaar,27,"AM(R),FW",19(3),1690,11,4,3,-,2.7,72.5,0.6,1,7.46
Wesley Hoedt,AZ Alkmaar,25,D(C),24,2141,2,-,4,-,0.5,80.6,3.6,3,7.44
Sébastien Haller,FC Utrecht,25,FW,14(3),1299,11,5,1,-,2.9,66.3,4.6,3,7.42
Bertrand Traoré,Vitesse,23,"AM(R),FW",31(2),2517,14,5,5,-,4.2,75.6,1.4,5,7.42
Yassin Ayoub,FC Utrecht,25,M(C),31,2727,5,6,6,1,1.4,80.7,0.6,2,7.39
Jeff Hardeveld,FC Utrecht,24,D(CL),15,1296,1,1,5,-,0.7,76.2,0.9,-,7.35
Lasse Schöne,Ajax,33,M(CLR),26(3),2276,8,9,-,-,2,83.1,0.7,3,7.34
Adam Maher,PSV Eindhoven,25,M(CR),30(1),2401,7,5,3,-,2,83.5,0.6,3,7.33
Nemanja Gudelj,AZ Alkmaar,27,M(C),32,2859,11,3,5,1,2.4,81.8,1.7,4,7.33
Jop van der Linden,Go Ahead Eagles,28,D(C),32,2845,1,4,4,-,1,77.1,1.7,5,7.33
Santiago Arias,PSV Eindhoven,27,D(R),19(2),1726,1,1,3,-,0.5,83.9,1.4,1,7.31
Ruben Ligeon,Ajax,27,D(LR),2(1),204,-,1,1,-,0.7,78.4,0.3,-,7.29
Terence Kongolo,Feyenoord,25,D(CL),32(1),2894,-,1,5,-,0.8,87.3,2.7,2,7.29
Joost van Aken,SC Heerenveen,25,D(CL),33,2862,-,-,5,-,0.5,78.1,2.9,1,7.29
Ruben Ligeon,NAC Breda,27,D(LR),14,1260,-,1,-,-,0.6,72.2,1,-,7.28
Hakim Ziyech,SC Heerenveen,26,M(CR),2,173,2,-,1,-,3.5,68.6,-,-,7.28
Stefano Denswil,Ajax,26,D(C),1,90,-,-,-,-,-,90.5,3,-,7.27
Sven van Beek,Feyenoord,24,D(C),33,2956,1,1,6,-,0.6,87.6,3.3,3,7.25
Bart van Hintum,PEC Zwolle,32,D(L),35,3128,1,7,4,1,1,80.7,1.3,1,7.24
Lex Immers,Feyenoord,33,"AM(C),FW",30,2630,7,4,1,-,2.4,76.2,3.6,3,7.24
Albert Rusnák,Cambuur,24,"AM(CLR),FW",17,1477,4,2,2,-,1.8,82.1,-,2,7.24
Stijn Wuytens,Willem II,29,"D(C),DMC",34,3014,2,2,3,-,1,81.8,2,2,7.24
Simon Poulsen,AZ Alkmaar,34,D(L),32,2749,3,3,1,-,0.3,72.6,1.8,2,7.24
Davy Pröpper,Vitesse,27,M(C),34,2947,7,4,6,1,2.3,77.2,1.8,3,7.24
Mark Uth,SC Heerenveen,27,"AM(CR),FW",36,3058,20,11,6,-,3.3,70.9,1,4,7.23
Ricardo van Rhijn,Ajax,28,D(CR),28,2500,2,1,1,-,1.2,84.6,0.6,2,7.23
Jeffrey Bruma,PSV Eindhoven,27,D(C),29(2),2643,3,2,2,1,1,88.5,2.3,-,7.22
Luciano Narsingh,PSV Eindhoven,28,AM(LR),31(1),2552,6,10,1,-,1.4,81,0.2,-,7.22
Maikel van der Werff,PEC Zwolle,30,D(C),31(4),2740,5,1,1,1,0.9,83.9,1.5,4,7.22
Tjaronn Chery,FC Groningen,31,"AM(CLR),FW",34,3019,15,6,-,-,3.9,81.9,0.2,4,7.22
Jan-Arie van der Heijden,Vitesse,31,D(C),36,3192,3,2,6,-,0.6,87.7,2.6,-,7.22
Andreas Bjelland,Twente,30,D(CL),26,2244,3,3,6,1,0.7,81.8,4.9,1,7.22
Mattias Johansson,AZ Alkmaar,27,D(R),27(4),2547,1,2,7,-,0.6,73.9,1.5,1,7.21
Anwar El Ghazi,Ajax,24,"AM(LR),FW",23(8),2172,9,8,3,-,2.3,76.7,1.2,2,7.21
Zakaria Labyad,Vitesse,26,"AM(CLR),FW",28(5),2395,9,5,5,-,3.3,79.2,0.3,3,7.21
Diederik Boer,Ajax,38,GK,1,90,-,-,-,-,-,64,-,-,7.21
Jordy Clasie,Feyenoord,28,DMC,33,2990,2,6,10,-,1.2,83.5,0.6,-,7.21
Viktor Fischer,Ajax,25,"AM(L),FW",3(1),217,3,-,-,-,2.5,74.7,-,1,7.21
Nicolai Boilesen,Ajax,27,D(L),22,1788,-,3,2,-,0.4,80.9,1.8,1,7.20
Sean Klaiber,FC Dordrecht,24,"D(R),M(CR)",10(2),931,2,1,-,-,1.4,68.5,0.8,1,7.20
Niklas Moisander,Ajax,33,D(C),25,2205,-,-,1,1,0.3,87.5,1.7,1,7.20
Daley Sinkgraven,SC Heerenveen,23,"D(L),M(CL)",20,1740,4,2,3,-,1,78.6,0.6,3,7.20
Menno Koch,NAC Breda,24,D(C),9,745,-,-,3,-,0.7,79.6,3.6,-,7.20
Michiel Kramer,ADO Den Haag,30,FW,31(1),2681,17,1,7,-,2.4,64.6,5,5,7.19
Jeffrey Gouweleeuw,AZ Alkmaar,27,D(C),34,3060,1,3,4,-,0.6,77.8,1.8,3,7.19
Dirk Marcellis,NAC Breda,31,D(CR),17,1512,-,-,3,-,0.2,75.2,2.4,2,7.19
Adnane Tighadouini,NAC Breda,26,"AM(L),FW",31(2),2655,14,3,3,-,3.2,72.7,0.8,5,7.19
Andrés Guardado,PSV Eindhoven,32,"D(L),M(CL)",27(1),2307,1,-,2,-,0.5,83.9,0.6,1,7.18
Kenny Tete,Ajax,23,"D(R),M(R)",4(1),381,-,-,-,-,0.2,83.2,0.8,-,7.17
Mark van der Maarel,FC Utrecht,29,D(CLR),21(2),1880,1,2,2,1,0.7,74.5,1,-,7.17
Joshua Brenet,PSV Eindhoven,25,"D(LR),M(R)",13(5),1238,1,-,1,1,0.3,83.4,0.6,-,7.17
Mike van der Hoorn,Ajax,26,D(C),9(6),947,2,-,1,-,0.9,84.1,3.3,-,7.17
Bram van Polen,PEC Zwolle,33,D(CLR),34,2935,1,2,6,-,0.4,83.5,1.5,1,7.15
Marten de Roon,SC Heerenveen,28,DMC,36,3162,1,2,10,1,1.2,74.2,2.1,-,7.15
Jasper Cillessen,Ajax,30,GK,32,2880,-,-,-,-,-,65.4,0.1,2,7.15
Aleksandar Bjelica,PEC Zwolle,25,Defender,2(1),222,-,-,-,-,0.3,87.3,2,-,7.15
Karim Rekik,PSV Eindhoven,24,D(CL),29,2559,1,-,3,-,0.2,88,2,1,7.15
Arkadiusz Milik,Ajax,25,FW,14(7),1266,11,4,4,-,1.9,74.8,1.4,4,7.14
Bart Vriends,Go Ahead Eagles,28,D(C),31,2760,3,-,5,1,0.3,77.1,3.4,-,7.13
Daley Sinkgraven,Ajax,23,"D(L),M(CL)",9(1),760,-,4,1,-,0.8,81.5,0.9,-,7.13
Christian Kum,FC Utrecht,33,D(CLR),26(3),2173,3,-,4,-,0.8,77.4,1.4,1,7.13
Bartholomew Ogbeche,Cambuur,34,"AM(LR),FW",30(1),2638,13,2,8,1,3,68.6,3.7,4,7.13
Robin Gosens,FC Dordrecht,24,"D(L),M(CL)",27(4),2445,2,-,3,-,1,71.7,2.2,3,7.13
Kevin Diks,Vitesse,22,D(R),24(2),2125,-,-,5,-,0.2,80.7,1.3,-,7.13
Markus Henriksen,AZ Alkmaar,26,M(C),22,1917,7,4,3,-,1.9,71.4,2.2,1,7.12
Etiënne Reijnen,Cambuur,32,D(CR),33,2970,1,2,7,-,0.4,87,2.8,2,7.12
Jeroen Veldmate,Heracles,30,D(C),21,1835,2,1,3,1,0.8,82.3,2.2,-,7.12
Tommy Oar,FC Utrecht,27,AM(CL),17(1),1480,-,7,2,-,1.1,75.3,0.1,1,7.11
Demy de Zeeuw,NAC Breda,36,AM(C),12,1015,2,4,2,-,0.9,76.4,0.3,1,7.11
Jens Toornstra,Feyenoord,30,AM(CLR),26(5),2276,7,4,-,-,2.6,78.5,0.3,3,7.11
Dries Wuytens,Willem II,28,D(C),31(1),2790,1,-,4,-,0.2,84.4,2.7,-,7.11
Jeroen Zoet,PSV Eindhoven,28,GK,32,2880,-,-,-,-,-,72.7,0.2,2,7.11
Wilfried Kanon,ADO Den Haag,25,D(CL),14(1),1185,-,1,2,1,0.7,72.1,1.8,-,7.11
Aaron Meijers,ADO Den Haag,31,"D(L),DMC",33,2970,-,5,5,-,0.3,71.9,1.4,-,7.11
Daan Bovenberg,Excelsior,30,D(R),18(1),1608,2,3,2,-,0.5,65.7,1.6,2,7.11
Diederik Boer,PEC Zwolle,38,GK,4,360,-,-,-,-,-,58.1,-,-,7.10
Miquel Nelom,Feyenoord,28,D(L),32,2835,-,2,3,-,0.4,81.8,1.6,-,7.09
Sander Fischer,Excelsior,30,D(C),34,3056,1,1,4,-,0.3,79.1,2.3,2,7.08
Luke Wilkshire,Feyenoord,37,D(R),17(1),1453,-,3,2,-,0.3,80.8,0.5,1,7.08
Colin Kazim-Richards,Feyenoord,32,"AM(R),FW",26(3),2306,12,5,4,-,3.1,74,3.1,-,7.08
Albert Rusnák,FC Groningen,24,"AM(CLR),FW",16,1228,3,5,1,-,1.5,82.5,0.1,1,7.08
Mitchell Dijks,Willem II,26,"D(L),M(L)",28,2492,-,1,6,-,0.6,77,1.6,1,7.08
Oussama Tannane,Heracles,25,"AM(LR),FW",19,1593,5,4,1,1,3,71.2,0.4,1,7.08
Celso Ortíz,AZ Alkmaar,30,DMC,24,2005,-,-,2,-,0.5,79.7,1,-,7.08
Luciano Slagveer,SC Heerenveen,25,"AM(R),FW",37,3216,12,3,2,1,2.4,71.9,0.8,-,7.07
Joey van den Berg,SC Heerenveen,33,"D(C),M(C)",33,2925,2,6,10,1,1.3,76.2,1.9,-,7.06
Jordens Peters,Willem II,32,D(C),34,2995,-,1,4,-,0.4,83.1,2.5,2,7.06
Timo Letschert,FC Utrecht,26,D(CLR),19(4),1843,-,1,2,-,0.9,85.4,2,1,7.06
Bart Ramselaar,FC Utrecht,23,AM(CL),4(1),292,1,1,-,-,1,87.5,0.2,-,7.05
Derrick Luckassen,AZ Alkmaar,23,"D(CR),DMC",12(1),954,1,-,4,-,0.5,75.3,2.1,-,7.04
Pele van Anholt,SC Heerenveen,28,"D(LR),DMC",36,3205,-,1,3,1,0.6,79.8,1.2,1,7.04
Youness Mokhtar,Twente,27,AM(LR),24(8),2100,5,4,2,-,1.8,78.7,0.5,1,7.03
Marvin Peersman,FC Dordrecht,28,D(CLR),24(2),2134,-,-,3,2,0.6,74,3.1,2,7.03
Kamohelo Mokotjo,Twente,28,DMC,32(1),2875,1,7,4,-,0.6,88.7,0.8,2,7.03
Riechedly Bazoer,Ajax,22,DMC,14(3),1215,1,-,2,-,1.5,86.9,1.2,-,7.02
Rochdi Achenteh,Vitesse,31,"D(L),DMC",34(3),3067,1,6,4,-,0.5,82.5,0.4,1,7.01
Bryan Linssen,Heracles,28,"AM(CLR),FW",31(2),2718,10,8,6,-,2,67.2,0.8,5,7.01
Joeri de Kamps,NAC Breda,27,DMC,27(2),2354,-,4,12,-,0.5,76,0.6,1,7.01
Sergio Padt,FC Groningen,29,GK,32,2880,-,1,2,-,-,52.6,0.3,1,7.00
Warner Hahn,PEC Zwolle,27,GK,32,2880,-,-,1,-,-,62.3,0.1,2,7.00
Valeri Qazaishvili,Vitesse,26,"AM(CLR),FW",31(6),2725,11,4,-,-,2,87.4,0.4,3,7.00
Mickey van der Hart,Go Ahead Eagles,25,GK,22,1980,-,-,-,-,-,59,0.3,1,7.00
Luigi Bruins,Excelsior,32,AM(CL),20(2),1684,2,3,3,1,0.6,74.9,1.3,3,6.99
Furdjel Narsingh,Cambuur,31,"AM(LR),FW",19(4),1756,-,8,-,-,1.9,81.2,0.1,1,6.99
Jeffry Fortes,FC Dordrecht,30,"D(R),DMC",30(1),2631,3,1,3,-,0.8,71.6,1.7,2,6.99
Roland Alberg,ADO Den Haag,28,AM(CL),29(3),2607,8,9,7,-,2.2,77.9,1.1,2,6.99
Thulani Serero,Ajax,29,DMC,21(8),2000,1,-,2,-,0.5,89,0.4,1,6.99
Thomas Kristensen,ADO Den Haag,36,DMC,28(2),2272,1,1,3,-,0.4,82.3,1.7,2,6.99
Gianni Zuiverloon,ADO Den Haag,32,D(CR),30(2),2658,1,-,5,1,1.3,82.3,1.5,3,6.97
Ryan Thomas,PEC Zwolle,24,AM(CL),28(4),2221,3,7,2,-,1,76.3,0.8,-,6.97
Nick Viergever,Ajax,29,"D(CL),DMC",20(6),1928,2,-,5,-,0.4,85.1,1.6,-,6.97
Robert Zwinkels,ADO Den Haag,36,GK,2,180,-,-,1,-,-,52.4,-,-,6.97
Gévero Markiet,FC Utrecht,28,D(CR),21(8),1885,3,1,-,-,0.9,82.3,3.3,-,6.97
Tom van Weert,Excelsior,29,FW,32,2643,13,2,3,-,2.7,68.2,2.8,1,6.97
Remko Pasveer,PSV Eindhoven,35,GK,2,180,-,-,-,-,-,73.3,0.5,-,6.97
Stefano Marzo,SC Heerenveen,28,"D(R),DMC",35,3102,-,2,5,1,0.1,78.8,0.7,1,6.96
Kenny van der Weg,NAC Breda,28,D(CL),22(2),1994,1,1,6,-,0.4,75.3,1.9,1,6.96
Wout Weghorst,Heracles,26,FW,27(4),2431,8,5,6,-,1.5,67.7,3.3,1,6.96
Mike te Wierik,Heracles,27,D(CR),24,2160,-,1,3,-,-,80.1,1.5,-,6.96
Jurgen Mattheij,Excelsior,26,D(C),18(2),1630,-,-,-,1,0.4,78,2,2,6.95
Karim El Ahmadi,Feyenoord,34,DMC,31,2753,2,1,5,-,1.8,90,0.5,-,6.94
Tomas Necid,PEC Zwolle,29,FW,21(5),1908,12,3,4,1,3,70.9,2.2,2,6.94
Dario Vujicevic,Heracles,29,DMC,12(2),1140,-,-,1,-,0.3,86.7,0.6,-,6.94
Vytautas Andriuskevicius,Cambuur,28,D(L),26(1),2236,-,-,6,-,0.2,79.6,2,1,6.94
Elvis Manu,Feyenoord,25,"AM(L),FW",15(12),1476,7,4,3,-,2,75.1,0.1,2,6.94
Michael de Leeuw,FC Groningen,32,"AM(CLR),FW",23(5),2145,17,1,2,-,1.7,77.6,1.7,3,6.94
Jeroen Verhoeven,FC Utrecht,39,GK,3(2),338,-,-,-,-,-,67.8,0.2,-,6.93
Renato Tapia,Twente,23,"D(C),DMC",12(5),1119,5,-,2,1,1.5,70.5,1.6,3,6.93
Abel Tamata,PSV Eindhoven,28,D(L),5(3),526,-,-,1,-,0.4,87.1,1,-,6.93
Divine Naah,NAC Breda,23,M(C),8(1),723,-,-,1,-,1,76.5,0.8,-,6.92
Ben Rienstra,PEC Zwolle,29,"D(C),M(C)",34,3014,5,1,5,-,1.5,80.8,1.3,2,6.92
