Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Mimoun Mahi,FC Groningen,25,"AM(CLR),FW",30(2),2570,17,3,3,1,1.1,0.9,1.1,2.3,2.4,7.13
Markus Henriksen,AZ Alkmaar,26,M(C),3,198,2,-,1.7,0.7,0.3,0.7,-,1.3,0.7,7.10
Benjamin van Leer,Roda,27,GK,34,3060,-,-,-,-,-,0.1,-,-,-,7.10
Nicolas Isimat-Mirin,PSV Eindhoven,27,D(C),27(1),2450,2,-,0.4,0.1,0.1,0.6,-,0.3,0.3,7.10
Calvin Stengs,AZ Alkmaar,20,AM(R),3(2),312,2,1,1.2,1.2,0.4,1,0.6,3.2,1,7.09
Jetro Willems,PSV Eindhoven,25,"D(L),DMC,M(L)",24(1),2003,2,2,0.4,1.6,0.8,0.7,-,0.8,1,7.09
Christian Kum,Roda,33,D(CLR),30(1),2672,3,1,0.5,0.3,0.5,0.9,0.1,0.3,0.5,7.09
Marvelous Nakamba,Vitesse,25,M(C),31,2781,1,1,0.6,0.5,0.9,0.8,-,1.2,0.9,7.08
Willem Janssen,FC Utrecht,32,"D(C),M(C)",35(1),3107,3,1,0.6,0.3,0.2,0.5,-,0.1,0.1,7.08
Michael Verrips,Sparta Rotterdam,22,Goalkeeper,1,90,-,-,-,-,-,1,-,-,-,7.08
Bart Ramselaar,FC Utrecht,23,AM(CL),2,163,1,-,1,2,0.5,0.5,-,2.5,1,7.07
Jeroen van der Lely,Twente,23,D(LR),25(2),2199,-,-,-,0.4,0.2,0.7,-,0.1,0.6,7.06
Sofyan Amrabat,FC Utrecht,22,DMC,32(2),2823,1,5,1.8,0.9,1.5,1.9,-,1.6,1.7,7.06
Samuel Armenteros,Heracles,29,"AM(R),FW",28(1),2511,19,1,2.1,0.9,1.7,1.4,0.8,3.4,3.7,7.05
Rick Karsdorp,Feyenoord,24,D(R),29(1),2541,1,4,0.6,1.4,0.8,0.2,-,1,1,7.05
Milot Rashica,Vitesse,23,"AM(LR),FW",31(2),2542,2,10,1.7,1.7,1.8,1.6,0.4,1.4,2.2,7.04
Milan Massop,Excelsior,25,D(L),13(2),1206,1,-,0.1,0.1,0.3,0.4,0.1,0.6,0.3,7.03
Stijn Schaars,SC Heerenveen,35,DMC,19(3),1738,1,-,0.9,1.3,0.4,1.2,-,0.8,0.8,7.03
Joshua Brenet,PSV Eindhoven,25,"D(LR),M(R)",13(7),1263,1,2,0.6,0.8,1.5,0.5,-,0.9,0.5,7.03
Hidde ter Avest,Twente,22,"D(R),M(R)",31,2753,1,-,0.6,1,0.5,1,-,0.8,0.6,7.03
Kasper Larsen,FC Groningen,26,D(C),22,1923,-,1,0.5,0.1,0.1,0.5,-,-,0.1,7.03
Jordy de Wijs,Excelsior,24,D(C),15,1298,-,-,0.3,0.4,0.3,0.1,-,0.1,-,7.02
Sean Klaiber,FC Utrecht,24,"D(R),M(CR)",10(4),970,-,2,1.1,1.4,1.3,0.5,-,1.1,1.1,7.02
Robin Gosens,Heracles,24,"D(L),M(CL)",27(1),2330,2,4,1,0.9,0.2,0.9,0.1,0.4,0.8,7.02
Brandley Kuwas,Heracles,26,"AM(CR),FW",27(6),2402,6,6,1.7,2,1.9,2.3,0.4,3.5,2.8,7.00
Frenkie de Jong,Ajax,22,"D(C),DMC",1(3),149,1,-,1.5,2,1.3,0.3,-,0.8,0.3,6.99
Robin van der Meer,FC Utrecht,24,D(L),18(1),1545,-,-,0.2,0.3,0.7,0.5,0.1,0.3,0.3,6.99
Wout Weghorst,AZ Alkmaar,26,FW,27(6),2419,17,3,2.2,1.2,0.3,1.8,0.8,1.5,2.5,6.98
Derick Katuku Tshimanga,Willem II,30,D(L),21(1),1711,-,1,0.2,0.7,0.9,0.5,-,0.7,0.6,6.98
Samir Memisevic,FC Groningen,25,"D(C),DMC",21(5),1940,-,1,0.5,0.2,1.1,1.2,-,0.3,0.3,6.98
Kamohelo Mokotjo,Twente,28,DMC,32(1),2831,1,2,0.4,0.8,1,1.6,-,0.9,1.2,6.98
Derrick Luckassen,AZ Alkmaar,23,"D(CR),DMC",35,3084,3,-,1.3,0.6,0.7,1.5,0.1,0.7,0.8,6.97
Dario Dumic,NEC Nijmegen,27,D(C),34,3060,4,4,0.9,0.4,0.4,0.9,0.1,0.2,0.6,6.97
Hans Hateboer,FC Groningen,25,"D(R),M(R)",19,1710,1,4,0.7,1,0.3,0.7,0.1,0.9,0.8,6.97
Stefan Thesker,Twente,28,"D(CL),DMC",28(1),2431,-,2,0.3,0.2,0.1,0.3,-,0.1,0.2,6.97
Kevin Conboy,FC Utrecht,31,"D(L),DMC",14(3),1236,1,1,0.8,0.3,0.2,0.7,0.2,0.2,0.4,6.97
Jairo Riedewald,Ajax,22,"D(CL),DMC",11(5),1092,-,-,0.3,0.6,0.8,0.4,-,0.7,0.3,6.97
Lewis Baker,Vitesse,24,M(C),33,2908,10,2,2.6,1.8,0.5,0.8,0.2,1.2,1.5,6.96
Ryan Sanusi,Sparta Rotterdam,27,M(C),19(2),1682,1,1,1.5,0.7,0.6,1.5,-,1.7,0.9,6.96
Roy Kortsmit,Sparta Rotterdam,26,GK,33,2970,-,-,-,-,-,0.1,-,-,-,6.95
Reza Ghoochannejhad,SC Heerenveen,31,"AM(CR),FW",35,3014,20,3,2.3,0.9,0.3,2.3,1.1,1.8,2.5,6.95
Matthijs de Ligt,Ajax,19,D(C),6(5),565,2,-,0.9,-,0.1,0.5,-,-,0.5,6.95
Miquel Nelom,Feyenoord,28,D(L),12(5),1194,-,1,0.2,0.9,0.5,1,0.1,0.6,0.9,6.95
Valeri Qazaishvili,Vitesse,26,"AM(CLR),FW",2(1),161,1,-,2,0.7,2.3,1,-,1.3,2.7,6.95
Yoëll van Nieff,FC Groningen,26,"D(CL),DMC",18(5),1632,-,1,0.6,0.8,0.6,0.8,-,0.4,0.7,6.95
