Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Mario Balotelli,AC Milan,28,FW,12(1),1145,12,-,5.9,1.5,3,5.2,0.7,2.3,2.3,8.23
Lúcio,Juventus,41,D(C),1,90,-,-,1,1,3,1,-,-,-,8.17
Andrea Pirlo,Juventus,40,M(C),32,2858,5,7,2.1,3.1,1.4,1.7,0.1,1,0.6,7.82
Arturo Vidal,Juventus,32,M(C),29(2),2588,10,8,2,2,0.7,1.5,0.2,1,1,7.77
Giorgio Chiellini,Juventus,34,D(C),23(1),2039,1,2,0.5,0.5,0.3,1.7,-,0.3,0.4,7.73
Edinson Cavani,Napoli,32,"AM(LR),FW",33(1),2981,29,4,4.6,0.9,1.1,1.1,0.9,1.1,2.1,7.69
Hugo Campagnaro,Napoli,39,D(CR),27(1),2413,1,1,0.3,0.3,1.3,1.4,0.1,0.4,0.5,7.64
Antonio Donnarumma,Genoa,28,Goalkeeper,1,90,-,-,-,-,-,-,-,-,-,7.62
Erik Lamela,Roma,27,AM(CLR),30(3),2600,15,5,2.6,1.7,3,2,0.2,1.7,1.5,7.59
Alberto Frison,Catania,31,GK,4,360,-,-,-,-,-,0.3,-,-,-,7.58
Juan Cuadrado,Fiorentina,31,"D(R),M(CLR),FW",34(2),2967,5,6,1.9,1.5,3.3,3,0.1,1.5,1.4,7.57
Francesco Totti,Roma,42,"AM(CL),FW",33(1),2824,12,12,3.6,3,0.9,3.1,0.1,2.7,1.2,7.57
Stevan Jovetic,Fiorentina,29,"AM(C),FW",31,2521,13,5,3.6,1.8,2.1,2.3,0.5,2,1.5,7.54
Alessandro Diamanti,Bologna,36,"M(CR),FW",33(1),2946,7,7,3.9,2.5,2.9,4.3,0.4,3,2,7.53
Medhi Benatia,Udinese,32,D(C),19,1624,2,1,0.6,0.1,0.3,0.8,0.1,0.4,0.1,7.53
Marek Hamsik,Napoli,31,AM(C),37(1),3282,11,14,2.4,2.7,1.6,0.9,0.1,1.4,1.1,7.52
Hernanes,Lazio,34,M(C),30(4),2559,11,4,2.8,1.7,2,1.6,-,1.4,0.9,7.49
Daniele Capelli,Atalanta,33,D(CR),1,74,-,-,-,-,-,2,-,-,1,7.49
Andrea Ranocchia,Inter,31,D(C),32,2794,2,1,0.8,0.3,0.7,0.8,0.1,0.1,0.4,7.48
Riccardo Montolivo,AC Milan,34,M(C),31(1),2702,4,2,1.8,1.1,1,1.3,-,1.3,0.7,7.47
Kwadwo Asamoah,Juventus,30,"D(L),M(CL)",22(5),1978,2,6,0.7,1.1,2.2,1.4,0.2,0.8,0.6,7.46
Daniele Conti,Cagliari,40,DMC,29,2560,3,2,1.4,1.8,0.5,1.3,-,0.7,0.4,7.44
David Pizarro,Fiorentina,39,M(C),28(1),2476,3,2,0.7,1.6,2.2,3,-,0.9,0.6,7.42
Paul Pogba,Juventus,26,M(C),18(9),1732,5,-,2.1,0.8,1.8,1.3,0.2,0.7,0.7,7.42
Gabriele Angella,Udinese,30,D(C),11(3),1072,4,-,0.9,0.3,0.4,1.1,0.1,0.4,0.1,7.40
Boukary Dramé,Chievo,33,"D(L),M(L)",21(1),1771,1,2,0.8,0.7,1.1,1,0.1,0.6,0.5,7.40
Gonzalo Rodríguez,Fiorentina,35,D(C),35,3122,6,2,0.4,0.3,0.3,1,-,0.3,0.4,7.40
Luca Cigarini,Atalanta,33,M(C),26(1),2269,2,4,1.5,2.4,0.6,1.7,-,0.8,0.6,7.39
Juraj Kucka,Genoa,32,M(CL),32(1),2820,3,3,2.2,0.6,1.9,1.9,-,1.2,1.4,7.38
Nicolás Spolli,Catania,36,D(C),29,2536,2,1,0.4,0.1,0.2,0.9,-,0.2,0.2,7.37
Claudio Marchisio,Juventus,33,M(C),28(1),2477,6,1,2.1,1.2,0.8,0.6,0.3,1,0.9,7.36
Luís Neto,Robur Siena,31,D(C),20,1786,1,-,0.2,0.1,0.3,1.2,-,0.4,0.5,7.35
Miguel Britos,Napoli,33,D(CL),22,1804,-,-,0.2,0.1,0.8,1,-,0.5,0.5,7.35
Luca Antonelli,Genoa,32,"D(L),M(CL)",32(1),2818,1,5,0.3,0.6,0.8,1.3,-,0.3,0.9,7.35
Ivan Pelizzoli,Pescara,38,GK,10(1),900,-,-,-,0.2,-,-,-,-,-,7.33
Allan,Udinese,28,DMC,33(3),3040,-,5,0.4,0.9,1.9,2.3,-,1.6,1,7.33
Andrea Barzagli,Juventus,38,D(CR),34,2957,-,1,0.2,0.3,0.6,0.9,-,0.2,0.2,7.32
Jonathan Biabiany,Parma,31,"M(LR),FW",29(4),2620,2,5,1.8,1.3,3.6,1.5,0.3,1.8,1.5,7.32
Fabrizio Grillo,Robur Siena,32,Defender,1,90,1,-,1,2,-,1,-,4,2,7.32
Wesley Sneijder,Inter,35,AM(CL),5,362,1,1,4.2,2.8,0.6,1,0.2,2,0.2,7.32
Philippe Mexes,AC Milan,37,D(C),25,2188,1,2,0.7,0.6,0.6,0.4,-,0.1,0.4,7.32
Stephan El Shaarawy,AC Milan,26,"AM(CLR),FW",34(3),2836,16,4,2.8,1.5,1.2,0.9,0.5,1.4,1.4,7.32
Stefan Savic,Fiorentina,28,D(C),26,2218,2,-,0.3,0.3,0.2,0.6,-,0.4,0.3,7.31
Adem Ljajic,Fiorentina,27,"AM(CLR),FW",21(7),1628,11,8,3,1.6,1.7,0.9,0.1,1.1,0.8,7.30
Mario Yepes,AC Milan,43,D(C),13(1),1179,-,-,0.4,0.4,0.4,1.1,0.1,0.2,0.1,7.29
Mattia De Sciglio,AC Milan,26,"D(LR),M(LR)",25(2),2225,-,2,0.3,1.1,0.9,0.7,-,0.6,0.5,7.28
Per Kroldrup,Pescara,39,D(C),5,412,-,-,0.4,-,0.2,1.2,-,-,0.2,7.28
Abdoulay Konko,Lazio,35,"D(LR),M(R)",25,2074,1,3,0.8,0.8,1.4,0.8,-,1,0.6,7.28
Mirko Vucinic,Juventus,35,FW,24(7),2079,10,6,2.9,1.8,1.2,1.4,0.8,2.3,1.9,7.27
Mateo Kovacic,Inter,25,M(CL),11(2),1026,-,1,0.5,1.8,4.4,2.2,-,1.2,1.2,7.27
Cristián Zapata,AC Milan,32,D(C),22(1),1930,-,1,0.2,0.3,0.5,0.6,-,0.4,0.3,7.26
Facundo Roncaglia,Fiorentina,32,D(CLR),24,2138,3,-,1,0.3,0.3,1.2,0.1,0.3,0.8,7.26
Rodrigo Palacio,Inter,37,"AM(CLR),FW",20(6),1974,12,5,2.4,1.5,1.2,1.4,1.1,1.3,1.6,7.26
