Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Franck Ribéry,Bayern Munich,36,AM(L),24(3),2120,10,14,2.4,3.2,4.5,2.5,0.6,3.3,1.3,8.42
Stefan Kießling,Bayer Leverkusen,35,FW,34,3020,25,7,3.5,2,1.5,3.2,1.1,2.4,2.2,8.02
Diego,Wolfsburg,34,AM(CLR),32,2880,10,7,2.1,2.1,3.9,3.9,0.2,2.9,1.1,7.84
Mario Götze,Borussia Dortmund,27,"M(CLR),FW",23(5),2038,10,9,1.9,2.3,3,2.2,0.6,2.6,1,7.81
Daniel Carvajal,Bayer Leverkusen,27,D(R),31(1),2783,1,7,0.4,1.5,1.9,0.8,0.1,1.4,0.9,7.72
Jefferson Farfán,Schalke 04,34,"M(CR),FW",25(2),2179,6,6,1.9,3.1,2.8,1.8,0.3,2.6,0.9,7.71
Thomas Müller,Bayern Munich,29,"M(CLR),FW",25(3),2102,13,11,2.4,2,1.6,1.5,0.8,1.8,1.3,7.69
Toni Kroos,Bayern Munich,29,M(C),23(1),1926,6,8,2.2,2.8,1,1.9,0.3,1.3,0.9,7.69
André Schürrle,Bayer Leverkusen,28,"M(CLR),FW",34,2830,11,7,3.6,1.2,3.2,1.7,0.8,2.2,1.9,7.67
Robert Lewandowski,Borussia Dortmund,30,FW,29(2),2599,24,5,3.2,1.1,1.5,2.1,0.9,2.7,2.7,7.66
Bastian Schweinsteiger,Bayern Munich,34,"D(C),M(C)",27(1),2360,7,3,1.5,0.9,1.2,2.1,0.3,1.6,0.8,7.64
Tom Starke,Bayern Munich,38,GK,3,270,-,-,-,-,-,0.3,-,-,-,7.63
Marco Reus,Borussia Dortmund,30,"M(CLR),FW",27(5),2356,14,9,2.7,1.8,1.4,2.1,0.6,2.1,1.2,7.61
Kevin De Bruyne,Werder Bremen,28,"M(CLR),FW",33,2966,10,9,2.7,2.6,2.9,1.3,0.1,2.6,2.1,7.57
Arjen Robben,Bayern Munich,35,"M(CLR),FW",11(5),992,5,5,2.9,1.8,2,1.1,0.5,1.5,1,7.55
Daniel Caligiuri,Freiburg,31,"D(R),M(LR),FW",27(2),2450,5,2,2.5,1,3.3,3.2,0.2,3.2,1.8,7.54
Gonzalo Castro,Bayer Leverkusen,32,M(CR),29(2),2525,6,7,2,2.6,1.5,1,0.1,1.5,0.9,7.51
Kyriakos Papadopoulos,Schalke 04,27,D(C),9(1),812,1,-,1,0.1,0.4,1.7,0.1,0.2,0.2,7.51
Lars Bender,Bayer Leverkusen,30,"D(R),M(C)",32(1),2793,3,6,1.1,1,1.2,1.2,-,1.5,0.8,7.50
Max Kruse,Freiburg,31,"M(CLR),FW",33(1),2950,11,8,2.4,2.7,2.6,1.2,0.6,2.3,1.4,7.50
Jakub Blaszczykowski,Borussia Dortmund,33,"D(R),M(CR)",23(4),1946,11,10,1.8,1.5,1.5,1.7,0.2,1.6,0.8,7.50
Mario Mandzukic,Bayern Munich,33,"M(L),FW",22(2),1744,15,1,2.8,0.8,0.6,1.3,0.6,0.9,1,7.49
Heiko Westermann,Hamburger SV,35,D(CLR),34,3034,3,2,0.7,0.4,0.5,1.2,0.1,0.6,0.4,7.49
Milan Badelj,Hamburger SV,30,M(C),30(1),2506,1,5,0.7,1.1,2.6,1.3,-,1.7,1,7.49
Javi Martínez,Bayern Munich,30,"D(C),M(C)",19(8),1771,3,3,0.7,0.4,0.8,1.1,0.2,0.6,0.4,7.47
Szabolcs Huszti,Hannover 96,36,M(CLR),19(2),1656,9,9,1.1,2.4,1.2,2.5,0.1,3.1,1,7.47
Naldo,Wolfsburg,36,D(C),31,2708,6,-,1.2,0.1,0.7,0.9,0.1,0.5,0.2,7.46
Julian Draxler,Schalke 04,25,AM(CLR),24(6),2150,10,3,2,1.5,2.6,0.4,0.1,1.6,1.1,7.41
Philipp Lahm,Bayern Munich,35,"D(R),DMC",28(1),2504,-,11,0.4,1.4,0.8,0.7,0.2,0.8,0.3,7.41
Oliver Sorg,Freiburg,29,"D(CLR),DMC",32,2868,-,1,0.7,0.7,1.6,1.7,-,1.4,1,7.40
Mats Hummels,Borussia Dortmund,30,D(C),28,2376,1,3,1,0.6,0.7,1.1,0.1,0.3,0.4,7.40
Felipe,VfB Stuttgart,31,D(C),3,270,-,-,1,-,0.3,0.7,-,1,-,7.39
Michal Kadlec,Bayer Leverkusen,34,D(CL),14,1205,1,3,0.9,1.6,0.6,1.4,0.1,0.6,0.6,7.39
Juan Arango,Borussia M.Gladbach,39,AM(L),31,2725,5,7,2.2,1.7,1.3,2,0.2,1.5,0.9,7.39
Sokratis,Werder Bremen,31,D(CR),29,2566,1,-,0.8,0.2,1,1.8,-,0.6,0.3,7.38
Alexander Meier,Eintracht Frankfurt,36,"M(C),FW",31,2726,16,3,2.8,0.9,0.6,0.8,0.7,1.5,1.4,7.37
Ashkan Dejagah,Wolfsburg,32,M(LR),1,67,-,-,1,2,1,3,-,2,3,7.37
Ilkay Gündogan,Borussia Dortmund,28,M(C),26(2),2128,3,3,1.3,0.6,2,1.2,-,1.4,0.7,7.35
Leon Balogun,Fortuna Duesseldorf,31,D(CR),16(1),1429,-,1,0.2,0.6,1.2,0.9,0.2,0.9,0.5,7.35
David Alaba,Bayern Munich,27,"D(CL),M(C)",22(1),1996,3,3,1.1,0.7,0.9,0.7,-,0.8,0.7,7.32
Pirmin Schwegler,Eintracht Frankfurt,32,M(C),25(2),2214,2,2,1.1,0.9,1,2.7,-,1.1,0.5,7.32
Aaron Hunt,Werder Bremen,32,"M(CLR),FW",26(2),2346,11,3,2.9,2.1,1.8,2.6,0.2,2.8,1.1,7.32
Ibrahima Traoré,VfB Stuttgart,31,AM(LR),27(5),2338,3,6,1.2,1.2,3.3,1.4,0.2,1.8,0.9,7.32
Lewis Holtby,Schalke 04,28,M(CLR),18(1),1459,4,7,1.6,1.5,1.4,1.2,0.1,2.2,1.2,7.31
Martin Stranzl,Borussia M.Gladbach,39,D(C),26,2275,5,-,0.7,0.1,0.1,1.1,0.2,0.2,0.1,7.30
Marcell Jansen,Hamburger SV,33,"D(L),M(L)",28,2488,1,2,1.2,0.9,1.4,0.6,0.1,1.2,0.6,7.29
Nuri Sahin,Borussia Dortmund,30,M(C),9(6),906,3,3,1.5,0.9,0.1,1.1,-,0.8,0.6,7.28
Bastian Oczipka,Eintracht Frankfurt,30,"D(CL),M(L)",33,2890,-,8,0.4,1.9,2.2,0.8,-,1.2,0.9,7.28
Jonathan Schmid,Freiburg,29,"D(R),M(LR)",33,2900,11,4,1.7,1.2,1.4,1.8,0.2,2,0.8,7.27
Fagner,Wolfsburg,30,D(R),24(2),2083,-,1,0.1,0.8,1.7,1.5,-,0.8,0.6,7.27
Sebastian Boenisch,Bayer Leverkusen,32,D(CL),12(3),1143,1,3,1.5,0.9,0.2,0.4,0.5,0.5,0.4,7.27
Daniel Baier,Augsburg,35,M(C),33,2949,2,2,1.1,1.8,1,2.5,-,1.4,0.8,7.26
Julian Baumgartlinger,Mainz 05,31,DMC,31(1),2801,-,1,0.3,0.7,0.6,2.4,0.1,1.1,0.6,7.25
Stefan Reinartz,Bayer Leverkusen,30,M(C),29,2446,3,1,0.5,0.8,0.4,0.3,-,0.9,0.5,7.25
Xherdan Shaqiri,Bayern Munich,27,M(CLR),13(13),1393,4,5,1.5,1.5,1.8,1,0.2,0.8,0.6,7.24
Oliver Fink,Fortuna Duesseldorf,37,M(CL),21(5),1870,3,1,0.8,0.2,0.9,1.3,0.1,1.3,0.8,7.24
Lukasz Piszczek,Borussia Dortmund,34,"D(CR),M(R)",28(1),2533,2,8,0.9,1.4,0.4,0.9,0.1,0.9,0.8,7.23
Philipp Wollscheid,Bayer Leverkusen,30,D(C),31,2790,2,-,0.7,0.1,0.2,0.9,-,0.2,0.2,7.23
Roman Neustädter,Schalke 04,31,"D(C),M(C)",31,2672,3,1,0.8,0.8,0.5,0.9,-,1,0.4,7.22
