Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Lionel Messi,Barcelona,32,"AM(CR),FW",32(4),2997,34,12,3,-,5.5,81.2,0.2,22,8.68
Cristiano Ronaldo,Real Madrid,34,"M(L),FW",27,2293,26,5,1,-,6.6,81.6,1.3,7,7.94
Luis Suárez,Barcelona,32,"AM(CLR),FW",32(1),2902,25,12,9,-,3.7,76.9,0.4,5,7.72
Coutinho,Barcelona,27,M(CLR),16(2),1304,8,5,1,-,2.1,86.9,0.3,2,7.66
João Cancelo,Valencia,25,"D(LR),M(R)",1,90,-,-,-,-,4,63.4,1,-,7.65
Marc Bartra,Real Betis,28,D(CR),16,1421,1,-,6,-,0.8,85.8,3.2,2,7.54
Yoel Rodríguez,Eibar,30,GK,1,90,-,-,-,-,-,33.3,-,-,7.50
Casemiro,Real Madrid,27,DMC,30,2601,5,3,8,-,1.1,88.4,2.1,1,7.49
Gareth Bale,Real Madrid,29,"M(CLR),FW",20(6),1803,16,2,5,-,3,82.5,1.3,6,7.49
Iago Aspas,Celta Vigo,31,"AM(CR),FW",33(1),2938,22,5,9,-,2.8,78.8,0.5,11,7.49
Toni Kroos,Real Madrid,29,M(C),26(1),2268,5,7,4,-,1.5,93.1,0.4,-,7.47
Filipe Luís,Atletico Madrid,33,D(L),19(1),1660,1,2,4,-,0.3,83.4,0.9,2,7.45
Daniel Parejo,Valencia,30,M(C),34,3005,7,7,15,1,1.3,85.6,0.5,7,7.41
Jasper Cillessen,Barcelona,30,GK,1,90,-,-,-,-,-,76.9,-,-,7.41
Geoffrey Kondogbia,Valencia,26,DMC,30(1),2618,4,4,11,1,0.9,87.4,1.5,4,7.40
Saúl Ñíguez,Atletico Madrid,24,"D(CL),M(CLR)",35(1),3157,2,3,9,-,1.5,82.4,2.1,2,7.40
Antoine Griezmann,Atletico Madrid,28,"AM(CLR),FW",30(2),2530,19,9,7,1,2.3,77.6,0.8,8,7.38
Achraf Hakimi,Real Madrid,20,D(LR),8(1),757,2,-,-,-,0.3,86.5,1,1,7.34
Gerard Moreno,Espanyol,27,"AM(C),FW",38,3413,16,1,4,-,2.8,70,3.6,8,7.31
Asier Riesgo,Eibar,35,GK,1,90,-,-,-,-,-,35.5,2,-,7.29
Luka Modric,Real Madrid,33,M(C),23(3),1976,1,6,3,-,1.3,89.9,0.3,-,7.29
Sergio Busquets,Barcelona,30,DMC,30(1),2600,1,4,8,-,0.2,90.5,1.6,-,7.25
