Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Lionel Messi,Barcelona,32,"AM(CR),FW",37(1),3375,43,18,4.9,2.5,4.6,2.4,0.6,2,1.3,8.84
Cristiano Ronaldo,Real Madrid,34,"M(L),FW",35,3099,48,16,6.4,2.2,1.5,1.6,1.1,1.1,1.3,8.48
Neymar,Barcelona,27,"AM(CLR),FW",29(4),2573,22,7,2.9,1.6,3.2,2.9,0.5,2,1.8,7.96
James Rodríguez,Real Madrid,27,AM(CLR),29,2290,13,13,1.8,2.7,1,1.9,0.2,0.9,1.3,7.85
Luis Suárez,Barcelona,32,"AM(CLR),FW",25(2),2180,16,14,2.8,2.2,1.3,1.3,1.6,1.3,2.1,7.69
David López,Espanyol,29,"D(C),DMC",1,90,-,-,3,-,-,1,-,1,1,7.68
Gareth Bale,Real Madrid,29,"M(CLR),FW",30(1),2582,13,9,3.3,1.6,2.1,1.1,0.8,1,1.4,7.66
Nicolás Otamendi,Valencia,31,D(C),35,3098,6,-,0.6,0.1,0.2,1.4,-,0.3,0.5,7.59
Karim Benzema,Real Madrid,31,FW,29,2312,15,10,2.4,1.6,1.1,0.7,0.8,1.6,0.9,7.56
José Giménez,Atletico Madrid,24,D(CR),19(1),1752,1,3,0.4,0.4,0.4,0.8,0.1,0.3,0.1,7.52
Marc Bartra,Barcelona,28,D(CR),11(3),1036,1,3,0.8,0.2,0.4,0.6,-,0.1,0.4,7.51
Tiago,Atletico Madrid,38,M(C),31,2592,5,4,0.7,0.6,0.4,1.5,0.1,0.5,0.5,7.50
Luka Modric,Real Madrid,33,M(C),16,1306,1,3,0.9,1.2,1.8,1.1,-,1.1,0.5,7.48
Nolito,Celta Vigo,32,AM(L),32(4),2973,13,13,2.9,2.7,2.1,1.7,1.1,1.9,1.6,7.47
Bruno Soriano,Villarreal,35,M(C),23(1),2087,2,1,1,0.8,0.8,1.2,0.1,1.1,0.4,7.43
Gerard Piqué,Barcelona,32,D(C),26(1),2385,5,1,0.7,0.1,0.2,0.4,-,0.2,0.3,7.43
Toni Kroos,Real Madrid,29,M(C),36,3064,2,7,0.9,2,0.6,2,0.1,0.8,0.6,7.42
Sergio Ramos,Real Madrid,33,D(CR),27,2254,4,1,1,0.3,0.3,1.2,0.2,-,0.4,7.42
