Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Zlatan Ibrahimovic,Paris Saint-Germain,37,FW,33(1),2975,30,8,9,1,4.6,74.7,2,13,7.82
Anthony Lopes,Lyon,28,GK,5,450,-,-,-,-,-,44.3,-,1,7.66
Cheikh N'Diaye,Rennes,34,Goalkeeper,1(1),152,-,-,-,-,-,37.8,0.5,1,7.66
Etienne Capoue,Toulouse,30,"D(C),M(CL)",34,3016,7,3,7,1,1.3,81,3.4,7,7.53
Blaise Matuidi,Paris Saint-Germain,32,M(CL),35(2),3132,5,-,3,1,0.8,88.6,0.9,2,7.42
Cris,Lyon,42,D(C),2,175,-,-,-,-,1,89.8,2.5,1,7.42
Michael Ciani,Bordeaux,35,D(C),3,270,-,-,-,-,0.3,82.7,2.7,-,7.40
Dimitri Payet,Lille,32,M(CLR),37(1),3225,12,13,3,-,3.6,76.7,0.2,7,7.39
Thiago Silva,Paris Saint-Germain,34,D(C),22,1900,-,-,2,1,0.6,89.5,2.1,2,7.39
Adrien Rabiot,Toulouse,24,DMC,12(1),1037,1,3,1,-,0.9,79.2,1.5,1,7.38
Bruno Ecuele Manga,Lorient,30,D(CR),17,1486,-,-,3,-,0.5,84.5,3.6,3,7.38
Hilton,Montpellier,41,D(C),30,2670,1,-,2,-,0.4,80.8,1.8,2,7.38
Lamine Sané,Bordeaux,32,"D(C),M(C)",33,2944,1,-,2,1,0.6,83.9,4.5,3,7.36
Mapou Yanga-Mbiwa,Montpellier,30,D(CR),16,1440,-,-,2,-,0.3,81.9,1.5,1,7.35
Benoit Cheyrou,Marseille,38,M(C),25,2116,2,2,2,-,1.2,78,1.6,7,7.35
Gil,Valenciennes,32,D(C),14,1246,1,-,-,1,0.3,80.9,3.6,1,7.34
Florian Julien,Brest,25,Defender,1,90,-,1,1,-,-,69,1,-,7.33
Rémy Cabella,Montpellier,29,"M(CLR),FW",26(5),2289,7,8,7,-,1.9,85.4,0.3,4,7.32
André Ayew,Marseille,29,"M(CLR),FW",35,3111,9,3,4,1,2.5,79.4,2.7,3,7.31
Romain Alessandrini,Rennes,30,AM(CLR),20(2),1581,10,6,2,-,3.1,76.6,0.3,3,7.30
Serge Aurier,Toulouse,26,"D(CLR),M(R)",28,2498,1,3,4,1,0.7,81.2,2.4,1,7.29
Marco Estrada,Montpellier,36,M(C),21(3),1868,4,1,4,-,2,81.1,0.6,2,7.29
César Azpilicueta,Marseille,29,"D(CLR),M(R)",2,180,-,-,-,-,-,88.2,2,-,7.29
