Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Cheikh M'Bengue,Toulouse,30,"D(CL),M(L)",30,2605,2.5,3.2,2.1,0.3,2.8,0.8,0.3,-,7.08
Landry N'Guémo,Bordeaux,33,M(C),30(3),2757,3.3,2.8,1.8,-,0.8,0.7,0.3,-,7.08
Pavle Ninkov,Toulouse,34,"D(R),M(R)",25(4),2241,2.9,4.5,2,0.2,2.4,1.2,0.1,-,7.08
Alain Traoré,Auxerre,30,"M(C),FW",26(1),2147,1,1,0.9,-,0.5,0.4,0.1,-,7.08
Blaise Matuidi,Paris Saint-Germain,32,M(CL),25(4),2170,2.9,3,2,-,1.3,0.7,0.1,-,7.08
Jaroslav Plasil,Bordeaux,37,M(C),38,3363,2.8,1.6,1.3,0.1,0.7,1,0.2,-,7.08
Aymen Abdennour,Toulouse,29,D(C),32,2880,1.8,1.7,1.5,0.8,5.7,0.4,0.5,1,7.07
Pierre-Emerick Aubameyang,Saint-Etienne,30,"M(LR),FW",36,3156,1.1,0.8,1.1,-,0.5,0.4,0.1,-,7.07
Antoine Devaux,Toulouse,34,M(C),20(2),1659,2.7,3.1,0.9,0.1,1.8,1.2,0.1,-,7.07
Jérémy Morel,Marseille,35,D(CL),31(2),2762,3.3,2.8,0.9,0.4,2.5,0.6,0.3,-,7.07
Pierrick Cros,Sochaux,28,GK,7,630,-,-,-,-,1.4,-,-,-,7.07
Henrique,Bordeaux,36,D(C),22(1),1988,1.7,2.5,2,0.6,5.7,0.5,0.6,-,7.07
Thiago Motta,Paris Saint-Germain,36,M(C),14,1260,2.4,2.3,2.1,-,1.1,0.4,0.1,-,7.07
Ryad Boudebouz,Sochaux,29,"M(CLR),FW",34(2),3048,1.5,1.1,1.1,-,0.5,0.8,0.1,-,7.07
Paul Baysse,Brest,31,D(CR),33(1),2986,2,2.2,1,0.5,6.6,0.4,0.6,-,7.06
Milan Bisevac,Paris Saint-Germain,35,D(C),17(2),1542,1.8,2.2,1.1,0.3,4.3,0.6,0.3,-,7.06
Aldo Angoula,Evian Thonon Gaillard,38,D(C),29(1),2577,1.9,2.4,1.5,1.3,9.1,0.7,1.2,1,7.06
Nicolas Maurice-Belay,Bordeaux,34,"M(CL),FW",35,2973,1.5,1.1,1.2,-,0.8,0.3,-,-,7.06
Sylvain Marchal,Saint-Etienne,39,D(C),28(1),2457,1.8,2.4,1.9,1,7.3,0.6,0.6,-,7.05
Stéphane Grichting,Auxerre,40,"D(CL),DMC",32(1),2909,2.6,3.5,1.5,1.1,6.8,0.6,0.9,-,7.05
César Azpilicueta,Marseille,29,"D(CLR),M(R)",27(3),2522,2.4,2.7,1.1,0.4,2.9,0.7,0.2,-,7.05
Dejan Lovren,Lyon,29,D(C),18,1600,1.7,2.1,1.3,1,7.2,0.6,0.3,-,7.05
Souleymane Diawara,Marseille,40,D(C),23,1957,1.6,2.6,0.7,1,7.1,0.3,0.4,2,7.05
Kévin Olimpa,Bordeaux,31,GK,1,90,-,-,-,-,-,-,-,-,7.05
Mohamed Fofana,Toulouse,34,D(C),6,540,2.7,2.2,2,1.3,5.8,0.8,1.3,-,7.04
Garry Bocaly,Montpellier,31,D(R),33(1),2967,2.6,2.3,1.8,0.3,2.6,0.7,0.2,-,7.04
Ousmane Coulibaly,Brest,29,"D(R),M(R)",17(1),1521,3.3,2.7,1.7,0.3,3.4,0.4,0.3,-,7.04
Franck Beria,Lille,36,D(CLR),32,2803,2,2.6,1.6,0.2,4.6,0.2,0.4,1,7.04
Nicolas Nkoulou,Marseille,29,D(C),30,2688,1.8,2.9,0.8,1.3,4.8,0.5,0.5,-,7.04
Cris,Lyon,42,D(C),20,1739,1.5,2.2,1,1,6.6,0.4,0.7,-,7.03
Cédric Barbosa,Evian Thonon Gaillard,43,M(CLR),24(5),1908,1.4,1.3,1,-,0.4,0.7,0.1,-,7.03
David Ospina,Nice,30,GK,37,3263,-,-,-,-,1.2,0.1,-,-,7.03
Guillermo Ochoa,AC Ajaccio,33,GK,37,3327,-,0.1,-,-,1.5,0.1,-,-,7.03
Michel Bastos,Lyon,35,"D(L),M(CLR)",23(3),2090,0.8,0.6,0.8,-,0.3,0.4,0.1,-,7.03
Younousse Sankharé,Dijon,29,M(C),31(2),2744,3.9,2.5,1.9,-,0.9,0.9,0.3,-,7.03
Kim Källström,Lyon,36,M(C),32,2721,2.9,2.2,1.6,-,1.7,1.1,0.2,-,7.02
Gaël Danic,Valenciennes,37,AM(CLR),33(1),2853,1.4,1.1,0.8,0.1,0.5,0.9,0.1,-,7.02
Lucas Digne,Lille,25,D(L),13(3),1203,1.9,1.8,1.4,0.4,4.5,0.3,0.3,-,7.02
Mohamed Sissoko,Paris Saint-Germain,34,M(C),22(3),1823,3.3,2.5,1.7,-,0.8,1.2,0.1,-,7.02
Grégory Bourillon,Lorient,35,"D(C),DMC",20,1789,1.7,2.1,0.9,0.8,9.1,0.4,0.8,-,7.02
Abdoulaye Keita,Bordeaux,28,Goalkeeper,0(1),13,-,-,-,-,-,-,-,-,7.01
Jires Kembo-Ekoko,Rennes,31,"M(LR),FW",24(8),1897,0.9,0.6,0.9,-,0.2,0.3,0.1,-,7.01
Steve Mandanda,Marseille,34,GK,38,3420,-,-,0.1,-,0.4,-,-,-,7.00
Salif Sané,Nancy,28,"D(C),DMC",30(2),2693,2.3,2.4,1.9,0.1,3,0.9,0.4,-,7.00
Bennard Yao Kumordzi,Dijon,34,DMC,16,1414,4.4,3.1,2.6,0.1,2.1,1.6,0.4,-,7.00
Jean Calvé,Nancy,35,D(R),7(1),599,2.1,2.4,0.9,0.1,1.1,0.9,-,-,7.00
Lionel Cappone,Brest,40,GK,1,90,-,-,-,-,1,-,-,-,7.00
Nemanja Pejcinovic,Nice,31,D(CR),23,1979,1.8,1.9,0.7,0.3,6.3,0.6,1.1,1,7.00
Cédric Cambon,Evian Thonon Gaillard,32,D(C),32(1),2930,2.4,2.6,1,1.2,8.3,0.6,0.7,-,7.00
Florent Balmont,Lille,39,DMC,30,2417,2.3,1.1,1.2,-,0.4,0.7,0.1,-,7.00
Alou Diarra,Marseille,37,"D(C),M(C)",28(6),2372,2.6,2.2,1.8,0.1,2.4,0.6,0.1,-,7.00
Quentin Westberg,Evian Thonon Gaillard,33,GK,2,180,-,-,-,-,1.5,-,-,-,7.00
Jérémy Clément,Saint-Etienne,34,M(C),35,3106,3.4,2.6,1.4,-,1.1,1,0.3,-,6.99
Marc Planus,Bordeaux,37,D(C),26(1),2266,1.8,2.8,0.7,0.7,5.5,0.3,0.6,-,6.98
Banel Nicolita,Saint-Etienne,34,M(R),16(3),1376,2.8,1.3,2.4,0.1,0.9,0.4,0.1,-,6.98
Lucas Mareque,Lorient,36,D(L),30(1),2605,2.9,2.8,1.1,0.3,2.2,1.3,0.3,1,6.98
Papa Demba Camara,Sochaux,26,Goalkeeper,0(1),71,-,1,-,-,-,-,-,-,6.98
Kévin Théophile-Catherine,Rennes,29,D(CLR),36,3240,2.4,2.2,1.9,0.3,3.7,0.4,0.2,-,6.98
Benoit Pedretti,Lille,38,M(C),26(5),2181,1.8,1.1,1.2,-,0.6,0.4,0.1,-,6.98
Alex,Paris Saint-Germain,37,D(C),15,1291,1.7,1.9,0.8,0.5,5.5,0.3,0.7,-,6.98
Yoan Gouffran,Bordeaux,33,"M(CLR),FW",31(3),2572,0.7,0.6,1.8,-,0.3,0.2,-,-,6.97
Jérémie Janot,Lorient,41,GK,3,270,-,-,0.3,-,1.3,-,-,-,6.97
Loïc Remy,Marseille,32,"M(LR),FW",27(2),2226,0.1,0.1,0.7,-,0.1,-,-,-,6.96
Michael Ciani,Bordeaux,35,D(C),30(1),2665,1.8,2.4,1.5,1,6.9,0.3,0.4,1,6.96
Marvin Martin,Sochaux,31,M(C),33,2864,1.4,0.9,1.3,-,0.4,0.4,-,-,6.96
Lisandro López,Lyon,36,"AM(L),FW",24(4),2237,0.4,0.4,1.1,-,-,0.3,-,-,6.96
Benoit Cheyrou,Marseille,38,M(C),27(6),2501,1.7,2.1,1.6,-,0.6,0.8,-,-,6.96
Romain Danzé,Rennes,32,"D(R),M(CR)",28(4),2696,1.9,1.9,1.5,0.3,3.8,0.5,0.1,1,6.96
Alexandre Raineau,Caen,33,D(C),16(3),1526,3.9,2.6,1.7,-,3.1,1.4,0.4,-,6.95
Francois Clerc,Nice,36,D(R),32,2837,2.1,2.5,1.6,0.3,1.9,0.8,0.3,-,6.95
Anthony Mounier,Nice,31,AM(CLR),25(4),2253,1.3,0.8,0.9,-,0.3,0.7,-,-,6.95
Faouzi Ghoulam,Saint-Etienne,28,D(L),32,2880,1.9,2.4,1.1,0.2,3.3,0.5,0.2,-,6.95
Vincent Pajot,Rennes,28,M(C),15(5),1324,2.1,2.4,1.8,-,1.4,0.5,0.3,-,6.95
Stephan Andersen,Evian Thonon Gaillard,37,GK,29(1),2639,-,-,-,-,0.9,-,-,-,6.95
Samba Diakité,Nancy,30,M(C),13(2),1131,2.2,1.1,2.7,-,0.9,0.9,0.2,-,6.95
